Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",13.15,13.54,13.14,13.35,"122,900",13.35
"Jun 10, 2016",13.21,13.30,13.02,13.19,"56,300",13.19
"Jun 9, 2016",13.85,13.85,13.30,13.37,"73,500",13.37
"Jun 8, 2016",13.94,14.09,13.69,13.98,"54,200",13.98
"Jun 7, 2016",13.54,13.93,13.15,13.86,"118,000",13.86
"Jun 6, 2016",13.72,13.81,13.50,13.60,"84,600",13.60
"Jun 3, 2016",13.94,13.97,13.50,13.63,"43,700",13.63
"Jun 2, 2016",13.46,14.01,13.17,13.98,"148,700",13.98
"Jun 1, 2016",13.51,13.51,12.97,13.27,"119,900",13.27
"May 31, 2016",13.99,13.99,13.38,13.58,"106,500",13.58
"May 27, 2016",13.90,13.99,13.82,13.96,"65,900",13.96
"May 26, 2016",13.81,14.00,13.61,13.93,"71,000",13.93
"May 25, 2016",13.92,13.99,13.70,13.84,"115,200",13.84
"May 24, 2016",13.75,13.99,13.69,13.81,"110,900",13.81
"May 23, 2016",13.62,13.88,13.44,13.60,"118,300",13.60
"May 20, 2016",13.50,13.80,13.19,13.69,"259,800",13.69
"May 19, 2016",13.83,13.83,13.33,13.36,"116,500",13.36
"May 18, 2016",13.94,14.30,13.72,13.89,"129,600",13.89
"May 17, 2016",14.50,14.55,13.97,14.00,"85,500",14.00
"May 16, 2016",14.62,14.73,14.00,14.55,"112,300",14.55
"May 13, 2016",14.23,14.66,13.76,14.38,"57,700",14.38
"May 12, 2016",14.48,14.57,14.16,14.27,"104,300",14.27
"May 11, 2016",14.35,14.86,14.24,14.42,"105,900",14.42
"May 10, 2016",14.44,14.50,13.95,14.47,"137,500",14.47
"May 9, 2016",13.90,14.56,13.73,14.21,"188,200",14.21
"May 6, 2016",14.75,15.02,12.81,13.76,"654,500",13.76
"May 5, 2016",16.20,16.40,15.75,16.19,"82,100",16.19
"May 4, 2016",16.17,16.38,16.02,16.19,"111,400",16.19
"May 3, 2016",16.25,16.50,16.04,16.26,"124,400",16.26
"May 2, 2016",15.99,16.46,15.66,16.46,"223,100",16.46
"Apr 29, 2016",15.75,16.00,15.59,15.92,"131,400",15.92
"Apr 28, 2016",15.69,16.00,15.69,15.82,"126,100",15.82
"Apr 27, 2016",15.88,15.94,15.54,15.80,"57,500",15.80
"Apr 26, 2016",15.85,15.99,15.58,15.91,"45,400",15.91
"Apr 25, 2016",16.18,16.33,15.81,15.85,"94,200",15.85
"Apr 22, 2016",16.30,16.48,15.83,16.22,"125,200",16.22
"Apr 21, 2016",15.47,16.41,15.35,16.25,"245,600",16.25
"Apr 20, 2016",15.78,15.97,15.16,15.62,"379,300",15.62
"Apr 19, 2016",16.17,16.25,15.88,16.02,"87,800",16.02
"Apr 18, 2016",15.79,16.21,15.52,16.09,"102,600",16.09
"Apr 15, 2016",15.81,16.15,15.51,15.92,"51,400",15.92
