Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.51,6.64,6.34,6.35,"4,498,500",6.35
"Jun 10, 2016",6.55,6.59,6.36,6.49,"4,497,200",6.49
"Jun 9, 2016",6.66,6.98,6.61,6.61,"6,357,800",6.61
"Jun 8, 2016",6.66,6.75,6.54,6.70,"4,908,800",6.70
"Jun 7, 2016",6.48,6.92,6.30,6.56,"7,672,800",6.56
"Jun 6, 2016",6.10,6.51,5.94,6.47,"6,239,200",6.47
"Jun 3, 2016",6.31,6.33,6.01,6.12,"7,041,600",6.12
"Jun 2, 2016",6.15,6.30,6.10,6.30,"4,992,800",6.30
"Jun 1, 2016",6.02,6.21,6.01,6.14,"7,457,100",6.14
"May 31, 2016",5.98,6.29,5.93,6.09,"8,969,600",6.09
"May 27, 2016",5.64,5.86,5.58,5.86,"3,739,100",5.86
"May 26, 2016",5.77,5.78,5.57,5.62,"3,701,700",5.62
"May 25, 2016",5.90,6.06,5.73,5.78,"10,367,800",5.78
"May 24, 2016",5.44,5.52,5.37,5.50,"4,158,400",5.50
"May 23, 2016",5.27,5.47,5.26,5.36,"4,777,000",5.36
"May 20, 2016",5.11,5.25,5.11,5.24,"3,824,600",5.24
"May 19, 2016",5.12,5.31,5.00,5.10,"3,932,500",5.10
"May 18, 2016",4.84,5.16,4.83,5.15,"6,222,600",5.15
"May 17, 2016",4.68,5.05,4.67,4.85,"6,225,800",4.85
"May 16, 2016",4.44,4.70,4.39,4.69,"4,053,900",4.69
"May 13, 2016",4.30,4.47,4.30,4.41,"3,326,400",4.41
"May 12, 2016",4.46,4.56,4.27,4.33,"3,567,700",4.33
"May 11, 2016",4.64,4.70,4.44,4.46,"3,157,900",4.46
"May 10, 2016",4.80,4.90,4.49,4.67,"6,203,200",4.67
"May 9, 2016",4.52,4.82,4.49,4.79,"5,738,700",4.79
"May 6, 2016",4.57,4.67,4.49,4.61,"4,801,600",4.61
"May 5, 2016",4.71,4.82,4.51,4.58,"6,300,300",4.58
"May 4, 2016",5.09,5.14,4.76,4.78,"7,011,300",4.78
"May 3, 2016",5.21,5.27,5.01,5.03,"4,155,900",5.03
"May 2, 2016",5.30,5.33,5.07,5.32,"5,160,300",5.32
"Apr 29, 2016",5.43,5.49,5.24,5.24,"5,283,500",5.24
"Apr 28, 2016",5.43,5.68,5.40,5.45,"5,591,500",5.45
"Apr 27, 2016",5.44,5.54,5.38,5.47,"5,192,400",5.47
"Apr 26, 2016",5.46,5.55,5.26,5.50,"5,509,800",5.50
"Apr 25, 2016",5.60,5.63,5.41,5.45,"3,071,300",5.45
"Apr 22, 2016",5.49,5.60,5.33,5.60,"4,618,700",5.60
"Apr 21, 2016",5.25,5.51,5.18,5.50,"4,109,700",5.50
"Apr 20, 2016",5.29,5.34,5.12,5.23,"4,135,900",5.23
"Apr 19, 2016",5.49,5.54,5.26,5.32,"5,104,100",5.32
"Apr 18, 2016",5.42,5.58,5.35,5.49,"3,707,300",5.49
"Apr 15, 2016",5.52,5.58,5.37,5.47,"4,737,500",5.47
"Apr 14, 2016",5.64,5.70,5.46,5.57,"6,477,700",5.57
"Apr 13, 2016",5.58,5.62,5.46,5.57,"4,696,400",5.57
"Apr 12, 2016",5.46,5.55,5.28,5.47,"4,682,700",5.47
"Apr 11, 2016",5.58,5.75,5.45,5.47,"4,986,500",5.47
"Apr 8, 2016",5.55,5.69,5.45,5.51,"4,027,400",5.51
"Apr 7, 2016",5.65,5.81,5.47,5.49,"6,312,600",5.49
"Apr 6, 2016",5.37,5.69,5.31,5.68,"6,445,700",5.68
"Apr 5, 2016",5.26,5.53,5.16,5.34,"5,937,100",5.34
"Apr 4, 2016",5.45,5.51,5.27,5.32,"5,582,600",5.32
"Apr 1, 2016",5.09,5.55,5.08,5.49,"5,456,200",5.49
"Mar 31, 2016",5.18,5.32,5.09,5.16,"6,998,900",5.16
"Mar 30, 2016",5.26,5.59,5.08,5.14,"5,796,700",5.14
"Mar 29, 2016",5.02,5.22,4.86,5.21,"4,604,100",5.21
"Mar 28, 2016",5.21,5.24,5.04,5.04,"3,689,300",5.04
"Mar 24, 2016",5.16,5.33,5.00,5.18,"4,594,800",5.18
"Mar 23, 2016",5.51,5.62,5.15,5.16,"5,949,800",5.16
"Mar 22, 2016",5.18,5.64,5.16,5.52,"6,791,200",5.52
"Mar 21, 2016",5.06,5.37,5.02,5.25,"5,554,200",5.25
"Mar 18, 2016",4.94,5.12,4.88,5.07,"8,884,900",5.07
"Mar 17, 2016",4.81,4.98,4.69,4.90,"4,335,100",4.90
"Mar 16, 2016",4.93,5.13,4.72,4.87,"5,060,100",4.87
"Mar 15, 2016",5.35,5.37,4.95,4.99,"5,956,200",4.99
"Mar 14, 2016",4.84,5.50,4.79,5.38,"8,571,600",5.38
"Mar 11, 2016",4.84,4.89,4.67,4.88,"3,517,600",4.88
"Mar 10, 2016",4.96,5.06,4.63,4.75,"4,436,900",4.75
"Mar 9, 2016",4.91,4.98,4.73,4.91,"3,581,600",4.91
"Mar 8, 2016",5.18,5.19,4.86,4.88,"6,263,900",4.88
"Mar 7, 2016",4.83,5.33,4.75,5.14,"6,758,400",5.14
"Mar 4, 2016",4.83,4.99,4.73,4.86,"6,043,500",4.86
"Mar 3, 2016",4.83,4.87,4.70,4.79,"7,822,500",4.79
"Mar 2, 2016",4.71,4.89,4.57,4.82,"9,653,600",4.82
"Mar 1, 2016",4.45,4.82,4.35,4.70,"17,584,900",4.70
"Feb 29, 2016",4.66,4.80,4.22,4.36,"12,125,000",4.36
"Feb 26, 2016",4.67,4.75,4.53,4.71,"5,472,000",4.71
"Feb 25, 2016",4.78,4.89,4.55,4.59,"5,977,100",4.59
"Feb 24, 2016",4.78,4.84,4.51,4.79,"6,037,000",4.79
"Feb 23, 2016",5.01,5.10,4.82,4.83,"3,833,700",4.83
"Feb 22, 2016",5.17,5.22,5.00,5.03,"4,900,800",5.03
"Feb 19, 2016",4.82,5.13,4.70,5.06,"8,650,000",5.06
"Feb 18, 2016",5.16,5.20,4.84,4.86,"7,797,800",4.86
"Feb 17, 2016",5.04,5.14,4.91,5.07,"8,068,300",5.07
"Feb 16, 2016",4.80,5.10,4.70,4.90,"8,289,000",4.90
"Feb 12, 2016",4.64,4.68,4.48,4.61,"6,210,000",4.61
"Feb 11, 2016",4.51,4.66,4.41,4.53,"10,530,500",4.53
"Feb 10, 2016",4.72,5.01,4.62,4.66,"8,145,700",4.66
"Feb 9, 2016",4.51,4.85,4.35,4.62,"8,614,900",4.62
"Feb 8, 2016",4.65,4.76,4.42,4.65,"14,563,000",4.65
"Feb 5, 2016",4.82,4.86,4.51,4.81,"17,590,800",4.81
"Feb 4, 2016",4.52,4.95,4.39,4.88,"10,863,600",4.88
"Feb 3, 2016",4.80,4.84,4.08,4.59,"12,532,800",4.59
"Feb 2, 2016",4.94,5.11,4.57,4.70,"12,968,000",4.70
