Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.48,6.74,6.30,6.40,"621,700",6.40
"Jun 10, 2016",6.50,6.55,6.26,6.29,"595,900",6.29
"Jun 9, 2016",6.81,6.83,6.51,6.53,"340,300",6.53
"Jun 8, 2016",6.67,7.00,6.55,6.80,"730,400",6.80
"Jun 7, 2016",6.71,6.83,6.51,6.69,"906,000",6.69
"Jun 6, 2016",7.10,7.29,6.53,6.81,"4,180,600",6.81
"Jun 3, 2016",12.08,12.43,11.62,11.85,"192,900",11.85
"Jun 2, 2016",11.99,12.29,11.92,12.05,"157,800",12.05
"Jun 1, 2016",11.99,12.08,11.73,11.96,"223,000",11.96
"May 31, 2016",12.03,12.25,11.97,12.00,"191,100",12.00
"May 27, 2016",11.96,12.16,11.61,11.93,"173,800",11.93
"May 26, 2016",11.83,12.00,11.30,11.89,"154,000",11.89
"May 25, 2016",11.72,12.25,11.11,11.88,"126,400",11.88
"May 24, 2016",11.26,11.85,11.04,11.59,"180,500",11.59
"May 23, 2016",10.93,11.33,10.71,11.15,"100,300",11.15
"May 20, 2016",11.55,11.61,10.87,10.90,"205,800",10.90
"May 19, 2016",11.51,11.66,11.22,11.47,"69,400",11.47
"May 18, 2016",11.23,11.84,11.16,11.57,"130,700",11.57
"May 17, 2016",10.96,11.51,10.94,11.18,"138,900",11.18
"May 16, 2016",10.01,11.28,10.01,11.00,"154,000",11.00
"May 13, 2016",9.52,10.25,9.28,10.04,"134,500",10.04
"May 12, 2016",10.00,10.06,9.06,9.53,"188,700",9.53
"May 11, 2016",10.15,10.52,9.91,9.96,"130,900",9.96
"May 10, 2016",10.89,11.40,9.62,10.16,"230,400",10.16
"May 9, 2016",10.14,11.17,10.14,10.83,"143,400",10.83
"May 6, 2016",10.31,10.64,10.03,10.16,"100,400",10.16
"May 5, 2016",10.66,10.85,10.33,10.52,"114,500",10.52
"May 4, 2016",11.62,11.75,10.55,10.64,"225,500",10.64
"May 3, 2016",11.84,11.99,11.29,11.70,"112,500",11.70
"May 2, 2016",12.31,12.41,11.56,11.90,"160,500",11.90
"Apr 29, 2016",12.53,12.55,12.16,12.28,"195,700",12.28
"Apr 28, 2016",12.80,13.46,12.45,12.67,"211,400",12.67
"Apr 27, 2016",12.21,12.64,12.20,12.50,"103,800",12.50
"Apr 26, 2016",12.91,12.91,12.00,12.33,"218,700",12.33
"Apr 25, 2016",14.31,14.39,12.71,12.96,"189,300",12.96
"Apr 22, 2016",13.39,14.50,13.25,14.25,"361,800",14.25
"Apr 21, 2016",12.54,13.97,12.50,13.39,"382,000",13.39
"Apr 20, 2016",12.52,12.76,12.26,12.55,"107,800",12.55
"Apr 19, 2016",12.65,12.65,12.10,12.45,"135,700",12.45
"Apr 18, 2016",12.27,12.63,12.10,12.53,"189,100",12.53
"Apr 15, 2016",12.52,12.69,12.26,12.45,"215,100",12.45
"Apr 14, 2016",13.08,13.33,12.40,12.52,"218,400",12.52
"Apr 13, 2016",11.99,13.07,11.78,12.97,"265,100",12.97
"Apr 12, 2016",11.60,12.17,11.18,11.79,"196,700",11.79
"Apr 11, 2016",12.43,12.51,11.50,11.59,"210,600",11.59
"Apr 8, 2016",12.96,13.49,11.53,12.12,"364,400",12.12
"Apr 7, 2016",12.08,13.28,11.85,13.01,"500,000",13.01
"Apr 6, 2016",10.71,12.17,10.71,11.95,"506,700",11.95
