Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.68,12.13,11.58,11.78,"248,000",11.78
"Jun 10, 2016",11.66,12.12,11.10,11.81,"177,500",11.81
"Jun 9, 2016",12.16,12.36,11.71,11.85,"203,700",11.85
"Jun 8, 2016",12.42,12.64,12.26,12.27,"295,600",12.27
"Jun 7, 2016",13.37,13.44,12.02,12.41,"420,300",12.41
"Jun 6, 2016",14.05,14.05,13.45,13.51,"257,200",13.51
"Jun 3, 2016",14.70,14.70,13.82,13.94,"191,100",13.94
"Jun 2, 2016",14.78,15.09,14.58,14.87,"230,200",14.87
"Jun 1, 2016",14.64,14.98,14.57,14.76,"155,500",14.76
"May 31, 2016",14.76,15.35,14.65,14.81,"146,400",14.81
"May 27, 2016",13.74,14.71,13.29,14.62,"145,000",14.62
"May 26, 2016",13.98,14.00,13.45,13.58,"112,400",13.58
"May 25, 2016",13.87,14.04,13.57,13.90,"107,900",13.90
"May 24, 2016",13.08,13.88,12.86,13.80,"172,800",13.80
"May 23, 2016",12.80,13.31,12.22,12.90,"131,200",12.90
"May 20, 2016",12.17,12.85,11.95,12.72,"98,800",12.72
"May 19, 2016",12.41,12.69,11.75,12.09,"108,900",12.09
"May 18, 2016",11.89,12.56,11.38,12.45,"153,100",12.45
"May 17, 2016",11.98,12.59,11.83,12.00,"185,900",12.00
"May 16, 2016",11.49,12.16,11.42,12.08,"156,400",12.08
"May 13, 2016",10.80,11.60,10.80,11.38,"124,100",11.38
"May 12, 2016",11.49,11.53,10.60,10.80,"132,600",10.80
"May 11, 2016",11.75,12.19,11.36,11.45,"149,500",11.45
"May 10, 2016",11.57,11.84,11.15,11.71,"145,000",11.71
"May 9, 2016",10.34,11.59,9.73,11.51,"175,000",11.51
"May 6, 2016",10.50,10.63,9.52,10.24,"270,400",10.24
"May 5, 2016",11.49,11.49,10.67,10.99,"136,500",10.99
"May 4, 2016",11.70,11.78,11.05,11.40,"188,900",11.40
"May 3, 2016",12.23,12.23,11.71,11.76,"118,200",11.76
"May 2, 2016",12.38,12.50,11.79,12.41,"166,600",12.41
"Apr 29, 2016",13.42,13.79,12.04,12.40,"269,900",12.40
