Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",10.84,11.27,10.78,11.18,"337,100",11.18
"Jun 10, 2016",10.85,10.97,10.54,10.75,"344,500",10.75
"Jun 9, 2016",10.99,11.07,10.78,10.84,"198,000",10.84
"Jun 8, 2016",10.80,11.14,10.70,11.02,"250,700",11.02
"Jun 7, 2016",11.63,11.63,10.79,10.79,"459,300",10.79
"Jun 6, 2016",11.78,11.89,11.50,11.73,"369,600",11.73
"Jun 3, 2016",12.09,12.12,11.64,11.66,"249,100",11.66
"Jun 2, 2016",11.62,12.12,11.58,11.91,"258,300",11.91
"Jun 1, 2016",11.59,11.70,11.01,11.54,"201,300",11.54
"May 31, 2016",11.41,11.89,11.41,11.70,"232,300",11.70
"May 27, 2016",11.44,11.57,11.17,11.42,"181,200",11.42
"May 26, 2016",11.49,11.55,11.12,11.30,"138,100",11.30
"May 25, 2016",11.33,11.73,11.24,11.52,"220,300",11.52
"May 24, 2016",11.12,11.34,10.93,11.22,"165,000",11.22
"May 23, 2016",11.60,11.96,10.80,10.98,"566,200",10.98
"May 20, 2016",11.35,11.83,11.25,11.50,"448,300",11.50
"May 19, 2016",10.68,11.35,10.53,11.27,"326,600",11.27
"May 18, 2016",10.69,10.94,10.53,10.73,"271,600",10.73
"May 17, 2016",9.96,11.11,9.96,10.65,"379,200",10.65
"May 16, 2016",9.99,10.22,9.83,9.94,"319,400",9.94
"May 13, 2016",9.84,9.96,9.51,9.91,"445,100",9.91
"May 12, 2016",10.70,10.82,9.77,9.94,"721,400",9.94
"May 11, 2016",10.60,10.84,10.32,10.68,"389,500",10.68
"May 10, 2016",11.25,11.49,9.94,10.51,"1,824,700",10.51
"May 9, 2016",12.37,12.89,12.17,12.56,"267,100",12.56
"May 6, 2016",12.15,12.42,11.95,12.38,"223,200",12.38
"May 5, 2016",12.35,12.60,12.04,12.25,"268,600",12.25
"May 4, 2016",12.56,12.92,12.21,12.28,"307,100",12.28
"May 3, 2016",13.11,13.16,12.69,12.79,"368,700",12.79
"May 2, 2016",13.28,13.52,13.07,13.25,"267,800",13.25
"Apr 29, 2016",13.31,13.68,13.12,13.25,"204,300",13.25
"Apr 28, 2016",13.29,13.79,13.23,13.41,"214,800",13.41
"Apr 27, 2016",13.79,13.83,13.25,13.39,"184,000",13.39
"Apr 26, 2016",13.44,13.88,13.14,13.84,"344,200",13.84
"Apr 25, 2016",13.65,13.75,13.30,13.52,"210,800",13.52
"Apr 22, 2016",13.68,13.78,13.25,13.73,"268,300",13.73
"Apr 21, 2016",13.48,13.88,13.41,13.69,"229,600",13.69
"Apr 20, 2016",13.62,13.93,13.33,13.55,"393,400",13.55
"Apr 19, 2016",14.85,14.85,13.42,13.65,"756,900",13.65
"Apr 18, 2016",14.97,15.25,14.59,14.81,"262,800",14.81
"Apr 15, 2016",15.21,15.31,14.99,15.07,"418,400",15.07
"Apr 14, 2016",15.30,15.55,15.06,15.30,"410,700",15.30
"Apr 13, 2016",15.25,15.43,14.96,15.22,"484,500",15.22
"Apr 12, 2016",15.73,15.95,15.30,15.44,"268,300",15.44
"Apr 11, 2016",15.78,16.00,15.51,15.79,"211,900",15.79
"Apr 8, 2016",16.16,16.18,15.48,15.65,"240,300",15.65
"Apr 7, 2016",16.00,16.20,15.70,15.94,"377,700",15.94
"Apr 6, 2016",16.14,16.38,15.44,16.01,"422,700",16.01
"Apr 5, 2016",15.80,16.33,15.80,16.09,"420,600",16.09
"Apr 4, 2016",15.62,16.25,15.62,15.80,"308,000",15.80
"Apr 1, 2016",15.19,15.70,15.01,15.62,"214,400",15.62
"Mar 31, 2016",15.43,15.66,15.17,15.34,"500,600",15.34
"Mar 30, 2016",15.10,15.67,14.66,15.27,"303,900",15.27
"Mar 29, 2016",14.52,15.27,14.25,15.19,"284,700",15.19
"Mar 28, 2016",15.33,15.37,14.52,14.55,"215,100",14.55
"Mar 24, 2016",14.08,15.30,13.90,15.23,"282,600",15.23
"Mar 23, 2016",15.55,15.80,14.19,14.26,"437,500",14.26
"Mar 22, 2016",15.00,15.64,15.00,15.55,"320,400",15.55
"Mar 21, 2016",14.85,15.32,14.85,15.18,"261,300",15.18
"Mar 18, 2016",15.05,15.49,14.69,14.93,"838,300",14.93
"Mar 17, 2016",14.20,14.86,14.04,14.70,"329,600",14.70
"Mar 16, 2016",13.73,14.45,13.65,14.28,"446,800",14.28
"Mar 15, 2016",15.82,16.24,13.86,13.95,"927,400",13.95
"Mar 14, 2016",16.21,16.62,15.89,16.20,"495,500",16.20
"Mar 11, 2016",15.87,16.37,14.93,16.37,"468,400",16.37
"Mar 10, 2016",16.17,16.80,15.20,15.30,"755,700",15.30
"Mar 9, 2016",15.00,16.48,14.78,16.20,"1,044,400",16.20
"Mar 8, 2016",14.74,16.06,14.74,15.07,"2,565,200",15.07
"Mar 7, 2016",12.04,13.13,12.04,12.99,"503,600",12.99
"Mar 4, 2016",11.47,12.39,11.36,12.28,"601,200",12.28
"Mar 3, 2016",11.32,11.55,11.08,11.49,"311,700",11.49
"Mar 2, 2016",10.54,11.34,10.27,11.19,"447,500",11.19
"Mar 1, 2016",10.21,10.56,9.94,10.53,"625,700",10.53
"Feb 29, 2016",10.18,10.25,9.95,10.14,"297,100",10.14
"Feb 26, 2016",10.21,10.60,10.03,10.10,"357,300",10.10
"Feb 25, 2016",10.25,10.39,9.84,10.16,"344,300",10.16
"Feb 24, 2016",9.96,10.34,9.66,10.25,"586,100",10.25
"Feb 23, 2016",10.27,10.82,10.05,10.09,"296,000",10.09
"Feb 22, 2016",10.35,10.67,10.35,10.48,"345,800",10.48
"Feb 19, 2016",10.39,10.40,10.02,10.27,"247,000",10.27
"Feb 18, 2016",11.37,11.38,10.30,10.38,"435,500",10.38
"Feb 17, 2016",11.37,11.62,11.26,11.39,"403,100",11.39
"Feb 16, 2016",11.10,11.48,10.94,11.20,"411,000",11.20
"Feb 12, 2016",10.55,11.15,10.32,11.02,"200,800",11.02
"Feb 11, 2016",10.40,10.68,9.98,10.53,"247,800",10.53
"Feb 10, 2016",10.48,11.09,9.65,10.51,"198,200",10.51
"Feb 9, 2016",10.19,10.60,9.80,10.14,"267,700",10.14
"Feb 8, 2016",10.85,10.87,10.11,10.35,"203,300",10.35
"Feb 5, 2016",11.50,11.61,10.90,11.09,"218,400",11.09
"Feb 4, 2016",11.46,11.67,11.12,11.59,"341,200",11.59
"Feb 3, 2016",11.18,11.50,10.54,11.48,"193,000",11.48
"Feb 2, 2016",11.29,11.31,10.83,11.11,"168,100",11.11
"Feb 1, 2016",10.64,11.64,10.35,11.52,"216,400",11.52
