Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",53.00,54.33,50.40,52.55,"720,300",52.55
"Jun 10, 2016",52.55,54.35,51.64,53.58,"635,900",53.58
"Jun 9, 2016",52.87,54.08,52.39,53.55,"584,400",53.55
"Jun 8, 2016",54.11,54.21,52.50,53.30,"504,900",53.30
"Jun 7, 2016",55.04,55.95,53.09,53.99,"753,900",53.99
"Jun 6, 2016",53.86,56.76,52.51,55.78,"557,100",55.78
"Jun 3, 2016",57.86,57.89,53.50,53.66,"470,400",53.66
"Jun 2, 2016",55.99,55.99,54.02,55.35,"471,800",55.35
"Jun 1, 2016",55.29,56.71,53.32,56.22,"359,400",56.22
"May 31, 2016",57.24,60.05,54.77,55.95,"580,300",55.95
"May 27, 2016",54.62,57.39,54.20,56.28,"435,700",56.28
"May 26, 2016",54.77,54.91,53.20,54.58,"367,800",54.58
"May 25, 2016",53.84,55.00,51.46,54.97,"578,500",54.97
"May 24, 2016",54.36,55.27,50.00,53.26,"994,600",53.26
"May 23, 2016",50.01,55.25,50.01,54.41,"857,600",54.41
"May 20, 2016",46.92,51.33,45.96,50.84,"924,300",50.84
"May 19, 2016",42.64,51.83,42.55,47.17,"2,334,400",47.17
"May 18, 2016",36.77,41.36,36.77,41.23,"430,700",41.23
"May 17, 2016",36.50,37.98,36.50,37.12,"246,500",37.12
"May 16, 2016",33.77,37.23,33.77,36.76,"232,200",36.76
"May 13, 2016",33.79,35.06,32.89,33.51,"145,000",33.51
"May 12, 2016",35.72,36.27,32.97,33.93,"241,900",33.93
"May 11, 2016",35.62,36.65,35.03,35.23,"266,600",35.23
"May 10, 2016",36.08,36.28,34.09,35.96,"224,900",35.96
"May 9, 2016",32.34,36.01,32.34,35.60,"319,900",35.60
"May 6, 2016",31.28,33.24,31.28,32.42,"187,800",32.42
"May 5, 2016",32.14,32.49,31.14,31.74,"239,500",31.74
"May 4, 2016",35.00,35.30,31.70,32.29,"501,400",32.29
"May 3, 2016",37.12,37.37,35.26,35.35,"434,600",35.35
"May 2, 2016",36.27,37.75,35.13,37.62,"206,200",37.62
"Apr 29, 2016",36.53,37.54,35.26,35.89,"197,500",35.89
"Apr 28, 2016",36.95,38.53,36.08,36.50,"204,200",36.50
"Apr 27, 2016",37.36,37.78,36.02,37.06,"193,900",37.06
"Apr 26, 2016",38.62,38.83,37.32,37.59,"184,800",37.59
"Apr 25, 2016",40.48,40.72,38.57,38.73,"186,500",38.73
"Apr 22, 2016",39.75,40.98,39.15,40.77,"262,500",40.77
"Apr 21, 2016",37.69,41.04,37.69,39.66,"317,500",39.66
"Apr 20, 2016",35.77,40.50,35.72,37.73,"650,800",37.73
"Apr 19, 2016",36.89,36.89,34.68,35.41,"245,800",35.41
"Apr 18, 2016",35.55,37.35,35.26,36.63,"175,600",36.63
"Apr 15, 2016",34.98,35.93,34.32,35.73,"125,000",35.73
"Apr 14, 2016",35.08,35.92,34.75,35.03,"145,300",35.03
"Apr 13, 2016",33.39,35.50,33.12,35.10,"222,300",35.10
"Apr 12, 2016",32.84,33.28,31.51,33.12,"324,000",33.12
"Apr 11, 2016",34.13,34.50,32.24,32.38,"177,500",32.38
"Apr 8, 2016",35.21,35.29,32.88,33.67,"205,700",33.67
"Apr 7, 2016",35.33,35.87,33.58,34.40,"250,700",34.40
"Apr 6, 2016",32.29,35.79,32.04,35.78,"372,300",35.78
"Apr 5, 2016",31.32,32.90,31.00,32.17,"235,400",32.17
"Apr 4, 2016",31.46,32.86,31.02,31.83,"414,700",31.83
"Apr 1, 2016",29.44,31.84,28.65,31.40,"415,200",31.40
"Mar 31, 2016",29.45,31.02,28.38,29.51,"545,900",29.51
"Mar 30, 2016",34.28,34.62,31.01,31.63,"431,100",31.63
"Mar 29, 2016",31.65,33.96,29.52,33.90,"332,600",33.90
"Mar 28, 2016",32.70,33.00,31.61,31.97,"177,700",31.97
"Mar 24, 2016",32.31,33.46,31.00,32.43,"173,500",32.43
"Mar 23, 2016",36.49,36.59,32.78,32.88,"336,800",32.88
"Mar 22, 2016",35.45,37.31,34.93,36.95,"336,600",36.95
"Mar 21, 2016",34.85,36.84,34.22,34.94,"296,600",34.94
"Mar 18, 2016",33.31,35.12,32.56,34.99,"532,400",34.99
"Mar 17, 2016",32.30,33.77,31.27,33.39,"229,400",33.39
"Mar 16, 2016",32.23,33.40,31.39,32.45,"259,800",32.45
"Mar 15, 2016",33.47,33.77,32.01,32.51,"416,000",32.51
"Mar 14, 2016",33.79,35.35,33.44,34.20,"317,200",34.20
"Mar 11, 2016",32.27,33.91,32.00,33.82,"241,600",33.82
"Mar 10, 2016",32.23,34.00,30.75,31.88,"255,100",31.88
"Mar 9, 2016",32.99,33.85,31.11,31.92,"401,300",31.92
"Mar 8, 2016",35.33,35.50,31.90,32.03,"519,000",32.03
"Mar 7, 2016",34.40,37.59,33.74,35.69,"431,600",35.69
"Mar 4, 2016",34.39,37.82,33.67,34.53,"407,200",34.53
"Mar 3, 2016",38.01,38.31,33.87,34.18,"366,300",34.18
"Mar 2, 2016",33.78,38.59,33.31,38.06,"685,200",38.06
"Mar 1, 2016",32.31,33.92,31.36,33.87,"229,200",33.87
"Feb 29, 2016",32.34,33.38,31.56,31.86,"218,700",31.86
"Feb 26, 2016",32.32,33.42,31.15,32.26,"206,300",32.26
"Feb 25, 2016",33.09,33.09,31.25,32.00,"223,500",32.00
"Feb 24, 2016",31.69,33.37,29.59,32.79,"320,300",32.79
"Feb 23, 2016",33.81,34.25,32.07,32.20,"282,000",32.20
"Feb 22, 2016",34.74,35.00,33.56,33.92,"215,300",33.92
"Feb 19, 2016",32.18,34.26,31.14,34.02,"230,300",34.02
"Feb 18, 2016",33.02,34.01,31.73,32.24,"316,900",32.24
"Feb 17, 2016",29.79,33.60,29.45,32.69,"557,100",32.69
"Feb 16, 2016",24.71,30.00,24.71,29.17,"464,200",29.17
"Feb 12, 2016",25.02,25.22,24.10,24.44,"308,500",24.44
"Feb 11, 2016",24.00,25.00,23.43,24.71,"252,800",24.71
"Feb 10, 2016",22.61,25.66,21.89,24.10,"255,800",24.10
"Feb 9, 2016",22.10,23.41,21.20,22.46,"330,000",22.46
"Feb 8, 2016",24.76,24.91,22.49,22.64,"281,100",22.64
"Feb 5, 2016",28.16,29.47,25.14,25.14,"286,500",25.14
"Feb 4, 2016",28.48,29.23,27.27,28.51,"427,300",28.51
"Feb 3, 2016",27.81,29.31,24.60,28.90,"353,600",28.90
