Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",56.11,56.69,53.77,53.79,"477,200",53.79
"Jun 10, 2016",55.16,56.75,54.37,56.33,"447,900",56.33
"Jun 9, 2016",57.46,57.72,55.99,56.16,"448,600",56.16
"Jun 8, 2016",57.73,58.00,56.55,57.52,"306,500",57.52
"Jun 7, 2016",58.48,58.54,55.73,57.15,"388,300",57.15
"Jun 6, 2016",57.30,58.54,56.10,58.45,"611,500",58.45
"Jun 3, 2016",57.77,58.41,55.63,56.82,"486,700",56.82
"Jun 2, 2016",56.37,58.86,56.11,58.29,"1,207,700",58.29
"Jun 1, 2016",53.29,53.96,52.11,53.35,"523,900",53.35
"May 31, 2016",51.66,54.36,51.37,53.70,"652,800",53.70
"May 27, 2016",51.16,51.90,50.30,51.14,"252,900",51.14
"May 26, 2016",50.92,51.48,49.89,50.89,"342,500",50.89
"May 25, 2016",51.51,52.05,49.89,50.75,"559,300",50.75
"May 24, 2016",50.99,52.75,50.30,51.62,"687,100",51.62
"May 23, 2016",48.43,50.49,48.00,50.08,"392,800",50.08
"May 20, 2016",47.78,48.72,47.07,48.32,"326,800",48.32
"May 19, 2016",47.35,48.52,46.74,47.51,"336,200",47.51
"May 18, 2016",46.79,48.50,45.74,47.58,"260,600",47.58
"May 17, 2016",46.06,47.80,45.73,47.02,"411,900",47.02
"May 16, 2016",44.29,46.76,43.37,46.48,"396,800",46.48
"May 13, 2016",43.99,45.22,43.24,43.95,"267,900",43.95
"May 12, 2016",44.94,44.94,43.20,44.29,"315,400",44.29
"May 11, 2016",46.25,47.13,44.44,44.59,"289,500",44.59
"May 10, 2016",46.02,47.47,45.05,46.40,"443,800",46.40
"May 9, 2016",43.26,46.40,42.42,46.04,"410,900",46.04
"May 6, 2016",42.89,43.47,41.92,42.64,"383,100",42.64
"May 5, 2016",42.73,44.45,41.00,43.47,"464,500",43.47
"May 4, 2016",45.58,46.44,41.74,41.84,"609,400",41.84
"May 3, 2016",46.67,47.92,44.23,44.44,"456,000",44.44
"May 2, 2016",47.23,47.41,45.48,47.32,"456,500",47.32
"Apr 29, 2016",47.82,48.73,46.06,46.74,"368,000",46.74
"Apr 28, 2016",48.03,49.71,47.22,47.88,"376,100",47.88
"Apr 27, 2016",48.41,49.36,46.88,48.32,"363,100",48.32
"Apr 26, 2016",50.45,50.45,48.04,48.15,"417,300",48.15
"Apr 25, 2016",49.69,51.47,49.33,50.93,"448,500",50.93
"Apr 22, 2016",48.96,50.44,47.04,50.01,"451,100",50.01
"Apr 21, 2016",44.45,49.17,44.15,49.01,"432,800",49.01
"Apr 20, 2016",45.66,46.49,43.76,44.42,"658,000",44.42
"Apr 19, 2016",47.87,48.67,45.35,45.43,"422,000",45.43
"Apr 18, 2016",46.75,48.60,45.92,48.05,"390,400",48.05
"Apr 15, 2016",47.15,47.60,46.33,46.90,"257,500",46.90
"Apr 14, 2016",47.35,47.60,45.82,47.18,"257,600",47.18
"Apr 13, 2016",46.69,47.67,45.56,47.33,"267,900",47.33
"Apr 12, 2016",46.25,47.77,45.31,45.98,"554,100",45.98
"Apr 11, 2016",49.33,49.90,46.03,46.06,"454,600",46.06
"Apr 8, 2016",49.49,49.88,48.31,49.05,"588,200",49.05
"Apr 7, 2016",48.08,50.40,46.60,48.28,"806,900",48.28
"Apr 6, 2016",44.88,48.62,44.88,48.62,"622,000",48.62
"Apr 5, 2016",44.36,45.42,43.90,44.72,"358,200",44.72
"Apr 4, 2016",45.17,45.80,44.27,44.63,"412,800",44.63
"Apr 1, 2016",42.06,45.50,41.21,44.90,"678,600",44.90
"Mar 31, 2016",41.00,43.04,40.62,42.27,"483,200",42.27
"Mar 30, 2016",44.05,45.60,40.92,41.00,"684,900",41.00
"Mar 29, 2016",40.76,43.75,40.30,43.65,"565,300",43.65
"Mar 28, 2016",41.43,41.80,40.17,41.01,"487,500",41.01
"Mar 24, 2016",39.75,42.35,39.51,41.09,"449,800",41.09
"Mar 23, 2016",43.00,43.90,40.28,40.40,"492,900",40.40
"Mar 22, 2016",41.24,43.41,41.24,42.75,"463,100",42.75
"Mar 21, 2016",40.78,43.11,40.51,41.39,"568,400",41.39
"Mar 18, 2016",40.40,41.57,38.70,40.83,"1,167,100",40.83
"Mar 17, 2016",42.20,42.39,40.00,40.45,"489,400",40.45
"Mar 16, 2016",41.20,43.11,40.92,42.20,"472,100",42.20
"Mar 15, 2016",44.51,44.55,40.24,41.19,"605,700",41.19
"Mar 14, 2016",43.50,45.92,40.94,45.21,"547,800",45.21
"Mar 11, 2016",41.13,43.54,40.84,43.17,"422,400",43.17
"Mar 10, 2016",42.12,42.60,40.08,40.66,"623,000",40.66
"Mar 9, 2016",44.19,44.76,39.75,41.77,"916,300",41.77
"Mar 8, 2016",47.39,47.39,43.88,44.06,"578,800",44.06
"Mar 7, 2016",44.97,47.85,44.97,47.41,"917,300",47.41
"Mar 4, 2016",46.06,46.97,44.54,45.21,"1,090,300",45.21
"Mar 3, 2016",49.21,49.70,44.70,45.32,"745,600",45.32
"Mar 2, 2016",46.64,49.47,45.72,49.24,"1,437,000",49.24
"Mar 1, 2016",46.01,46.81,44.10,46.75,"447,600",46.75
"Feb 29, 2016",46.59,47.00,44.61,45.04,"646,100",45.04
"Feb 26, 2016",46.36,47.71,44.24,46.71,"440,200",46.71
"Feb 25, 2016",47.48,49.39,45.43,46.36,"528,300",46.36
"Feb 24, 2016",45.56,47.46,43.72,47.09,"644,800",47.09
"Feb 23, 2016",48.19,49.16,45.06,45.37,"548,800",45.37
"Feb 22, 2016",47.87,49.97,47.36,48.76,"446,100",48.76
"Feb 19, 2016",45.17,48.92,44.51,47.47,"458,300",47.47
"Feb 18, 2016",50.06,50.35,44.75,45.74,"453,300",45.74
"Feb 17, 2016",48.19,50.42,47.35,49.97,"467,700",49.97
"Feb 16, 2016",48.14,50.13,47.18,47.88,"452,500",47.88
"Feb 12, 2016",46.87,47.68,45.00,47.47,"490,800",47.47
"Feb 11, 2016",45.50,47.51,42.63,45.97,"611,300",45.97
"Feb 10, 2016",46.94,50.66,46.42,47.03,"564,200",47.03
"Feb 9, 2016",46.00,47.99,44.81,46.34,"560,300",46.34
"Feb 8, 2016",48.44,50.84,46.29,47.23,"582,700",47.23
"Feb 5, 2016",53.45,54.95,50.18,50.87,"410,400",50.87
"Feb 4, 2016",50.64,55.00,50.00,53.73,"486,000",53.73
"Feb 3, 2016",53.40,54.80,48.67,50.99,"739,000",50.99
"Feb 2, 2016",56.56,57.10,52.47,53.04,"424,900",53.04
"Feb 1, 2016",53.82,58.13,52.43,57.56,"576,100",57.56
"Jan 29, 2016",53.30,54.97,52.51,54.19,"846,500",54.19
"Jan 28, 2016",56.03,56.38,52.51,53.39,"1,054,200",53.39
"Jan 27, 2016",55.79,57.74,54.68,55.66,"772,400",55.66
"Jan 26, 2016",57.53,58.52,55.30,56.17,"613,700",56.17
"Jan 25, 2016",59.81,60.32,56.95,57.00,"842,100",57.00
"Jan 22, 2016",58.13,60.01,56.66,59.82,"511,900",59.82
"Jan 21, 2016",60.52,61.56,54.22,57.01,"852,800",57.01
"Jan 20, 2016",59.00,61.91,57.00,60.42,"909,400",60.42
"Jan 19, 2016",64.82,65.30,58.00,60.19,"816,000",60.19
"Jan 15, 2016",61.67,64.74,61.20,63.86,"626,900",63.86
"Jan 14, 2016",66.42,66.97,62.18,64.34,"788,500",64.34
"Jan 13, 2016",68.25,69.82,64.01,65.14,"1,049,800",65.14
"Jan 12, 2016",64.96,69.99,64.96,68.76,"597,600",68.76
"Jan 11, 2016",66.32,69.94,61.10,63.99,"705,300",63.99
"Jan 8, 2016",67.63,69.61,65.15,65.34,"530,600",65.34
"Jan 7, 2016",69.26,69.58,66.01,67.69,"769,200",67.69
"Jan 6, 2016",72.85,73.66,68.82,70.10,"635,300",70.10
"Jan 5, 2016",73.22,75.63,72.05,74.07,"391,500",74.07
"Jan 4, 2016",76.37,77.00,70.52,73.22,"639,200",73.22
"Dec 31, 2015",77.64,79.67,76.96,78.53,"252,900",78.53
"Dec 30, 2015",78.30,80.00,77.96,78.10,"291,700",78.10
"Dec 29, 2015",78.23,79.80,76.46,78.64,"360,300",78.64
"Dec 28, 2015",77.24,78.32,76.25,77.86,"516,900",77.86
"Dec 24, 2015",78.94,79.74,76.00,77.69,"244,200",77.69
"Dec 23, 2015",77.25,79.97,77.25,78.52,"649,700",78.52
"Dec 22, 2015",78.21,78.42,73.33,76.90,"1,083,600",76.90
"Dec 21, 2015",78.28,79.63,76.62,77.72,"527,800",77.72
"Dec 18, 2015",72.18,77.55,71.56,76.74,"1,394,300",76.74
"Dec 17, 2015",74.83,74.83,71.04,72.85,"699,100",72.85
"Dec 16, 2015",70.59,74.86,70.18,74.74,"833,400",74.74
"Dec 15, 2015",67.07,70.98,66.65,70.32,"641,400",70.32
"Dec 14, 2015",69.00,69.95,65.34,66.56,"399,400",66.56
"Dec 11, 2015",64.45,66.60,63.14,66.13,"362,000",66.13
"Dec 10, 2015",64.00,68.02,63.16,65.89,"558,000",65.89
