Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",0.48,0.50,0.45,0.47,"1,717,200",0.47
"Jun 10, 2016",0.50,0.51,0.47,0.47,"2,132,700",0.47
"Jun 9, 2016",0.58,0.59,0.49,0.51,"8,148,700",0.51
"Jun 8, 2016",0.45,0.65,0.45,0.64,"13,537,000",0.64
"Jun 7, 2016",0.44,0.45,0.42,0.42,"555,700",0.42
"Jun 6, 2016",0.42,0.45,0.41,0.44,"1,987,000",0.44
"Jun 3, 2016",0.42,0.43,0.41,0.42,"779,700",0.42
"Jun 2, 2016",0.41,0.43,0.40,0.42,"1,239,200",0.42
"Jun 1, 2016",0.41,0.42,0.40,0.40,"1,059,400",0.40
"May 31, 2016",0.43,0.45,0.40,0.40,"3,090,600",0.40
"May 27, 2016",0.43,0.43,0.39,0.42,"1,357,200",0.42
"May 26, 2016",0.43,0.43,0.41,0.41,"663,100",0.41
"May 25, 2016",0.42,0.44,0.40,0.43,"1,745,700",0.43
"May 24, 2016",0.43,0.43,0.40,0.43,"1,592,200",0.43
"May 23, 2016",0.40,0.43,0.40,0.41,"1,792,300",0.41
"May 20, 2016",0.37,0.41,0.37,0.40,"1,792,400",0.40
"May 19, 2016",0.38,0.39,0.35,0.37,"874,900",0.37
"May 18, 2016",0.39,0.40,0.37,0.39,"1,047,500",0.39
"May 17, 2016",0.39,0.39,0.37,0.38,"1,531,200",0.38
"May 16, 2016",0.38,0.40,0.37,0.38,"787,000",0.38
"May 13, 2016",0.38,0.40,0.37,0.38,"943,800",0.38
"May 12, 2016",0.40,0.40,0.37,0.38,"1,011,100",0.38
"May 11, 2016",0.40,0.41,0.38,0.39,"1,586,900",0.39
"May 10, 2016",0.38,0.42,0.36,0.40,"7,569,300",0.40
"May 9, 2016",0.38,0.40,0.37,0.37,"1,549,000",0.37
"May 6, 2016",0.42,0.42,0.38,0.38,"2,868,800",0.38
"May 5, 2016",0.44,0.45,0.41,0.41,"3,207,000",0.41
"May 4, 2016",0.47,0.47,0.42,0.44,"2,747,600",0.44
"May 3, 2016",0.48,0.52,0.46,0.46,"3,414,400",0.46
"May 2, 2016",0.48,0.49,0.45,0.47,"3,562,900",0.47
"Apr 29, 2016",0.48,0.48,0.45,0.45,"1,572,600",0.45
"Apr 28, 2016",0.46,0.49,0.45,0.47,"2,188,000",0.47
"Apr 27, 2016",0.48,0.48,0.44,0.46,"2,104,100",0.46
"Apr 26, 2016",0.49,0.49,0.45,0.47,"2,506,900",0.47
"Apr 25, 2016",0.43,0.50,0.43,0.47,"4,638,800",0.47
"Apr 22, 2016",0.44,0.45,0.43,0.44,"864,800",0.44
"Apr 21, 2016",0.45,0.46,0.39,0.43,"3,634,900",0.43
"Apr 20, 2016",0.45,0.48,0.45,0.45,"2,495,800",0.45
"Apr 19, 2016",0.50,0.50,0.45,0.45,"2,249,800",0.45
"Apr 18, 2016",0.47,0.51,0.46,0.48,"2,013,400",0.48
"Apr 15, 2016",0.49,0.49,0.46,0.47,"2,026,700",0.47
"Apr 14, 2016",0.46,0.51,0.46,0.49,"2,828,200",0.49
"Apr 13, 2016",0.49,0.49,0.45,0.46,"3,057,800",0.46
"Apr 12, 2016",0.51,0.51,0.46,0.46,"4,771,100",0.46
"Apr 11, 2016",0.56,0.56,0.50,0.51,"2,551,400",0.51
"Apr 8, 2016",0.55,0.57,0.54,0.55,"1,037,500",0.55
"Apr 7, 2016",0.56,0.57,0.54,0.54,"1,817,100",0.54
"Apr 6, 2016",0.55,0.57,0.54,0.56,"3,309,800",0.56
"Apr 5, 2016",0.58,0.58,0.56,0.56,"1,176,100",0.56
"Apr 4, 2016",0.56,0.58,0.55,0.58,"1,860,100",0.58
"Apr 1, 2016",0.56,0.58,0.55,0.56,"1,228,900",0.56
"Mar 31, 2016",0.57,0.59,0.56,0.56,"1,329,100",0.56
"Mar 30, 2016",0.59,0.62,0.54,0.56,"1,941,100",0.56
"Mar 29, 2016",0.60,0.61,0.55,0.59,"4,180,000",0.59
"Mar 28, 2016",0.57,0.58,0.52,0.52,"1,762,200",0.52
"Mar 24, 2016",0.54,0.57,0.53,0.55,"1,152,700",0.55
"Mar 23, 2016",0.58,0.59,0.54,0.54,"2,181,300",0.54
"Mar 22, 2016",0.58,0.60,0.56,0.58,"1,624,300",0.58
"Mar 21, 2016",0.58,0.61,0.57,0.58,"2,082,300",0.58
"Mar 18, 2016",0.57,0.59,0.54,0.57,"2,565,800",0.57
"Mar 17, 2016",0.55,0.59,0.54,0.55,"4,038,500",0.55
"Mar 16, 2016",0.62,0.63,0.50,0.53,"6,931,800",0.53
"Mar 15, 2016",0.82,0.83,0.62,0.64,"9,301,400",0.64
"Mar 14, 2016",0.63,0.71,0.61,0.70,"2,294,300",0.70
"Mar 11, 2016",0.62,0.66,0.61,0.63,"1,992,000",0.63
"Mar 10, 2016",0.70,0.71,0.63,0.64,"2,410,200",0.64
"Mar 9, 2016",0.72,0.74,0.67,0.69,"1,993,100",0.69
"Mar 8, 2016",0.80,0.80,0.72,0.72,"1,627,000",0.72
"Mar 7, 2016",0.70,0.79,0.68,0.79,"2,447,700",0.79
"Mar 4, 2016",0.70,0.72,0.68,0.70,"2,088,000",0.70
"Mar 3, 2016",0.71,0.71,0.67,0.70,"2,508,900",0.70
"Mar 2, 2016",0.75,0.75,0.68,0.71,"2,432,200",0.71
"Mar 1, 2016",0.80,0.85,0.68,0.71,"3,130,800",0.71
"Feb 29, 2016",1.00,1.00,0.66,0.71,"4,730,400",0.71
"Feb 26, 2016",1.34,1.35,0.95,0.97,"8,354,500",0.97
"Feb 25, 2016",1.51,1.53,1.40,1.41,"1,417,100",1.41
"Feb 24, 2016",1.53,1.56,1.48,1.53,"854,500",1.53
"Feb 23, 2016",1.70,1.73,1.56,1.57,"1,230,600",1.57
"Feb 22, 2016",1.71,1.80,1.66,1.75,"748,700",1.75
"Feb 19, 2016",1.74,1.74,1.65,1.68,"623,300",1.68
"Feb 18, 2016",1.80,1.84,1.71,1.72,"666,300",1.72
"Feb 17, 2016",1.71,1.80,1.70,1.80,"1,188,700",1.80
"Feb 16, 2016",1.69,1.72,1.62,1.71,"1,258,900",1.71
"Feb 12, 2016",1.67,1.67,1.57,1.64,"860,800",1.64
"Feb 11, 2016",1.61,1.67,1.53,1.65,"938,100",1.65
"Feb 10, 2016",1.62,1.76,1.58,1.65,"890,500",1.65
"Feb 9, 2016",1.73,1.73,1.57,1.61,"1,436,600",1.61
"Feb 8, 2016",1.81,1.83,1.68,1.74,"1,418,300",1.74
"Feb 5, 2016",1.88,1.92,1.82,1.84,"1,132,600",1.84
"Feb 4, 2016",1.80,1.93,1.80,1.89,"1,249,100",1.89
"Feb 3, 2016",1.79,1.83,1.75,1.79,"1,022,100",1.79
"Feb 2, 2016",1.84,1.87,1.77,1.78,"1,003,900",1.78
"Feb 1, 2016",1.80,1.91,1.71,1.87,"1,834,000",1.87
"Jan 29, 2016",1.80,1.90,1.79,1.83,"1,608,600",1.83
"Jan 28, 2016",1.78,1.87,1.75,1.80,"1,573,300",1.80
"Jan 27, 2016",1.81,1.88,1.76,1.77,"986,000",1.77
"Jan 26, 2016",1.81,1.89,1.75,1.83,"1,141,700",1.83
"Jan 25, 2016",1.90,1.98,1.79,1.81,"991,100",1.81
"Jan 22, 2016",1.90,1.98,1.83,1.92,"1,507,000",1.92
"Jan 21, 2016",1.76,1.98,1.76,1.88,"1,157,100",1.88
"Jan 20, 2016",1.69,1.83,1.57,1.79,"1,438,200",1.79
"Jan 19, 2016",1.84,1.84,1.64,1.75,"1,860,500",1.75
"Jan 15, 2016",1.72,1.82,1.67,1.79,"1,645,500",1.79
"Jan 14, 2016",1.51,1.79,1.45,1.78,"2,961,800",1.78
