Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",4.85,5.08,4.81,4.89,"166,600",4.89
"Jun 10, 2016",5.00,5.04,4.92,4.93,"124,400",4.93
"Jun 9, 2016",5.01,5.08,5.00,5.00,"116,300",5.00
"Jun 8, 2016",5.00,5.09,5.00,5.05,"103,600",5.05
"Jun 7, 2016",5.05,5.35,5.00,5.01,"83,200",5.01
"Jun 6, 2016",5.10,5.18,5.01,5.05,"117,500",5.05
"Jun 3, 2016",5.19,5.33,5.02,5.06,"86,100",5.06
"Jun 2, 2016",5.12,5.31,5.01,5.18,"85,400",5.18
"Jun 1, 2016",5.02,5.16,4.90,5.13,"160,700",5.13
"May 31, 2016",4.75,5.22,4.75,5.01,"442,100",5.01
"May 27, 2016",5.63,5.75,5.49,5.67,"67,800",5.67
"May 26, 2016",5.58,5.70,5.48,5.59,"92,800",5.59
"May 25, 2016",5.50,5.72,5.46,5.59,"129,800",5.59
"May 24, 2016",5.16,5.49,5.16,5.45,"108,300",5.45
"May 23, 2016",5.07,5.28,5.05,5.18,"126,000",5.18
"May 20, 2016",4.91,5.25,4.87,5.07,"127,300",5.07
"May 19, 2016",5.07,5.31,4.80,4.89,"213,300",4.89
"May 18, 2016",5.02,5.19,5.00,5.10,"92,400",5.10
"May 17, 2016",5.05,5.23,4.99,5.05,"171,200",5.05
"May 16, 2016",4.93,5.23,4.90,5.06,"132,900",5.06
"May 13, 2016",4.82,5.07,4.75,4.91,"135,700",4.91
"May 12, 2016",4.97,5.03,4.68,4.84,"177,700",4.84
"May 11, 2016",5.24,5.47,4.88,4.95,"91,400",4.95
"May 10, 2016",5.27,5.37,4.97,5.18,"104,800",5.18
"May 9, 2016",4.95,5.33,4.91,5.21,"94,700",5.21
"May 6, 2016",4.71,5.17,4.71,4.97,"134,400",4.97
"May 5, 2016",5.05,5.06,4.65,4.75,"205,000",4.75
"May 4, 2016",5.31,5.45,5.00,5.01,"184,000",5.01
"May 3, 2016",5.68,5.93,5.29,5.33,"142,800",5.33
"May 2, 2016",5.67,6.14,5.47,5.75,"194,800",5.75
"Apr 29, 2016",5.84,6.00,5.56,5.61,"68,800",5.61
"Apr 28, 2016",5.93,6.04,5.72,5.87,"146,400",5.87
"Apr 27, 2016",6.06,6.06,5.68,5.93,"168,500",5.93
"Apr 26, 2016",6.13,6.18,5.95,6.09,"74,700",6.09
"Apr 25, 2016",6.17,6.23,6.03,6.14,"118,500",6.14
"Apr 22, 2016",6.10,6.24,6.05,6.16,"82,500",6.16
"Apr 21, 2016",6.05,6.24,6.02,6.09,"149,600",6.09
"Apr 20, 2016",6.16,6.29,6.01,6.07,"89,300",6.07
"Apr 19, 2016",6.42,6.43,6.01,6.11,"94,700",6.11
"Apr 18, 2016",6.33,6.42,6.18,6.37,"116,400",6.37
"Apr 15, 2016",6.50,6.77,6.28,6.40,"263,500",6.40
"Apr 14, 2016",6.95,6.95,6.50,6.57,"149,200",6.57
"Apr 13, 2016",6.08,6.79,6.04,6.56,"293,400",6.56
"Apr 12, 2016",5.78,6.08,5.74,6.01,"157,200",6.01
"Apr 11, 2016",5.69,5.82,5.60,5.75,"157,900",5.75
