Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",14.79,15.22,14.68,14.96,"299,300",14.96
"Jun 10, 2016",14.85,15.25,14.51,14.96,"206,500",14.96
"Jun 9, 2016",15.57,15.95,15.04,15.07,"118,100",15.07
"Jun 8, 2016",15.65,15.76,15.25,15.65,"126,000",15.65
"Jun 7, 2016",16.62,16.87,15.53,15.60,"177,200",15.60
"Jun 6, 2016",16.15,16.99,15.69,16.71,"209,500",16.71
"Jun 3, 2016",16.26,16.46,15.59,16.08,"283,100",16.08
"Jun 2, 2016",15.54,16.41,15.47,16.38,"262,200",16.38
"Jun 1, 2016",14.58,15.58,14.30,15.45,"288,100",15.45
"May 31, 2016",14.43,14.97,14.40,14.69,"183,600",14.69
"May 27, 2016",14.22,14.49,14.02,14.33,"107,800",14.33
"May 26, 2016",14.46,14.66,14.05,14.21,"160,100",14.21
"May 25, 2016",13.80,14.56,13.56,14.46,"235,300",14.46
"May 24, 2016",13.63,14.57,13.40,13.68,"138,200",13.68
"May 23, 2016",13.68,14.30,13.44,13.51,"205,800",13.51
"May 20, 2016",12.22,13.93,11.87,13.76,"458,100",13.76
"May 19, 2016",11.76,12.10,11.46,11.69,"93,100",11.69
"May 18, 2016",11.23,12.11,11.23,11.86,"179,200",11.86
"May 17, 2016",11.91,12.13,11.31,11.35,"177,700",11.35
"May 16, 2016",11.72,12.10,11.51,11.99,"222,700",11.99
"May 13, 2016",10.81,12.01,10.81,11.69,"197,400",11.69
"May 12, 2016",11.31,11.54,10.50,10.79,"235,400",10.79
"May 11, 2016",11.99,12.10,11.20,11.29,"164,000",11.29
"May 10, 2016",12.12,12.42,10.60,11.99,"548,300",11.99
"May 9, 2016",12.12,12.53,12.12,12.26,"180,600",12.26
"May 6, 2016",12.55,12.90,12.00,12.14,"239,200",12.14
"May 5, 2016",13.08,13.08,12.52,12.68,"170,700",12.68
"May 4, 2016",13.67,13.75,12.85,13.02,"372,800",13.02
"May 3, 2016",13.96,14.72,13.60,13.84,"306,100",13.84
"May 2, 2016",14.40,14.42,13.78,13.96,"210,500",13.96
"Apr 29, 2016",14.53,15.46,14.02,14.26,"134,700",14.26
"Apr 28, 2016",15.42,15.68,14.55,14.62,"192,700",14.62
"Apr 27, 2016",16.03,16.34,15.44,15.55,"76,300",15.55
"Apr 26, 2016",16.04,16.64,15.28,16.13,"156,000",16.13
"Apr 25, 2016",16.88,17.13,15.97,16.02,"283,500",16.02
"Apr 22, 2016",17.02,17.28,16.58,16.98,"80,500",16.98
"Apr 21, 2016",16.74,17.28,16.69,17.01,"154,700",17.01
"Apr 20, 2016",16.81,16.90,16.15,16.75,"129,600",16.75
"Apr 19, 2016",17.56,17.56,16.29,16.74,"80,400",16.74
"Apr 18, 2016",17.06,17.61,16.85,17.50,"103,600",17.50
"Apr 15, 2016",16.94,17.41,16.72,17.32,"134,700",17.32
"Apr 14, 2016",16.88,17.17,16.61,17.01,"91,000",17.01
"Apr 13, 2016",16.35,17.08,16.05,16.88,"114,400",16.88
"Apr 12, 2016",15.79,16.45,15.79,16.23,"121,400",16.23
"Apr 11, 2016",16.16,16.55,15.72,15.90,"153,300",15.90
"Apr 8, 2016",16.87,16.87,15.70,16.13,"180,300",16.13
"Apr 7, 2016",17.26,17.53,16.24,16.67,"166,300",16.67
"Apr 6, 2016",16.07,17.53,16.07,17.46,"379,900",17.46
"Apr 5, 2016",16.01,16.39,15.34,16.02,"219,700",16.02
"Apr 4, 2016",16.23,16.63,15.96,16.18,"192,300",16.18
"Apr 1, 2016",14.85,16.23,14.65,16.14,"220,200",16.14
"Mar 31, 2016",14.73,15.53,14.38,14.92,"450,000",14.92
"Mar 30, 2016",15.02,15.80,14.69,14.79,"253,500",14.79
"Mar 29, 2016",13.34,14.88,12.89,14.82,"450,500",14.82
"Mar 28, 2016",13.51,13.84,13.04,13.45,"136,300",13.45
