Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.69,6.00,5.55,5.63,"479,200",5.63
"Jun 10, 2016",6.11,6.15,5.56,5.72,"782,900",5.72
"Jun 9, 2016",6.63,6.64,6.00,6.12,"1,059,300",6.12
"Jun 8, 2016",6.86,6.92,6.71,6.75,"447,200",6.75
"Jun 7, 2016",7.11,7.11,6.91,6.93,"482,400",6.93
"Jun 6, 2016",7.38,7.38,6.94,7.14,"929,000",7.14
"Jun 3, 2016",7.34,7.34,6.86,6.98,"651,700",6.98
"Jun 2, 2016",7.26,7.55,7.26,7.38,"395,500",7.38
"Jun 1, 2016",7.18,7.45,7.12,7.30,"416,400",7.30
"May 31, 2016",6.90,7.66,6.90,7.39,"1,746,200",7.39
"May 27, 2016",6.92,7.06,6.70,6.90,"829,900",6.90
"May 26, 2016",7.37,7.58,6.77,6.93,"4,744,600",6.93
"May 25, 2016",9.17,10.09,9.04,9.78,"499,100",9.78
"May 24, 2016",9.26,9.47,8.91,9.14,"265,200",9.14
"May 23, 2016",8.68,9.24,8.61,9.17,"365,400",9.17
"May 20, 2016",7.81,8.77,7.80,8.67,"659,200",8.67
"May 19, 2016",7.78,8.36,7.31,7.67,"502,300",7.67
"May 18, 2016",7.44,8.30,7.42,7.80,"413,000",7.80
"May 17, 2016",7.58,7.92,7.35,7.44,"312,700",7.44
"May 16, 2016",7.25,7.89,7.11,7.67,"461,700",7.67
"May 13, 2016",6.79,7.31,6.60,6.97,"468,800",6.97
"May 12, 2016",7.49,7.68,6.36,6.64,"720,800",6.64
"May 11, 2016",7.74,7.98,7.13,7.18,"398,900",7.18
"May 10, 2016",7.37,8.00,7.21,7.90,"724,400",7.90
"May 9, 2016",6.07,7.20,6.07,7.07,"477,800",7.07
"May 6, 2016",6.47,6.55,5.90,6.12,"921,300",6.12
"May 5, 2016",6.87,6.87,6.45,6.80,"320,400",6.80
"May 4, 2016",7.50,7.70,6.69,6.84,"416,100",6.84
"May 3, 2016",7.88,8.32,7.51,7.61,"439,700",7.61
"May 2, 2016",8.51,8.54,7.96,8.28,"289,200",8.28
"Apr 29, 2016",8.78,8.86,8.15,8.38,"603,800",8.38
"Apr 28, 2016",9.29,9.36,8.82,8.89,"278,900",8.89
"Apr 27, 2016",9.90,10.50,9.09,9.38,"393,500",9.38
"Apr 26, 2016",11.36,11.36,9.76,9.99,"444,600",9.99
"Apr 25, 2016",11.25,11.56,10.95,11.26,"276,800",11.26
"Apr 22, 2016",10.90,11.66,10.89,11.17,"469,700",11.17
"Apr 21, 2016",10.41,10.99,10.30,10.96,"343,800",10.96
"Apr 20, 2016",10.03,10.55,9.98,10.39,"227,400",10.39
"Apr 19, 2016",10.50,10.65,9.73,10.01,"410,800",10.01
"Apr 18, 2016",10.26,10.67,10.01,10.47,"282,800",10.47
"Apr 15, 2016",10.28,10.46,9.97,10.28,"167,200",10.28
"Apr 14, 2016",10.60,10.88,10.26,10.35,"306,700",10.35
"Apr 13, 2016",9.83,10.46,9.58,10.40,"359,300",10.40
"Apr 12, 2016",9.90,10.07,9.38,9.71,"229,600",9.71
"Apr 11, 2016",9.66,9.99,9.40,9.91,"299,300",9.91
"Apr 8, 2016",10.28,10.42,9.27,9.60,"289,700",9.60
"Apr 7, 2016",10.68,11.00,10.00,10.08,"332,700",10.08
"Apr 6, 2016",9.45,10.66,9.41,10.59,"404,300",10.59
