Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",9.80,9.88,9.55,9.80,"1,754,500",9.80
"Jun 10, 2016",9.80,9.84,9.40,9.56,"2,190,800",9.56
"Jun 9, 2016",9.50,10.40,9.50,9.80,"3,714,600",9.80
"Jun 8, 2016",9.41,9.78,9.23,9.65,"3,604,000",9.65
"Jun 7, 2016",9.50,9.50,9.06,9.20,"1,613,500",9.20
"Jun 6, 2016",9.39,9.48,8.99,9.28,"2,811,400",9.28
"Jun 3, 2016",10.00,10.13,9.39,9.41,"2,420,900",9.41
"Jun 2, 2016",9.76,10.06,9.15,9.63,"4,035,300",9.63
"Jun 1, 2016",9.75,9.88,9.53,9.73,"2,162,200",9.73
"May 31, 2016",9.32,9.95,9.23,9.64,"3,386,400",9.64
"May 27, 2016",8.92,9.23,8.71,9.16,"1,332,500",9.16
"May 26, 2016",9.26,9.35,8.82,8.86,"1,396,400",8.86
"May 25, 2016",9.42,9.57,9.31,9.33,"986,400",9.33
"May 24, 2016",9.73,9.76,9.36,9.43,"1,101,900",9.43
"May 23, 2016",9.65,10.57,9.63,9.66,"2,880,100",9.66
"May 20, 2016",9.30,10.18,9.24,9.64,"1,947,500",9.64
"May 19, 2016",9.60,10.20,9.60,9.72,"2,397,200",9.72
"May 18, 2016",8.97,9.73,8.95,9.57,"2,109,400",9.57
"May 17, 2016",9.13,9.47,8.95,8.98,"1,624,000",8.98
"May 16, 2016",8.77,9.14,8.73,9.13,"1,082,800",9.13
"May 13, 2016",8.78,8.98,8.69,8.81,"739,000",8.81
"May 12, 2016",9.11,9.11,8.63,8.74,"966,500",8.74
"May 11, 2016",8.79,9.51,8.70,9.08,"1,379,900",9.08
"May 10, 2016",8.65,8.89,8.60,8.85,"877,700",8.85
"May 9, 2016",8.66,8.89,8.62,8.83,"1,186,200",8.83
"May 6, 2016",8.51,8.76,8.41,8.70,"1,009,800",8.70
"May 5, 2016",8.50,8.70,8.43,8.61,"1,135,000",8.61
"May 4, 2016",8.82,8.87,8.30,8.47,"1,671,300",8.47
"May 3, 2016",9.51,9.71,8.77,8.87,"1,616,600",8.87
"May 2, 2016",9.53,10.10,9.50,9.72,"1,375,500",9.72
"Apr 29, 2016",10.34,10.36,9.64,9.65,"1,448,600",9.65
"Apr 28, 2016",10.48,10.66,10.28,10.32,"1,149,000",10.32
"Apr 27, 2016",10.30,10.63,10.17,10.55,"1,649,700",10.55
"Apr 26, 2016",10.21,10.40,10.03,10.37,"1,567,800",10.37
"Apr 25, 2016",10.63,10.70,10.02,10.40,"1,770,000",10.40
"Apr 22, 2016",9.60,10.75,9.41,10.72,"5,555,000",10.72
"Apr 21, 2016",9.02,9.23,8.94,8.99,"1,421,700",8.99
"Apr 20, 2016",8.63,9.43,8.51,9.07,"2,241,600",9.07
"Apr 19, 2016",8.99,9.02,8.39,8.68,"1,880,800",8.68
"Apr 18, 2016",8.68,9.13,8.43,9.10,"1,558,400",9.10
"Apr 15, 2016",8.90,8.90,8.70,8.73,"1,732,800",8.73
"Apr 14, 2016",8.91,9.00,8.73,8.74,"636,400",8.74
"Apr 13, 2016",8.84,9.06,8.70,8.86,"905,600",8.86
"Apr 12, 2016",8.94,8.95,8.57,8.75,"707,700",8.75
"Apr 11, 2016",8.89,9.14,8.74,8.89,"1,146,700",8.89
"Apr 8, 2016",9.34,9.45,8.73,8.85,"1,349,200",8.85
"Apr 7, 2016",9.82,9.96,9.13,9.20,"2,202,900",9.20
"Apr 6, 2016",9.30,10.05,9.24,10.00,"1,242,500",10.00
"Apr 5, 2016",9.16,9.39,9.06,9.31,"914,300",9.31
"Apr 4, 2016",9.40,9.49,9.20,9.25,"1,291,900",9.25
"Apr 1, 2016",8.41,9.40,8.40,9.35,"1,912,300",9.35
"Mar 31, 2016",8.78,9.10,8.33,8.50,"2,067,500",8.50
"Mar 30, 2016",8.72,9.40,8.66,8.72,"1,536,700",8.72
"Mar 29, 2016",7.97,8.66,7.91,8.65,"1,036,300",8.65
"Mar 28, 2016",8.19,8.33,7.95,7.97,"673,700",7.97
"Mar 24, 2016",7.70,8.30,7.55,8.21,"1,060,700",8.21
"Mar 23, 2016",8.09,8.09,7.70,7.74,"1,033,800",7.74
"Mar 22, 2016",8.48,8.59,7.98,8.06,"1,775,000",8.06
"Mar 21, 2016",8.41,8.73,8.27,8.53,"1,032,900",8.53
"Mar 18, 2016",8.31,8.66,8.15,8.35,"1,492,600",8.35
"Mar 17, 2016",8.20,8.37,7.94,8.24,"1,052,900",8.24
"Mar 16, 2016",7.84,8.25,7.84,8.22,"765,500",8.22
"Mar 15, 2016",8.14,8.18,7.79,7.87,"1,028,600",7.87
"Mar 14, 2016",7.85,8.27,7.84,8.15,"802,600",8.15
"Mar 11, 2016",7.94,7.94,7.50,7.83,"1,171,800",7.83
"Mar 10, 2016",8.42,8.61,7.77,7.87,"1,083,600",7.87
"Mar 9, 2016",8.53,8.66,8.17,8.43,"1,150,700",8.43
"Mar 8, 2016",8.65,9.10,8.51,8.54,"1,925,700",8.54
"Mar 7, 2016",8.64,8.97,8.44,8.72,"1,382,100",8.72
"Mar 4, 2016",8.91,8.92,8.54,8.71,"1,632,700",8.71
"Mar 3, 2016",8.75,8.90,8.59,8.72,"836,200",8.72
"Mar 2, 2016",8.48,8.85,8.22,8.81,"1,235,700",8.81
"Mar 1, 2016",8.35,8.54,8.15,8.47,"893,800",8.47
"Feb 29, 2016",8.68,8.78,8.25,8.29,"1,165,200",8.29
"Feb 26, 2016",8.66,8.81,8.31,8.69,"1,059,600",8.69
"Feb 25, 2016",8.67,8.81,8.40,8.60,"661,000",8.60
"Feb 24, 2016",8.84,8.84,8.40,8.69,"1,053,500",8.69
"Feb 23, 2016",8.79,9.17,8.64,8.69,"862,000",8.69
"Feb 22, 2016",8.06,9.08,8.06,8.82,"1,975,900",8.82
"Feb 19, 2016",8.26,8.34,8.00,8.06,"1,358,200",8.06
"Feb 18, 2016",9.13,9.14,8.25,8.27,"1,509,500",8.27
"Feb 17, 2016",9.04,9.26,8.83,9.14,"1,504,400",9.14
"Feb 16, 2016",8.89,9.03,8.52,8.90,"1,391,400",8.90
"Feb 12, 2016",9.04,9.10,8.47,8.81,"1,418,800",8.81
"Feb 11, 2016",8.67,9.10,8.42,8.94,"1,268,600",8.94
"Feb 10, 2016",9.46,9.97,8.78,8.78,"1,880,200",8.78
"Feb 9, 2016",8.76,9.73,8.59,9.45,"1,670,600",9.45
"Feb 8, 2016",9.06,9.06,8.20,9.01,"2,432,600",9.01
"Feb 5, 2016",9.71,9.87,9.13,9.21,"2,286,900",9.21
"Feb 4, 2016",10.58,11.11,9.54,9.63,"8,865,700",9.63
"Feb 3, 2016",12.28,12.97,11.26,12.37,"3,852,800",12.37
"Feb 2, 2016",10.12,13.98,9.96,12.67,"8,587,900",12.67
"Feb 1, 2016",10.49,10.56,9.90,10.19,"2,030,000",10.19
"Jan 29, 2016",10.25,10.84,10.05,10.69,"1,897,400",10.69
"Jan 28, 2016",11.17,11.35,10.10,10.26,"2,896,100",10.26
"Jan 27, 2016",11.76,11.88,10.97,11.06,"1,779,300",11.06
"Jan 26, 2016",12.43,12.55,11.57,11.88,"1,790,100",11.88
"Jan 25, 2016",12.59,12.90,12.26,12.45,"1,252,100",12.45
"Jan 22, 2016",13.00,13.45,12.26,12.76,"2,598,900",12.76
"Jan 21, 2016",12.25,13.30,11.95,12.99,"1,915,900",12.99
"Jan 20, 2016",12.36,12.54,11.23,12.29,"2,876,200",12.29
"Jan 19, 2016",12.96,13.15,12.18,12.74,"2,180,100",12.74
"Jan 15, 2016",12.31,12.94,12.00,12.85,"2,296,600",12.85
"Jan 14, 2016",12.56,13.10,12.11,12.60,"2,290,900",12.60
"Jan 13, 2016",12.11,13.24,12.08,12.65,"3,073,100",12.65
"Jan 12, 2016",11.47,12.51,11.31,12.14,"2,314,900",12.14
"Jan 11, 2016",12.76,12.97,10.00,11.42,"6,717,200",11.42
"Jan 8, 2016",12.36,12.76,12.05,12.61,"2,418,000",12.61
"Jan 7, 2016",11.91,12.50,11.62,12.26,"2,598,000",12.26
"Jan 6, 2016",12.24,12.41,11.76,12.13,"1,539,400",12.13
"Jan 5, 2016",13.32,13.35,12.40,12.44,"2,102,000",12.44
"Jan 4, 2016",12.99,13.40,12.43,13.19,"2,850,200",13.19
"Dec 31, 2015",13.50,14.00,13.05,13.13,"3,324,400",13.13
"Dec 30, 2015",13.18,13.40,12.96,13.10,"1,243,200",13.10
"Dec 29, 2015",13.24,13.56,13.09,13.35,"1,221,700",13.35
"Dec 28, 2015",13.36,13.66,12.95,13.28,"1,493,600",13.28
"Dec 24, 2015",13.63,13.65,12.77,13.24,"1,300,600",13.24
"Dec 23, 2015",12.15,13.94,12.06,13.45,"3,670,500",13.45
"Dec 22, 2015",12.05,12.55,11.93,12.10,"1,583,900",12.10
"Dec 21, 2015",12.22,12.40,11.60,11.93,"1,875,400",11.93
"Dec 18, 2015",10.76,12.32,10.76,12.20,"4,516,600",12.20
"Dec 17, 2015",10.19,10.81,10.14,10.77,"1,961,200",10.77
"Dec 16, 2015",10.12,10.31,9.98,10.12,"1,289,100",10.12
"Dec 15, 2015",10.08,10.43,9.96,10.07,"1,355,700",10.07
"Dec 14, 2015",9.70,10.03,9.70,10.00,"850,800",10.00
"Dec 11, 2015",9.82,10.00,9.64,9.68,"1,147,000",9.68
"Dec 10, 2015",9.82,10.01,9.73,9.93,"1,163,400",9.93
"Dec 9, 2015",9.64,10.11,9.58,9.79,"1,893,400",9.79
"Dec 8, 2015",9.41,9.87,9.35,9.71,"5,949,600",9.71
"Dec 7, 2015",9.83,9.97,9.36,9.57,"1,305,600",9.57
"Dec 4, 2015",9.70,10.03,9.61,9.90,"836,600",9.90
"Dec 3, 2015",9.87,10.12,9.46,9.68,"1,114,800",9.68
"Dec 2, 2015",9.97,10.39,9.74,9.80,"1,383,700",9.80
"Dec 1, 2015",10.25,10.57,9.64,9.97,"2,225,700",9.97
"Nov 30, 2015",10.48,10.61,10.05,10.23,"1,654,900",10.23
"Nov 27, 2015",10.48,10.97,10.28,10.42,"961,200",10.42
"Nov 25, 2015",10.23,10.49,10.14,10.41,"1,234,600",10.41
"Nov 24, 2015",9.91,10.50,9.87,10.13,"1,694,700",10.13
"Nov 23, 2015",10.49,10.89,10.09,10.12,"2,215,300",10.12
"Nov 20, 2015",10.00,10.77,9.84,10.18,"4,985,300",10.18
"Nov 19, 2015",8.72,10.30,8.69,10.00,"5,123,000",10.00
"Nov 18, 2015",8.04,8.71,8.00,8.69,"2,911,900",8.69
"Nov 17, 2015",7.81,8.20,7.70,8.00,"1,728,100",8.00
"Nov 16, 2015",7.95,7.98,7.52,7.77,"823,000",7.77
"Nov 13, 2015",7.65,8.09,7.50,7.92,"1,297,600",7.92
"Nov 12, 2015",7.70,7.70,7.41,7.66,"1,127,000",7.66
"Nov 11, 2015",7.73,7.91,7.61,7.76,"895,100",7.76
"Nov 10, 2015",7.71,7.94,7.51,7.73,"1,765,800",7.73
"Nov 9, 2015",7.31,7.80,7.27,7.71,"2,293,600",7.71
"Nov 6, 2015",7.15,7.37,7.04,7.35,"791,800",7.35
"Nov 5, 2015",7.26,7.42,7.11,7.21,"624,300",7.21
"Nov 4, 2015",7.25,7.33,7.08,7.28,"1,101,000",7.28
"Nov 3, 2015",7.24,7.40,7.15,7.21,"853,000",7.21
"Nov 2, 2015",7.08,7.45,7.00,7.28,"1,984,000",7.28
"Oct 30, 2015",7.21,7.26,7.02,7.10,"598,400",7.10
"Oct 29, 2015",7.28,7.47,7.13,7.18,"1,039,200",7.18
"Oct 28, 2015",7.09,7.48,7.00,7.27,"1,999,600",7.27
"Oct 27, 2015",6.97,7.25,6.76,7.01,"1,977,800",7.01
"Oct 26, 2015",7.68,7.89,6.97,6.98,"4,098,700",6.98
"Oct 23, 2015",7.75,8.25,7.43,7.82,"6,393,100",7.82
"Oct 22, 2015",7.13,7.32,6.95,7.13,"1,243,000",7.13
"Oct 21, 2015",7.58,7.59,6.99,7.13,"1,246,300",7.13
"Oct 20, 2015",7.55,7.76,7.34,7.49,"1,050,600",7.49
"Oct 19, 2015",7.59,7.78,7.37,7.60,"1,404,100",7.60
"Oct 16, 2015",8.07,8.07,7.51,7.69,"1,952,200",7.69
"Oct 15, 2015",7.69,8.20,7.60,7.98,"2,465,400",7.98
"Oct 14, 2015",7.37,7.74,7.21,7.70,"1,927,100",7.70
"Oct 13, 2015",7.55,8.17,7.16,7.42,"5,171,700",7.42
"Oct 12, 2015",8.03,8.27,7.20,7.30,"3,119,800",7.30
"Oct 9, 2015",7.47,8.49,7.30,8.07,"4,810,400",8.07
"Oct 8, 2015",7.67,7.96,6.95,7.51,"5,551,700",7.51
"Oct 7, 2015",6.40,8.09,6.40,7.80,"11,112,200",7.80
"Oct 6, 2015",5.96,6.67,5.87,6.37,"4,938,200",6.37
"Oct 5, 2015",6.00,6.48,5.96,6.18,"5,526,900",6.18
"Oct 2, 2015",5.19,6.15,5.05,6.13,"11,023,400",6.13
"Oct 1, 2015",4.70,5.91,4.26,5.45,"21,816,500",5.45
"Sep 30, 2015",3.75,3.83,3.58,3.66,"1,153,000",3.66
"Sep 29, 2015",3.98,4.09,3.67,3.68,"750,300",3.68
"Sep 28, 2015",4.01,4.05,3.89,4.00,"499,900",4.00
"Sep 25, 2015",4.32,4.32,3.95,4.00,"1,184,500",4.00
