Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",43.76,44.56,42.97,43.25,"667,600",43.25
"Jun 10, 2016",44.92,45.30,43.14,44.07,"607,400",44.07
"Jun 9, 2016",46.62,47.69,45.22,45.41,"404,400",45.41
"Jun 8, 2016",48.14,48.14,46.78,47.04,"441,200",47.04
"Jun 7, 2016",47.93,48.37,46.91,48.19,"463,300",48.19
"Jun 6, 2016",46.95,48.62,46.47,48.40,"452,000",48.40
"Jun 3, 2016",48.56,48.56,46.23,47.09,"387,500",47.09
"Jun 2, 2016",47.49,48.59,46.81,48.18,"350,000",48.18
"Jun 1, 2016",46.27,48.09,46.01,47.34,"611,800",47.34
"May 31, 2016",45.86,47.60,45.61,46.51,"881,100",46.51
"May 27, 2016",44.17,45.70,43.85,45.56,"719,900",45.56
"May 26, 2016",43.38,44.06,42.70,43.70,"757,300",43.70
"May 25, 2016",45.62,45.62,42.14,43.44,"2,189,700",43.44
"May 24, 2016",43.60,46.75,43.11,46.02,"1,918,500",46.02
"May 23, 2016",44.19,44.98,42.77,43.46,"570,000",43.46
"May 20, 2016",43.36,44.10,42.18,43.90,"746,600",43.90
"May 19, 2016",43.42,44.36,41.77,42.97,"664,100",42.97
"May 18, 2016",43.77,45.44,42.85,43.70,"981,200",43.70
"May 17, 2016",45.10,45.81,43.97,44.12,"568,800",44.12
"May 16, 2016",43.56,45.26,43.34,45.16,"1,493,200",45.16
"May 13, 2016",43.78,44.55,42.82,43.21,"908,200",43.21
"May 12, 2016",47.30,47.66,43.40,43.76,"1,214,000",43.76
"May 11, 2016",49.27,49.66,46.97,47.04,"599,200",47.04
"May 10, 2016",48.71,50.00,47.29,49.59,"745,500",49.59
"May 9, 2016",47.79,49.99,47.79,48.45,"767,700",48.45
"May 6, 2016",47.48,47.85,45.67,47.36,"996,200",47.36
"May 5, 2016",49.05,49.17,46.75,47.89,"883,900",47.89
"May 4, 2016",50.51,50.76,47.56,48.83,"1,388,400",48.83
"May 3, 2016",50.43,53.72,50.17,51.54,"1,394,200",51.54
"May 2, 2016",54.01,55.54,48.51,50.51,"2,805,700",50.51
"Apr 29, 2016",55.39,55.82,52.86,54.11,"1,273,200",54.11
"Apr 28, 2016",57.16,57.64,55.33,55.55,"937,300",55.55
"Apr 27, 2016",60.18,60.18,56.65,57.19,"601,200",57.19
"Apr 26, 2016",59.95,60.92,58.35,60.09,"356,500",60.09
"Apr 25, 2016",61.91,62.23,59.55,60.06,"578,900",60.06
"Apr 22, 2016",59.78,62.50,59.78,61.91,"752,200",61.91
"Apr 21, 2016",60.91,62.74,60.68,61.74,"819,700",61.74
"Apr 20, 2016",64.36,64.36,59.54,60.70,"1,191,500",60.70
"Apr 19, 2016",64.98,65.64,63.53,64.11,"476,200",64.11
"Apr 18, 2016",64.07,65.32,62.91,63.95,"482,700",63.95
"Apr 15, 2016",63.94,64.87,63.22,64.56,"365,100",64.56
"Apr 14, 2016",64.09,65.26,62.63,64.32,"781,500",64.32
"Apr 13, 2016",60.94,64.10,60.42,64.04,"1,304,500",64.04
"Apr 12, 2016",60.05,61.84,59.13,60.65,"781,500",60.65
"Apr 11, 2016",60.48,61.35,58.81,60.28,"679,100",60.28
"Apr 8, 2016",59.97,61.86,59.43,60.58,"607,300",60.58
"Apr 7, 2016",57.73,59.64,57.26,59.36,"636,600",59.36
"Apr 6, 2016",56.44,58.50,55.75,57.96,"707,000",57.96
"Apr 5, 2016",55.03,56.82,54.13,56.17,"572,900",56.17
"Apr 4, 2016",54.54,57.50,54.27,55.51,"668,400",55.51
"Apr 1, 2016",52.69,55.05,51.73,54.34,"494,100",54.34
"Mar 31, 2016",50.74,54.22,50.20,52.98,"539,000",52.98
"Mar 30, 2016",51.06,52.87,50.04,50.86,"562,300",50.86
"Mar 29, 2016",46.57,50.49,46.06,50.31,"775,300",50.31
"Mar 28, 2016",49.09,49.50,46.31,46.97,"818,100",46.97
"Mar 24, 2016",48.13,50.00,46.69,48.71,"349,600",48.71
"Mar 23, 2016",50.09,50.94,48.48,48.66,"755,700",48.66
