Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.13,3.16,3.06,3.06,"1,330,400",3.06
"Jun 10, 2016",3.25,3.25,3.15,3.15,"1,024,800",3.15
"Jun 9, 2016",3.34,3.38,3.24,3.27,"1,241,800",3.27
"Jun 8, 2016",3.41,3.43,3.30,3.36,"874,200",3.36
"Jun 7, 2016",3.52,3.55,3.37,3.41,"1,625,500",3.41
"Jun 6, 2016",3.47,3.58,3.41,3.55,"1,132,100",3.55
"Jun 3, 2016",3.48,3.51,3.38,3.48,"1,432,000",3.48
"Jun 2, 2016",3.36,3.53,3.36,3.52,"1,863,900",3.52
"Jun 2, 2016",0.05 Dividend,,,,,
"Jun 1, 2016",3.56,3.56,3.35,3.46,"3,091,500",3.41
"May 31, 2016",3.32,3.60,3.30,3.59,"3,040,700",3.54
"May 27, 2016",3.26,3.37,3.22,3.34,"1,141,400",3.29
"May 26, 2016",3.32,3.36,3.25,3.26,"719,200",3.21
"May 25, 2016",3.25,3.35,3.23,3.33,"1,207,700",3.28
"May 24, 2016",3.18,3.22,3.16,3.20,"759,700",3.15
"May 23, 2016",3.16,3.23,3.15,3.15,"823,300",3.10
"May 20, 2016",3.13,3.20,3.12,3.17,"697,300",3.12
"May 19, 2016",3.09,3.17,3.08,3.15,"858,200",3.10
"May 18, 2016",3.13,3.21,3.13,3.14,"1,046,800",3.09
"May 17, 2016",3.09,3.22,3.09,3.16,"1,330,300",3.11
"May 16, 2016",2.97,3.14,2.97,3.12,"1,593,100",3.07
"May 13, 2016",3.04,3.07,2.94,2.97,"1,647,000",2.93
"May 12, 2016",3.16,3.18,3.04,3.05,"1,210,600",3.01
"May 11, 2016",3.25,3.27,3.15,3.17,"836,600",3.12
"May 10, 2016",3.24,3.29,3.18,3.25,"999,000",3.20
"May 9, 2016",3.16,3.29,3.12,3.24,"1,350,100",3.19
"May 6, 2016",3.16,3.23,3.11,3.17,"1,208,200",3.12
"May 5, 2016",3.18,3.29,3.09,3.20,"1,994,800",3.15
"May 4, 2016",3.51,3.53,3.22,3.29,"3,201,200",3.24
"May 3, 2016",3.62,3.66,3.56,3.56,"999,700",3.51
"May 2, 2016",3.76,3.78,3.53,3.65,"1,698,100",3.60
"Apr 29, 2016",3.74,3.82,3.70,3.77,"2,185,700",3.72
"Apr 28, 2016",3.74,3.82,3.74,3.76,"1,435,100",3.71
"Apr 27, 2016",3.75,3.82,3.73,3.78,"1,262,700",3.73
"Apr 26, 2016",3.72,3.79,3.68,3.78,"1,498,600",3.73
"Apr 25, 2016",3.82,3.84,3.66,3.73,"1,401,300",3.68
"Apr 22, 2016",3.71,3.82,3.71,3.82,"1,429,000",3.76
"Apr 21, 2016",3.73,3.80,3.68,3.74,"1,966,200",3.69
"Apr 20, 2016",3.69,3.79,3.65,3.74,"1,151,300",3.69
"Apr 19, 2016",3.57,3.72,3.56,3.68,"1,477,500",3.63
"Apr 18, 2016",3.63,3.74,3.59,3.60,"1,378,800",3.55
"Apr 15, 2016",3.62,3.70,3.55,3.63,"1,517,600",3.58
"Apr 14, 2016",3.58,3.65,3.55,3.63,"1,638,700",3.58
"Apr 13, 2016",3.49,3.60,3.46,3.58,"1,478,200",3.53
"Apr 12, 2016",3.35,3.48,3.31,3.47,"1,597,000",3.42
"Apr 11, 2016",3.28,3.41,3.27,3.35,"1,893,900",3.30
"Apr 8, 2016",3.28,3.33,3.22,3.27,"1,677,800",3.22
"Apr 7, 2016",3.36,3.40,3.20,3.28,"2,206,900",3.23
"Apr 6, 2016",3.29,3.37,3.26,3.36,"1,570,800",3.31
"Apr 5, 2016",3.26,3.34,3.25,3.31,"1,484,300",3.26
"Apr 4, 2016",3.30,3.41,3.27,3.32,"1,655,100",3.27
"Apr 1, 2016",3.29,3.35,3.25,3.31,"1,325,200",3.26
"Mar 31, 2016",3.16,3.41,3.16,3.33,"2,466,000",3.28
"Mar 30, 2016",3.16,3.29,3.15,3.17,"1,692,300",3.12
"Mar 29, 2016",3.11,3.19,3.02,3.17,"1,976,200",3.12
"Mar 28, 2016",3.11,3.19,3.08,3.13,"1,152,900",3.08
"Mar 24, 2016",3.13,3.18,3.06,3.11,"1,186,300",3.07
"Mar 23, 2016",3.31,3.35,3.17,3.19,"1,378,800",3.14
"Mar 22, 2016",3.33,3.42,3.25,3.32,"2,121,500",3.27
"Mar 21, 2016",3.16,3.42,3.15,3.38,"2,657,100",3.33
"Mar 18, 2016",3.00,3.20,2.98,3.16,"13,071,800",3.11
"Mar 17, 2016",2.91,3.08,2.88,2.98,"2,422,000",2.94
"Mar 16, 2016",2.92,2.97,2.91,2.93,"1,708,400",2.89
"Mar 15, 2016",3.18,3.22,2.91,2.92,"2,606,300",2.88
"Mar 14, 2016",3.19,3.28,3.08,3.24,"3,046,600",3.19
"Mar 11, 2016",3.31,3.35,3.13,3.24,"2,910,500",3.19
"Mar 10, 2016",3.28,3.35,3.23,3.30,"2,760,500",3.25
"Mar 9, 2016",3.15,3.32,3.12,3.29,"2,132,100",3.24
"Mar 8, 2016",3.40,3.45,3.15,3.17,"2,550,500",3.12
"Mar 7, 2016",3.34,3.47,3.31,3.43,"1,837,300",3.38
"Mar 4, 2016",3.41,3.45,3.31,3.38,"3,625,400",3.33
"Mar 3, 2016",3.10,3.49,3.10,3.42,"5,216,400",3.37
"Mar 2, 2016",3.06,3.16,3.03,3.11,"3,192,700",3.07
"Mar 2, 2016",0.05 Dividend,,,,,
"Mar 1, 2016",3.02,3.16,2.95,3.14,"2,282,800",3.05
"Feb 29, 2016",2.91,3.04,2.86,3.01,"4,207,300",2.92
"Feb 26, 2016",2.98,3.02,2.91,2.93,"4,794,900",2.84
"Feb 25, 2016",3.01,3.06,2.92,2.99,"3,340,300",2.90
"Feb 24, 2016",2.95,3.03,2.80,3.03,"3,801,900",2.94
"Feb 23, 2016",3.20,3.57,2.98,2.98,"4,890,500",2.89
"Feb 22, 2016",3.13,3.17,2.98,3.00,"1,795,300",2.91
"Feb 19, 2016",3.02,3.11,2.94,3.11,"1,121,500",3.02
"Feb 18, 2016",3.00,3.09,2.98,3.05,"1,897,900",2.96
"Feb 17, 2016",3.06,3.12,2.99,3.02,"1,273,100",2.93
"Feb 16, 2016",2.93,3.06,2.88,3.06,"1,980,900",2.97
"Feb 12, 2016",2.87,2.96,2.86,2.92,"1,163,600",2.83
"Feb 11, 2016",2.82,3.00,2.79,2.88,"1,490,600",2.79
"Feb 10, 2016",2.92,3.05,2.91,2.92,"1,511,100",2.83
"Feb 9, 2016",2.89,3.01,2.89,2.91,"2,398,300",2.82
"Feb 8, 2016",2.86,3.01,2.84,2.96,"2,068,600",2.87
"Feb 5, 2016",2.85,2.96,2.83,2.92,"2,695,700",2.83
