Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.61,6.99,6.52,6.52,"356,800",6.52
"Jun 10, 2016",7.02,7.02,6.60,6.70,"475,300",6.70
"Jun 9, 2016",7.38,7.45,7.06,7.10,"425,900",7.10
"Jun 8, 2016",7.30,7.50,7.19,7.40,"370,700",7.40
"Jun 7, 2016",7.35,7.45,7.26,7.30,"299,500",7.30
"Jun 6, 2016",7.40,7.50,7.16,7.46,"374,900",7.46
"Jun 3, 2016",7.58,7.58,7.21,7.39,"549,600",7.39
"Jun 2, 2016",7.17,7.66,7.07,7.56,"822,400",7.56
"Jun 1, 2016",7.12,7.30,6.88,7.20,"568,500",7.20
"May 31, 2016",7.00,7.35,7.00,7.13,"1,340,900",7.13
"May 27, 2016",6.26,6.89,6.21,6.83,"938,000",6.83
"May 26, 2016",6.34,6.35,6.12,6.21,"372,300",6.21
"May 25, 2016",6.45,6.53,6.23,6.31,"764,400",6.31
"May 24, 2016",6.30,6.50,6.13,6.38,"370,800",6.38
"May 23, 2016",6.23,6.40,6.20,6.26,"413,500",6.26
"May 20, 2016",5.94,6.26,5.88,6.16,"573,700",6.16
"May 19, 2016",6.12,6.15,5.70,5.91,"618,200",5.91
"May 18, 2016",6.29,6.56,6.05,6.17,"1,282,000",6.17
"May 17, 2016",6.07,6.33,5.99,6.05,"545,400",6.05
"May 16, 2016",5.74,6.12,5.65,6.09,"481,200",6.09
"May 13, 2016",5.50,5.79,5.46,5.66,"358,500",5.66
"May 12, 2016",6.12,6.18,5.47,5.49,"657,900",5.49
"May 11, 2016",5.61,6.45,5.61,6.09,"1,178,600",6.09
"May 10, 2016",5.56,5.82,5.50,5.81,"787,600",5.81
"May 9, 2016",5.32,5.63,5.32,5.52,"443,800",5.52
"May 6, 2016",5.47,5.85,5.16,5.41,"917,900",5.41
"May 5, 2016",5.69,5.92,5.61,5.68,"501,100",5.68
"May 4, 2016",5.85,6.11,5.54,5.67,"664,600",5.67
"May 3, 2016",6.09,6.19,5.95,5.97,"492,300",5.97
"May 2, 2016",6.05,6.18,5.68,6.15,"949,500",6.15
"Apr 29, 2016",6.32,6.53,5.86,6.01,"1,055,600",6.01
"Apr 28, 2016",6.57,6.85,6.33,6.36,"693,800",6.36
"Apr 27, 2016",6.99,7.07,6.38,6.61,"1,130,800",6.61
"Apr 26, 2016",7.68,7.75,6.84,7.00,"4,341,400",7.00
"Apr 25, 2016",7.20,7.32,6.80,6.91,"1,012,800",6.91
"Apr 22, 2016",6.79,7.29,6.75,7.22,"580,600",7.22
"Apr 21, 2016",6.71,6.88,6.61,6.79,"386,600",6.79
"Apr 20, 2016",6.81,7.01,6.61,6.70,"441,400",6.70
"Apr 19, 2016",6.78,6.92,6.58,6.76,"491,200",6.76
"Apr 18, 2016",6.50,6.84,6.44,6.74,"365,900",6.74
"Apr 15, 2016",6.42,6.72,6.37,6.57,"305,500",6.57
"Apr 14, 2016",6.60,6.63,6.33,6.42,"299,900",6.42
"Apr 13, 2016",6.48,6.62,6.27,6.55,"457,200",6.55
"Apr 12, 2016",6.46,6.82,6.36,6.42,"624,000",6.42
"Apr 11, 2016",6.40,6.63,6.27,6.45,"578,500",6.45
"Apr 8, 2016",6.93,6.99,6.20,6.34,"1,192,700",6.34
"Apr 7, 2016",7.21,7.75,6.60,6.82,"1,078,300",6.82
