Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",4.62,4.70,4.55,4.57,"693,400",4.57
"Jun 10, 2016",4.70,4.70,4.60,4.64,"482,800",4.64
"Jun 9, 2016",4.89,4.91,4.68,4.68,"683,800",4.68
"Jun 8, 2016",4.90,4.95,4.80,4.89,"597,500",4.89
"Jun 7, 2016",4.88,4.97,4.80,4.87,"826,900",4.87
"Jun 6, 2016",4.94,5.04,4.80,4.92,"576,800",4.92
"Jun 3, 2016",5.01,5.08,4.84,4.94,"1,185,800",4.94
"Jun 2, 2016",4.93,5.04,4.90,5.01,"868,200",5.01
"Jun 1, 2016",5.01,5.05,4.90,4.93,"1,073,100",4.93
"May 31, 2016",4.92,5.10,4.92,5.03,"1,315,600",5.03
"May 27, 2016",4.80,4.97,4.70,4.89,"331,100",4.89
"May 26, 2016",4.88,4.88,4.67,4.77,"526,800",4.77
"May 25, 2016",4.91,4.97,4.79,4.87,"573,800",4.87
"May 24, 2016",4.97,5.01,4.86,4.89,"704,200",4.89
"May 23, 2016",4.81,5.04,4.79,4.90,"563,000",4.90
"May 20, 2016",4.73,4.85,4.68,4.80,"735,800",4.80
"May 19, 2016",4.78,4.88,4.61,4.71,"481,300",4.71
"May 18, 2016",4.62,4.88,4.62,4.78,"508,400",4.78
"May 17, 2016",4.76,4.80,4.56,4.65,"847,700",4.65
"May 16, 2016",4.66,4.86,4.66,4.77,"769,300",4.77
"May 13, 2016",4.62,4.76,4.58,4.64,"582,900",4.64
"May 12, 2016",4.77,4.79,4.52,4.63,"961,800",4.63
"May 11, 2016",5.00,5.04,4.72,4.74,"851,800",4.74
"May 10, 2016",5.15,5.25,4.95,5.02,"670,100",5.02
"May 9, 2016",5.03,5.21,5.00,5.10,"541,300",5.10
"May 6, 2016",4.94,5.15,4.83,5.04,"885,400",5.04
"May 5, 2016",5.01,5.11,4.50,5.00,"1,475,400",5.00
"May 4, 2016",5.29,5.45,5.19,5.19,"927,700",5.19
"May 3, 2016",5.36,5.55,5.26,5.37,"651,600",5.37
"May 2, 2016",5.43,5.51,5.21,5.45,"699,000",5.45
"Apr 29, 2016",5.45,5.53,5.25,5.31,"735,700",5.31
"Apr 28, 2016",5.45,5.75,5.37,5.50,"1,014,800",5.50
"Apr 27, 2016",5.35,5.57,5.19,5.46,"635,600",5.46
"Apr 26, 2016",5.56,5.74,5.38,5.38,"1,438,500",5.38
"Apr 25, 2016",5.55,5.72,5.53,5.54,"729,900",5.54
"Apr 22, 2016",5.26,5.54,5.20,5.53,"1,028,700",5.53
"Apr 21, 2016",5.08,5.29,5.01,5.23,"762,900",5.23
"Apr 20, 2016",5.18,5.22,4.97,5.09,"630,200",5.09
"Apr 19, 2016",5.31,5.38,5.01,5.12,"654,400",5.12
"Apr 18, 2016",4.89,5.36,4.86,5.26,"1,211,000",5.26
"Apr 15, 2016",4.75,4.90,4.69,4.87,"580,800",4.87
"Apr 14, 2016",4.89,4.96,4.75,4.78,"565,800",4.78
"Apr 13, 2016",4.82,4.93,4.77,4.84,"665,400",4.84
"Apr 12, 2016",4.75,4.80,4.56,4.79,"929,200",4.79
"Apr 11, 2016",4.78,4.84,4.67,4.75,"873,700",4.75
"Apr 8, 2016",4.64,4.81,4.55,4.76,"1,495,700",4.76
"Apr 7, 2016",4.26,4.67,4.26,4.56,"1,433,300",4.56
"Apr 6, 2016",4.11,4.31,4.04,4.31,"1,033,500",4.31
"Apr 5, 2016",4.16,4.35,4.06,4.08,"1,067,000",4.08
