Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",46.47,46.47,44.53,44.89,"514,700",44.89
"Jun 10, 2016",46.35,46.36,45.19,45.23,"328,600",45.23
"Jun 9, 2016",47.19,47.38,46.49,46.51,"477,700",46.51
"Jun 8, 2016",47.21,47.51,46.61,47.21,"474,000",47.21
"Jun 7, 2016",46.97,47.34,46.71,47.16,"433,700",47.16
"Jun 6, 2016",47.40,47.79,46.55,46.95,"269,600",46.95
"Jun 3, 2016",47.57,47.97,47.18,47.39,"249,600",47.39
"Jun 2, 2016",47.30,48.00,47.28,47.51,"408,800",47.51
"Jun 1, 2016",47.23,47.90,46.83,47.40,"421,900",47.40
"May 31, 2016",47.45,47.80,46.77,47.23,"388,700",47.23
"May 27, 2016",47.49,47.67,46.55,47.34,"294,100",47.34
"May 26, 2016",46.87,47.43,46.50,47.02,"213,400",47.02
"May 25, 2016",46.74,47.28,46.36,47.13,"542,100",47.13
"May 24, 2016",46.50,46.94,46.12,46.72,"350,600",46.72
"May 23, 2016",46.09,46.44,45.50,46.32,"534,200",46.32
"May 20, 2016",46.31,46.70,45.70,45.91,"396,200",45.91
"May 19, 2016",46.12,46.70,45.53,45.94,"229,300",45.94
"May 18, 2016",45.69,46.64,45.50,46.41,"382,600",46.41
"May 17, 2016",45.92,46.75,45.66,45.75,"414,800",45.75
"May 16, 2016",46.17,46.74,45.68,46.13,"628,200",46.13
"May 13, 2016",45.33,46.57,45.33,45.87,"862,300",45.87
"May 12, 2016",44.86,46.33,44.86,45.30,"494,700",45.30
"May 11, 2016",46.24,47.08,45.64,45.71,"466,800",45.71
"May 10, 2016",46.49,46.89,45.77,46.50,"415,500",46.50
"May 9, 2016",45.72,46.89,45.72,46.58,"722,700",46.58
"May 6, 2016",45.22,46.19,45.22,45.74,"445,200",45.74
"May 5, 2016",44.58,46.40,44.14,45.57,"1,029,100",45.57
"May 4, 2016",45.03,45.74,44.10,44.12,"1,005,100",44.12
"May 3, 2016",45.74,45.79,43.62,44.64,"3,688,600",44.64
"May 2, 2016",47.54,49.24,47.54,48.90,"744,900",48.90
"Apr 29, 2016",48.12,49.00,47.37,47.45,"493,000",47.45
"Apr 28, 2016",48.10,49.15,43.92,48.62,"864,700",48.62
"Apr 27, 2016",49.78,51.07,48.80,49.58,"397,900",49.58
"Apr 26, 2016",50.82,51.06,49.00,49.81,"376,500",49.81
"Apr 25, 2016",49.65,51.35,49.53,50.18,"310,200",50.18
"Apr 22, 2016",49.51,49.93,48.54,49.52,"246,500",49.52
"Apr 21, 2016",49.10,49.95,48.81,49.53,"232,900",49.53
"Apr 20, 2016",48.71,49.33,48.30,49.04,"184,100",49.04
"Apr 19, 2016",49.20,49.42,48.46,48.71,"293,700",48.71
"Apr 18, 2016",48.17,50.00,48.16,49.26,"379,900",49.26
"Apr 15, 2016",47.91,48.40,47.75,48.38,"370,800",48.38
