Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",46.34,47.66,44.39,45.76,"447,000",45.76
"Jun 10, 2016",47.00,49.38,46.15,46.52,"465,600",46.52
"Jun 9, 2016",48.53,49.41,47.37,47.41,"336,700",47.41
"Jun 8, 2016",48.79,49.43,47.58,49.01,"337,900",49.01
"Jun 7, 2016",50.12,50.12,48.39,48.80,"315,400",48.80
"Jun 6, 2016",48.64,50.50,47.21,50.42,"320,600",50.42
"Jun 3, 2016",49.87,50.31,47.51,48.41,"507,700",48.41
"Jun 2, 2016",47.64,51.45,47.41,50.32,"680,300",50.32
"Jun 1, 2016",48.66,49.35,47.73,47.89,"365,700",47.89
"May 31, 2016",47.09,48.71,46.60,48.54,"403,600",48.54
"May 27, 2016",46.40,47.47,45.74,46.56,"318,900",46.56
"May 26, 2016",48.03,48.03,43.93,46.06,"411,800",46.06
"May 25, 2016",46.52,48.09,45.03,47.55,"543,200",47.55
"May 24, 2016",44.72,46.34,43.73,46.00,"333,600",46.00
"May 23, 2016",43.08,45.00,42.16,44.19,"554,700",44.19
"May 20, 2016",40.96,42.86,40.30,42.50,"455,000",42.50
"May 19, 2016",41.45,43.18,39.98,40.73,"251,400",40.73
"May 18, 2016",40.88,42.92,40.44,41.77,"328,900",41.77
"May 17, 2016",42.48,43.31,40.84,41.10,"323,100",41.10
"May 16, 2016",41.14,44.93,41.14,42.99,"607,300",42.99
"May 13, 2016",38.70,42.22,38.51,40.68,"511,500",40.68
"May 12, 2016",39.90,40.22,37.51,38.43,"473,900",38.43
"May 11, 2016",40.45,41.44,39.22,39.54,"456,500",39.54
"May 10, 2016",39.36,41.49,38.72,40.74,"442,900",40.74
"May 9, 2016",38.63,40.05,38.22,39.04,"359,600",39.04
"May 6, 2016",38.34,39.35,36.14,38.32,"411,500",38.32
"May 5, 2016",38.89,39.30,36.60,38.76,"477,500",38.76
"May 4, 2016",40.71,41.42,38.34,38.59,"727,400",38.59
"May 3, 2016",43.55,43.71,41.15,41.56,"352,100",41.56
