Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",7.16,7.42,6.84,6.86,"1,039,600",6.86
"Jun 10, 2016",7.41,7.63,7.17,7.24,"1,094,200",7.24
"Jun 9, 2016",7.80,7.84,7.51,7.54,"1,109,900",7.54
"Jun 8, 2016",8.04,8.10,7.80,7.89,"1,023,800",7.89
"Jun 7, 2016",8.23,8.23,7.90,8.01,"802,400",8.01
"Jun 6, 2016",7.62,8.28,7.35,8.23,"1,283,000",8.23
"Jun 3, 2016",8.30,8.30,7.65,7.65,"1,519,900",7.65
"Jun 2, 2016",8.13,8.37,8.08,8.35,"1,240,300",8.35
"Jun 1, 2016",8.18,8.36,7.99,8.14,"971,000",8.14
"May 31, 2016",7.93,8.40,7.85,8.16,"1,168,800",8.16
"May 27, 2016",7.76,7.92,7.60,7.84,"956,700",7.84
"May 26, 2016",8.33,8.35,7.81,7.87,"1,317,200",7.87
"May 25, 2016",8.37,8.65,7.80,8.37,"1,791,700",8.37
"May 24, 2016",7.81,8.34,7.67,8.14,"1,576,800",8.14
"May 23, 2016",8.01,8.38,7.51,7.71,"2,371,900",7.71
"May 20, 2016",6.77,8.14,6.70,8.00,"3,180,300",8.00
"May 19, 2016",6.81,7.11,6.50,6.65,"1,024,300",6.65
"May 18, 2016",6.93,7.08,6.71,6.84,"716,400",6.84
"May 17, 2016",7.14,7.40,6.92,6.98,"816,000",6.98
"May 16, 2016",6.84,7.38,6.61,7.22,"1,025,400",7.22
"May 13, 2016",6.57,6.94,6.57,6.76,"707,600",6.76
"May 12, 2016",7.32,7.34,6.54,6.60,"1,359,800",6.60
"May 11, 2016",7.55,7.61,7.25,7.25,"779,300",7.25
"May 10, 2016",7.76,7.76,7.15,7.57,"1,044,000",7.57
"May 9, 2016",7.13,8.05,6.98,7.74,"1,128,400",7.74
"May 6, 2016",7.66,7.70,6.79,7.09,"1,643,800",7.09
"May 5, 2016",7.03,7.13,6.76,6.88,"974,200",6.88
"May 4, 2016",7.66,7.79,6.92,6.97,"1,269,400",6.97
"May 3, 2016",7.39,7.98,7.39,7.70,"907,600",7.70
"May 2, 2016",7.52,7.75,7.29,7.75,"1,116,100",7.75
"Apr 29, 2016",7.80,7.98,7.27,7.42,"1,516,700",7.42
"Apr 28, 2016",7.78,8.15,7.56,7.84,"968,400",7.84
"Apr 27, 2016",7.97,8.11,7.65,7.79,"1,331,600",7.79
"Apr 26, 2016",8.31,8.32,7.46,8.03,"1,715,200",8.03
"Apr 25, 2016",8.26,8.75,8.26,8.29,"1,605,200",8.29
"Apr 22, 2016",8.25,8.43,7.63,8.30,"1,490,600",8.30
"Apr 21, 2016",7.47,8.41,7.45,8.25,"2,421,400",8.25
"Apr 20, 2016",7.98,7.98,7.26,7.59,"2,687,600",7.59
"Apr 19, 2016",8.23,8.60,7.84,7.96,"1,640,000",7.96
"Apr 18, 2016",8.40,8.75,7.91,8.33,"7,095,100",8.33
"Apr 15, 2016",6.40,10.15,6.06,8.92,"28,675,100",8.92
"Apr 14, 2016",6.37,6.45,6.10,6.23,"394,700",6.23
"Apr 13, 2016",6.17,6.41,5.91,6.32,"779,200",6.32
"Apr 12, 2016",6.24,6.31,5.78,6.06,"945,300",6.06
"Apr 11, 2016",6.42,6.50,6.15,6.22,"610,400",6.22
"Apr 8, 2016",7.24,7.29,6.26,6.37,"1,494,900",6.37
"Apr 7, 2016",6.91,7.21,6.74,7.08,"936,900",7.08
"Apr 6, 2016",6.58,6.94,6.39,6.93,"1,092,800",6.93
"Apr 5, 2016",6.75,6.94,6.55,6.58,"621,000",6.58
"Apr 4, 2016",6.76,7.18,6.69,6.79,"1,007,800",6.79
"Apr 1, 2016",6.34,7.10,6.29,6.76,"1,468,300",6.76
"Mar 31, 2016",6.05,6.69,5.98,6.44,"1,402,200",6.44
"Mar 30, 2016",5.93,6.27,5.92,6.09,"1,013,900",6.09
"Mar 29, 2016",5.48,5.89,5.30,5.86,"819,800",5.86
"Mar 28, 2016",5.73,5.85,5.51,5.51,"573,300",5.51
"Mar 24, 2016",5.50,5.88,5.40,5.72,"656,900",5.72
"Mar 23, 2016",6.25,6.44,5.65,5.66,"1,065,900",5.66
"Mar 22, 2016",6.15,6.32,6.00,6.23,"965,000",6.23
"Mar 21, 2016",5.87,6.32,5.75,6.15,"1,132,800",6.15
"Mar 18, 2016",5.60,6.04,5.57,5.93,"3,307,300",5.93
"Mar 17, 2016",5.49,5.62,5.30,5.50,"1,388,200",5.50
"Mar 16, 2016",5.60,5.73,5.27,5.48,"1,563,200",5.48
"Mar 15, 2016",6.22,6.31,5.62,5.66,"1,555,500",5.66
"Mar 14, 2016",6.09,6.46,5.95,6.32,"1,279,300",6.32
"Mar 11, 2016",5.88,6.17,5.69,6.15,"1,484,000",6.15
"Mar 10, 2016",5.99,6.13,5.62,5.76,"1,383,900",5.76
"Mar 9, 2016",6.21,6.26,5.83,5.90,"1,575,300",5.90
"Mar 8, 2016",6.19,6.42,6.16,6.16,"1,999,500",6.16
"Mar 7, 2016",6.24,6.54,5.97,6.48,"2,528,600",6.48
"Mar 4, 2016",6.10,6.25,5.85,6.06,"2,282,400",6.06
"Mar 3, 2016",6.55,6.80,6.00,6.10,"3,731,100",6.10
"Mar 2, 2016",5.75,6.68,5.57,6.40,"7,896,500",6.40
"Mar 1, 2016",7.56,7.69,5.29,5.55,"13,132,800",5.55
"Feb 29, 2016",7.93,8.57,7.79,7.98,"6,060,600",7.98
"Feb 26, 2016",11.51,11.69,7.83,7.99,"7,719,500",7.99
"Feb 25, 2016",10.95,12.26,10.52,11.32,"7,278,300",11.32
"Feb 24, 2016",10.61,11.47,10.11,10.51,"6,438,300",10.51
"Feb 23, 2016",16.13,17.00,10.80,10.84,"26,582,000",10.84
"Feb 22, 2016",29.77,29.98,27.76,28.26,"607,600",28.26
"Feb 19, 2016",29.16,29.70,27.56,28.84,"785,500",28.84
"Feb 18, 2016",29.67,30.23,28.67,29.23,"676,900",29.23
"Feb 17, 2016",28.62,30.00,28.09,29.77,"745,700",29.77
"Feb 16, 2016",26.20,28.22,25.80,27.96,"670,900",27.96
"Feb 12, 2016",24.51,25.61,23.20,25.51,"571,200",25.51
"Feb 11, 2016",23.14,24.80,22.67,24.23,"559,400",24.23
"Feb 10, 2016",24.24,25.81,23.48,23.73,"489,700",23.73
"Feb 9, 2016",22.85,25.62,22.36,23.76,"515,000",23.76
"Feb 8, 2016",24.30,24.84,22.65,23.37,"936,700",23.37
"Feb 5, 2016",26.45,26.89,24.11,24.63,"779,100",24.63
"Feb 4, 2016",24.90,27.72,24.88,26.70,"793,400",26.70
"Feb 3, 2016",24.24,25.33,23.29,25.16,"679,000",25.16
"Feb 2, 2016",24.20,24.70,23.60,23.99,"584,200",23.99
"Feb 1, 2016",23.82,25.09,22.80,24.74,"590,500",24.74
"Jan 29, 2016",23.00,24.55,22.79,23.82,"664,500",23.82
"Jan 28, 2016",24.51,24.60,22.31,23.03,"953,700",23.03
"Jan 27, 2016",26.00,26.23,23.70,24.09,"926,000",24.09
"Jan 26, 2016",25.96,26.71,24.71,26.08,"654,700",26.08
"Jan 25, 2016",26.96,27.62,25.44,25.81,"1,293,400",25.81
"Jan 22, 2016",27.59,28.90,26.70,27.55,"545,300",27.55
"Jan 21, 2016",26.75,29.35,26.56,26.87,"1,236,500",26.87
"Jan 20, 2016",23.91,28.26,22.79,27.14,"1,324,600",27.14
"Jan 19, 2016",23.76,26.20,23.12,24.51,"1,889,200",24.51
"Jan 15, 2016",21.43,23.66,18.63,23.11,"3,401,900",23.11
"Jan 14, 2016",22.65,24.39,20.61,23.83,"1,096,000",23.83
"Jan 13, 2016",24.06,24.47,21.44,22.66,"912,300",22.66
"Jan 12, 2016",23.32,24.54,22.03,23.87,"755,500",23.87
"Jan 11, 2016",26.50,26.59,22.61,23.18,"979,500",23.18
"Jan 8, 2016",28.19,28.69,26.14,26.32,"714,900",26.32
"Jan 7, 2016",28.49,29.25,27.23,27.47,"1,231,200",27.47
"Jan 6, 2016",28.94,29.86,28.58,29.31,"890,600",29.31
"Jan 5, 2016",31.04,31.62,29.13,29.56,"659,300",29.56
"Jan 4, 2016",31.60,31.89,30.09,30.86,"751,300",30.86
"Dec 31, 2015",32.61,33.00,31.80,32.40,"362,900",32.40
"Dec 30, 2015",33.46,34.65,32.58,32.69,"353,000",32.69
"Dec 29, 2015",32.57,33.71,32.45,33.54,"334,600",33.54
"Dec 28, 2015",32.69,33.18,31.75,32.45,"430,600",32.45
"Dec 24, 2015",33.45,33.92,32.36,32.44,"287,500",32.44
"Dec 23, 2015",31.87,33.74,31.34,33.50,"541,800",33.50
"Dec 22, 2015",33.35,33.64,31.52,31.58,"486,500",31.58
"Dec 21, 2015",32.91,33.16,32.00,33.02,"677,100",33.02
"Dec 18, 2015",32.20,33.96,31.04,32.50,"1,984,500",32.50
"Dec 17, 2015",34.30,35.40,32.24,32.50,"712,500",32.50
"Dec 16, 2015",29.10,34.72,29.10,34.04,"1,762,400",34.04
"Dec 15, 2015",27.25,29.29,27.08,28.60,"892,000",28.60
"Dec 14, 2015",26.83,27.80,26.12,26.54,"890,600",26.54
"Dec 11, 2015",27.39,28.03,26.51,26.90,"756,800",26.90
"Dec 10, 2015",27.31,28.46,26.96,28.02,"437,000",28.02
"Dec 9, 2015",27.63,28.00,26.95,27.23,"438,800",27.23
"Dec 8, 2015",26.18,27.82,26.00,27.65,"713,000",27.65
"Dec 7, 2015",27.87,27.90,26.22,26.53,"677,800",26.53
"Dec 4, 2015",28.00,28.37,26.14,27.74,"909,400",27.74
"Dec 3, 2015",29.02,29.66,27.37,27.88,"685,700",27.88
"Dec 2, 2015",29.45,29.75,28.60,28.86,"425,200",28.86
"Dec 1, 2015",30.45,30.45,28.75,29.40,"712,500",29.40
"Nov 30, 2015",29.98,30.74,28.91,30.04,"693,500",30.04
"Nov 27, 2015",29.89,29.89,28.62,29.56,"438,000",29.56
"Nov 25, 2015",28.61,30.58,28.13,29.52,"1,694,600",29.52
"Nov 24, 2015",30.52,31.80,29.13,31.75,"961,600",31.75
"Nov 23, 2015",29.90,31.25,29.15,30.81,"1,443,900",30.81
"Nov 20, 2015",27.88,32.12,27.17,29.00,"2,962,200",29.00
"Nov 19, 2015",34.61,34.65,30.02,30.12,"1,486,200",30.12
"Nov 18, 2015",32.91,34.80,32.75,34.68,"1,091,900",34.68
"Nov 17, 2015",30.91,34.24,30.08,33.09,"1,332,800",33.09
"Nov 16, 2015",29.88,31.22,29.06,30.83,"635,900",30.83
"Nov 13, 2015",28.44,31.14,28.00,30.27,"631,500",30.27
"Nov 12, 2015",28.95,29.95,28.23,28.68,"743,700",28.68
"Nov 11, 2015",29.25,30.07,28.39,28.67,"577,100",28.67
"Nov 10, 2015",26.80,30.48,26.42,29.30,"1,249,100",29.30
"Nov 9, 2015",28.07,28.67,27.28,27.46,"561,300",27.46
"Nov 6, 2015",27.02,28.49,26.35,28.09,"852,700",28.09
"Nov 5, 2015",27.49,27.67,26.03,27.01,"601,400",27.01
"Nov 4, 2015",27.82,28.48,26.43,27.67,"849,100",27.67
"Nov 3, 2015",27.44,28.33,25.70,28.04,"1,185,600",28.04
"Nov 2, 2015",25.18,27.71,24.87,27.64,"1,047,500",27.64
