Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",26.14,26.80,25.97,26.09,"450,300",26.09
"Jun 10, 2016",26.44,26.71,26.10,26.38,"362,500",26.38
"Jun 9, 2016",26.92,27.48,26.57,26.84,"540,800",26.84
"Jun 8, 2016",27.08,27.57,26.91,27.12,"431,700",27.12
"Jun 7, 2016",27.95,28.00,27.00,27.02,"356,000",27.02
"Jun 6, 2016",26.89,28.21,26.70,28.19,"544,900",28.19
"Jun 3, 2016",27.87,27.95,26.94,27.00,"963,400",27.00
"Jun 2, 2016",27.23,28.74,26.90,28.05,"656,500",28.05
"Jun 1, 2016",27.55,27.61,26.68,27.16,"854,100",27.16
"May 31, 2016",26.67,27.84,26.62,27.48,"1,173,400",27.48
"May 27, 2016",27.93,27.98,24.65,27.50,"1,549,600",27.50
"May 26, 2016",26.54,26.93,26.02,26.29,"597,500",26.29
"May 25, 2016",27.18,27.48,26.24,26.59,"659,000",26.59
"May 24, 2016",26.98,27.44,26.39,26.96,"603,700",26.96
"May 23, 2016",25.97,26.97,25.86,26.62,"565,200",26.62
"May 20, 2016",25.83,26.22,25.22,26.11,"463,500",26.11
"May 19, 2016",25.76,26.66,24.59,25.72,"744,200",25.72
"May 18, 2016",24.63,26.45,24.19,25.91,"760,200",25.91
"May 17, 2016",24.97,25.70,24.39,24.59,"752,000",24.59
"May 16, 2016",23.94,25.24,23.51,25.16,"867,500",25.16
"May 13, 2016",22.45,23.73,22.11,23.73,"835,600",23.73
"May 12, 2016",23.55,23.55,22.15,22.44,"748,400",22.44
"May 11, 2016",23.63,24.34,23.35,23.40,"430,600",23.40
"May 10, 2016",23.48,23.94,22.89,23.78,"443,700",23.78
"May 9, 2016",21.80,25.18,21.75,23.47,"1,009,000",23.47
"May 6, 2016",21.05,21.94,20.35,21.80,"863,400",21.80
"May 5, 2016",22.17,22.49,21.35,21.89,"549,000",21.89
"May 4, 2016",22.98,23.57,21.65,22.26,"856,300",22.26
"May 3, 2016",24.26,24.86,23.17,23.34,"576,400",23.34
"May 2, 2016",23.86,24.50,23.10,24.45,"613,600",24.45
"Apr 29, 2016",24.41,24.94,23.43,23.76,"607,100",23.76
"Apr 28, 2016",24.45,25.38,24.27,24.56,"552,500",24.56
"Apr 27, 2016",25.03,25.34,24.05,24.68,"572,200",24.68
"Apr 26, 2016",25.41,25.64,24.49,25.12,"715,400",25.12
"Apr 25, 2016",25.34,25.60,24.75,25.53,"456,100",25.53
"Apr 22, 2016",24.94,25.59,24.65,25.51,"455,000",25.51
"Apr 21, 2016",24.76,25.41,24.31,25.06,"718,300",25.06
"Apr 20, 2016",24.24,25.08,24.13,24.91,"709,600",24.91
"Apr 19, 2016",24.26,24.56,23.60,24.19,"728,300",24.19
"Apr 18, 2016",24.22,24.30,23.58,24.27,"441,600",24.27
"Apr 15, 2016",23.78,24.07,23.26,23.98,"421,600",23.98
"Apr 14, 2016",24.15,24.30,23.60,23.92,"491,900",23.92
"Apr 13, 2016",23.86,24.35,23.57,24.08,"689,000",24.08
"Apr 12, 2016",23.63,24.00,22.17,23.67,"887,200",23.67
"Apr 11, 2016",23.74,23.96,23.22,23.27,"827,000",23.27
"Apr 8, 2016",23.64,24.05,23.14,23.66,"937,400",23.66
"Apr 7, 2016",24.20,24.24,22.79,23.30,"1,138,400",23.30
"Apr 6, 2016",22.56,24.39,22.56,24.17,"1,061,900",24.17
"Apr 5, 2016",22.00,22.94,21.85,22.48,"958,100",22.48
"Apr 4, 2016",21.55,22.75,21.22,22.19,"1,350,900",22.19
"Apr 1, 2016",20.22,21.58,20.17,21.29,"1,649,300",21.29
"Mar 31, 2016",20.22,20.81,20.02,20.40,"1,320,900",20.40
"Mar 30, 2016",19.80,21.19,19.60,20.20,"1,612,400",20.20
"Mar 29, 2016",19.01,20.42,18.65,19.71,"1,571,100",19.71
"Mar 28, 2016",20.08,20.49,18.20,19.01,"5,248,200",19.01
"Mar 24, 2016",21.04,23.15,20.00,20.27,"14,702,700",20.27
"Mar 23, 2016",29.69,29.95,28.35,28.62,"904,100",28.62
"Mar 22, 2016",28.63,29.83,28.59,29.39,"665,800",29.39
"Mar 21, 2016",28.46,29.68,28.17,28.84,"832,000",28.84
"Mar 18, 2016",27.56,28.64,26.68,28.50,"1,251,600",28.50
"Mar 17, 2016",27.69,28.13,26.20,27.43,"818,300",27.43
"Mar 16, 2016",27.79,28.89,27.00,27.66,"522,600",27.66
"Mar 15, 2016",30.24,30.67,27.94,28.01,"627,800",28.01
"Mar 14, 2016",29.29,31.10,29.29,30.51,"717,700",30.51
"Mar 11, 2016",28.67,29.63,28.19,29.44,"586,100",29.44
"Mar 10, 2016",29.21,29.29,27.51,28.20,"579,100",28.20
"Mar 9, 2016",29.24,29.59,27.67,28.99,"1,029,000",28.99
"Mar 8, 2016",30.52,30.89,28.77,28.95,"571,800",28.95
"Mar 7, 2016",29.48,30.79,28.80,30.51,"552,100",30.51
"Mar 4, 2016",30.67,31.07,29.64,29.71,"586,000",29.71
"Mar 3, 2016",31.79,32.13,30.50,30.75,"556,100",30.75
"Mar 2, 2016",30.27,33.28,30.03,31.64,"1,119,400",31.64
"Mar 1, 2016",28.45,30.26,28.17,30.20,"726,700",30.20
"Feb 29, 2016",27.75,29.12,27.75,28.17,"1,015,100",28.17
"Feb 26, 2016",28.51,29.49,26.10,27.79,"1,131,600",27.79
"Feb 25, 2016",29.09,29.73,27.85,28.23,"846,800",28.23
"Feb 24, 2016",27.79,29.59,27.03,28.85,"1,197,900",28.85
"Feb 23, 2016",29.64,30.45,27.70,28.00,"1,263,900",28.00
"Feb 22, 2016",30.30,31.23,29.44,30.04,"672,200",30.04
"Feb 19, 2016",29.00,29.78,28.34,29.70,"878,000",29.70
