Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",21.51,21.70,21.41,21.43,"1,496,100",21.43
"Jun 10, 2016",21.90,21.97,21.57,21.71,"893,400",21.71
"Jun 9, 2016",22.24,22.39,22.18,22.20,"910,900",22.20
"Jun 8, 2016",22.40,22.58,22.33,22.54,"780,500",22.54
"Jun 7, 2016",22.37,22.54,22.31,22.34,"807,400",22.34
"Jun 6, 2016",22.25,22.49,22.21,22.42,"615,900",22.42
"Jun 3, 2016",22.08,22.35,21.88,22.24,"1,123,700",22.24
"Jun 2, 2016",21.72,22.13,21.70,22.13,"1,717,200",22.13
"Jun 1, 2016",21.51,22.21,21.49,21.97,"2,053,100",21.97
"May 31, 2016",21.56,21.63,21.47,21.58,"1,192,700",21.58
"May 27, 2016",21.43,21.57,21.38,21.54,"1,002,800",21.54
"May 26, 2016",21.48,21.58,21.41,21.47,"410,200",21.47
"May 25, 2016",21.34,21.70,21.29,21.67,"1,045,800",21.67
"May 24, 2016",21.10,21.13,20.31,21.06,"2,090,500",21.06
"May 23, 2016",21.42,21.52,21.34,21.48,"1,016,200",21.48
"May 20, 2016",21.30,21.53,21.29,21.42,"1,307,500",21.42
"May 19, 2016",21.26,21.35,20.94,21.12,"677,600",21.12
"May 18, 2016",21.36,21.58,21.28,21.48,"662,800",21.48
"May 17, 2016",21.43,21.61,21.32,21.43,"652,700",21.43
"May 16, 2016",21.50,21.76,21.44,21.71,"928,200",21.71
"May 13, 2016",21.44,21.63,21.36,21.43,"682,700",21.43
"May 12, 2016",21.78,21.79,21.16,21.29,"886,000",21.29
"May 11, 2016",21.74,21.93,21.61,21.61,"683,700",21.61
"May 10, 2016",21.96,22.05,21.78,22.00,"1,043,200",22.00
"May 9, 2016",21.83,22.03,21.76,21.94,"678,300",21.94
"May 6, 2016",21.68,21.88,21.61,21.75,"649,100",21.75
"May 5, 2016",21.64,21.76,21.49,21.68,"995,700",21.68
"May 4, 2016",21.97,21.99,21.67,21.72,"575,600",21.72
"May 3, 2016",22.39,22.40,22.15,22.27,"832,600",22.27
"May 2, 2016",22.56,22.67,22.43,22.52,"1,080,700",22.52
"Apr 29, 2016",22.73,22.75,22.33,22.46,"788,600",22.46
"Apr 28, 2016",22.57,23.09,22.40,22.71,"1,151,000",22.71
"Apr 27, 2016",23.73,23.78,23.53,23.62,"636,600",23.62
"Apr 26, 2016",23.85,23.86,23.50,23.65,"640,500",23.65
"Apr 25, 2016",23.85,23.89,23.75,23.85,"528,500",23.85
"Apr 22, 2016",23.98,24.01,23.79,23.86,"655,700",23.86
"Apr 21, 2016",23.79,24.05,23.79,24.05,"619,600",24.05
"Apr 20, 2016",23.57,23.70,23.46,23.59,"588,600",23.59
"Apr 19, 2016",23.64,23.68,23.43,23.55,"655,400",23.55
"Apr 18, 2016",23.17,23.44,23.09,23.42,"504,900",23.42
"Apr 15, 2016",23.29,23.30,23.02,23.20,"722,400",23.20
"Apr 14, 2016",23.00,23.06,22.87,22.87,"522,700",22.87
"Apr 13, 2016",22.63,22.97,22.55,22.90,"730,700",22.90
"Apr 12, 2016",22.52,22.65,22.34,22.56,"508,600",22.56
"Apr 11, 2016",22.81,22.91,22.58,22.67,"670,900",22.67
"Apr 8, 2016",22.83,22.83,22.47,22.55,"789,300",22.55
"Apr 7, 2016",22.71,22.87,22.44,22.48,"870,600",22.48
"Apr 6, 2016",22.32,22.95,22.28,22.94,"1,034,600",22.94
"Apr 5, 2016",22.55,22.93,21.94,21.99,"3,186,200",21.99
"Apr 4, 2016",23.00,23.35,22.97,23.08,"1,202,000",23.08
"Apr 1, 2016",22.02,23.03,21.98,22.97,"1,869,300",22.97
"Mar 31, 2016",22.22,22.52,22.10,22.34,"1,254,400",22.34
"Mar 30, 2016",22.19,22.46,22.01,22.05,"710,800",22.05
"Mar 29, 2016",21.55,22.11,21.54,22.08,"523,300",22.08
"Mar 28, 2016",21.78,21.97,21.51,21.65,"451,000",21.65
"Mar 24, 2016",21.66,21.89,21.55,21.73,"558,300",21.73
"Mar 23, 2016",22.05,22.06,21.75,21.75,"756,700",21.75
"Mar 22, 2016",21.63,22.00,21.60,21.94,"900,900",21.94
"Mar 21, 2016",21.72,22.11,21.67,21.96,"950,600",21.96
"Mar 18, 2016",21.59,21.84,21.47,21.81,"1,558,200",21.81
"Mar 17, 2016",21.61,21.72,21.32,21.46,"895,900",21.46
"Mar 16, 2016",21.39,21.70,21.35,21.64,"725,600",21.64
"Mar 15, 2016",22.09,22.12,21.65,21.68,"1,144,600",21.68
"Mar 14, 2016",22.17,22.52,22.05,22.38,"1,366,900",22.38
"Mar 11, 2016",21.58,21.87,21.47,21.83,"696,700",21.83
"Mar 10, 2016",21.57,21.83,21.24,21.34,"595,500",21.34
"Mar 9, 2016",21.65,21.78,21.49,21.63,"620,500",21.63
"Mar 8, 2016",22.08,22.14,21.72,21.75,"585,900",21.75
"Mar 7, 2016",21.98,22.37,21.96,22.21,"806,400",22.21
"Mar 4, 2016",22.27,22.50,22.21,22.27,"828,000",22.27
"Mar 3, 2016",21.94,22.26,21.89,22.20,"866,500",22.20
"Mar 2, 2016",21.64,22.10,21.62,22.08,"1,203,300",22.08
"Mar 1, 2016",21.37,21.83,21.24,21.79,"1,019,700",21.79
"Feb 29, 2016",21.52,21.54,21.11,21.11,"832,800",21.11
"Feb 26, 2016",21.65,21.72,21.48,21.54,"650,400",21.54
"Feb 25, 2016",21.51,21.65,21.36,21.61,"635,000",21.61
"Feb 24, 2016",21.13,21.43,21.01,21.40,"842,900",21.40
"Feb 23, 2016",21.78,21.82,21.47,21.47,"688,700",21.47
"Feb 22, 2016",21.70,21.85,21.59,21.72,"1,049,000",21.72
"Feb 19, 2016",21.36,21.58,21.17,21.55,"1,163,200",21.55
"Feb 18, 2016",21.51,21.64,21.32,21.35,"980,500",21.35
"Feb 17, 2016",21.01,21.32,20.91,21.31,"1,101,400",21.31
"Feb 16, 2016",20.52,20.91,20.51,20.76,"1,559,800",20.76
"Feb 12, 2016",20.49,20.82,20.43,20.75,"1,118,500",20.75
"Feb 11, 2016",20.57,20.62,20.18,20.38,"1,014,400",20.38
"Feb 10, 2016",20.78,21.10,20.55,20.58,"1,067,200",20.58
"Feb 9, 2016",20.18,20.81,20.10,20.53,"1,118,800",20.53
"Feb 8, 2016",20.53,20.59,20.22,20.49,"1,652,500",20.49
"Feb 5, 2016",21.21,21.30,20.50,21.05,"4,507,000",21.05
"Feb 4, 2016",21.70,21.90,21.26,21.52,"1,860,200",21.52
"Feb 3, 2016",22.23,22.43,21.48,22.10,"2,595,400",22.10
"Feb 2, 2016",22.66,22.68,22.03,22.12,"1,976,800",22.12
"Feb 1, 2016",22.67,22.74,22.39,22.54,"2,090,700",22.54
"Jan 29, 2016",22.42,22.86,22.34,22.71,"1,458,500",22.71
"Jan 28, 2016",22.57,22.62,22.04,22.39,"1,841,400",22.39
"Jan 27, 2016",22.63,22.95,22.28,22.42,"1,175,000",22.42
