Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.77,12.00,9.70,9.91,"925,400",9.91
"Jun 10, 2016",12.00,12.20,11.58,11.81,"359,600",11.81
"Jun 9, 2016",12.72,12.92,12.01,12.14,"287,400",12.14
"Jun 8, 2016",14.33,14.33,12.73,12.75,"470,900",12.75
"Jun 7, 2016",13.88,14.59,13.71,14.30,"270,700",14.30
"Jun 6, 2016",14.00,14.16,13.56,14.02,"537,000",14.02
"Jun 3, 2016",13.78,14.26,13.16,14.00,"365,500",14.00
"Jun 2, 2016",13.39,14.31,13.24,13.99,"366,400",13.99
"Jun 1, 2016",13.78,13.79,13.00,13.41,"355,800",13.41
"May 31, 2016",12.24,13.82,12.01,13.55,"557,200",13.55
"May 27, 2016",12.35,12.62,11.85,11.99,"307,100",11.99
"May 26, 2016",12.45,12.50,12.10,12.27,"242,500",12.27
"May 25, 2016",12.47,12.89,12.35,12.60,"264,100",12.60
"May 24, 2016",12.28,12.59,12.02,12.39,"157,500",12.39
"May 23, 2016",12.06,12.59,11.81,12.12,"162,100",12.12
"May 20, 2016",12.11,12.31,11.88,12.03,"158,600",12.03
"May 19, 2016",12.61,12.97,11.78,12.06,"396,000",12.06
"May 18, 2016",12.66,13.05,12.23,12.68,"210,900",12.68
"May 17, 2016",12.71,13.10,12.63,12.69,"85,700",12.69
"May 16, 2016",12.35,12.79,12.02,12.72,"83,700",12.72
"May 13, 2016",11.69,12.46,11.53,12.21,"97,500",12.21
"May 12, 2016",12.44,12.44,11.59,11.71,"161,700",11.71
"May 11, 2016",12.92,12.92,12.26,12.33,"156,900",12.33
"May 10, 2016",13.11,13.17,12.50,12.90,"91,600",12.90
"May 9, 2016",12.21,13.17,12.21,12.96,"137,000",12.96
"May 6, 2016",12.01,12.32,11.85,12.07,"185,600",12.07
"May 5, 2016",12.29,12.56,11.91,12.11,"233,100",12.11
"May 4, 2016",13.22,13.23,11.75,12.17,"477,300",12.17
"May 3, 2016",12.94,13.54,12.83,13.39,"152,800",13.39
"May 2, 2016",12.97,13.11,12.61,12.98,"93,400",12.98
"Apr 29, 2016",13.32,13.45,12.75,12.93,"122,600",12.93
"Apr 28, 2016",13.55,13.85,13.11,13.32,"87,200",13.32
"Apr 27, 2016",13.80,14.09,13.48,13.56,"119,500",13.56
"Apr 26, 2016",14.27,14.44,13.69,13.98,"207,100",13.98
"Apr 25, 2016",14.47,14.64,14.21,14.34,"174,700",14.34
"Apr 22, 2016",14.49,14.76,13.91,14.47,"288,000",14.47
"Apr 21, 2016",12.79,14.88,12.64,14.47,"303,700",14.47
"Apr 20, 2016",12.84,13.23,12.64,12.89,"163,200",12.89
"Apr 19, 2016",13.43,13.43,12.64,12.74,"176,400",12.74
"Apr 18, 2016",12.97,13.29,12.55,13.23,"218,600",13.23
"Apr 15, 2016",13.08,13.19,12.75,13.03,"144,400",13.03
"Apr 14, 2016",12.80,13.23,12.52,13.02,"150,800",13.02
"Apr 13, 2016",13.29,13.29,12.39,12.79,"309,100",12.79
"Apr 12, 2016",12.87,13.20,12.57,13.11,"190,000",13.11
"Apr 11, 2016",13.82,13.94,12.82,12.86,"204,700",12.86
"Apr 8, 2016",14.21,14.31,13.31,13.65,"404,100",13.65
"Apr 7, 2016",14.16,14.49,13.50,14.00,"467,000",14.00
"Apr 6, 2016",14.68,15.00,13.98,14.21,"775,600",14.21
"Apr 5, 2016",13.06,14.66,12.70,14.57,"380,000",14.57
"Apr 4, 2016",12.83,13.80,12.75,13.30,"249,500",13.30
"Apr 1, 2016",11.85,12.75,11.75,12.75,"169,800",12.75
"Mar 31, 2016",11.71,12.44,11.67,11.88,"259,000",11.88
"Mar 30, 2016",11.98,12.62,11.69,11.76,"224,400",11.76
"Mar 29, 2016",11.45,11.99,11.02,11.89,"199,900",11.89
"Mar 28, 2016",12.01,12.01,11.28,11.48,"198,900",11.48
"Mar 24, 2016",11.86,12.37,11.44,11.95,"221,200",11.95
"Mar 23, 2016",12.56,12.90,11.41,11.86,"611,300",11.86
"Mar 22, 2016",11.87,12.81,11.87,12.70,"326,700",12.70
"Mar 21, 2016",11.72,12.35,11.64,11.99,"322,100",11.99
"Mar 18, 2016",11.15,11.91,10.67,11.84,"533,900",11.84
"Mar 17, 2016",11.33,11.67,10.61,11.14,"396,900",11.14
"Mar 16, 2016",11.68,12.16,11.17,11.42,"509,300",11.42
"Mar 15, 2016",12.95,13.20,11.78,11.80,"506,100",11.80
"Mar 14, 2016",13.12,13.31,12.88,13.13,"241,400",13.13
"Mar 11, 2016",13.06,13.44,12.78,13.22,"402,800",13.22
"Mar 10, 2016",13.00,13.98,12.97,13.06,"302,200",13.06
"Mar 9, 2016",14.02,14.14,12.72,12.82,"782,200",12.82
"Mar 8, 2016",14.57,15.08,13.81,13.82,"580,500",13.82
"Mar 7, 2016",14.02,15.24,13.95,14.72,"349,200",14.72
"Mar 4, 2016",14.65,14.67,13.96,14.02,"343,300",14.02
"Mar 3, 2016",15.38,15.73,14.38,14.60,"482,500",14.60
"Mar 2, 2016",14.64,15.67,14.25,15.34,"425,500",15.34
"Mar 1, 2016",14.09,14.83,13.96,14.71,"207,000",14.71
"Feb 29, 2016",14.48,14.99,13.93,14.03,"405,300",14.03
"Feb 26, 2016",15.40,15.75,14.40,14.67,"161,700",14.67
"Feb 25, 2016",15.09,15.65,14.78,15.20,"173,100",15.20
"Feb 24, 2016",15.00,15.49,13.95,15.05,"385,900",15.05
"Feb 23, 2016",15.43,15.72,14.87,14.89,"186,800",14.89
"Feb 22, 2016",15.80,16.40,15.27,15.50,"194,600",15.50
"Feb 19, 2016",15.01,15.58,14.46,15.54,"144,700",15.54
"Feb 18, 2016",15.63,15.95,14.83,15.07,"148,500",15.07
"Feb 17, 2016",14.92,15.76,14.64,15.65,"231,400",15.65
"Feb 16, 2016",14.57,15.51,14.46,14.77,"182,000",14.77
"Feb 12, 2016",14.48,14.94,13.90,14.38,"134,500",14.38
"Feb 11, 2016",13.65,14.93,13.51,14.25,"247,500",14.25
"Feb 10, 2016",14.05,14.95,13.69,13.99,"269,000",13.99
"Feb 9, 2016",13.88,14.67,13.46,13.83,"162,500",13.83
"Feb 8, 2016",15.15,15.15,13.98,14.11,"297,200",14.11
"Feb 5, 2016",16.50,16.52,15.47,15.49,"265,800",15.49
"Feb 4, 2016",16.97,17.87,16.48,16.57,"236,800",16.57
"Feb 3, 2016",17.48,17.48,16.26,17.00,"273,700",17.00
"Feb 2, 2016",17.89,18.10,16.95,17.40,"286,900",17.40
"Feb 1, 2016",18.06,18.80,17.28,18.06,"347,500",18.06
"Jan 29, 2016",18.19,19.03,17.52,18.23,"242,500",18.23
"Jan 28, 2016",18.01,18.96,17.57,18.21,"746,400",18.21
"Jan 27, 2016",17.39,18.10,16.76,18.04,"369,700",18.04
"Jan 26, 2016",17.51,17.55,16.54,17.26,"182,700",17.26
"Jan 25, 2016",16.72,17.78,16.52,17.39,"313,300",17.39
"Jan 22, 2016",16.62,17.50,16.46,16.86,"403,900",16.86
"Jan 21, 2016",15.19,17.01,15.18,16.33,"523,600",16.33
"Jan 20, 2016",14.48,15.80,13.98,15.48,"399,500",15.48
"Jan 19, 2016",15.87,16.60,14.62,14.75,"702,100",14.75
"Jan 15, 2016",14.36,15.93,14.36,15.90,"446,200",15.90
"Jan 14, 2016",14.52,15.83,13.27,15.83,"598,600",15.83
"Jan 13, 2016",16.50,16.61,14.44,14.66,"620,000",14.66
"Jan 12, 2016",17.00,17.45,15.53,16.35,"456,000",16.35
"Jan 11, 2016",17.94,18.24,16.14,16.58,"873,200",16.58
