Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",61.29,62.20,59.16,60.01,"750,600",60.01
"Jun 10, 2016",65.44,65.47,61.50,61.58,"978,500",61.58
"Jun 9, 2016",70.33,71.93,65.69,65.85,"724,900",65.85
"Jun 8, 2016",70.80,71.58,69.12,71.28,"642,000",71.28
"Jun 7, 2016",71.67,71.86,68.62,70.17,"678,400",70.17
"Jun 6, 2016",69.26,73.16,66.32,72.95,"639,500",72.95
"Jun 3, 2016",73.05,73.05,67.55,69.53,"682,200",69.53
"Jun 2, 2016",70.48,74.97,70.25,73.69,"932,800",73.69
"Jun 1, 2016",72.40,73.70,70.26,70.57,"684,200",70.57
"May 31, 2016",69.72,74.68,69.72,73.10,"1,328,900",73.10
"May 27, 2016",69.12,69.55,67.23,68.57,"537,000",68.57
"May 26, 2016",68.39,70.86,67.27,69.53,"476,200",69.53
"May 25, 2016",68.54,71.11,67.76,68.59,"642,400",68.59
"May 24, 2016",65.95,69.19,64.65,68.28,"692,600",68.28
"May 23, 2016",64.09,67.09,63.70,65.19,"417,500",65.19
"May 20, 2016",61.35,64.24,60.44,64.01,"550,500",64.01
"May 19, 2016",62.87,64.59,60.29,61.46,"557,400",61.46
"May 18, 2016",58.44,63.30,58.44,63.18,"413,000",63.18
"May 17, 2016",59.17,61.20,57.85,58.88,"619,900",58.88
"May 16, 2016",59.38,62.12,58.71,59.49,"552,100",59.49
"May 13, 2016",58.20,60.61,57.41,59.26,"327,600",59.26
"May 12, 2016",59.99,60.60,56.25,58.56,"563,000",58.56
"May 11, 2016",63.68,64.53,59.20,59.43,"668,900",59.43
"May 10, 2016",62.44,65.46,59.85,63.55,"666,100",63.55
"May 9, 2016",63.51,66.06,61.91,64.36,"519,000",64.36
"May 6, 2016",61.61,64.85,60.40,63.16,"478,400",63.16
"May 5, 2016",63.60,63.60,59.88,62.45,"412,400",62.45
"May 4, 2016",65.46,66.37,62.51,63.09,"585,200",63.09
"May 3, 2016",68.77,69.71,65.37,65.56,"573,500",65.56
"May 2, 2016",67.75,69.58,65.54,69.46,"404,000",69.46
"Apr 29, 2016",67.77,69.22,65.05,67.62,"460,900",67.62
"Apr 28, 2016",69.33,70.72,67.56,68.00,"372,600",68.00
"Apr 27, 2016",71.02,71.02,67.65,69.58,"425,800",69.58
"Apr 26, 2016",72.57,72.62,70.45,70.88,"402,600",70.88
"Apr 25, 2016",76.31,76.97,72.97,73.19,"427,500",73.19
"Apr 22, 2016",75.73,76.41,72.44,76.02,"454,600",76.02
"Apr 21, 2016",71.52,75.48,70.07,75.41,"526,900",75.41
"Apr 20, 2016",70.39,71.42,68.71,70.51,"385,900",70.51
"Apr 19, 2016",73.45,73.73,69.59,69.86,"587,700",69.86
"Apr 18, 2016",70.36,73.83,69.44,73.70,"439,700",73.70
"Apr 15, 2016",70.74,71.50,68.80,70.85,"281,800",70.85
"Apr 14, 2016",71.65,71.91,68.40,70.94,"367,800",70.94
"Apr 13, 2016",69.48,71.72,67.95,71.34,"344,600",71.34
"Apr 12, 2016",66.80,69.59,65.08,69.25,"462,400",69.25
"Apr 11, 2016",71.07,71.07,66.80,66.98,"456,700",66.98
"Apr 8, 2016",71.58,72.00,66.75,70.65,"583,800",70.65
"Apr 7, 2016",72.62,78.13,69.75,70.14,"606,900",70.14
"Apr 6, 2016",67.80,74.96,67.46,73.51,"650,300",73.51
"Apr 5, 2016",66.96,70.78,66.40,67.62,"546,000",67.62
"Apr 4, 2016",66.93,70.48,66.14,67.62,"759,600",67.62
"Apr 1, 2016",63.15,66.96,62.28,66.46,"509,600",66.46
"Mar 31, 2016",57.80,64.36,57.06,63.31,"612,300",63.31
"Mar 30, 2016",59.89,62.20,57.17,57.30,"794,000",57.30
"Mar 29, 2016",56.82,59.36,54.30,59.13,"556,100",59.13
"Mar 28, 2016",59.60,60.72,56.64,56.81,"475,200",56.81
"Mar 24, 2016",58.40,61.97,56.20,59.02,"554,800",59.02
"Mar 23, 2016",62.09,63.72,58.49,58.80,"1,011,600",58.80
"Mar 22, 2016",57.27,63.88,57.27,62.42,"937,400",62.42
"Mar 21, 2016",55.79,58.61,55.43,57.69,"928,200",57.69
"Mar 18, 2016",54.63,57.62,51.01,56.32,"1,221,500",56.32
"Mar 17, 2016",53.44,54.78,50.22,54.28,"671,800",54.28
"Mar 16, 2016",54.22,55.68,52.10,53.43,"556,100",53.43
"Mar 15, 2016",57.77,58.17,53.59,54.73,"526,600",54.73
"Mar 14, 2016",59.93,61.90,58.03,58.70,"646,100",58.70
"Mar 11, 2016",56.01,60.60,55.00,60.00,"838,500",60.00
"Mar 10, 2016",59.09,61.03,53.25,54.95,"964,500",54.95
"Mar 9, 2016",62.35,62.93,57.99,58.61,"920,700",58.61
"Mar 8, 2016",66.50,67.00,61.52,61.90,"807,400",61.90
"Mar 7, 2016",62.24,66.38,60.53,65.82,"643,300",65.82
"Mar 4, 2016",64.17,65.19,62.00,62.74,"660,200",62.74
"Mar 3, 2016",67.70,68.65,62.60,63.38,"617,700",63.38
"Mar 2, 2016",64.00,70.00,63.53,67.78,"976,700",67.78
"Mar 1, 2016",61.63,64.85,59.46,64.70,"811,600",64.70
"Feb 29, 2016",62.56,64.77,60.04,60.99,"866,600",60.99
"Feb 26, 2016",60.52,63.87,59.11,62.30,"589,700",62.30
"Feb 25, 2016",62.70,64.97,60.03,60.85,"638,300",60.85
"Feb 24, 2016",60.02,62.99,58.24,62.74,"494,200",62.74
"Feb 23, 2016",62.74,64.19,60.65,60.83,"741,700",60.83
"Feb 22, 2016",64.11,65.95,62.39,63.72,"657,700",63.72
"Feb 19, 2016",60.47,64.84,59.09,63.27,"485,100",63.27
"Feb 18, 2016",61.86,63.67,59.06,60.52,"778,900",60.52
