Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",36.31,36.64,34.67,35.06,"681,300",35.06
"Jun 10, 2016",36.26,36.88,34.56,36.64,"484,900",36.64
"Jun 9, 2016",37.70,38.41,36.63,36.69,"350,600",36.69
"Jun 8, 2016",38.21,39.83,38.00,38.42,"497,300",38.42
"Jun 7, 2016",39.13,39.89,38.22,38.28,"453,000",38.28
"Jun 6, 2016",37.55,40.00,36.57,39.42,"717,700",39.42
"Jun 3, 2016",40.01,40.91,37.51,37.60,"730,400",37.60
"Jun 2, 2016",37.25,39.94,37.25,39.91,"805,600",39.91
"Jun 1, 2016",36.46,37.85,36.03,37.49,"706,900",37.49
"May 31, 2016",35.49,37.98,35.24,36.26,"871,800",36.26
"May 27, 2016",33.34,35.13,33.08,35.05,"481,500",35.05
"May 26, 2016",34.51,34.91,33.16,33.65,"634,900",33.65
"May 25, 2016",35.98,36.21,34.50,34.90,"457,300",34.90
"May 24, 2016",34.78,35.92,34.21,35.66,"585,100",35.66
"May 23, 2016",34.17,35.35,34.15,34.40,"586,300",34.40
"May 20, 2016",32.08,33.76,31.88,33.73,"514,300",33.73
"May 19, 2016",32.57,33.42,31.41,32.04,"424,500",32.04
"May 18, 2016",33.00,33.73,32.69,32.90,"521,000",32.90
"May 17, 2016",31.29,33.75,30.91,33.07,"672,700",33.07
"May 16, 2016",30.80,32.00,30.55,31.50,"459,300",31.50
"May 13, 2016",30.34,31.96,29.78,30.48,"428,000",30.48
"May 12, 2016",32.19,32.19,30.10,30.28,"601,100",30.28
"May 11, 2016",33.31,34.14,32.06,32.16,"633,600",32.16
"May 10, 2016",33.58,34.26,32.24,33.53,"711,400",33.53
"May 9, 2016",30.52,33.77,30.50,33.28,"832,500",33.28
"May 6, 2016",30.68,32.19,29.27,30.93,"783,800",30.93
"May 5, 2016",33.00,33.00,30.25,30.49,"1,089,200",30.49
"May 4, 2016",35.00,35.31,32.44,33.04,"641,100",33.04
"May 3, 2016",36.10,36.70,35.00,35.26,"466,000",35.26
"May 2, 2016",35.74,36.66,35.08,36.64,"1,186,000",36.64
"Apr 29, 2016",36.48,37.33,35.58,35.60,"556,800",35.60
"Apr 28, 2016",37.01,38.03,36.23,36.53,"360,000",36.53
"Apr 27, 2016",37.30,37.95,35.89,37.38,"510,600",37.38
"Apr 26, 2016",38.20,38.93,36.39,37.41,"595,400",37.41
"Apr 25, 2016",38.73,39.71,37.90,38.34,"833,200",38.34
"Apr 22, 2016",38.43,39.07,37.33,38.78,"666,800",38.78
"Apr 21, 2016",36.05,38.78,35.95,38.26,"792,100",38.26
"Apr 20, 2016",36.53,37.01,35.34,36.00,"575,300",36.00
"Apr 19, 2016",36.70,37.22,35.30,36.66,"543,000",36.66
"Apr 18, 2016",36.70,37.93,35.54,36.19,"733,200",36.19
"Apr 15, 2016",36.28,36.92,35.24,36.74,"715,700",36.74
"Apr 14, 2016",34.66,36.66,34.20,36.42,"667,400",36.42
"Apr 13, 2016",34.24,35.00,33.55,34.93,"486,200",34.93
"Apr 12, 2016",33.30,34.35,32.60,33.82,"751,200",33.82
"Apr 11, 2016",35.45,35.58,33.20,33.34,"1,094,900",33.34
"Apr 8, 2016",38.15,38.15,34.84,35.44,"1,856,500",35.44
"Apr 7, 2016",35.39,39.39,34.81,37.08,"2,558,100",37.08
"Apr 6, 2016",32.58,35.98,32.58,35.69,"1,374,200",35.69
"Apr 5, 2016",32.54,33.75,32.12,32.43,"788,200",32.43
"Apr 4, 2016",34.67,34.96,32.92,33.03,"1,396,100",33.03
"Apr 1, 2016",31.95,35.34,31.03,34.67,"2,319,500",34.67
"Mar 31, 2016",32.36,33.23,30.80,31.44,"1,834,300",31.44
"Mar 30, 2016",31.20,34.12,30.07,32.83,"3,772,400",32.83
"Mar 29, 2016",30.42,30.97,28.00,30.84,"1,998,900",30.84
"Mar 28, 2016",32.97,33.41,30.05,30.25,"1,736,000",30.25
"Mar 24, 2016",32.91,34.66,31.04,32.96,"1,481,300",32.96
"Mar 23, 2016",36.04,36.95,32.92,33.22,"1,464,900",33.22
"Mar 22, 2016",33.01,36.63,33.01,35.58,"1,935,500",35.58
"Mar 21, 2016",31.71,35.46,31.66,33.16,"1,399,400",33.16
"Mar 18, 2016",31.39,33.33,30.23,32.00,"2,051,900",32.00
"Mar 17, 2016",30.19,31.84,28.18,31.37,"1,416,900",31.37
"Mar 16, 2016",30.45,31.46,28.34,30.02,"943,600",30.02
"Mar 15, 2016",33.65,33.99,30.06,30.48,"1,089,700",30.48
"Mar 14, 2016",34.73,35.24,33.00,34.18,"1,469,900",34.18
"Mar 11, 2016",35.24,35.88,32.90,35.02,"1,566,100",35.02
"Mar 10, 2016",37.35,38.83,33.35,34.87,"2,145,100",34.87
"Mar 9, 2016",32.97,37.79,31.09,37.07,"2,465,500",37.07
"Mar 8, 2016",33.24,34.75,31.81,32.09,"1,248,700",32.09
"Mar 7, 2016",31.33,34.00,31.28,33.49,"777,500",33.49
"Mar 4, 2016",31.20,33.10,30.28,31.80,"823,800",31.80
"Mar 3, 2016",31.24,31.62,30.37,30.74,"568,900",30.74
"Mar 2, 2016",30.99,31.78,29.71,31.06,"1,246,400",31.06
"Mar 1, 2016",29.56,30.73,28.61,30.68,"696,000",30.68
"Feb 29, 2016",29.95,30.30,29.10,29.30,"485,600",29.30
"Feb 26, 2016",30.95,31.73,29.02,30.00,"828,900",30.00
"Feb 25, 2016",32.10,33.81,30.80,30.92,"1,695,300",30.92
"Feb 24, 2016",30.88,34.40,28.75,33.04,"3,097,300",33.04
"Feb 23, 2016",33.14,33.49,30.83,32.83,"1,605,100",32.83
"Feb 22, 2016",32.67,37.00,32.25,33.87,"5,973,000",33.87
"Feb 19, 2016",25.25,27.06,24.76,27.00,"991,200",27.00
"Feb 18, 2016",27.46,27.87,24.99,25.18,"940,800",25.18
"Feb 17, 2016",26.80,27.32,24.76,27.21,"1,384,800",27.21
