Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",371.71,375.38,366.90,367.23,"854,500",367.23
"Jun 10, 2016",379.04,379.75,369.60,372.03,"889,500",372.03
"Jun 9, 2016",386.41,392.63,381.08,381.08,"658,000",381.08
"Jun 8, 2016",394.47,394.81,383.98,388.97,"844,200",388.97
"Jun 7, 2016",400.90,402.39,394.12,394.47,"662,900",394.47
"Jun 6, 2016",401.75,404.54,396.71,403.89,"594,400",403.89
"Jun 3, 2016",405.83,407.00,393.21,400.75,"1,149,400",400.75
"Jun 2, 2016",405.35,407.57,400.31,407.13,"714,100",407.13
"Jun 1, 2016",398.75,408.35,395.14,404.31,"875,100",404.31
"May 31, 2016",398.36,400.47,395.00,398.93,"1,007,300",398.93
"May 27, 2016",398.49,398.49,389.62,396.22,"547,900",396.22
"May 26, 2016",393.49,394.90,388.08,393.54,"731,800",393.54
"May 25, 2016",399.95,400.99,392.91,394.49,"959,800",394.49
"May 24, 2016",397.23,402.48,393.31,397.70,"1,109,100",397.70
"May 23, 2016",386.46,396.99,384.31,392.64,"1,084,900",392.64
"May 20, 2016",383.37,388.00,382.05,386.00,"795,000",386.00
"May 19, 2016",387.12,394.01,379.33,383.30,"1,254,200",383.30
"May 18, 2016",386.04,391.49,384.30,390.28,"1,172,000",390.28
"May 17, 2016",392.99,393.50,382.78,386.38,"1,355,600",386.38
"May 16, 2016",380.00,394.47,378.66,391.95,"1,301,000",391.95
"May 13, 2016",364.56,371.67,361.64,369.46,"1,157,600",369.46
"May 12, 2016",373.05,375.00,362.39,365.64,"883,400",365.64
"May 11, 2016",385.06,386.29,371.46,371.86,"702,400",371.86
"May 10, 2016",377.96,387.09,374.38,385.87,"741,400",385.87
"May 9, 2016",370.20,381.32,370.20,375.47,"946,100",375.47
"May 6, 2016",376.36,377.43,365.93,369.95,"884,800",369.95
"May 5, 2016",377.13,381.61,369.11,377.73,"1,500,300",377.73
"May 4, 2016",370.06,371.09,360.25,360.64,"1,007,500",360.64
"May 3, 2016",379.62,381.73,370.77,371.32,"727,000",371.32
"May 2, 2016",377.95,385.00,369.07,384.52,"729,500",384.52
"Apr 29, 2016",388.63,393.00,373.14,376.71,"889,000",376.71
"Apr 28, 2016",387.11,401.78,385.00,391.30,"923,800",391.30
"Apr 27, 2016",406.91,406.91,386.36,390.28,"975,000",390.28
"Apr 26, 2016",406.77,411.41,404.33,406.66,"430,200",406.66
"Apr 25, 2016",408.21,408.94,403.26,406.92,"376,400",406.92
"Apr 22, 2016",406.61,411.58,394.50,404.38,"846,300",404.38
"Apr 21, 2016",400.69,411.83,398.00,409.57,"735,500",409.57
"Apr 20, 2016",406.21,406.90,396.00,399.75,"979,000",399.75
"Apr 19, 2016",421.38,422.37,411.40,413.78,"686,700",413.78
"Apr 18, 2016",407.38,423.95,405.59,422.38,"952,000",422.38
"Apr 15, 2016",408.86,409.77,400.89,406.73,"469,500",406.73
"Apr 14, 2016",412.16,414.59,401.81,406.83,"452,200",406.83
"Apr 13, 2016",411.24,415.00,406.00,410.52,"606,100",410.52
"Apr 12, 2016",396.33,410.49,394.20,408.07,"1,047,300",408.07
"Apr 11, 2016",407.37,407.37,392.92,396.14,"1,083,700",396.14
"Apr 8, 2016",420.90,424.00,401.70,404.94,"1,220,200",404.94
"Apr 7, 2016",425.00,433.93,417.02,418.48,"1,231,400",418.48
"Apr 6, 2016",404.21,428.05,404.21,427.20,"1,474,500",427.20
"Apr 5, 2016",401.85,411.85,399.29,403.65,"1,025,800",403.65
"Apr 4, 2016",403.69,411.33,399.06,405.30,"1,205,200",405.30
"Apr 1, 2016",373.99,411.98,360.81,405.25,"3,182,300",405.25
"Mar 31, 2016",361.02,364.84,358.63,360.44,"929,000",360.44
"Mar 30, 2016",369.72,373.99,359.15,359.68,"699,300",359.68
"Mar 29, 2016",363.89,369.64,357.34,367.37,"591,600",367.37
"Mar 28, 2016",372.98,374.92,363.32,363.85,"474,800",363.85
"Mar 24, 2016",363.46,375.38,360.38,370.80,"1,046,000",370.80
"Mar 23, 2016",378.85,384.31,365.14,365.38,"690,200",365.38
"Mar 22, 2016",367.91,380.82,367.25,378.31,"723,100",378.31
"Mar 21, 2016",363.86,375.92,360.53,371.04,"771,800",371.04
"Mar 18, 2016",367.64,370.41,356.75,364.51,"1,581,000",364.51
"Mar 17, 2016",366.31,369.50,348.96,365.47,"1,496,700",365.47
"Mar 16, 2016",367.00,381.00,360.00,368.46,"1,093,600",368.46
"Mar 15, 2016",369.96,372.28,359.17,367.22,"1,037,400",367.22
"Mar 14, 2016",378.55,379.10,370.65,373.27,"1,077,700",373.27
"Mar 11, 2016",382.67,383.58,375.53,377.12,"826,600",377.12
"Mar 10, 2016",376.88,380.59,373.63,377.56,"1,172,900",377.56
"Mar 9, 2016",388.53,389.61,373.80,374.75,"1,591,000",374.75
"Mar 8, 2016",405.40,408.29,392.66,394.81,"706,100",394.81
"Mar 7, 2016",401.79,411.24,399.61,408.28,"629,200",408.28
"Mar 4, 2016",404.55,413.85,395.95,403.82,"790,600",403.82
"Mar 3, 2016",406.23,409.44,395.21,401.94,"780,400",401.94
"Mar 2, 2016",410.00,419.00,405.26,407.81,"781,900",407.81
"Mar 1, 2016",387.86,410.21,384.02,410.21,"921,000",410.21
"Feb 29, 2016",396.24,397.12,383.06,384.02,"794,000",384.02
"Feb 26, 2016",396.92,398.60,387.64,394.23,"593,300",394.23
"Feb 25, 2016",396.36,402.81,390.49,393.99,"670,200",393.99
"Feb 24, 2016",383.69,394.75,377.30,393.63,"713,700",393.63
"Feb 23, 2016",392.00,399.69,386.08,386.83,"614,400",386.83
"Feb 22, 2016",399.05,405.71,394.39,395.79,"697,300",395.79
"Feb 19, 2016",386.45,396.24,380.02,394.98,"604,800",394.98
"Feb 18, 2016",395.65,405.00,386.01,387.30,"721,600",387.30
"Feb 17, 2016",393.73,398.75,385.00,397.26,"836,200",397.26
"Feb 16, 2016",386.40,393.95,382.22,391.76,"1,088,500",391.76
"Feb 12, 2016",371.36,379.04,365.13,379.01,"724,700",379.01
"Feb 11, 2016",358.30,375.98,357.01,367.24,"938,800",367.24
"Feb 10, 2016",370.02,378.19,363.00,367.48,"1,208,400",367.48
"Feb 9, 2016",357.00,388.00,350.26,365.97,"2,097,800",365.97
"Feb 8, 2016",380.70,393.64,376.61,390.53,"1,215,400",390.53
"Feb 5, 2016",416.10,420.53,393.07,396.61,"1,424,000",396.61
"Feb 4, 2016",417.17,437.53,408.12,412.59,"1,282,000",412.59
"Feb 3, 2016",413.05,422.49,392.35,421.01,"1,248,400",421.01
"Feb 2, 2016",412.68,415.63,402.23,409.89,"885,000",409.89
"Feb 1, 2016",417.19,420.77,408.42,418.27,"997,700",418.27
"Jan 29, 2016",415.22,428.91,405.06,420.09,"1,145,300",420.09
"Jan 28, 2016",436.00,436.70,400.00,415.11,"2,295,700",415.11
"Jan 27, 2016",460.63,463.24,431.51,434.16,"1,220,300",434.16
"Jan 26, 2016",474.40,474.40,456.25,463.56,"608,200",463.56
"Jan 25, 2016",468.53,482.27,465.11,473.12,"912,000",473.12
"Jan 22, 2016",469.43,484.57,464.23,482.99,"820,500",482.99
"Jan 21, 2016",462.16,469.98,452.01,461.57,"889,900",461.57
"Jan 20, 2016",438.53,468.82,432.05,461.95,"1,229,400",461.95
"Jan 19, 2016",470.20,474.44,441.88,447.02,"1,217,400",447.02
"Jan 15, 2016",464.59,476.24,456.00,462.95,"1,345,100",462.95
"Jan 14, 2016",461.85,486.52,453.16,479.08,"1,189,100",479.08
"Jan 13, 2016",474.85,474.85,451.39,459.57,"1,383,100",459.57
"Jan 12, 2016",486.00,486.99,452.67,474.98,"1,708,100",474.98
"Jan 11, 2016",495.05,498.70,469.80,480.82,"862,100",480.82
"Jan 8, 2016",505.02,511.31,490.99,491.68,"790,700",491.68
"Jan 7, 2016",510.50,515.35,501.91,501.96,"925,400",501.96
"Jan 6, 2016",499.00,524.67,496.00,519.48,"886,700",519.48
"Jan 5, 2016",519.38,521.78,504.06,508.98,"889,300",508.98
"Jan 4, 2016",531.76,532.91,507.10,516.55,"1,023,800",516.55
"Dec 31, 2015",542.62,550.66,542.62,542.87,"308,500",542.87
"Dec 30, 2015",550.54,551.88,544.69,548.19,"297,400",548.19
"Dec 29, 2015",542.28,553.75,541.76,550.21,"519,700",550.21
"Dec 28, 2015",536.45,540.72,531.58,540.28,"351,000",540.28
"Dec 24, 2015",535.56,539.85,534.11,537.63,"169,400",537.63
"Dec 23, 2015",531.06,537.48,528.41,535.85,"415,300",535.85
"Dec 22, 2015",535.59,539.61,526.26,528.34,"621,800",528.34
"Dec 21, 2015",545.95,547.09,528.28,532.55,"859,500",532.55
"Dec 18, 2015",548.34,552.03,542.15,544.23,"1,181,200",544.23
"Dec 17, 2015",560.00,563.03,551.20,551.49,"618,900",551.49
"Dec 16, 2015",559.09,563.79,547.55,559.67,"738,400",559.67
"Dec 15, 2015",543.42,557.15,540.00,556.45,"779,400",556.45
"Dec 14, 2015",537.14,540.43,527.05,539.94,"630,500",539.94
"Dec 11, 2015",538.90,547.50,532.50,534.51,"698,500",534.51
"Dec 10, 2015",547.24,551.69,542.55,548.17,"552,900",548.17
"Dec 9, 2015",553.76,562.86,543.00,547.39,"566,000",547.39
"Dec 8, 2015",542.87,558.00,540.00,556.33,"440,500",556.33
"Dec 7, 2015",559.66,560.15,544.56,546.61,"491,200",546.61
"Dec 4, 2015",538.09,559.30,538.01,558.66,"617,000",558.66
"Dec 3, 2015",547.59,549.99,534.13,535.73,"748,300",535.73
"Dec 2, 2015",545.01,555.88,541.20,546.88,"698,800",546.88
"Dec 1, 2015",549.25,550.32,536.30,545.74,"651,400",545.74
"Nov 30, 2015",563.99,565.68,540.26,544.50,"843,100",544.50
"Nov 27, 2015",564.08,566.52,559.25,563.10,"466,600",563.10
"Nov 25, 2015",567.96,572.94,560.00,561.69,"774,100",561.69
"Nov 24, 2015",567.05,569.93,560.53,567.47,"673,900",567.47
"Nov 23, 2015",575.99,584.59,567.06,570.85,"856,900",570.85
"Nov 20, 2015",583.95,587.38,576.59,579.57,"745,700",579.57
"Nov 19, 2015",587.00,592.59,580.58,581.35,"584,800",581.35
"Nov 18, 2015",571.40,588.98,571.40,587.09,"708,000",587.09
"Nov 17, 2015",559.44,573.35,556.79,570.91,"692,000",570.91
"Nov 16, 2015",550.26,559.18,545.20,558.38,"574,000",558.38
"Nov 13, 2015",551.19,557.25,545.12,548.90,"548,700",548.90
"Nov 12, 2015",566.02,566.37,551.51,552.53,"579,400",552.53
"Nov 11, 2015",567.50,571.75,560.15,566.41,"597,400",566.41
"Nov 10, 2015",559.00,565.50,551.01,564.86,"570,200",564.86
"Nov 9, 2015",560.83,564.56,555.82,558.52,"658,100",558.52
"Nov 6, 2015",561.03,566.08,552.89,562.00,"666,200",562.00
"Nov 5, 2015",564.94,574.25,561.00,564.16,"1,035,500",564.16
"Nov 4, 2015",578.01,588.05,549.50,564.00,"1,526,500",564.00
"Nov 3, 2015",581.00,581.00,564.50,578.00,"944,500",578.00
"Nov 2, 2015",568.29,580.98,560.20,579.00,"993,800",579.00
"Oct 30, 2015",562.33,565.66,552.50,557.39,"731,900",557.39
"Oct 29, 2015",568.56,578.00,559.00,560.02,"693,300",560.02
"Oct 28, 2015",561.65,571.16,553.62,571.14,"890,200",571.14
"Oct 27, 2015",545.16,568.38,545.16,567.79,"898,400",567.79
"Oct 26, 2015",537.70,550.89,534.86,545.87,"709,600",545.87
"Oct 23, 2015",530.19,539.11,525.31,536.70,"804,500",536.70
