Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",23.12,23.24,22.41,22.50,"241,000",22.50
"Jun 10, 2016",23.46,23.85,23.00,23.26,"223,800",23.26
"Jun 9, 2016",24.58,24.92,23.67,23.75,"289,400",23.75
"Jun 8, 2016",24.62,24.89,24.05,24.75,"167,100",24.75
"Jun 7, 2016",25.00,25.00,24.28,24.54,"252,800",24.54
"Jun 6, 2016",24.76,25.30,24.36,25.11,"402,800",25.11
"Jun 3, 2016",25.00,25.45,24.26,24.82,"200,100",24.82
"Jun 2, 2016",24.07,25.06,24.07,25.06,"209,900",25.06
"Jun 1, 2016",23.94,24.31,23.68,24.16,"269,900",24.16
"May 31, 2016",24.43,24.68,23.69,23.96,"277,300",23.96
"May 27, 2016",23.61,24.28,23.33,24.24,"141,400",24.24
"May 26, 2016",24.55,24.55,23.66,23.67,"175,800",23.67
"May 25, 2016",24.21,24.80,24.12,24.61,"533,400",24.61
"May 24, 2016",23.63,24.37,23.49,24.12,"360,700",24.12
"May 23, 2016",24.39,24.73,23.31,23.50,"465,300",23.50
"May 20, 2016",24.07,24.45,23.82,24.39,"478,000",24.39
"May 19, 2016",24.77,24.77,23.31,23.95,"1,188,500",23.95
"May 18, 2016",25.29,26.36,25.10,26.18,"242,400",26.18
"May 17, 2016",26.14,26.45,25.23,25.36,"229,900",25.36
"May 16, 2016",26.00,26.52,26.00,26.33,"308,000",26.33
"May 13, 2016",26.31,26.70,26.03,26.19,"207,400",26.19
"May 12, 2016",26.22,26.54,25.46,26.31,"188,100",26.31
"May 11, 2016",26.84,27.09,26.06,26.12,"275,600",26.12
"May 10, 2016",27.20,27.38,26.29,26.86,"233,200",26.86
"May 9, 2016",26.18,27.46,26.18,26.95,"241,600",26.95
"May 6, 2016",25.91,26.65,25.43,26.25,"275,500",26.25
"May 5, 2016",26.25,26.76,24.70,25.92,"423,500",25.92
"May 4, 2016",26.65,27.29,25.64,25.71,"313,900",25.71
"May 3, 2016",27.07,27.67,26.63,26.74,"151,400",26.74
"May 2, 2016",26.64,27.47,26.39,27.38,"215,600",27.38
"Apr 29, 2016",26.74,27.08,26.21,26.64,"162,900",26.64
"Apr 28, 2016",26.81,27.77,26.33,26.97,"220,200",26.97
"Apr 27, 2016",26.88,27.27,26.10,26.99,"127,900",26.99
"Apr 26, 2016",27.30,27.31,26.01,27.00,"209,400",27.00
"Apr 25, 2016",27.95,28.24,27.04,27.18,"195,000",27.18
"Apr 22, 2016",27.79,28.18,27.30,27.99,"211,000",27.99
"Apr 21, 2016",27.23,28.12,27.16,27.83,"184,600",27.83
"Apr 20, 2016",27.37,27.98,27.01,27.26,"174,400",27.26
"Apr 19, 2016",28.16,28.19,26.95,27.27,"167,200",27.27
"Apr 18, 2016",27.76,28.32,27.67,28.22,"173,100",28.22
"Apr 15, 2016",28.27,28.78,27.75,28.01,"142,400",28.01
"Apr 14, 2016",28.72,28.97,28.20,28.44,"206,900",28.44
"Apr 13, 2016",27.71,28.92,27.36,28.84,"266,700",28.84
"Apr 12, 2016",27.11,27.95,27.03,27.42,"287,600",27.42
"Apr 11, 2016",27.75,28.11,27.11,27.20,"228,900",27.20
"Apr 8, 2016",27.51,27.78,26.92,27.70,"250,100",27.70
"Apr 7, 2016",28.35,28.83,26.93,27.22,"313,700",27.22
"Apr 6, 2016",26.99,28.72,26.99,28.63,"364,400",28.63
"Apr 5, 2016",26.71,27.43,26.28,27.03,"274,300",27.03
"Apr 4, 2016",27.26,27.57,26.81,26.89,"225,200",26.89
"Apr 1, 2016",26.62,27.18,26.24,26.92,"232,000",26.92
"Mar 31, 2016",27.12,27.66,26.67,26.82,"254,600",26.82
"Mar 30, 2016",24.93,26.96,24.74,26.77,"346,700",26.77
"Mar 29, 2016",24.72,24.80,24.03,24.61,"631,300",24.61
"Mar 28, 2016",26.27,26.40,24.63,24.72,"255,300",24.72
"Mar 24, 2016",25.23,26.33,24.96,26.13,"311,100",26.13
"Mar 23, 2016",25.36,25.97,24.99,25.29,"420,800",25.29
"Mar 22, 2016",24.32,25.66,24.32,25.50,"298,500",25.50
"Mar 21, 2016",24.09,24.80,23.94,24.35,"313,700",24.35
"Mar 18, 2016",24.69,24.76,23.67,24.08,"669,600",24.08
"Mar 17, 2016",25.25,25.57,24.13,24.55,"296,700",24.55
"Mar 16, 2016",25.00,25.83,24.88,25.45,"244,600",25.45
"Mar 15, 2016",26.09,26.09,24.69,25.01,"363,500",25.01
"Mar 14, 2016",27.25,28.50,25.97,26.33,"252,800",26.33
"Mar 11, 2016",26.60,27.85,26.40,27.37,"301,500",27.37
"Mar 10, 2016",26.89,27.47,26.20,26.40,"390,800",26.40
"Mar 9, 2016",26.25,26.78,25.08,26.62,"305,900",26.62
"Mar 8, 2016",27.06,27.33,25.98,26.09,"239,800",26.09
"Mar 7, 2016",26.66,27.59,26.32,27.19,"326,200",27.19
"Mar 4, 2016",26.74,27.25,26.30,26.82,"346,300",26.82
"Mar 3, 2016",26.84,27.33,26.49,27.10,"309,400",27.10
"Mar 2, 2016",27.13,27.46,26.24,26.90,"558,600",26.90
"Mar 1, 2016",25.94,27.48,25.01,27.24,"506,500",27.24
"Feb 29, 2016",25.89,26.38,25.21,25.73,"629,700",25.73
"Feb 26, 2016",25.92,27.27,25.87,26.05,"468,600",26.05
"Feb 25, 2016",25.50,25.92,24.38,25.78,"389,700",25.78
"Feb 24, 2016",24.90,25.77,24.35,25.44,"414,500",25.44
"Feb 23, 2016",26.01,26.40,25.17,25.19,"343,900",25.19
"Feb 22, 2016",25.83,26.45,25.11,26.19,"391,800",26.19
"Feb 19, 2016",24.19,24.94,23.91,24.77,"272,000",24.77
"Feb 18, 2016",24.06,24.57,23.64,24.30,"407,600",24.30
"Feb 17, 2016",23.29,24.56,23.00,24.01,"327,100",24.01
"Feb 16, 2016",23.20,23.60,22.81,23.14,"351,000",23.14
"Feb 12, 2016",22.22,23.03,21.40,22.97,"375,700",22.97
"Feb 11, 2016",21.50,22.05,21.07,21.73,"344,800",21.73
"Feb 10, 2016",21.50,22.64,21.27,21.98,"378,300",21.98
"Feb 9, 2016",20.75,22.12,20.07,21.35,"201,300",21.35
"Feb 8, 2016",20.71,21.35,20.45,20.93,"339,300",20.93
"Feb 5, 2016",21.72,22.55,20.97,21.04,"340,600",21.04
"Feb 4, 2016",21.98,22.93,21.45,21.87,"319,200",21.87
"Feb 3, 2016",22.08,22.12,20.91,22.05,"233,900",22.05
"Feb 2, 2016",22.00,22.44,21.64,21.96,"228,500",21.96
"Feb 1, 2016",22.04,22.76,21.48,22.45,"301,400",22.45
"Jan 29, 2016",21.44,22.33,21.29,22.15,"398,600",22.15
"Jan 28, 2016",22.53,22.55,21.02,21.41,"367,800",21.41
"Jan 27, 2016",23.63,23.92,22.01,22.23,"335,900",22.23
