Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.21,5.51,5.21,5.46,"1,031,100",5.46
"Jun 10, 2016",5.27,5.32,5.13,5.27,"584,000",5.27
"Jun 9, 2016",5.26,5.43,5.26,5.34,"672,900",5.34
"Jun 8, 2016",5.51,5.58,5.22,5.31,"1,196,800",5.31
"Jun 7, 2016",6.10,6.10,5.45,5.46,"2,902,100",5.46
"Jun 6, 2016",5.84,6.02,5.64,5.94,"602,000",5.94
"Jun 3, 2016",6.21,6.23,5.78,5.83,"711,000",5.83
"Jun 2, 2016",5.96,6.23,5.92,6.20,"708,300",6.20
"Jun 1, 2016",6.20,6.25,5.84,5.96,"665,600",5.96
"May 31, 2016",5.85,6.22,5.85,6.14,"945,800",6.14
"May 27, 2016",5.78,5.89,5.72,5.80,"353,600",5.80
"May 26, 2016",5.89,5.91,5.76,5.77,"391,400",5.77
"May 25, 2016",5.89,6.03,5.82,5.86,"616,000",5.86
"May 24, 2016",5.77,5.88,5.68,5.85,"530,800",5.85
"May 23, 2016",5.55,5.90,5.51,5.70,"678,300",5.70
"May 20, 2016",5.46,5.59,5.41,5.55,"732,900",5.55
"May 19, 2016",5.29,5.50,5.22,5.41,"837,300",5.41
"May 18, 2016",5.31,5.44,5.26,5.33,"408,300",5.33
"May 17, 2016",5.44,5.60,5.30,5.34,"531,200",5.34
"May 16, 2016",5.37,5.56,5.19,5.49,"990,100",5.49
"May 13, 2016",5.10,5.39,5.02,5.32,"956,500",5.32
"May 12, 2016",5.36,5.45,4.96,5.10,"727,600",5.10
"May 11, 2016",5.57,5.67,5.31,5.33,"496,600",5.33
"May 10, 2016",5.59,5.70,5.30,5.59,"779,700",5.59
"May 9, 2016",5.37,5.65,5.29,5.53,"745,000",5.53
"May 6, 2016",5.28,5.41,5.12,5.38,"713,700",5.38
"May 5, 2016",5.43,5.48,5.23,5.36,"652,200",5.36
"May 4, 2016",5.51,5.51,5.24,5.39,"798,700",5.39
"May 3, 2016",5.61,5.80,5.32,5.44,"1,065,800",5.44
"May 2, 2016",5.85,5.97,5.68,5.93,"449,500",5.93
"Apr 29, 2016",6.16,6.32,5.77,5.84,"627,900",5.84
"Apr 28, 2016",6.17,6.42,6.03,6.16,"407,600",6.16
"Apr 27, 2016",6.00,6.34,5.86,6.22,"596,800",6.22
"Apr 26, 2016",6.31,6.31,5.90,6.06,"730,800",6.06
"Apr 25, 2016",6.55,6.66,6.25,6.28,"461,400",6.28
"Apr 22, 2016",6.36,6.68,6.29,6.55,"623,800",6.55
"Apr 21, 2016",6.21,6.51,6.21,6.36,"751,700",6.36
"Apr 20, 2016",6.60,6.74,6.07,6.21,"1,747,000",6.21
"Apr 19, 2016",6.89,6.98,6.47,6.57,"1,091,900",6.57
"Apr 18, 2016",7.08,7.13,6.75,6.87,"1,484,900",6.87
"Apr 15, 2016",8.77,8.90,6.70,7.23,"5,317,100",7.23
"Apr 14, 2016",8.38,8.57,8.08,8.13,"496,800",8.13
"Apr 13, 2016",8.01,8.41,7.74,8.37,"503,800",8.37
"Apr 12, 2016",8.16,8.26,7.59,7.85,"429,700",7.85
"Apr 11, 2016",8.16,8.28,7.96,8.02,"243,700",8.02
"Apr 8, 2016",8.54,8.55,7.88,8.11,"307,000",8.11
"Apr 7, 2016",8.51,8.64,8.17,8.36,"322,100",8.36
"Apr 6, 2016",8.13,8.58,7.78,8.55,"850,700",8.55
"Apr 5, 2016",7.68,8.20,7.51,8.11,"575,100",8.11
"Apr 4, 2016",7.35,7.90,7.35,7.75,"682,900",7.75
"Apr 1, 2016",6.83,7.33,6.73,7.31,"418,000",7.31
"Mar 31, 2016",6.53,7.12,6.52,6.93,"455,300",6.93
"Mar 30, 2016",6.43,6.99,6.43,6.55,"660,100",6.55
"Mar 29, 2016",6.11,6.32,5.80,6.31,"653,800",6.31
"Mar 28, 2016",6.43,6.49,6.06,6.17,"438,500",6.17
"Mar 24, 2016",6.40,6.62,6.22,6.44,"573,600",6.44
"Mar 23, 2016",6.74,6.98,6.35,6.48,"703,900",6.48
"Mar 22, 2016",6.65,6.98,6.65,6.84,"473,200",6.84
"Mar 21, 2016",6.65,6.92,6.59,6.68,"472,900",6.68
"Mar 18, 2016",6.46,6.75,6.20,6.66,"951,600",6.66
"Mar 17, 2016",6.27,6.47,6.00,6.40,"665,100",6.40
"Mar 16, 2016",6.33,6.45,6.10,6.26,"571,500",6.26
"Mar 15, 2016",6.75,6.89,6.16,6.42,"699,500",6.42
"Mar 14, 2016",6.78,7.02,6.67,6.85,"547,800",6.85
"Mar 11, 2016",6.88,7.02,6.77,6.84,"394,100",6.84
"Mar 10, 2016",7.05,7.27,6.63,6.82,"543,400",6.82
"Mar 9, 2016",7.26,7.36,6.92,6.99,"469,100",6.99
"Mar 8, 2016",7.94,8.00,7.26,7.30,"874,500",7.30
"Mar 7, 2016",7.42,8.00,7.18,7.77,"712,500",7.77
"Mar 4, 2016",7.18,7.68,7.01,7.22,"511,800",7.22
"Mar 3, 2016",7.26,7.47,7.03,7.19,"432,800",7.19
"Mar 2, 2016",6.91,7.27,6.82,7.23,"520,200",7.23
"Mar 1, 2016",6.61,6.93,6.50,6.92,"451,600",6.92
"Feb 29, 2016",6.80,7.20,6.53,6.57,"677,400",6.57
"Feb 26, 2016",6.44,6.91,6.28,6.84,"822,400",6.84
"Feb 25, 2016",6.79,6.91,6.13,6.38,"1,101,000",6.38
"Feb 24, 2016",6.80,7.01,6.60,6.80,"986,100",6.80
"Feb 23, 2016",7.70,7.98,6.77,7.01,"1,911,200",7.01
"Feb 22, 2016",8.19,8.22,7.36,7.61,"1,751,300",7.61
"Feb 19, 2016",7.77,8.40,7.61,7.88,"1,478,700",7.88
"Feb 18, 2016",7.56,8.08,7.32,7.93,"2,122,100",7.93
"Feb 17, 2016",8.78,8.85,7.00,7.49,"10,622,100",7.49
"Feb 16, 2016",5.92,6.39,5.91,6.28,"543,800",6.28
"Feb 12, 2016",5.90,5.99,5.57,5.84,"518,400",5.84
"Feb 11, 2016",5.55,5.99,5.50,5.85,"427,800",5.85
"Feb 10, 2016",5.44,6.06,5.34,5.68,"547,700",5.68
"Feb 9, 2016",5.37,5.57,5.14,5.34,"423,000",5.34
"Feb 8, 2016",5.86,6.06,5.33,5.48,"541,600",5.48
"Feb 5, 2016",6.33,6.81,5.83,5.94,"688,800",5.94
"Feb 4, 2016",5.78,6.73,5.78,6.35,"750,000",6.35
"Feb 3, 2016",5.66,5.74,5.27,5.69,"413,100",5.69
"Feb 2, 2016",5.68,5.87,5.43,5.62,"334,500",5.62
"Feb 1, 2016",5.76,5.84,5.58,5.77,"239,700",5.77
"Jan 29, 2016",5.38,5.82,5.23,5.78,"568,300",5.78
"Jan 28, 2016",5.88,5.90,5.35,5.39,"504,100",5.39
"Jan 27, 2016",6.11,6.26,5.73,5.78,"415,400",5.78
"Jan 26, 2016",6.30,6.49,5.88,6.18,"348,700",6.18
"Jan 25, 2016",6.44,6.67,6.12,6.14,"557,700",6.14
"Jan 22, 2016",6.30,6.51,6.16,6.44,"361,300",6.44
"Jan 21, 2016",6.39,6.50,6.14,6.15,"426,200",6.15
"Jan 20, 2016",5.98,6.61,5.55,6.48,"537,300",6.48
"Jan 19, 2016",6.34,6.50,5.81,6.00,"479,900",6.00
"Jan 15, 2016",6.17,6.31,5.89,6.30,"564,400",6.30
"Jan 14, 2016",6.18,6.65,5.80,6.43,"442,100",6.43
"Jan 13, 2016",6.74,6.82,6.02,6.07,"472,600",6.07
"Jan 12, 2016",6.95,7.23,6.34,6.68,"387,100",6.68
"Jan 11, 2016",7.32,7.33,6.44,6.71,"411,200",6.71
"Jan 8, 2016",7.81,7.93,7.21,7.26,"335,800",7.26
"Jan 7, 2016",7.89,7.89,7.44,7.66,"364,900",7.66
"Jan 6, 2016",8.47,8.49,7.93,8.13,"297,100",8.13
"Jan 5, 2016",8.57,8.88,8.40,8.65,"371,600",8.65
"Jan 4, 2016",8.59,8.84,8.38,8.57,"739,800",8.57
"Dec 31, 2015",9.15,9.37,8.70,8.72,"524,500",8.72
"Dec 30, 2015",9.29,9.46,9.14,9.20,"539,000",9.20
"Dec 29, 2015",9.60,9.66,9.09,9.39,"923,300",9.39
"Dec 28, 2015",10.03,10.10,9.48,9.50,"448,800",9.50
"Dec 24, 2015",9.90,10.18,9.85,10.06,"189,500",10.06
"Dec 23, 2015",9.42,10.00,9.31,9.91,"442,300",9.91
"Dec 22, 2015",9.41,9.73,9.17,9.34,"375,600",9.34
"Dec 21, 2015",9.50,9.67,9.16,9.32,"413,100",9.32
"Dec 18, 2015",8.78,9.49,8.68,9.38,"827,900",9.38
"Dec 17, 2015",8.89,8.96,8.65,8.80,"365,900",8.80
"Dec 16, 2015",8.17,8.84,7.99,8.80,"340,700",8.80
"Dec 15, 2015",7.90,8.25,7.70,8.08,"394,900",8.08
"Dec 14, 2015",8.19,8.36,7.55,7.79,"470,300",7.79
"Dec 11, 2015",8.69,8.94,8.19,8.27,"301,500",8.27
"Dec 10, 2015",8.83,9.12,8.71,9.02,"294,000",9.02
"Dec 9, 2015",9.20,9.20,8.72,8.85,"355,600",8.85
"Dec 8, 2015",8.75,9.44,8.62,9.27,"312,500",9.27
"Dec 7, 2015",9.40,9.40,8.78,8.94,"401,800",8.94
"Dec 4, 2015",9.70,9.70,9.04,9.44,"321,700",9.44
"Dec 3, 2015",9.85,9.92,9.08,9.24,"379,000",9.24
"Dec 2, 2015",10.04,10.20,9.70,9.75,"324,000",9.75
"Dec 1, 2015",10.15,10.25,9.88,10.13,"220,000",10.13
"Nov 30, 2015",10.40,10.60,9.83,10.07,"505,400",10.07
"Nov 27, 2015",9.74,10.59,9.74,10.58,"330,700",10.58
