Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",2.44,2.53,2.40,2.45,"384,000",2.45
"Jun 10, 2016",2.38,2.47,2.36,2.39,"224,100",2.39
"Jun 9, 2016",2.45,2.52,2.40,2.42,"252,100",2.42
"Jun 8, 2016",2.45,2.48,2.35,2.47,"205,400",2.47
"Jun 7, 2016",2.50,2.50,2.42,2.44,"168,200",2.44
"Jun 6, 2016",2.58,2.58,2.50,2.50,"231,300",2.50
"Jun 3, 2016",2.58,2.60,2.49,2.55,"195,900",2.55
"Jun 2, 2016",2.56,2.61,2.52,2.60,"243,600",2.60
"Jun 1, 2016",2.58,2.61,2.54,2.56,"207,100",2.56
"May 31, 2016",2.47,2.60,2.46,2.58,"304,200",2.58
"May 27, 2016",2.48,2.52,2.35,2.46,"634,500",2.46
"May 26, 2016",2.56,2.56,2.46,2.49,"392,700",2.49
"May 25, 2016",2.51,2.58,2.43,2.54,"335,900",2.54
"May 24, 2016",2.48,2.61,2.46,2.51,"217,100",2.51
"May 23, 2016",2.49,2.57,2.45,2.46,"148,800",2.46
"May 20, 2016",2.43,2.51,2.41,2.49,"169,600",2.49
"May 19, 2016",2.46,2.51,2.38,2.41,"465,900",2.41
"May 18, 2016",2.38,2.53,2.35,2.47,"424,000",2.47
"May 17, 2016",2.40,2.50,2.35,2.39,"878,000",2.39
"May 16, 2016",2.31,2.48,2.27,2.41,"473,900",2.41
"May 13, 2016",2.29,2.35,2.25,2.30,"217,200",2.30
"May 12, 2016",2.38,2.38,2.26,2.28,"463,900",2.28
"May 11, 2016",2.41,2.44,2.35,2.38,"261,400",2.38
"May 10, 2016",2.48,2.56,2.35,2.40,"245,200",2.40
"May 9, 2016",2.31,2.48,2.30,2.45,"377,700",2.45
"May 6, 2016",2.40,2.42,2.25,2.31,"453,800",2.31
"May 5, 2016",2.57,2.66,2.40,2.43,"338,800",2.43
"May 4, 2016",2.68,2.72,2.40,2.54,"587,400",2.54
"May 3, 2016",2.80,2.87,2.72,2.74,"156,200",2.74
"May 2, 2016",2.82,2.85,2.75,2.85,"205,800",2.85
"Apr 29, 2016",2.87,2.89,2.77,2.83,"268,600",2.83
"Apr 28, 2016",2.94,2.98,2.85,2.88,"236,400",2.88
"Apr 27, 2016",2.95,2.96,2.86,2.92,"722,600",2.92
"Apr 26, 2016",2.90,2.97,2.79,2.93,"511,900",2.93
"Apr 25, 2016",2.85,2.96,2.82,2.88,"740,900",2.88
"Apr 22, 2016",2.69,2.97,2.66,2.80,"1,446,300",2.80
"Apr 21, 2016",2.48,2.54,2.47,2.49,"309,100",2.49
"Apr 20, 2016",2.54,2.56,2.37,2.47,"273,200",2.47
"Apr 19, 2016",2.63,2.64,2.48,2.53,"194,900",2.53
"Apr 18, 2016",2.60,2.64,2.57,2.61,"202,200",2.61
"Apr 15, 2016",2.56,2.63,2.53,2.59,"207,300",2.59
"Apr 14, 2016",2.60,2.63,2.51,2.58,"303,600",2.58
"Apr 13, 2016",2.44,2.58,2.41,2.58,"282,500",2.58
"Apr 12, 2016",2.38,2.48,2.35,2.44,"152,900",2.44
"Apr 11, 2016",2.49,2.52,2.37,2.39,"298,200",2.39
"Apr 8, 2016",2.52,2.54,2.42,2.48,"389,500",2.48
"Apr 7, 2016",2.51,2.58,2.48,2.50,"298,400",2.50
"Apr 6, 2016",2.42,2.54,2.42,2.53,"527,500",2.53
"Apr 5, 2016",2.34,2.47,2.30,2.41,"462,300",2.41
"Apr 4, 2016",2.25,2.46,2.20,2.35,"558,600",2.35
"Apr 1, 2016",2.06,2.26,2.03,2.22,"833,800",2.22
"Mar 31, 2016",2.06,2.09,2.01,2.08,"287,300",2.08
"Mar 30, 2016",2.08,2.09,2.03,2.05,"241,800",2.05
"Mar 29, 2016",2.04,2.08,1.96,2.07,"313,100",2.07
"Mar 28, 2016",1.98,2.08,1.93,2.07,"287,100",2.07
"Mar 24, 2016",1.94,2.05,1.90,1.95,"462,900",1.95
"Mar 23, 2016",2.06,2.09,1.96,1.97,"272,900",1.97
"Mar 22, 2016",1.96,2.09,1.95,2.07,"321,000",2.07
"Mar 21, 2016",2.06,2.11,1.92,1.96,"614,500",1.96
"Mar 18, 2016",1.98,2.07,1.90,2.05,"951,500",2.05
"Mar 17, 2016",2.10,2.10,1.88,1.94,"692,700",1.94
"Mar 16, 2016",2.24,2.31,2.00,2.09,"480,100",2.09
"Mar 15, 2016",2.30,2.34,2.23,2.26,"554,900",2.26
"Mar 14, 2016",2.34,2.40,2.31,2.33,"316,500",2.33
"Mar 11, 2016",2.42,2.42,2.30,2.34,"406,200",2.34
"Mar 10, 2016",2.40,2.41,2.30,2.37,"324,900",2.37
"Mar 9, 2016",2.31,2.45,2.25,2.36,"831,300",2.36
"Mar 8, 2016",2.51,2.53,2.26,2.27,"365,200",2.27
"Mar 7, 2016",2.38,2.53,2.37,2.52,"314,300",2.52
"Mar 4, 2016",2.46,2.49,2.37,2.42,"238,800",2.42
"Mar 3, 2016",2.45,2.49,2.42,2.47,"277,300",2.47
"Mar 2, 2016",2.32,2.46,2.25,2.45,"323,800",2.45
"Mar 1, 2016",2.26,2.37,2.26,2.32,"382,200",2.32
"Feb 29, 2016",2.33,2.35,2.25,2.27,"729,300",2.27
"Feb 26, 2016",2.35,2.39,2.30,2.32,"729,600",2.32
"Feb 25, 2016",2.40,2.41,2.28,2.34,"690,700",2.34
"Feb 24, 2016",2.30,2.40,2.26,2.34,"507,700",2.34
"Feb 23, 2016",2.43,2.45,2.31,2.32,"464,500",2.32
"Feb 22, 2016",2.42,2.53,2.41,2.46,"348,500",2.46
"Feb 19, 2016",2.39,2.48,2.32,2.41,"344,100",2.41
"Feb 18, 2016",2.50,2.55,2.35,2.39,"607,900",2.39
"Feb 17, 2016",2.41,2.50,2.37,2.48,"645,600",2.48
"Feb 16, 2016",2.49,2.52,2.29,2.37,"1,060,600",2.37
