Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",19.02,19.90,18.95,19.75,"2,350,800",19.75
"Jun 10, 2016",18.69,19.68,18.30,19.34,"2,554,600",19.34
"Jun 9, 2016",19.07,19.98,18.72,18.86,"2,679,300",18.86
"Jun 8, 2016",19.51,19.75,18.75,19.18,"1,937,600",19.18
"Jun 7, 2016",19.50,19.90,19.24,19.34,"2,622,000",19.34
"Jun 6, 2016",19.97,20.74,19.50,20.25,"2,921,800",20.25
"Jun 3, 2016",20.92,21.33,19.78,19.96,"5,600,100",19.96
"Jun 2, 2016",20.22,21.19,19.39,20.78,"6,205,900",20.78
"Jun 1, 2016",19.33,20.90,19.18,19.86,"5,598,200",19.86
"May 31, 2016",18.30,19.32,18.20,19.10,"6,938,200",19.10
"May 27, 2016",20.63,21.10,17.90,18.06,"15,156,400",18.06
"May 26, 2016",16.34,16.69,15.90,16.60,"2,120,900",16.60
"May 25, 2016",15.86,16.48,15.61,16.19,"2,120,400",16.19
"May 24, 2016",16.21,16.43,15.42,15.93,"1,722,600",15.93
"May 23, 2016",15.66,16.98,15.62,16.12,"3,277,300",16.12
"May 20, 2016",14.13,15.30,14.00,14.96,"1,676,800",14.96
"May 19, 2016",14.30,14.83,14.00,14.14,"915,100",14.14
"May 18, 2016",14.89,15.25,14.10,14.36,"1,347,600",14.36
"May 17, 2016",13.79,15.00,13.67,14.64,"2,522,800",14.64
"May 16, 2016",14.32,14.89,14.13,14.82,"1,085,600",14.82
"May 13, 2016",13.80,14.76,13.72,14.24,"1,374,100",14.24
"May 12, 2016",13.85,14.18,13.30,13.63,"1,389,400",13.63
"May 11, 2016",14.32,14.59,13.72,13.80,"1,333,100",13.80
"May 10, 2016",14.14,14.73,13.76,14.51,"1,627,900",14.51
"May 9, 2016",13.55,14.45,13.42,14.12,"1,666,700",14.12
"May 6, 2016",13.76,14.10,13.10,13.51,"1,860,700",13.51
"May 5, 2016",14.58,14.90,13.85,13.92,"3,095,400",13.92
"May 4, 2016",15.32,15.43,13.77,14.00,"7,176,000",14.00
"May 3, 2016",17.80,18.00,17.07,17.32,"1,225,800",17.32
"May 2, 2016",18.06,18.16,17.38,17.82,"1,269,000",17.82
"Apr 29, 2016",18.50,19.17,17.78,18.10,"1,230,900",18.10
"Apr 28, 2016",17.95,19.48,17.86,18.50,"1,330,300",18.50
"Apr 27, 2016",18.32,18.47,17.78,18.04,"930,100",18.04
"Apr 26, 2016",18.50,18.60,17.51,18.49,"1,684,900",18.49
"Apr 25, 2016",19.31,20.06,18.51,18.67,"1,866,900",18.67
"Apr 22, 2016",18.89,19.39,18.46,19.24,"1,666,800",19.24
"Apr 21, 2016",17.36,21.35,17.20,19.28,"7,551,100",19.28
"Apr 20, 2016",17.77,17.80,17.04,17.46,"1,063,900",17.46
"Apr 19, 2016",18.03,18.03,17.00,17.57,"1,811,900",17.57
"Apr 18, 2016",17.69,18.66,17.26,18.07,"2,965,200",18.07
"Apr 15, 2016",19.75,21.49,18.25,18.56,"7,243,100",18.56
"Apr 14, 2016",22.30,22.85,21.52,22.08,"1,539,700",22.08
"Apr 13, 2016",22.00,23.03,21.30,22.32,"1,987,400",22.32
"Apr 12, 2016",23.00,23.14,22.05,22.56,"1,535,100",22.56
"Apr 11, 2016",22.20,24.00,21.75,22.73,"3,889,600",22.73
"Apr 8, 2016",23.53,25.05,21.72,22.48,"8,077,300",22.48
"Apr 7, 2016",14.40,25.60,13.99,24.32,"21,267,800",24.32
"Apr 6, 2016",13.86,14.60,13.71,14.51,"1,398,000",14.51
"Apr 5, 2016",13.51,14.05,13.39,13.77,"848,800",13.77
"Apr 4, 2016",13.35,14.02,13.15,13.66,"1,303,700",13.66
"Apr 1, 2016",13.14,13.36,12.80,13.30,"1,891,600",13.30
"Mar 31, 2016",13.55,13.76,13.00,13.55,"1,231,000",13.55
"Mar 30, 2016",14.05,14.54,13.33,13.44,"1,325,500",13.44
"Mar 29, 2016",13.28,14.25,12.90,13.90,"2,095,600",13.90
"Mar 28, 2016",13.29,13.44,12.71,12.95,"797,900",12.95
"Mar 24, 2016",12.73,13.57,12.50,13.24,"973,900",13.24
"Mar 23, 2016",13.81,13.95,12.67,12.92,"1,427,900",12.92
"Mar 22, 2016",13.18,13.87,13.15,13.82,"865,400",13.82
"Mar 21, 2016",13.46,14.18,13.16,13.25,"1,154,600",13.25
"Mar 18, 2016",13.55,13.87,12.87,13.46,"4,240,300",13.46
"Mar 17, 2016",12.74,13.64,11.90,13.47,"3,255,900",13.47
"Mar 16, 2016",12.80,12.90,11.60,12.08,"3,824,800",12.08
"Mar 15, 2016",14.08,14.50,12.78,12.94,"1,581,500",12.94
"Mar 14, 2016",13.78,14.58,13.73,14.37,"1,325,900",14.37
"Mar 11, 2016",13.30,14.18,13.25,13.73,"1,499,600",13.73
"Mar 10, 2016",13.55,13.78,12.50,13.27,"1,627,900",13.27
"Mar 9, 2016",13.66,13.79,13.05,13.45,"1,144,500",13.45
"Mar 8, 2016",14.75,14.89,13.52,13.56,"1,123,800",13.56
"Mar 7, 2016",13.71,15.06,13.50,14.82,"1,445,400",14.82
"Mar 4, 2016",14.00,14.19,13.46,13.87,"987,800",13.87
"Mar 3, 2016",14.31,14.65,13.79,13.83,"1,357,800",13.83
"Mar 2, 2016",13.55,14.58,13.28,14.31,"1,607,800",14.31
"Mar 1, 2016",13.50,13.51,12.28,13.46,"2,921,400",13.46
"Feb 29, 2016",14.51,14.58,13.16,13.26,"2,882,100",13.26
"Feb 26, 2016",14.40,14.99,13.65,14.60,"3,913,800",14.60
"Feb 25, 2016",14.96,16.69,14.01,14.24,"7,370,400",14.24
"Feb 24, 2016",16.89,17.31,16.42,16.78,"2,980,600",16.78
"Feb 23, 2016",17.88,18.26,17.08,17.19,"1,874,100",17.19
"Feb 22, 2016",18.90,19.00,17.98,18.06,"1,725,200",18.06
"Feb 19, 2016",18.79,19.00,18.05,18.40,"1,838,000",18.40
"Feb 18, 2016",19.27,19.35,18.28,19.00,"1,319,100",19.00
"Feb 17, 2016",18.48,19.36,18.36,18.90,"2,194,500",18.90
"Feb 16, 2016",18.04,18.65,17.66,18.32,"1,916,800",18.32
"Feb 12, 2016",18.15,18.18,16.59,17.48,"1,849,500",17.48
"Feb 11, 2016",15.50,17.47,14.80,17.21,"2,927,800",17.21
"Feb 10, 2016",16.44,16.63,15.21,15.79,"2,475,900",15.79
"Feb 9, 2016",16.38,17.22,16.15,16.36,"1,620,200",16.36
"Feb 8, 2016",17.85,17.94,16.85,17.29,"2,214,500",17.29
"Feb 5, 2016",18.17,18.29,17.70,18.07,"1,173,900",18.07
"Feb 4, 2016",18.67,19.57,18.19,18.35,"1,218,200",18.35
"Feb 3, 2016",18.30,18.85,17.29,18.78,"2,187,100",18.78
"Feb 2, 2016",18.56,18.79,17.81,18.25,"1,261,900",18.25
"Feb 1, 2016",18.78,19.04,18.37,18.86,"1,241,600",18.86
"Jan 29, 2016",18.63,18.95,17.80,18.84,"1,578,300",18.84
"Jan 28, 2016",19.48,19.57,18.11,18.53,"1,481,100",18.53
"Jan 27, 2016",20.20,20.37,19.20,19.28,"1,665,200",19.28
"Jan 26, 2016",21.92,22.59,19.80,20.42,"5,514,100",20.42
"Jan 25, 2016",19.46,20.04,19.11,19.62,"1,867,200",19.62
"Jan 22, 2016",19.80,20.30,18.79,19.61,"1,439,300",19.61
"Jan 21, 2016",19.95,21.30,19.05,19.27,"1,915,900",19.27
"Jan 20, 2016",17.07,21.70,17.07,19.84,"3,654,900",19.84
"Jan 19, 2016",20.00,20.10,17.67,18.65,"2,206,200",18.65
"Jan 15, 2016",18.69,19.57,18.35,19.44,"2,058,600",19.44
"Jan 14, 2016",19.20,20.98,18.05,20.12,"2,283,600",20.12
"Jan 13, 2016",20.66,21.00,18.86,19.15,"2,252,800",19.15
"Jan 12, 2016",20.27,20.80,18.86,20.55,"2,339,300",20.55
"Jan 11, 2016",21.11,21.45,18.83,19.60,"3,607,000",19.60
"Jan 8, 2016",22.01,22.65,20.20,21.26,"3,727,700",21.26
"Jan 7, 2016",22.10,23.47,20.17,21.20,"6,312,700",21.20
"Jan 6, 2016",25.88,25.90,24.07,24.50,"3,070,400",24.50
"Jan 5, 2016",27.85,27.90,26.53,26.64,"2,222,800",26.64
"Jan 4, 2016",27.60,27.94,26.79,27.76,"1,856,100",27.76
"Dec 31, 2015",28.75,29.00,28.13,28.34,"1,224,900",28.34
"Dec 30, 2015",29.05,29.44,28.75,28.80,"945,000",28.80
"Dec 29, 2015",28.71,29.29,28.12,29.15,"1,407,200",29.15
"Dec 28, 2015",28.95,29.45,28.02,28.69,"2,119,400",28.69
"Dec 24, 2015",28.29,29.29,27.62,28.89,"3,378,400",28.89
"Dec 23, 2015",26.57,28.28,26.25,27.93,"2,142,400",27.93
"Dec 22, 2015",27.64,27.78,25.85,26.72,"2,670,200",26.72
"Dec 21, 2015",28.68,28.84,27.00,27.10,"1,705,700",27.10
"Dec 18, 2015",27.67,28.55,27.38,27.92,"2,623,800",27.92
"Dec 17, 2015",29.36,29.40,27.60,27.67,"2,475,100",27.67
"Dec 16, 2015",27.80,28.36,27.31,28.31,"1,214,200",28.31
"Dec 15, 2015",27.10,27.90,26.55,27.50,"2,089,300",27.50
"Dec 14, 2015",27.00,27.18,25.75,26.50,"2,081,700",26.50
"Dec 11, 2015",28.00,28.19,26.71,26.94,"1,861,000",26.94
"Dec 10, 2015",28.67,29.42,28.01,28.24,"1,938,000",28.24
"Dec 9, 2015",28.39,29.50,28.01,28.86,"3,944,200",28.86
"Dec 8, 2015",28.06,28.95,27.50,27.81,"2,426,800",27.81
"Dec 7, 2015",29.78,30.26,26.75,28.48,"6,482,600",28.48
"Dec 4, 2015",23.00,29.47,21.86,29.14,"15,771,100",29.14
"Dec 3, 2015",24.45,24.74,21.97,22.32,"3,039,700",22.32
"Dec 2, 2015",24.12,25.83,23.70,24.06,"3,625,900",24.06
"Dec 1, 2015",22.67,24.49,22.01,24.12,"4,209,700",24.12
"Nov 30, 2015",23.97,24.07,20.50,22.51,"4,155,800",22.51
"Nov 27, 2015",23.00,24.18,22.54,23.97,"1,228,700",23.97
"Nov 25, 2015",21.65,22.61,21.53,22.43,"1,239,900",22.43
"Nov 24, 2015",21.21,21.69,21.02,21.52,"1,197,400",21.52
"Nov 23, 2015",20.46,21.97,20.15,21.49,"2,067,700",21.49
"Nov 20, 2015",20.08,20.65,19.85,20.32,"1,382,800",20.32
"Nov 19, 2015",20.25,20.80,19.70,20.25,"1,711,400",20.25
"Nov 18, 2015",18.71,20.64,18.53,20.33,"2,234,900",20.33
"Nov 17, 2015",18.76,19.02,18.08,18.48,"1,003,700",18.48
"Nov 16, 2015",18.77,19.47,17.87,18.48,"1,434,400",18.48
"Nov 13, 2015",17.24,19.46,17.10,18.96,"2,041,500",18.96
"Nov 12, 2015",18.49,18.94,17.39,17.65,"2,297,100",17.65
"Nov 11, 2015",20.79,21.14,19.01,19.09,"1,860,100",19.09
"Nov 10, 2015",19.94,21.30,19.40,20.60,"2,428,500",20.60
"Nov 9, 2015",19.92,21.24,19.55,19.90,"3,383,500",19.90
"Nov 6, 2015",20.30,20.54,18.64,18.87,"3,583,900",18.87
"Nov 5, 2015",18.20,18.94,17.54,18.75,"1,931,000",18.75
"Nov 4, 2015",18.90,19.49,18.13,18.89,"1,642,700",18.89
"Nov 3, 2015",17.53,18.98,17.53,18.78,"2,560,200",18.78
"Nov 2, 2015",16.11,17.81,15.95,17.66,"1,684,300",17.66
"Oct 30, 2015",16.08,16.48,15.67,15.99,"1,120,200",15.99
"Oct 29, 2015",16.38,17.47,15.94,16.16,"2,296,200",16.16
"Oct 28, 2015",14.48,16.50,14.25,16.46,"2,367,100",16.46
"Oct 27, 2015",15.14,16.02,14.42,14.63,"3,427,800",14.63
"Oct 26, 2015",13.59,15.24,13.34,15.15,"4,496,700",15.15
"Oct 23, 2015",12.80,13.98,11.92,13.80,"7,128,700",13.80
"Oct 22, 2015",11.31,13.55,10.26,11.76,"16,791,100",11.76
"Oct 21, 2015",17.55,17.92,12.87,16.15,"2,367,400",16.15
"Oct 20, 2015",17.99,18.10,16.45,16.68,"1,348,900",16.68
"Oct 19, 2015",18.79,18.89,16.87,17.94,"1,070,600",17.94
"Oct 16, 2015",19.67,19.80,17.99,18.67,"942,900",18.67
"Oct 15, 2015",17.41,19.98,17.10,19.50,"1,126,700",19.50
"Oct 14, 2015",17.52,17.82,16.72,17.12,"703,900",17.12
"Oct 13, 2015",18.26,18.48,17.12,17.18,"615,400",17.18
"Oct 12, 2015",18.32,18.76,17.67,18.35,"383,800",18.35
"Oct 9, 2015",18.10,18.70,17.76,18.40,"382,000",18.40
"Oct 8, 2015",18.75,19.05,17.60,18.28,"542,200",18.28
"Oct 7, 2015",17.80,19.67,17.52,19.01,"889,300",19.01
"Oct 6, 2015",19.07,19.22,17.10,17.75,"992,600",17.75
"Oct 5, 2015",18.93,19.22,18.31,19.00,"588,600",19.00
"Oct 2, 2015",18.40,19.06,17.95,18.87,"469,700",18.87
"Oct 1, 2015",18.57,18.74,17.72,18.54,"712,200",18.54
"Sep 30, 2015",17.80,18.81,17.80,18.51,"892,900",18.51
"Sep 29, 2015",17.99,18.96,17.35,17.50,"713,800",17.50
"Sep 28, 2015",20.47,20.70,17.91,18.20,"1,126,100",18.20
"Sep 25, 2015",21.28,21.65,20.00,20.40,"837,800",20.40
"Sep 24, 2015",21.66,21.82,20.75,21.01,"552,300",21.01
"Sep 23, 2015",21.91,22.17,21.55,21.91,"442,200",21.91
"Sep 22, 2015",21.99,22.68,21.28,21.73,"573,400",21.73
"Sep 21, 2015",23.89,24.70,21.98,22.33,"892,100",22.33
"Sep 18, 2015",23.66,24.12,23.14,23.94,"1,203,400",23.94
"Sep 17, 2015",24.50,24.50,23.65,24.00,"961,500",24.00
"Sep 16, 2015",24.00,24.19,23.55,23.74,"695,600",23.74
"Sep 15, 2015",24.74,25.08,23.99,24.03,"1,106,500",24.03
"Sep 14, 2015",24.93,25.16,24.22,24.76,"642,100",24.76
"Sep 11, 2015",25.63,26.00,24.47,24.93,"1,071,400",24.93
"Sep 10, 2015",23.45,28.90,23.45,25.54,"2,560,800",25.54
"Sep 9, 2015",24.26,24.65,23.61,23.66,"496,200",23.66
"Sep 8, 2015",24.15,24.37,23.45,24.13,"465,300",24.13
"Sep 4, 2015",22.18,23.66,21.91,23.44,"563,600",23.44
"Sep 3, 2015",24.44,24.67,22.03,22.38,"1,054,400",22.38
"Sep 2, 2015",22.62,23.80,22.09,23.73,"701,700",23.73
"Sep 1, 2015",22.43,22.88,22.00,22.54,"649,700",22.54
"Aug 31, 2015",24.24,24.64,22.89,22.96,"368,500",22.96
"Aug 28, 2015",23.68,24.78,23.60,24.44,"428,400",24.44
