Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",5.33,5.57,5.33,5.40,"456,800",5.40
"Jun 10, 2016",5.40,5.48,5.31,5.40,"463,100",5.40
"Jun 9, 2016",5.60,5.69,5.43,5.49,"470,300",5.49
"Jun 8, 2016",5.69,5.75,5.46,5.62,"521,200",5.62
"Jun 7, 2016",5.67,5.77,5.56,5.66,"701,600",5.66
"Jun 6, 2016",5.59,5.76,5.47,5.73,"433,700",5.73
"Jun 3, 2016",5.85,5.85,5.53,5.58,"568,800",5.58
"Jun 2, 2016",5.67,5.86,5.60,5.84,"612,900",5.84
"Jun 1, 2016",5.50,5.90,5.50,5.69,"986,700",5.69
"May 31, 2016",5.39,5.66,5.39,5.53,"788,800",5.53
"May 27, 2016",5.06,5.41,4.92,5.38,"826,900",5.38
"May 26, 2016",5.15,5.15,4.97,5.05,"517,400",5.05
"May 25, 2016",5.14,5.20,4.97,5.14,"935,200",5.14
"May 24, 2016",5.13,5.24,5.03,5.10,"650,600",5.10
"May 23, 2016",5.20,5.28,5.00,5.06,"383,900",5.06
"May 20, 2016",4.94,5.21,4.94,5.20,"966,100",5.20
"May 19, 2016",4.75,4.94,4.54,4.92,"986,300",4.92
"May 18, 2016",4.69,4.80,4.46,4.78,"498,100",4.78
"May 17, 2016",4.66,4.75,4.56,4.72,"640,700",4.72
"May 16, 2016",4.30,4.71,4.30,4.70,"651,300",4.70
"May 13, 2016",4.11,4.34,4.03,4.25,"285,100",4.25
"May 12, 2016",4.48,4.48,4.11,4.12,"593,200",4.12
"May 11, 2016",4.53,4.58,4.41,4.45,"437,700",4.45
"May 10, 2016",4.57,4.62,4.38,4.56,"335,900",4.56
"May 9, 2016",4.33,4.63,4.32,4.56,"377,500",4.56
"May 6, 2016",4.35,4.56,4.26,4.35,"883,400",4.35
"May 5, 2016",4.71,4.72,4.40,4.50,"598,700",4.50
"May 4, 2016",4.84,4.87,4.63,4.68,"435,800",4.68
"May 3, 2016",4.91,5.14,4.76,4.91,"449,200",4.91
"May 2, 2016",4.97,5.04,4.76,4.95,"396,700",4.95
"Apr 29, 2016",4.88,5.05,4.81,4.91,"390,600",4.91
"Apr 28, 2016",4.93,5.14,4.85,4.91,"404,100",4.91
"Apr 27, 2016",4.98,4.99,4.81,4.94,"453,000",4.94
"Apr 26, 2016",5.22,5.22,4.95,4.98,"463,600",4.98
"Apr 25, 2016",5.42,5.46,5.17,5.22,"539,500",5.22
"Apr 22, 2016",5.24,5.48,5.19,5.47,"583,600",5.47
"Apr 21, 2016",5.05,5.30,5.02,5.25,"490,800",5.25
"Apr 20, 2016",5.15,5.24,5.03,5.08,"414,600",5.08
"Apr 19, 2016",5.39,5.39,5.09,5.11,"577,300",5.11
"Apr 18, 2016",5.56,5.70,5.29,5.38,"794,000",5.38
"Apr 15, 2016",5.25,6.10,5.25,5.64,"2,106,900",5.64
"Apr 14, 2016",5.30,5.37,5.20,5.22,"437,000",5.22
"Apr 13, 2016",5.20,5.34,5.11,5.28,"691,000",5.28
"Apr 12, 2016",5.09,5.21,5.00,5.14,"527,000",5.14
"Apr 11, 2016",5.47,5.51,5.07,5.08,"754,200",5.08
"Apr 8, 2016",5.66,5.74,5.37,5.44,"764,800",5.44
"Apr 7, 2016",5.80,5.80,5.35,5.55,"2,537,000",5.55
"Apr 6, 2016",4.68,5.93,4.68,5.81,"3,195,100",5.81
"Apr 5, 2016",4.57,4.85,4.50,4.67,"1,097,500",4.67
"Apr 4, 2016",4.56,4.73,4.51,4.58,"1,205,400",4.58
"Apr 1, 2016",4.58,4.65,4.48,4.51,"786,200",4.51
"Mar 31, 2016",4.39,4.70,4.39,4.60,"1,184,500",4.60
"Mar 30, 2016",4.59,4.74,4.38,4.41,"2,181,400",4.41
"Mar 29, 2016",4.36,4.60,4.26,4.56,"547,200",4.56
"Mar 28, 2016",4.47,4.51,4.29,4.37,"557,600",4.37
"Mar 24, 2016",4.32,4.49,4.26,4.44,"768,500",4.44
"Mar 23, 2016",4.50,4.61,4.33,4.40,"1,568,700",4.40
"Mar 22, 2016",4.41,4.56,4.38,4.55,"882,500",4.55
"Mar 21, 2016",4.12,4.56,4.00,4.45,"1,165,200",4.45
"Mar 18, 2016",3.92,4.35,3.85,4.16,"4,472,800",4.16
"Mar 17, 2016",3.87,3.97,3.70,3.89,"917,800",3.89
"Mar 16, 2016",3.83,4.16,3.78,3.89,"816,400",3.89
"Mar 15, 2016",4.15,4.15,3.81,3.83,"918,900",3.83
"Mar 14, 2016",4.15,4.29,4.10,4.18,"551,600",4.18
"Mar 11, 2016",3.99,4.17,3.83,4.17,"676,300",4.17
"Mar 10, 2016",4.08,4.19,3.87,3.92,"610,500",3.92
"Mar 9, 2016",4.00,4.11,3.90,4.07,"767,200",4.07
"Mar 8, 2016",4.29,4.35,3.96,3.99,"831,800",3.99
"Mar 7, 2016",4.00,4.40,3.90,4.27,"922,700",4.27
"Mar 4, 2016",4.01,4.17,3.92,4.02,"916,900",4.02
"Mar 3, 2016",3.76,4.06,3.69,4.01,"1,214,900",4.01
"Mar 2, 2016",3.68,3.76,3.54,3.75,"1,802,000",3.75
"Mar 1, 2016",3.49,3.71,3.28,3.68,"1,605,800",3.68
"Feb 29, 2016",3.66,3.79,3.39,3.46,"875,200",3.46
"Feb 26, 2016",3.60,3.77,3.42,3.69,"1,293,000",3.69
"Feb 25, 2016",4.02,4.12,3.80,3.81,"951,400",3.81
"Feb 24, 2016",3.93,4.07,3.77,4.00,"828,100",4.00
"Feb 23, 2016",4.20,4.33,4.00,4.01,"1,338,400",4.01
"Feb 22, 2016",4.01,4.28,3.99,4.26,"1,742,700",4.26
"Feb 19, 2016",3.85,4.04,3.66,3.96,"1,078,000",3.96
"Feb 18, 2016",4.20,4.24,3.83,3.92,"846,100",3.92
"Feb 17, 2016",4.01,4.20,3.86,4.18,"1,461,000",4.18
"Feb 16, 2016",4.06,4.06,3.82,3.99,"672,500",3.99
"Feb 12, 2016",3.94,4.01,3.67,3.99,"747,800",3.99
"Feb 11, 2016",3.81,3.95,3.74,3.85,"882,100",3.85
"Feb 10, 2016",3.85,4.11,3.85,3.96,"1,466,400",3.96
"Feb 9, 2016",3.60,4.02,3.52,3.80,"680,200",3.80
"Feb 8, 2016",3.83,3.85,3.49,3.74,"1,095,200",3.74
"Feb 5, 2016",3.93,4.03,3.79,3.89,"1,012,700",3.89
"Feb 4, 2016",3.89,4.22,3.84,3.97,"681,700",3.97
"Feb 3, 2016",4.07,4.13,3.70,3.92,"1,103,300",3.92
"Feb 2, 2016",3.89,4.07,3.81,4.04,"1,466,200",4.04
"Feb 1, 2016",4.05,4.11,3.71,3.98,"1,710,500",3.98
"Jan 29, 2016",3.91,4.20,3.86,4.10,"2,759,200",4.10
"Jan 28, 2016",3.86,3.96,3.62,3.90,"3,111,100",3.90
"Jan 27, 2016",4.40,4.44,3.77,3.80,"1,903,100",3.80
"Jan 26, 2016",3.81,4.09,3.56,3.97,"1,565,400",3.97
"Jan 25, 2016",3.67,4.03,3.48,3.83,"3,449,600",3.83
"Jan 22, 2016",3.45,3.59,3.29,3.45,"1,860,000",3.45
"Jan 21, 2016",3.50,3.63,3.28,3.32,"3,096,700",3.32
"Jan 20, 2016",3.18,3.60,2.94,3.49,"1,444,300",3.49
"Jan 19, 2016",3.58,3.83,3.21,3.22,"1,086,600",3.22
"Jan 15, 2016",3.93,4.08,3.69,3.73,"2,872,200",3.73
"Jan 14, 2016",3.69,4.27,3.55,4.13,"2,630,700",4.13
"Jan 13, 2016",3.92,4.67,3.53,3.83,"4,183,700",3.83
"Jan 12, 2016",3.62,3.88,3.52,3.88,"1,320,800",3.88
"Jan 11, 2016",4.03,4.07,3.18,3.60,"1,979,100",3.60
"Jan 8, 2016",4.33,4.48,3.93,4.07,"1,059,100",4.07
"Jan 7, 2016",4.62,4.75,4.29,4.29,"1,274,000",4.29
"Jan 6, 2016",4.79,4.97,4.70,4.77,"696,200",4.77
"Jan 5, 2016",4.93,5.04,4.75,4.92,"712,000",4.92
"Jan 4, 2016",5.04,5.13,4.79,4.85,"943,300",4.85
"Dec 31, 2015",5.17,5.37,5.15,5.20,"700,900",5.20
"Dec 30, 2015",5.18,5.30,5.11,5.23,"565,100",5.23
"Dec 29, 2015",5.25,5.29,4.95,5.23,"648,600",5.23
"Dec 28, 2015",5.29,5.32,5.10,5.23,"691,900",5.23
"Dec 24, 2015",5.36,5.40,5.28,5.35,"203,100",5.35
"Dec 23, 2015",5.23,5.37,5.22,5.28,"430,900",5.28
"Dec 22, 2015",5.30,5.33,5.06,5.21,"781,800",5.21
"Dec 21, 2015",5.15,5.33,5.08,5.26,"667,000",5.26
"Dec 18, 2015",5.19,5.26,5.04,5.12,"2,322,400",5.12
"Dec 17, 2015",5.00,5.18,4.87,5.13,"2,457,800",5.13
"Dec 16, 2015",4.65,5.01,4.65,4.95,"1,249,700",4.95
"Dec 15, 2015",4.39,4.72,4.39,4.64,"1,483,700",4.64
"Dec 14, 2015",4.55,4.96,4.27,4.53,"1,336,900",4.53
"Dec 11, 2015",5.50,5.71,4.51,4.54,"2,485,800",4.54
"Dec 10, 2015",5.62,5.74,5.49,5.56,"1,712,100",5.56
"Dec 9, 2015",5.92,5.93,5.56,5.60,"802,300",5.60
"Dec 8, 2015",5.80,6.04,5.80,5.93,"703,100",5.93
"Dec 7, 2015",6.09,6.09,5.82,5.92,"877,600",5.92
"Dec 4, 2015",6.05,6.21,5.95,6.06,"977,800",6.06
"Dec 3, 2015",6.19,6.25,5.90,6.00,"708,000",6.00
"Dec 2, 2015",5.94,6.41,5.94,6.20,"1,259,900",6.20
"Dec 1, 2015",6.35,6.50,6.09,6.15,"898,500",6.15
"Nov 30, 2015",6.63,6.69,6.16,6.32,"678,400",6.32
"Nov 27, 2015",6.54,6.69,6.43,6.65,"503,200",6.65
"Nov 25, 2015",6.49,6.56,6.40,6.49,"586,300",6.49
"Nov 24, 2015",6.43,6.59,6.39,6.48,"399,700",6.48
"Nov 23, 2015",6.32,6.59,6.20,6.52,"954,600",6.52
"Nov 20, 2015",6.33,6.51,6.22,6.39,"941,800",6.39
"Nov 19, 2015",6.34,6.45,6.04,6.25,"676,600",6.25
"Nov 18, 2015",6.15,6.34,5.96,6.33,"646,600",6.33
"Nov 17, 2015",6.07,6.48,5.94,6.14,"691,900",6.14
"Nov 16, 2015",5.76,6.16,5.73,6.10,"793,600",6.10
"Nov 13, 2015",6.24,6.47,5.75,6.09,"907,200",6.09
"Nov 12, 2015",6.19,6.47,6.12,6.27,"637,700",6.27
"Nov 11, 2015",6.60,6.74,6.20,6.27,"761,600",6.27
"Nov 10, 2015",6.51,6.72,6.38,6.62,"973,500",6.62
"Nov 9, 2015",6.99,7.00,6.38,6.50,"1,174,500",6.50
"Nov 6, 2015",6.33,7.95,6.06,6.93,"3,230,600",6.93
"Nov 5, 2015",6.00,6.00,5.66,5.85,"891,700",5.85
"Nov 4, 2015",6.25,6.25,5.93,6.02,"644,500",6.02
"Nov 3, 2015",5.95,6.37,5.78,6.16,"1,004,500",6.16
"Nov 2, 2015",5.50,6.00,5.45,6.00,"1,060,900",6.00
"Oct 30, 2015",5.82,5.86,5.44,5.45,"743,300",5.45
"Oct 29, 2015",5.84,5.99,5.68,5.76,"773,900",5.76
"Oct 28, 2015",5.55,5.89,5.46,5.89,"1,483,200",5.89
"Oct 27, 2015",5.53,5.62,5.42,5.59,"1,545,900",5.59
"Oct 26, 2015",5.62,5.78,5.47,5.51,"1,021,600",5.51
"Oct 23, 2015",5.83,5.87,5.36,5.61,"1,424,500",5.61
"Oct 22, 2015",5.63,5.83,5.45,5.75,"1,155,000",5.75
"Oct 21, 2015",5.73,5.85,5.50,5.61,"784,400",5.61
"Oct 20, 2015",5.98,6.03,5.60,5.74,"981,300",5.74
"Oct 19, 2015",5.72,6.16,5.72,5.97,"1,015,900",5.97
"Oct 16, 2015",6.13,6.24,5.76,5.89,"1,098,300",5.89
"Oct 15, 2015",5.31,6.31,5.22,6.13,"2,222,300",6.13
"Oct 14, 2015",5.43,5.79,5.17,5.24,"2,154,100",5.24
"Oct 13, 2015",5.71,5.94,5.36,5.39,"1,328,600",5.39
"Oct 12, 2015",6.00,6.03,5.67,5.71,"633,500",5.71
"Oct 9, 2015",5.92,6.12,5.80,5.99,"497,100",5.99
"Oct 8, 2015",5.88,5.95,5.60,5.89,"602,300",5.89
"Oct 7, 2015",5.75,6.06,5.50,5.98,"934,300",5.98
"Oct 6, 2015",6.01,6.06,5.56,5.67,"1,081,600",5.67
"Oct 5, 2015",6.05,6.20,5.97,6.05,"556,200",6.05
"Oct 2, 2015",5.74,6.06,5.68,6.01,"838,800",6.01
"Oct 1, 2015",6.00,6.12,5.68,5.83,"841,500",5.83
"Sep 30, 2015",5.78,6.13,5.73,6.05,"1,689,200",6.05
"Sep 29, 2015",5.65,5.88,5.45,5.69,"2,968,800",5.69
"Sep 28, 2015",6.22,6.26,5.69,5.79,"1,814,400",5.79
"Sep 25, 2015",6.55,6.55,5.56,5.93,"2,205,300",5.93
"Sep 24, 2015",6.64,6.75,6.26,6.45,"1,163,500",6.45
"Sep 23, 2015",6.55,6.83,6.34,6.61,"2,037,200",6.61
"Sep 22, 2015",6.53,6.74,6.30,6.46,"2,131,100",6.46
"Sep 21, 2015",6.93,7.06,6.22,6.61,"2,426,800",6.61
"Sep 18, 2015",6.83,7.16,6.60,7.01,"3,069,700",7.01
"Sep 17, 2015",6.93,7.05,6.60,6.96,"2,987,800",6.96
"Sep 16, 2015",7.21,7.33,6.87,6.99,"2,869,400",6.99
"Sep 15, 2015",7.53,7.60,7.00,7.06,"4,553,900",7.06
"Sep 14, 2015",8.89,9.06,6.82,7.52,"20,044,300",7.52
"Sep 11, 2015",11.94,12.06,11.59,12.03,"777,800",12.03
"Sep 10, 2015",12.24,12.42,11.78,12.06,"870,400",12.06
"Sep 9, 2015",12.74,13.06,11.63,11.99,"1,405,300",11.99
