Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",17.32,17.61,17.01,17.19,"265,000",17.19
"Jun 10, 2016",17.51,17.82,17.22,17.40,"297,600",17.40
"Jun 9, 2016",18.12,18.18,17.66,17.70,"300,800",17.70
"Jun 8, 2016",18.39,18.45,17.80,18.22,"214,900",18.22
"Jun 7, 2016",17.86,18.58,17.69,18.32,"436,500",18.32
"Jun 6, 2016",17.71,18.09,17.28,18.03,"348,500",18.03
"Jun 3, 2016",18.12,18.18,17.29,17.68,"359,300",17.68
"Jun 2, 2016",17.77,18.45,17.77,18.20,"382,300",18.20
"Jun 1, 2016",17.70,17.96,17.43,17.80,"427,900",17.80
"May 31, 2016",17.49,17.88,17.41,17.78,"385,400",17.78
"May 27, 2016",17.40,17.50,16.99,17.47,"302,900",17.47
"May 26, 2016",17.15,17.27,16.93,17.22,"264,000",17.22
"May 25, 2016",17.28,17.45,17.11,17.22,"452,900",17.22
"May 24, 2016",16.81,17.25,16.64,17.21,"355,000",17.21
"May 23, 2016",16.77,17.16,16.65,16.80,"279,700",16.80
"May 20, 2016",16.30,16.83,16.18,16.76,"473,900",16.76
"May 19, 2016",16.25,16.54,15.89,16.23,"320,000",16.23
"May 18, 2016",15.46,16.60,15.46,16.33,"481,800",16.33
"May 17, 2016",15.55,15.89,15.40,15.55,"233,700",15.55
"May 16, 2016",15.43,15.88,15.39,15.59,"619,300",15.59
"May 13, 2016",15.05,15.63,14.92,15.41,"392,000",15.41
"May 12, 2016",15.43,15.63,14.79,15.14,"630,000",15.14
"May 11, 2016",15.70,16.09,15.27,15.31,"553,500",15.31
"May 10, 2016",15.44,15.71,15.03,15.66,"455,600",15.66
"May 9, 2016",14.70,15.68,14.69,15.29,"497,500",15.29
"May 6, 2016",14.70,14.76,14.05,14.61,"636,000",14.61
"May 5, 2016",15.15,15.15,14.51,14.90,"742,800",14.90
"May 4, 2016",14.84,15.37,14.27,15.00,"1,295,900",15.00
"May 3, 2016",14.08,14.31,13.49,13.73,"441,900",13.73
"May 2, 2016",13.89,14.26,13.31,14.26,"581,100",14.26
"Apr 29, 2016",14.05,14.16,13.62,13.78,"330,900",13.78
"Apr 28, 2016",14.39,14.53,14.06,14.14,"438,700",14.14
"Apr 27, 2016",14.53,14.65,14.20,14.39,"278,600",14.39
"Apr 26, 2016",15.35,15.35,13.96,14.67,"586,100",14.67
"Apr 25, 2016",15.51,15.87,15.20,15.37,"200,300",15.37
"Apr 22, 2016",15.38,15.78,15.29,15.61,"280,100",15.61
"Apr 21, 2016",15.10,15.49,14.88,15.40,"355,400",15.40
"Apr 20, 2016",15.33,15.42,14.63,15.06,"271,600",15.06
"Apr 19, 2016",15.59,15.64,14.87,15.27,"326,600",15.27
"Apr 18, 2016",15.38,15.82,15.30,15.58,"254,000",15.58
"Apr 15, 2016",15.51,15.58,14.99,15.45,"378,700",15.45
"Apr 14, 2016",15.24,15.84,15.03,15.56,"479,100",15.56
"Apr 13, 2016",14.74,15.34,14.48,15.30,"483,800",15.30
"Apr 12, 2016",14.54,14.72,13.80,14.66,"627,400",14.66
"Apr 11, 2016",14.88,14.90,14.27,14.43,"327,900",14.43
"Apr 8, 2016",15.33,15.33,14.46,14.80,"372,900",14.80
"Apr 7, 2016",14.75,15.40,14.43,15.10,"626,100",15.10
"Apr 6, 2016",14.39,14.86,14.39,14.84,"560,800",14.84
"Apr 5, 2016",14.32,14.74,14.24,14.37,"332,000",14.37
"Apr 4, 2016",14.40,14.90,14.38,14.44,"507,300",14.44
"Apr 1, 2016",13.72,14.43,13.43,14.37,"700,000",14.37
"Mar 31, 2016",13.48,13.80,13.15,13.66,"539,600",13.66
"Mar 30, 2016",13.03,13.94,13.00,13.39,"786,200",13.39
"Mar 29, 2016",12.29,12.82,11.60,12.79,"776,400",12.79
"Mar 28, 2016",12.72,12.85,12.09,12.33,"430,900",12.33
"Mar 24, 2016",12.96,13.24,12.16,12.52,"917,100",12.52
"Mar 23, 2016",13.79,13.99,13.00,13.09,"476,500",13.09
"Mar 22, 2016",13.72,14.42,13.47,13.90,"571,100",13.90
"Mar 21, 2016",13.86,14.05,13.57,13.81,"508,700",13.81
"Mar 18, 2016",13.92,14.37,13.48,13.89,"1,110,700",13.89
"Mar 17, 2016",13.90,14.10,12.83,13.82,"615,000",13.82
"Mar 16, 2016",13.93,14.50,13.59,13.94,"360,100",13.94
"Mar 15, 2016",14.76,14.93,13.72,14.07,"570,700",14.07
