Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",18.25,18.74,17.89,18.35,"262,900",18.35
"Jun 10, 2016",19.00,19.29,18.28,18.46,"147,700",18.46
"Jun 9, 2016",19.84,20.45,19.00,19.19,"217,000",19.19
"Jun 8, 2016",20.69,20.70,19.50,19.90,"251,900",19.90
"Jun 7, 2016",19.86,20.95,19.62,20.67,"280,600",20.67
"Jun 6, 2016",19.26,20.33,18.59,20.22,"235,200",20.22
"Jun 3, 2016",19.99,20.17,18.85,19.11,"178,600",19.11
"Jun 2, 2016",19.22,20.57,19.00,20.09,"218,500",20.09
"Jun 1, 2016",20.49,20.78,19.03,19.19,"294,700",19.19
"May 31, 2016",19.99,20.77,19.68,20.50,"277,200",20.50
"May 27, 2016",19.56,20.00,19.35,19.83,"192,800",19.83
"May 26, 2016",19.64,19.65,19.36,19.58,"151,300",19.58
"May 25, 2016",19.59,19.85,19.40,19.68,"259,600",19.68
"May 24, 2016",17.92,19.68,17.82,19.53,"393,400",19.53
"May 23, 2016",18.29,18.55,17.65,17.78,"221,000",17.78
"May 20, 2016",17.17,18.44,16.78,18.34,"154,700",18.34
"May 19, 2016",17.16,17.46,16.73,17.11,"126,300",17.11
"May 18, 2016",17.19,18.00,17.03,17.45,"168,600",17.45
"May 17, 2016",17.60,17.98,17.03,17.27,"118,300",17.27
"May 16, 2016",16.91,17.58,16.78,17.55,"166,200",17.55
"May 13, 2016",16.47,17.15,16.45,16.81,"166,400",16.81
"May 12, 2016",17.27,17.27,16.20,16.53,"246,200",16.53
"May 11, 2016",17.37,17.40,16.57,17.12,"171,500",17.12
"May 10, 2016",16.11,17.61,15.41,17.43,"296,500",17.43
"May 9, 2016",16.18,17.13,16.18,16.94,"166,500",16.94
"May 6, 2016",16.45,16.76,15.90,16.26,"188,100",16.26
"May 5, 2016",17.06,17.10,16.28,16.63,"168,500",16.63
"May 4, 2016",17.87,18.00,16.82,16.90,"151,200",16.90
"May 3, 2016",18.43,18.67,17.86,18.10,"173,900",18.10
"May 2, 2016",18.57,18.75,17.79,18.73,"141,500",18.73
"Apr 29, 2016",18.77,18.83,17.90,18.38,"151,200",18.38
"Apr 28, 2016",19.18,19.48,18.71,18.79,"130,300",18.79
"Apr 27, 2016",19.60,19.86,19.06,19.20,"105,600",19.20
"Apr 26, 2016",20.13,20.13,19.39,19.69,"137,300",19.69
