Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",30.00,30.26,28.79,29.13,"737,700",29.13
"Jun 10, 2016",32.00,32.52,30.10,30.39,"646,800",30.39
"Jun 9, 2016",34.71,34.75,32.00,32.09,"581,500",32.09
"Jun 8, 2016",34.30,35.52,34.30,34.94,"623,000",34.94
"Jun 7, 2016",33.90,34.25,33.17,33.97,"313,700",33.97
"Jun 6, 2016",33.61,34.58,32.04,34.29,"489,500",34.29
"Jun 3, 2016",34.10,34.18,32.78,33.35,"460,900",33.35
"Jun 2, 2016",33.60,34.42,33.56,34.17,"465,300",34.17
"Jun 1, 2016",32.86,33.84,32.30,33.76,"446,500",33.76
"May 31, 2016",31.79,33.25,31.47,32.91,"797,400",32.91
"May 27, 2016",31.33,31.70,29.55,31.48,"327,300",31.48
"May 26, 2016",31.68,32.12,30.37,31.41,"314,200",31.41
"May 25, 2016",30.65,32.25,30.52,31.73,"480,900",31.73
"May 24, 2016",31.00,31.89,29.15,30.51,"1,935,300",30.51
"May 23, 2016",31.33,32.80,30.13,32.63,"562,300",32.63
"May 20, 2016",30.41,32.06,29.92,31.21,"826,100",31.21
"May 19, 2016",31.01,31.38,29.71,30.28,"758,400",30.28
"May 18, 2016",31.73,32.03,30.53,31.42,"741,200",31.42
"May 17, 2016",31.84,32.20,30.67,31.85,"1,048,900",31.85
"May 16, 2016",32.17,33.24,30.15,32.79,"304,000",32.79
"May 13, 2016",31.46,32.45,30.85,32.09,"317,000",32.09
"May 12, 2016",33.00,33.00,30.85,31.66,"342,600",31.66
"May 11, 2016",34.40,34.69,32.64,32.80,"391,300",32.80
"May 10, 2016",35.19,35.19,33.50,34.61,"388,100",34.61
"May 9, 2016",34.06,35.98,34.06,34.87,"348,200",34.87
"May 6, 2016",34.09,35.90,33.01,33.83,"513,400",33.83
"May 5, 2016",35.17,35.62,34.07,34.79,"372,200",34.79
"May 4, 2016",36.29,36.29,34.51,35.16,"430,000",35.16
