Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",13.54,14.63,13.29,14.36,"1,029,100",14.36
"Jun 10, 2016",13.83,13.83,13.35,13.63,"348,300",13.63
"Jun 9, 2016",13.84,14.10,13.76,14.00,"439,500",14.00
"Jun 8, 2016",13.70,13.95,13.51,13.94,"257,900",13.94
"Jun 7, 2016",13.75,13.94,13.58,13.69,"243,000",13.69
"Jun 6, 2016",13.98,14.05,13.62,13.78,"269,200",13.78
"Jun 3, 2016",13.89,14.01,13.78,13.97,"363,800",13.97
"Jun 2, 2016",14.07,14.12,13.86,13.89,"352,200",13.89
"Jun 1, 2016",14.09,14.22,13.91,14.06,"1,290,000",14.06
"May 31, 2016",13.39,14.17,13.11,14.15,"868,500",14.15
"May 27, 2016",13.09,13.26,12.84,13.13,"337,200",13.13
"May 26, 2016",13.02,13.14,12.88,13.03,"224,400",13.03
"May 25, 2016",12.97,13.11,12.81,13.02,"359,500",13.02
"May 24, 2016",12.87,13.00,12.64,12.90,"235,000",12.90
"May 23, 2016",12.50,12.86,12.40,12.80,"399,100",12.80
"May 20, 2016",12.58,12.78,12.33,12.54,"348,000",12.54
"May 19, 2016",12.16,12.56,12.00,12.48,"354,600",12.48
"May 18, 2016",12.33,12.60,12.12,12.28,"515,500",12.28
"May 17, 2016",12.49,12.60,12.08,12.34,"655,300",12.34
"May 16, 2016",12.73,12.96,11.94,12.50,"861,600",12.50
"May 13, 2016",12.54,12.81,12.32,12.71,"486,000",12.71
"May 12, 2016",12.56,12.86,12.39,12.58,"422,600",12.58
"May 11, 2016",12.59,13.34,12.58,12.59,"294,000",12.59
"May 10, 2016",13.07,13.52,12.16,12.57,"565,200",12.57
"May 9, 2016",12.95,13.47,12.93,13.29,"558,000",13.29
"May 6, 2016",13.06,13.14,12.83,12.99,"380,900",12.99
"May 5, 2016",13.33,13.37,13.04,13.09,"373,200",13.09
"May 4, 2016",13.31,13.61,13.10,13.31,"323,300",13.31
"May 3, 2016",13.56,13.67,13.17,13.32,"381,800",13.32
"May 2, 2016",13.02,13.76,12.90,13.73,"668,200",13.73
"Apr 29, 2016",13.14,13.25,13.00,13.20,"456,800",13.20
"Apr 28, 2016",13.10,13.33,12.94,13.19,"647,800",13.19
"Apr 27, 2016",13.21,13.27,13.05,13.17,"520,200",13.17
"Apr 26, 2016",13.29,13.35,13.13,13.16,"565,300",13.16
"Apr 25, 2016",13.39,13.49,13.10,13.24,"533,300",13.24
"Apr 22, 2016",12.95,13.51,12.88,13.40,"554,600",13.40
"Apr 21, 2016",12.84,12.98,12.70,12.96,"571,000",12.96
"Apr 20, 2016",12.86,13.00,12.75,12.86,"482,600",12.86
"Apr 19, 2016",12.98,13.00,12.70,12.82,"346,800",12.82
"Apr 18, 2016",12.72,12.97,12.57,12.96,"635,700",12.96
"Apr 15, 2016",12.71,12.75,12.64,12.74,"409,400",12.74
"Apr 14, 2016",12.85,12.85,12.60,12.78,"411,000",12.78
"Apr 13, 2016",12.60,12.86,12.30,12.80,"565,600",12.80
"Apr 12, 2016",12.38,13.00,12.32,12.66,"1,369,000",12.66
"Apr 11, 2016",12.46,12.47,12.18,12.39,"522,700",12.39
"Apr 8, 2016",12.40,12.40,12.05,12.35,"653,200",12.35
"Apr 7, 2016",12.05,12.48,11.80,12.29,"827,500",12.29
"Apr 6, 2016",11.69,12.15,11.53,12.12,"801,700",12.12
"Apr 5, 2016",11.41,11.95,11.34,11.77,"507,900",11.77
"Apr 4, 2016",11.42,12.05,11.42,11.57,"969,700",11.57
"Apr 1, 2016",10.82,11.45,10.74,11.42,"6,853,100",11.42
"Mar 31, 2016",10.37,11.15,10.35,11.00,"2,476,000",11.00
"Mar 30, 2016",9.72,9.99,9.53,9.67,"386,300",9.67
"Mar 29, 2016",9.28,9.75,9.25,9.65,"476,900",9.65
"Mar 28, 2016",9.41,9.48,9.23,9.35,"193,900",9.35
"Mar 24, 2016",9.31,9.49,9.23,9.33,"221,800",9.33
"Mar 23, 2016",9.51,9.51,9.21,9.33,"344,300",9.33
"Mar 22, 2016",9.53,9.61,9.40,9.53,"282,600",9.53
"Mar 21, 2016",9.44,9.64,9.36,9.55,"217,300",9.55
"Mar 18, 2016",9.21,9.58,9.04,9.53,"635,300",9.53
"Mar 17, 2016",9.13,9.52,8.96,9.16,"188,200",9.16
"Mar 16, 2016",9.04,9.29,8.93,9.11,"279,600",9.11
"Mar 15, 2016",9.57,9.59,9.07,9.12,"365,200",9.12
