Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",11.60,11.69,10.68,10.83,"739,800",10.83
"Jun 10, 2016",11.81,11.98,11.56,11.70,"534,900",11.70
"Jun 9, 2016",11.99,12.15,11.88,11.97,"390,000",11.97
"Jun 8, 2016",11.93,12.17,11.60,12.07,"404,900",12.07
"Jun 7, 2016",12.20,12.24,11.84,11.86,"377,100",11.86
"Jun 6, 2016",12.08,12.46,11.88,12.29,"316,300",12.29
"Jun 3, 2016",12.37,12.37,11.81,11.99,"437,800",11.99
"Jun 2, 2016",12.31,12.61,12.16,12.41,"446,800",12.41
"Jun 1, 2016",11.80,12.31,11.73,12.26,"1,098,700",12.26
"May 31, 2016",12.25,12.47,11.65,11.76,"1,125,000",11.76
"May 27, 2016",11.86,12.60,11.86,12.42,"491,200",12.42
"May 26, 2016",11.88,11.91,11.66,11.75,"241,400",11.75
"May 25, 2016",11.94,11.99,11.62,11.79,"366,600",11.79
"May 24, 2016",11.66,11.90,11.57,11.86,"351,100",11.86
"May 23, 2016",11.67,11.88,11.52,11.55,"277,100",11.55
"May 20, 2016",11.25,11.77,11.19,11.59,"305,300",11.59
"May 19, 2016",11.47,11.60,10.93,11.14,"270,700",11.14
"May 18, 2016",11.31,11.52,11.04,11.47,"270,900",11.47
"May 17, 2016",11.12,11.62,11.01,11.34,"523,100",11.34
"May 16, 2016",11.00,11.33,10.93,11.11,"478,300",11.11
"May 13, 2016",10.62,11.15,10.55,11.01,"368,600",11.01
"May 12, 2016",10.79,11.08,10.41,10.70,"1,063,400",10.70
"May 11, 2016",10.65,11.42,10.62,10.85,"1,222,900",10.85
"May 10, 2016",10.68,10.73,10.39,10.69,"477,400",10.69
"May 9, 2016",10.14,10.69,10.10,10.56,"585,700",10.56
"May 6, 2016",10.18,10.38,9.62,10.09,"685,800",10.09
"May 5, 2016",10.94,11.06,10.18,10.22,"1,053,700",10.22
"May 4, 2016",10.90,11.16,10.43,10.74,"517,300",10.74
"May 3, 2016",10.51,10.98,10.32,10.69,"388,200",10.69
"May 2, 2016",10.81,10.99,10.37,10.56,"520,700",10.56
"Apr 29, 2016",10.93,11.14,10.55,10.78,"435,400",10.78
