Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",40.11,40.41,38.60,39.31,"1,001,900",39.31
"Jun 10, 2016",40.70,41.15,40.15,40.38,"782,900",40.38
"Jun 9, 2016",42.08,42.50,40.76,41.01,"783,100",41.01
"Jun 8, 2016",42.50,43.02,41.91,42.39,"529,000",42.39
"Jun 7, 2016",43.21,43.40,42.26,42.43,"613,800",42.43
"Jun 6, 2016",43.48,44.07,42.60,43.58,"729,800",43.58
"Jun 3, 2016",43.45,43.78,42.17,43.20,"1,020,200",43.20
"Jun 2, 2016",40.56,43.83,40.40,43.78,"1,342,800",43.78
"Jun 1, 2016",40.30,40.98,39.75,40.83,"668,100",40.83
"May 31, 2016",40.25,41.14,40.21,40.43,"863,000",40.43
"May 27, 2016",39.65,40.43,39.18,40.24,"755,800",40.24
"May 26, 2016",40.34,40.35,39.39,39.59,"586,900",39.59
"May 25, 2016",40.22,41.53,39.88,40.27,"897,600",40.27
"May 24, 2016",39.78,40.01,39.39,39.97,"744,900",39.97
"May 23, 2016",38.84,40.26,38.84,39.42,"1,199,900",39.42
"May 20, 2016",38.09,39.28,37.94,38.82,"881,100",38.82
"May 19, 2016",37.79,38.92,37.08,37.91,"853,700",37.91
"May 18, 2016",35.76,38.35,35.60,38.02,"1,750,300",38.02
"May 17, 2016",34.13,36.18,34.00,35.85,"2,022,700",35.85
"May 16, 2016",33.13,34.38,32.66,34.23,"1,242,100",34.23
"May 13, 2016",32.84,33.73,32.60,32.95,"664,800",32.95
"May 12, 2016",33.97,34.08,32.40,32.95,"916,200",32.95
"May 11, 2016",33.66,34.92,33.53,33.70,"750,900",33.70
"May 10, 2016",34.40,34.83,33.34,33.90,"781,800",33.90
"May 9, 2016",33.81,34.73,33.81,34.20,"810,900",34.20
"May 6, 2016",32.95,34.02,32.80,33.61,"830,100",33.61
"May 5, 2016",33.31,33.68,32.49,33.22,"920,200",33.22
"May 4, 2016",34.78,35.05,33.10,33.10,"1,061,800",33.10
"May 3, 2016",36.10,36.28,34.91,34.99,"745,700",34.99
"May 2, 2016",35.45,36.40,34.84,36.37,"1,060,200",36.37
"Apr 29, 2016",35.75,37.49,35.17,35.48,"1,668,700",35.48
"Apr 28, 2016",37.67,38.69,36.93,37.29,"1,060,900",37.29
"Apr 27, 2016",38.78,39.04,37.64,38.07,"1,106,800",38.07
"Apr 26, 2016",39.46,39.74,38.28,39.08,"634,200",39.08
"Apr 25, 2016",39.19,40.05,39.00,39.51,"552,600",39.51
"Apr 22, 2016",39.23,39.74,38.60,39.48,"495,900",39.48
"Apr 21, 2016",38.64,39.55,38.37,39.33,"879,500",39.33
"Apr 20, 2016",38.81,39.16,37.86,38.60,"596,900",38.60
"Apr 19, 2016",39.01,39.18,38.24,38.55,"616,700",38.55
"Apr 18, 2016",37.98,39.06,37.76,38.99,"595,500",38.99
"Apr 15, 2016",38.13,38.55,37.41,38.29,"613,700",38.29
"Apr 14, 2016",37.55,38.54,37.18,38.27,"807,200",38.27
"Apr 13, 2016",36.49,37.62,35.95,37.44,"705,500",37.44
"Apr 12, 2016",35.65,36.31,35.06,36.05,"754,200",36.05
"Apr 11, 2016",36.25,36.79,35.54,35.65,"629,700",35.65
"Apr 8, 2016",37.07,37.44,35.63,35.99,"854,600",35.99
"Apr 7, 2016",37.56,37.60,35.61,36.71,"1,464,500",36.71
"Apr 6, 2016",36.33,37.96,36.32,37.93,"1,631,300",37.93
"Apr 5, 2016",35.81,36.61,35.65,36.22,"1,457,600",36.22
"Apr 4, 2016",36.42,37.54,35.95,36.22,"1,103,700",36.22
"Apr 1, 2016",34.73,36.70,34.36,36.15,"1,028,800",36.15
"Mar 31, 2016",34.02,35.58,33.80,35.09,"981,500",35.09
"Mar 30, 2016",34.23,35.35,33.38,33.64,"804,100",33.64
"Mar 29, 2016",33.60,34.28,32.60,34.28,"1,189,400",34.28
"Mar 28, 2016",34.72,35.00,33.50,33.64,"940,500",33.64
"Mar 24, 2016",34.11,35.77,33.27,34.68,"1,300,400",34.68
"Mar 23, 2016",36.70,37.84,34.53,34.59,"1,152,700",34.59
"Mar 22, 2016",34.55,36.85,34.46,36.77,"1,337,500",36.77
"Mar 21, 2016",33.91,35.23,33.70,34.53,"1,194,800",34.53
"Mar 18, 2016",33.01,34.25,32.61,33.92,"1,737,200",33.92
"Mar 17, 2016",32.23,33.40,31.28,32.99,"1,297,600",32.99
"Mar 16, 2016",31.77,32.58,31.32,32.52,"2,093,300",32.52
"Mar 15, 2016",33.58,33.86,31.23,31.75,"2,234,300",31.75
"Mar 14, 2016",33.62,34.26,33.25,33.80,"956,900",33.80
"Mar 11, 2016",32.76,33.40,32.18,33.36,"839,900",33.36
"Mar 10, 2016",32.64,33.18,31.88,32.48,"1,407,200",32.48
"Mar 9, 2016",32.56,32.78,30.84,32.53,"1,106,800",32.53
"Mar 8, 2016",33.84,34.24,31.98,32.14,"1,051,300",32.14
"Mar 7, 2016",32.46,34.55,32.01,34.08,"1,111,300",34.08
"Mar 4, 2016",31.73,33.17,31.28,32.53,"1,466,000",32.53
"Mar 3, 2016",32.53,32.74,30.92,31.57,"1,026,000",31.57
"Mar 2, 2016",31.86,33.37,31.28,32.46,"1,659,500",32.46
"Mar 1, 2016",30.28,31.97,29.99,31.95,"925,900",31.95
"Feb 29, 2016",30.95,31.43,30.10,30.19,"1,154,800",30.19
"Feb 26, 2016",30.45,31.10,29.52,31.01,"894,900",31.01
"Feb 25, 2016",30.12,31.22,29.44,30.10,"1,098,800",30.10
"Feb 24, 2016",29.20,30.08,28.32,29.88,"792,700",29.88
"Feb 23, 2016",30.53,31.04,29.49,29.51,"979,300",29.51
"Feb 22, 2016",30.71,31.42,29.90,30.52,"1,079,500",30.52
"Feb 19, 2016",29.77,30.91,29.09,30.43,"1,626,600",30.43
"Feb 18, 2016",31.90,32.80,29.32,29.84,"1,778,800",29.84
"Feb 17, 2016",31.05,31.85,30.30,31.61,"1,983,200",31.61
"Feb 16, 2016",28.97,30.82,28.85,30.62,"1,709,000",30.62
"Feb 12, 2016",27.54,28.70,26.98,28.64,"1,512,000",28.64
"Feb 11, 2016",26.14,27.70,26.11,27.04,"2,144,500",27.04
"Feb 10, 2016",28.20,28.39,26.02,26.87,"3,669,600",26.87
"Feb 9, 2016",28.59,30.40,28.04,29.04,"2,049,200",29.04
"Feb 8, 2016",31.01,31.09,28.62,29.35,"1,860,400",29.35
"Feb 5, 2016",32.83,33.22,30.08,31.85,"3,297,600",31.85
"Feb 4, 2016",32.35,34.36,32.00,32.88,"2,896,200",32.88
"Feb 3, 2016",31.77,32.37,29.31,32.31,"2,037,800",32.31
"Feb 2, 2016",32.32,32.88,31.33,31.67,"1,961,800",31.67
"Feb 1, 2016",32.61,33.32,31.66,32.83,"2,166,300",32.83
