Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.39,6.51,6.16,6.23,"955,000",6.23
"Jun 10, 2016",6.75,6.76,6.37,6.44,"768,200",6.44
"Jun 9, 2016",6.92,7.05,6.75,6.75,"783,200",6.75
"Jun 8, 2016",7.23,7.28,6.92,6.98,"702,900",6.98
"Jun 7, 2016",7.51,7.60,7.19,7.20,"702,200",7.20
"Jun 6, 2016",7.15,7.55,6.94,7.50,"1,302,700",7.50
"Jun 3, 2016",7.25,7.35,6.92,7.07,"876,100",7.07
"Jun 2, 2016",6.93,7.19,6.88,7.19,"958,900",7.19
"Jun 1, 2016",6.96,7.09,6.82,6.93,"793,000",6.93
"May 31, 2016",6.74,6.98,6.69,6.90,"577,600",6.90
"May 27, 2016",6.56,6.70,6.44,6.67,"360,400",6.67
"May 26, 2016",6.75,6.75,6.51,6.54,"458,700",6.54
"May 25, 2016",6.54,6.87,6.46,6.74,"893,000",6.74
"May 24, 2016",6.38,6.53,6.32,6.47,"796,100",6.47
"May 23, 2016",6.27,6.61,6.19,6.31,"902,800",6.31
"May 20, 2016",6.05,6.27,6.01,6.27,"615,000",6.27
"May 19, 2016",6.09,6.29,5.83,6.01,"501,600",6.01
"May 18, 2016",6.00,6.26,6.00,6.12,"546,600",6.12
"May 17, 2016",5.93,6.31,5.90,6.04,"1,024,800",6.04
"May 16, 2016",6.15,6.17,5.87,5.97,"1,552,800",5.97
"May 13, 2016",6.00,6.23,5.95,6.10,"1,040,500",6.10
"May 12, 2016",6.09,6.09,5.72,6.00,"1,577,200",6.00
"May 11, 2016",6.21,6.29,6.00,6.02,"814,200",6.02
"May 10, 2016",6.16,6.31,6.00,6.25,"631,500",6.25
"May 9, 2016",5.93,6.28,5.93,6.14,"670,400",6.14
"May 6, 2016",5.73,6.00,5.70,5.89,"851,000",5.89
"May 5, 2016",5.66,5.90,5.40,5.82,"1,232,800",5.82
"May 4, 2016",5.94,5.95,5.58,5.60,"1,033,100",5.60
"May 3, 2016",6.64,6.81,6.04,6.05,"1,030,300",6.05
"May 2, 2016",6.34,6.48,6.15,6.48,"535,000",6.48
"Apr 29, 2016",6.30,6.45,6.14,6.30,"806,600",6.30
"Apr 28, 2016",6.38,6.64,6.26,6.30,"532,200",6.30
"Apr 27, 2016",6.59,6.59,6.25,6.39,"808,300",6.39
"Apr 26, 2016",7.21,7.30,6.57,6.63,"1,055,200",6.63
"Apr 25, 2016",7.10,7.52,7.08,7.24,"763,700",7.24
"Apr 22, 2016",6.97,7.16,6.77,7.12,"571,600",7.12
"Apr 21, 2016",6.65,6.98,6.60,6.97,"632,500",6.97
"Apr 20, 2016",6.81,6.98,6.58,6.70,"572,700",6.70
