Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",13.93,14.19,13.85,13.98,"366,200",13.98
"Jun 10, 2016",14.18,14.31,13.85,14.05,"347,700",14.05
"Jun 9, 2016",14.51,14.66,14.24,14.29,"413,400",14.29
"Jun 8, 2016",14.42,15.01,14.41,14.50,"380,600",14.50
"Jun 7, 2016",14.34,14.65,13.98,14.37,"474,800",14.37
"Jun 6, 2016",13.76,14.42,13.52,14.34,"567,700",14.34
"Jun 3, 2016",13.46,13.78,12.95,13.77,"582,800",13.77
"Jun 2, 2016",13.15,13.75,13.13,13.53,"574,200",13.53
"Jun 1, 2016",12.96,13.26,12.64,13.20,"517,400",13.20
"May 31, 2016",12.41,13.22,12.40,12.94,"563,700",12.94
"May 27, 2016",11.91,12.35,11.82,12.35,"295,000",12.35
"May 26, 2016",12.01,12.28,11.78,11.91,"264,200",11.91
"May 25, 2016",12.16,12.35,11.91,12.01,"313,300",12.01
"May 24, 2016",11.92,12.24,11.81,12.09,"513,200",12.09
"May 23, 2016",11.87,12.04,11.70,11.80,"154,600",11.80
"May 20, 2016",11.66,11.91,11.39,11.87,"213,800",11.87
"May 19, 2016",11.69,11.93,11.31,11.60,"182,400",11.60
"May 18, 2016",11.51,11.92,11.51,11.74,"291,100",11.74
"May 17, 2016",11.39,11.67,11.30,11.52,"311,100",11.52
"May 16, 2016",10.88,11.48,10.73,11.45,"384,100",11.45
"May 13, 2016",10.71,10.99,10.71,10.80,"166,800",10.80
"May 12, 2016",11.29,11.29,10.62,10.78,"442,400",10.78
"May 11, 2016",11.16,11.30,11.03,11.25,"343,200",11.25
"May 10, 2016",11.42,11.42,11.05,11.22,"289,100",11.22
"May 9, 2016",10.84,11.38,10.84,11.31,"351,600",11.31
"May 6, 2016",11.13,11.23,10.71,10.84,"319,700",10.84
"May 5, 2016",11.38,11.38,10.94,11.13,"422,800",11.13
"May 4, 2016",11.99,12.11,11.38,11.39,"504,500",11.39
"May 3, 2016",11.36,12.53,10.55,12.16,"673,000",12.16
"May 2, 2016",11.72,11.93,11.40,11.76,"426,100",11.76
"Apr 29, 2016",11.97,12.06,11.43,11.64,"401,100",11.64
"Apr 28, 2016",11.72,12.05,11.59,12.02,"449,300",12.02
"Apr 27, 2016",11.96,12.37,11.77,11.82,"404,000",11.82
"Apr 26, 2016",11.93,12.10,11.57,11.94,"1,005,000",11.94
"Apr 25, 2016",12.85,13.11,11.80,11.93,"1,123,100",11.93
"Apr 22, 2016",13.58,13.85,12.77,12.84,"415,400",12.84
"Apr 21, 2016",12.39,13.57,12.39,13.56,"586,000",13.56
"Apr 20, 2016",12.76,13.02,12.22,12.33,"486,800",12.33
"Apr 19, 2016",13.00,13.00,12.51,12.74,"274,600",12.74
"Apr 18, 2016",12.53,13.05,12.32,12.97,"463,800",12.97
"Apr 15, 2016",12.46,12.76,12.23,12.54,"352,800",12.54
"Apr 14, 2016",12.64,12.73,12.42,12.50,"324,200",12.50
"Apr 13, 2016",12.31,12.81,12.13,12.64,"304,100",12.64
"Apr 12, 2016",12.17,12.36,12.02,12.18,"263,800",12.18
"Apr 11, 2016",12.71,12.98,12.13,12.20,"343,100",12.20
"Apr 8, 2016",12.73,12.89,12.55,12.62,"252,200",12.62
"Apr 7, 2016",12.72,13.09,12.56,12.65,"377,400",12.65
"Apr 6, 2016",12.31,12.88,12.24,12.86,"318,700",12.86
"Apr 5, 2016",12.70,12.74,12.24,12.26,"245,000",12.26
"Apr 4, 2016",12.26,13.06,12.00,12.81,"312,100",12.81
"Apr 1, 2016",12.10,12.36,11.82,12.19,"541,700",12.19
"Mar 31, 2016",12.30,12.40,12.02,12.17,"488,500",12.17
"Mar 30, 2016",12.16,12.68,11.99,12.24,"304,800",12.24
"Mar 29, 2016",11.58,12.22,11.36,12.16,"426,200",12.16
"Mar 28, 2016",11.98,12.13,11.45,11.60,"360,600",11.60
"Mar 24, 2016",11.82,12.19,11.57,11.87,"320,300",11.87
"Mar 23, 2016",12.53,12.62,11.85,11.88,"377,000",11.88
"Mar 22, 2016",12.43,12.61,12.16,12.52,"395,600",12.52
"Mar 21, 2016",12.39,12.61,12.30,12.44,"223,600",12.44
"Mar 18, 2016",12.17,12.47,12.03,12.39,"429,800",12.39
"Mar 17, 2016",12.66,12.66,11.65,12.09,"339,300",12.09
"Mar 16, 2016",12.50,12.94,12.44,12.74,"251,200",12.74
"Mar 15, 2016",13.10,13.80,12.31,12.50,"318,300",12.50
"Mar 14, 2016",13.36,13.58,13.04,13.16,"177,300",13.16
"Mar 11, 2016",13.14,13.47,13.00,13.46,"229,200",13.46
"Mar 10, 2016",12.93,13.28,12.52,12.96,"293,500",12.96
"Mar 9, 2016",13.11,13.28,12.64,12.82,"391,100",12.82
"Mar 8, 2016",13.64,13.70,13.06,13.10,"371,000",13.10
"Mar 7, 2016",13.59,13.98,13.52,13.65,"410,900",13.65
"Mar 4, 2016",13.91,14.15,13.53,13.62,"187,700",13.62
"Mar 3, 2016",14.04,14.29,13.79,13.91,"172,300",13.91
"Mar 2, 2016",13.67,14.22,12.98,14.04,"295,100",14.04
"Mar 1, 2016",14.26,14.31,13.45,13.65,"413,700",13.65
"Feb 29, 2016",14.25,14.52,12.90,14.18,"416,200",14.18
"Feb 26, 2016",14.47,14.84,14.11,14.28,"310,500",14.28
"Feb 25, 2016",14.60,14.71,14.04,14.42,"168,000",14.42
"Feb 24, 2016",14.59,14.67,14.16,14.58,"196,600",14.58
"Feb 23, 2016",14.65,14.95,14.54,14.75,"338,700",14.75
"Feb 22, 2016",14.82,15.10,14.72,14.81,"497,800",14.81
"Feb 19, 2016",14.64,14.83,14.09,14.61,"339,800",14.61
"Feb 18, 2016",15.13,16.00,14.36,14.68,"420,600",14.68
"Feb 17, 2016",13.97,15.61,13.97,15.16,"578,100",15.16
"Feb 16, 2016",13.08,14.23,12.90,14.00,"1,082,300",14.00
"Feb 12, 2016",14.06,15.81,13.32,13.34,"872,800",13.34
"Feb 11, 2016",13.71,14.38,13.68,14.03,"414,000",14.03
"Feb 10, 2016",13.91,16.10,13.77,14.06,"188,200",14.06
"Feb 9, 2016",13.56,14.07,13.40,13.83,"298,300",13.83
"Feb 8, 2016",14.26,14.42,13.56,13.90,"227,400",13.90
"Feb 5, 2016",14.50,14.92,14.14,14.49,"522,500",14.49
"Feb 4, 2016",14.86,15.29,14.45,14.58,"296,300",14.58
"Feb 3, 2016",14.90,15.01,14.25,14.92,"269,200",14.92
