Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.91,4.05,3.75,3.78,"2,940,500",3.78
"Jun 10, 2016",4.00,4.09,3.91,3.97,"3,089,500",3.97
"Jun 9, 2016",4.09,4.19,4.00,4.00,"2,684,000",4.00
"Jun 8, 2016",4.15,4.24,4.07,4.11,"3,143,900",4.11
"Jun 7, 2016",3.84,4.25,3.77,4.07,"8,764,100",4.07
"Jun 6, 2016",3.85,3.86,3.67,3.84,"2,625,700",3.84
"Jun 3, 2016",3.87,3.88,3.70,3.76,"2,441,600",3.76
"Jun 2, 2016",3.76,3.90,3.75,3.88,"3,648,700",3.88
"Jun 1, 2016",3.65,3.76,3.62,3.74,"2,294,900",3.74
"May 31, 2016",3.61,3.72,3.60,3.67,"4,243,000",3.67
"May 27, 2016",3.50,3.63,3.43,3.60,"2,036,900",3.60
"May 26, 2016",3.52,3.55,3.38,3.50,"2,467,400",3.50
"May 25, 2016",3.63,3.64,3.52,3.55,"2,285,700",3.55
"May 24, 2016",3.53,3.56,3.41,3.54,"4,137,700",3.54
"May 23, 2016",3.27,3.58,3.25,3.44,"7,075,700",3.44
"May 20, 2016",3.19,3.35,3.15,3.26,"5,065,000",3.26
"May 19, 2016",3.07,3.21,3.07,3.15,"2,113,500",3.15
"May 18, 2016",2.90,3.17,2.90,3.13,"3,925,900",3.13
"May 17, 2016",3.22,3.23,2.84,2.91,"7,988,000",2.91
"May 16, 2016",2.71,3.05,2.71,3.00,"6,947,900",3.00
"May 13, 2016",2.86,3.07,2.65,2.67,"8,198,500",2.67
"May 12, 2016",2.75,2.92,2.62,2.81,"4,211,300",2.81
"May 11, 2016",2.89,2.92,2.68,2.69,"2,791,600",2.69
"May 10, 2016",3.03,3.05,2.87,2.91,"2,597,200",2.91
"May 9, 2016",2.91,3.04,2.85,2.98,"2,710,700",2.98
"May 6, 2016",2.90,2.98,2.82,2.82,"3,466,400",2.82
"May 5, 2016",3.06,3.10,2.81,2.83,"4,826,200",2.83
"May 4, 2016",3.29,3.29,2.89,2.90,"5,238,900",2.90
"May 3, 2016",3.25,3.30,3.16,3.18,"1,784,700",3.18
"May 2, 2016",3.17,3.32,3.06,3.31,"2,385,300",3.31
"Apr 29, 2016",3.27,3.35,3.01,3.14,"4,310,600",3.14
"Apr 28, 2016",3.55,3.59,3.27,3.30,"4,439,900",3.30
"Apr 27, 2016",3.60,3.65,3.50,3.60,"1,843,500",3.60
