Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",175.15,177.82,173.27,173.59,"2,254,900",173.59
"Jun 10, 2016",179.76,180.10,174.72,177.10,"3,444,000",177.10
"Jun 9, 2016",187.22,188.37,183.52,183.95,"3,444,500",183.95
"Jun 8, 2016",192.02,192.12,188.41,188.62,"2,438,300",188.62
"Jun 7, 2016",193.22,193.26,191.53,192.02,"3,963,500",192.02
"Jun 6, 2016",192.75,193.15,189.70,190.35,"3,915,400",190.35
"Jun 3, 2016",193.21,193.35,190.50,192.14,"5,973,400",192.14
"Jun 2, 2016",191.85,193.56,189.42,190.04,"13,131,800",190.04
"Jun 1, 2016",187.42,192.16,186.64,191.23,"5,473,400",191.23
"May 31, 2016",187.82,189.24,185.00,186.16,"4,680,000",186.16
"May 27, 2016",189.44,190.36,185.04,186.96,"7,619,700",186.96
"May 26, 2016",192.56,193.35,188.64,190.25,"3,963,000",190.25
"May 25, 2016",191.41,192.02,189.88,191.78,"3,841,000",191.78
"May 24, 2016",188.59,190.60,186.11,187.82,"3,896,300",187.82
"May 23, 2016",186.79,188.98,185.16,186.16,"3,730,700",186.16
"May 20, 2016",186.12,186.93,184.66,185.70,"3,162,300",185.70
"May 19, 2016",181.71,182.24,178.58,180.66,"2,673,100",180.66
"May 18, 2016",178.01,180.59,177.22,178.76,"2,189,600",178.76
"May 17, 2016",177.38,179.35,175.25,175.81,"2,132,400",175.81
"May 16, 2016",175.09,177.25,174.78,177.08,"2,558,600",177.08
"May 13, 2016",175.02,178.11,174.63,175.71,"3,387,600",175.71
"May 12, 2016",181.37,181.37,171.87,173.81,"3,656,900",173.81
"May 11, 2016",179.35,182.41,177.96,178.03,"2,426,000",178.03
"May 10, 2016",176.10,179.20,175.65,178.81,"1,595,000",178.81
"May 9, 2016",175.60,177.32,175.09,176.40,"2,701,500",176.40
"May 6, 2016",173.83,176.02,171.74,173.80,"2,401,900",173.80
"May 5, 2016",175.99,177.82,174.23,175.90,"1,934,000",175.90
"May 4, 2016",181.60,181.87,176.38,178.46,"3,289,400",178.46
"May 3, 2016",184.68,188.98,183.80,186.38,"4,342,200",186.38
"May 2, 2016",187.87,189.70,184.45,185.14,"2,628,100",185.14
"Apr 29, 2016",189.99,190.02,185.19,187.42,"3,629,500",187.42
"Apr 28, 2016",181.39,183.75,178.77,180.96,"2,213,700",180.96
"Apr 27, 2016",182.30,183.24,180.40,181.51,"1,352,700",181.51
"Apr 26, 2016",185.24,185.24,182.66,183.56,"898,300",183.56
"Apr 25, 2016",185.78,186.42,182.78,183.68,"1,145,200",183.68
"Apr 22, 2016",184.94,186.08,183.87,185.15,"985,400",185.15
"Apr 21, 2016",180.06,185.63,180.00,184.42,"943,400",184.42
"Apr 20, 2016",181.13,183.50,179.33,182.40,"1,664,300",182.40
"Apr 19, 2016",185.34,186.27,181.82,183.93,"1,474,400",183.93
"Apr 18, 2016",180.89,185.14,180.79,184.26,"1,174,600",184.26
"Apr 15, 2016",181.11,182.08,179.91,181.70,"1,383,000",181.70
"Apr 14, 2016",181.07,182.37,180.08,180.51,"1,884,100",180.51
"Apr 13, 2016",181.23,183.99,180.46,183.28,"1,551,500",183.28
"Apr 12, 2016",180.99,182.05,178.98,181.53,"1,257,300",181.53
"Apr 11, 2016",181.52,182.00,179.79,179.91,"1,698,100",179.91
"Apr 8, 2016",179.76,181.72,178.74,181.23,"2,047,300",181.23
"Apr 7, 2016",180.58,184.20,179.40,181.22,"3,610,000",181.22
"Apr 6, 2016",177.94,190.47,177.91,181.02,"10,789,000",181.02
"Apr 5, 2016",175.60,176.54,169.90,173.47,"7,352,000",173.47
"Apr 4, 2016",178.46,180.90,176.42,177.51,"2,299,400",177.51
"Apr 1, 2016",171.04,175.58,170.61,174.81,"3,211,200",174.81
"Mar 31, 2016",169.18,172.99,168.88,171.90,"2,786,900",171.90
"Mar 30, 2016",169.88,170.91,167.90,168.50,"1,442,000",168.50
"Mar 29, 2016",165.63,168.87,164.56,168.77,"1,295,800",168.77
"Mar 28, 2016",166.00,167.04,164.57,165.32,"1,655,000",165.32
"Mar 24, 2016",164.94,166.69,162.55,164.80,"1,812,200",164.80
"Mar 23, 2016",166.70,167.02,164.70,165.35,"1,635,600",165.35
"Mar 22, 2016",166.03,168.38,165.94,168.06,"1,864,100",168.06
"Mar 21, 2016",163.85,167.37,163.81,166.28,"3,815,900",166.28
"Mar 18, 2016",156.37,161.48,155.67,160.97,"4,585,300",160.97
"Mar 17, 2016",154.58,155.07,152.20,153.92,"4,745,300",153.92
"Mar 16, 2016",153.97,154.98,150.06,152.40,"4,496,300",152.40
"Mar 15, 2016",162.11,162.32,154.64,155.28,"2,718,000",155.28
"Mar 14, 2016",161.70,164.78,161.26,163.36,"2,729,700",163.36
"Mar 11, 2016",163.99,164.07,159.46,161.88,"2,496,600",161.88
"Mar 10, 2016",162.95,164.35,159.28,162.00,"4,120,500",162.00
"Mar 9, 2016",160.16,160.35,157.78,159.08,"1,370,000",159.08
"Mar 9, 2016",0.665 Dividend,,,,,
"Mar 8, 2016",161.79,162.19,158.64,158.92,"1,619,300",158.26
"Mar 7, 2016",159.68,163.20,158.52,162.84,"2,490,600",162.16
"Mar 4, 2016",159.32,161.47,159.25,160.39,"1,577,700",159.72
"Mar 3, 2016",162.03,162.41,158.10,160.19,"1,424,200",159.52
"Mar 2, 2016",162.88,164.39,160.89,163.92,"2,233,600",163.23
"Mar 1, 2016",157.92,160.99,155.63,160.53,"1,685,100",159.86
"Feb 29, 2016",160.44,160.59,155.33,156.11,"1,449,900",155.46
"Feb 26, 2016",162.98,163.34,160.35,161.00,"1,012,600",160.33
"Feb 25, 2016",161.87,163.03,160.04,162.77,"782,600",162.09
"Feb 24, 2016",158.88,160.80,156.85,160.49,"1,193,700",159.82
"Feb 23, 2016",162.52,163.52,160.12,162.00,"2,004,200",161.32
"Feb 22, 2016",164.18,166.10,162.76,163.90,"1,438,000",163.21
"Feb 19, 2016",161.03,165.31,160.84,164.22,"1,171,400",163.53
"Feb 18, 2016",167.42,167.83,162.61,163.33,"1,426,500",162.65
"Feb 17, 2016",165.00,171.36,164.74,169.35,"2,896,000",168.64
"Feb 16, 2016",160.30,162.93,159.29,161.32,"1,801,300",160.64
"Feb 12, 2016",154.12,160.09,153.66,159.90,"3,040,000",159.23
"Feb 11, 2016",158.73,158.73,147.60,151.00,"2,539,000",150.37
"Feb 10, 2016",153.84,157.67,152.73,153.93,"2,922,700",153.29
"Feb 9, 2016",149.55,152.28,147.85,151.22,"2,242,800",150.59
"Feb 8, 2016",155.10,155.74,148.49,150.40,"2,533,500",149.77
"Feb 5, 2016",162.87,163.18,156.42,157.32,"2,256,200",156.66
"Feb 4, 2016",163.50,166.27,162.13,163.34,"3,704,100",162.66
"Feb 3, 2016",168.40,168.54,159.36,162.81,"2,644,700",162.13
"Feb 2, 2016",169.01,169.19,165.24,167.70,"1,144,400",167.00
"Feb 1, 2016",168.16,170.26,166.14,169.32,"2,090,000",168.61
"Jan 29, 2016",168.28,169.44,164.85,168.30,"1,826,800",167.60
"Jan 28, 2016",170.67,170.98,163.16,167.15,"4,469,300",166.45
"Jan 27, 2016",173.80,175.13,169.30,170.20,"3,120,400",169.49
"Jan 26, 2016",179.29,179.62,175.47,175.88,"1,582,200",175.14
"Jan 25, 2016",181.60,183.37,180.48,180.81,"957,600",180.05
"Jan 22, 2016",180.48,183.50,179.83,182.27,"1,653,800",181.51
"Jan 21, 2016",176.65,177.24,173.02,174.94,"1,835,500",174.21
"Jan 20, 2016",176.38,178.61,171.41,177.12,"2,160,100",176.38
"Jan 19, 2016",182.67,182.67,177.29,179.56,"2,722,400",178.81
"Jan 15, 2016",179.04,180.47,175.41,177.58,"2,278,400",176.84
"Jan 14, 2016",180.29,181.48,177.07,180.31,"1,985,800",179.56
"Jan 13, 2016",184.34,185.71,178.90,179.81,"4,381,600",179.06
"Jan 12, 2016",178.56,181.71,173.96,180.90,"6,801,600",180.14
"Jan 11, 2016",180.43,181.28,166.66,169.37,"7,949,600",168.66
"Jan 8, 2016",191.34,191.57,185.76,186.00,"1,266,700",185.22
"Jan 7, 2016",189.96,192.21,186.50,186.73,"1,090,400",185.95
"Jan 6, 2016",195.07,198.63,193.52,194.90,"1,210,300",194.08
"Jan 5, 2016",199.83,200.48,197.77,199.35,"1,210,100",198.52
"Jan 4, 2016",200.62,201.48,194.89,198.32,"1,409,100",197.49
"Dec 31, 2015",207.65,208.75,204.80,205.00,"452,300",204.14
"Dec 30, 2015",209.28,210.33,208.42,209.04,"581,000",208.17
"Dec 29, 2015",206.81,209.05,205.15,208.67,"698,900",207.80
"Dec 28, 2015",202.74,204.10,201.09,203.35,"298,500",202.50
"Dec 24, 2015",205.36,206.92,203.04,203.37,"133,900",202.52
"Dec 23, 2015",200.56,204.52,200.12,204.17,"684,400",203.32
"Dec 22, 2015",196.55,196.75,193.73,196.48,"790,500",195.66
"Dec 21, 2015",198.02,198.84,194.72,195.22,"706,600",194.40
"Dec 18, 2015",197.63,198.64,195.44,196.79,"981,000",195.97
"Dec 17, 2015",198.52,202.54,197.14,199.64,"785,100",198.80
"Dec 16, 2015",195.30,202.58,195.26,200.32,"1,587,100",199.48
"Dec 15, 2015",188.48,191.19,187.50,190.41,"957,800",189.61
"Dec 14, 2015",191.67,191.72,184.69,188.55,"1,075,000",187.76
"Dec 11, 2015",197.25,206.99,191.20,191.97,"1,063,600",191.17
"Dec 10, 2015",197.87,199.04,196.14,196.87,"541,600",196.05
"Dec 9, 2015",200.94,201.19,197.07,197.95,"581,100",197.12
"Dec 8, 2015",200.49,202.55,199.61,201.55,"657,300",200.71
"Dec 7, 2015",206.02,206.22,202.62,204.23,"536,200",203.38
"Dec 4, 2015",204.15,206.54,203.69,205.78,"609,700",204.92
"Dec 3, 2015",210.44,210.72,202.14,203.61,"539,900",202.76
"Dec 2, 2015",213.59,215.05,208.99,210.74,"612,500",209.86
"Dec 1, 2015",210.56,211.79,208.65,211.34,"726,900",210.46
"Nov 30, 2015",211.32,212.00,208.22,208.36,"832,200",207.49
"Nov 27, 2015",209.54,212.34,209.54,210.40,"339,800",209.52
"Nov 25, 2015",205.43,209.27,204.67,208.25,"740,400",207.38
"Nov 24, 2015",209.31,213.81,206.04,209.00,"1,118,900",208.13
"Nov 23, 2015",212.54,216.01,212.44,213.07,"500,800",212.18
"Nov 20, 2015",213.79,216.30,213.03,213.43,"624,600",212.54
"Nov 19, 2015",219.52,219.52,215.03,215.58,"645,700",214.68
