Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.92,7.02,6.87,6.87,"446,500",6.87
"Jun 10, 2016",6.94,6.98,6.82,6.94,"465,400",6.94
"Jun 9, 2016",7.07,7.12,6.95,6.97,"620,900",6.97
"Jun 8, 2016",7.20,7.24,7.11,7.11,"532,900",7.11
"Jun 7, 2016",7.26,7.28,7.13,7.20,"757,400",7.20
"Jun 6, 2016",7.34,7.34,7.17,7.28,"756,600",7.28
"Jun 3, 2016",7.50,7.54,7.27,7.34,"656,900",7.34
"Jun 2, 2016",7.47,7.54,7.47,7.52,"821,400",7.52
"Jun 1, 2016",7.46,7.55,7.44,7.49,"683,800",7.49
"May 31, 2016",7.48,7.52,7.40,7.49,"1,407,300",7.49
"May 27, 2016",7.44,7.55,7.39,7.43,"641,600",7.43
"May 26, 2016",7.52,7.62,7.41,7.44,"824,600",7.44
"May 25, 2016",7.41,7.67,7.38,7.53,"813,100",7.53
"May 24, 2016",7.35,7.38,7.28,7.37,"942,400",7.37
"May 23, 2016",7.27,7.36,7.23,7.30,"590,800",7.30
"May 20, 2016",7.20,7.29,7.12,7.27,"655,400",7.27
"May 19, 2016",7.15,7.24,7.10,7.19,"521,200",7.19
"May 18, 2016",7.06,7.23,7.04,7.18,"595,000",7.18
"May 17, 2016",7.18,7.26,7.07,7.10,"780,100",7.10
"May 16, 2016",7.15,7.25,7.11,7.20,"731,300",7.20
"May 13, 2016",7.03,7.22,6.97,7.11,"1,199,900",7.11
"May 12, 2016",7.34,7.35,6.97,7.07,"920,000",7.07
"May 11, 2016",7.40,7.58,7.30,7.31,"653,200",7.31
"May 10, 2016",7.32,7.48,7.23,7.45,"793,600",7.45
"May 9, 2016",7.21,7.33,6.96,7.27,"1,362,100",7.27
"May 6, 2016",7.05,7.33,6.80,7.15,"3,086,000",7.15
"May 5, 2016",6.91,7.00,6.40,6.40,"1,089,700",6.40
"May 4, 2016",7.09,7.09,6.92,6.96,"577,300",6.96
"May 3, 2016",7.20,7.24,7.06,7.13,"589,600",7.13
"May 2, 2016",7.14,7.30,7.02,7.30,"407,700",7.30
"Apr 29, 2016",7.14,7.25,7.03,7.09,"416,200",7.09
"Apr 28, 2016",7.14,7.39,7.00,7.16,"459,800",7.16
"Apr 27, 2016",7.19,7.22,7.02,7.14,"485,800",7.14
"Apr 26, 2016",7.65,7.65,7.20,7.24,"612,300",7.24
"Apr 25, 2016",7.63,7.74,7.56,7.65,"391,300",7.65
"Apr 22, 2016",7.39,7.62,7.39,7.60,"431,700",7.60
"Apr 21, 2016",7.34,7.42,7.27,7.41,"542,700",7.41
"Apr 20, 2016",7.41,7.49,7.25,7.35,"528,900",7.35
"Apr 19, 2016",7.33,7.34,7.14,7.25,"652,700",7.25
"Apr 18, 2016",7.34,7.49,7.28,7.32,"1,003,600",7.32
"Apr 15, 2016",7.11,7.44,7.11,7.38,"485,700",7.38
"Apr 14, 2016",7.14,7.29,7.11,7.16,"496,700",7.16
"Apr 13, 2016",6.96,7.20,6.88,7.15,"598,900",7.15
"Apr 12, 2016",6.83,6.93,6.73,6.93,"468,400",6.93
"Apr 11, 2016",6.93,6.98,6.82,6.83,"689,400",6.83
"Apr 8, 2016",6.97,7.00,6.78,6.87,"465,800",6.87
"Apr 7, 2016",6.95,7.05,6.72,6.87,"705,500",6.87
"Apr 6, 2016",6.60,7.02,6.59,7.00,"935,700",7.00
"Apr 5, 2016",6.65,6.74,6.51,6.58,"666,700",6.58
"Apr 4, 2016",6.46,6.86,6.44,6.72,"1,145,800",6.72
"Apr 1, 2016",6.33,6.48,6.28,6.47,"714,800",6.47
"Mar 31, 2016",6.29,6.45,6.16,6.36,"762,200",6.36
"Mar 30, 2016",6.12,6.33,6.04,6.29,"1,119,200",6.29
"Mar 29, 2016",5.79,6.07,5.62,6.03,"671,900",6.03
"Mar 28, 2016",6.03,6.05,5.74,5.80,"477,500",5.80
"Mar 24, 2016",5.80,6.07,5.70,5.96,"462,600",5.96
"Mar 23, 2016",6.18,6.33,5.86,5.87,"681,300",5.87
"Mar 22, 2016",6.01,6.20,6.01,6.17,"702,700",6.17
"Mar 21, 2016",5.94,6.18,5.83,6.08,"785,400",6.08
"Mar 18, 2016",5.91,6.10,5.85,5.96,"3,601,400",5.96
"Mar 17, 2016",5.60,5.89,5.34,5.86,"1,354,700",5.86
"Mar 16, 2016",5.63,5.66,5.45,5.62,"1,114,600",5.62
"Mar 15, 2016",6.11,6.13,5.70,5.71,"1,315,100",5.71
"Mar 14, 2016",5.84,6.07,5.79,5.85,"1,137,100",5.85
"Mar 11, 2016",5.57,5.79,5.26,5.79,"1,284,700",5.79
"Mar 10, 2016",5.16,5.57,5.11,5.47,"1,427,000",5.47
"Mar 9, 2016",5.06,5.08,4.85,5.01,"771,300",5.01
"Mar 8, 2016",5.33,5.33,5.03,5.07,"693,600",5.07
"Mar 7, 2016",5.01,5.45,4.94,5.36,"837,900",5.36
