Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",1.09,1.15,1.06,1.11,"839,400",1.11
"Jun 10, 2016",1.07,1.13,1.03,1.10,"754,800",1.10
"Jun 9, 2016",1.13,1.14,1.08,1.09,"573,600",1.09
"Jun 8, 2016",1.11,1.13,1.07,1.09,"500,800",1.09
"Jun 7, 2016",1.08,1.17,1.08,1.12,"938,600",1.12
"Jun 6, 2016",1.00,1.10,1.00,1.10,"1,404,700",1.10
"Jun 3, 2016",1.01,1.02,0.92,0.97,"1,306,100",0.97
"Jun 2, 2016",1.02,1.03,1.00,1.01,"659,200",1.01
"Jun 1, 2016",1.05,1.05,1.01,1.02,"509,500",1.02
"May 31, 2016",1.03,1.07,1.02,1.02,"1,483,200",1.02
"May 27, 2016",1.03,1.08,1.01,1.03,"734,300",1.03
"May 26, 2016",1.07,1.12,1.01,1.02,"883,600",1.02
"May 25, 2016",1.05,1.12,1.05,1.07,"568,200",1.07
"May 24, 2016",1.04,1.06,1.04,1.05,"413,800",1.05
"May 23, 2016",1.04,1.06,1.02,1.05,"382,700",1.05
"May 20, 2016",1.07,1.08,1.03,1.05,"525,200",1.05
"May 19, 2016",1.06,1.08,1.03,1.06,"479,500",1.06
"May 18, 2016",1.02,1.07,1.00,1.06,"1,262,600",1.06
"May 17, 2016",1.04,1.09,1.03,1.03,"671,800",1.03
"May 16, 2016",1.06,1.07,1.00,1.04,"696,300",1.04
"May 13, 2016",1.02,1.09,1.02,1.06,"799,100",1.06
"May 12, 2016",1.11,1.11,1.00,1.01,"1,151,600",1.01
"May 11, 2016",1.10,1.13,1.10,1.10,"401,100",1.10
"May 10, 2016",1.17,1.17,1.09,1.11,"736,000",1.11
"May 9, 2016",1.13,1.17,1.08,1.14,"1,051,600",1.14
"May 6, 2016",1.15,1.16,1.09,1.09,"1,098,500",1.09
"May 5, 2016",1.12,1.23,1.10,1.12,"1,756,600",1.12
"May 4, 2016",1.32,1.43,1.27,1.35,"1,025,300",1.35
"May 3, 2016",1.26,1.30,1.23,1.25,"335,000",1.25
"May 2, 2016",1.29,1.30,1.25,1.28,"633,100",1.28
"Apr 29, 2016",1.35,1.35,1.28,1.28,"631,700",1.28
"Apr 28, 2016",1.35,1.36,1.32,1.34,"300,300",1.34
