Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",19.66,20.29,19.19,19.41,"3,441,300",19.41
"Jun 10, 2016",20.48,20.75,19.67,19.95,"3,747,900",19.95
"Jun 9, 2016",20.18,21.70,19.66,20.99,"13,737,100",20.99
"Jun 8, 2016",19.18,19.68,18.35,19.44,"7,072,300",19.44
"Jun 7, 2016",21.19,21.88,19.11,19.67,"18,896,900",19.67
"Jun 6, 2016",15.65,16.21,15.06,16.05,"3,582,600",16.05
"Jun 3, 2016",15.91,16.44,15.25,15.57,"5,976,600",15.57
"Jun 2, 2016",19.90,19.98,14.83,15.71,"20,576,000",15.71
"Jun 1, 2016",20.80,21.80,20.17,21.41,"4,057,200",21.41
"May 31, 2016",21.84,22.28,20.22,20.93,"6,840,600",20.93
"May 27, 2016",22.25,23.04,20.82,21.19,"6,596,300",21.19
"May 26, 2016",23.16,24.28,21.85,22.20,"8,444,400",22.20
"May 25, 2016",22.15,23.72,20.83,23.35,"21,334,700",23.35
"May 24, 2016",18.29,18.97,17.57,18.44,"5,516,500",18.44
"May 23, 2016",19.38,20.14,17.12,17.48,"7,068,900",17.48
"May 20, 2016",18.50,19.29,17.85,19.15,"7,425,100",19.15
"May 19, 2016",17.00,17.88,16.95,17.60,"2,393,900",17.60
"May 18, 2016",17.19,17.45,16.84,17.11,"1,517,900",17.11
"May 17, 2016",17.54,18.01,16.93,17.08,"2,828,000",17.08
"May 16, 2016",17.33,18.03,17.22,17.66,"3,030,100",17.66
"May 13, 2016",16.16,17.22,15.85,17.18,"2,190,400",17.18
"May 12, 2016",17.41,17.52,16.12,16.25,"2,631,700",16.25
"May 11, 2016",18.03,18.26,17.50,17.53,"2,233,600",17.53
"May 10, 2016",18.00,18.00,17.11,17.75,"2,651,500",17.75
"May 9, 2016",17.79,18.62,17.31,17.63,"5,011,500",17.63
"May 6, 2016",16.57,18.25,16.05,17.70,"7,016,600",17.70
"May 5, 2016",16.94,18.02,15.83,16.76,"10,301,600",16.76
"May 4, 2016",17.73,18.36,16.62,17.22,"8,771,600",17.22
"May 3, 2016",18.32,19.84,17.65,18.02,"27,840,100",18.02
"May 2, 2016",14.83,18.14,14.52,17.92,"21,595,900",17.92
"Apr 29, 2016",13.77,15.13,13.70,14.19,"10,333,800",14.19
"Apr 28, 2016",13.73,15.38,13.25,13.80,"25,195,600",13.80
"Apr 27, 2016",11.09,11.80,10.45,11.55,"13,354,500",11.55
"Apr 26, 2016",8.06,11.56,8.00,11.02,"48,845,200",11.02
"Apr 25, 2016",14.95,14.95,14.95,14.95,0,14.95
"Apr 22, 2016",11.41,15.70,11.10,14.95,"31,219,700",14.95
