Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",19.37,19.64,18.58,18.70,"642,900",18.70
"Jun 10, 2016",19.35,19.67,19.00,19.39,"452,000",19.39
"Jun 9, 2016",19.11,19.82,19.11,19.61,"391,100",19.61
"Jun 8, 2016",19.60,19.83,19.31,19.61,"359,000",19.61
"Jun 7, 2016",19.54,19.74,19.20,19.60,"501,200",19.60
"Jun 6, 2016",19.50,19.85,19.27,19.65,"429,800",19.65
"Jun 3, 2016",19.74,19.86,19.32,19.53,"410,900",19.53
"Jun 2, 2016",19.72,19.97,19.48,19.74,"397,800",19.74
"Jun 1, 2016",19.44,19.70,19.09,19.62,"366,400",19.62
"May 31, 2016",19.16,19.68,18.98,19.51,"484,900",19.51
"May 27, 2016",18.85,19.44,18.81,19.15,"472,700",19.15
"May 26, 2016",19.05,19.27,18.57,18.78,"479,300",18.78
"May 25, 2016",18.90,19.10,18.55,18.97,"531,400",18.97
"May 24, 2016",18.44,18.93,18.41,18.85,"431,200",18.85
"May 23, 2016",18.09,18.54,17.98,18.41,"456,800",18.41
"May 20, 2016",17.56,18.08,17.39,17.97,"386,500",17.97
"May 19, 2016",17.21,17.66,17.00,17.57,"265,700",17.57
"May 18, 2016",17.61,17.85,17.29,17.41,"426,500",17.41
"May 17, 2016",17.80,18.02,17.51,17.75,"724,900",17.75
"May 16, 2016",17.25,17.76,16.61,17.67,"891,000",17.67
"May 13, 2016",16.15,17.47,15.99,17.28,"1,025,900",17.28
"May 12, 2016",16.34,16.55,15.93,16.27,"577,200",16.27
"May 11, 2016",16.13,16.79,16.13,16.18,"476,700",16.18
"May 10, 2016",16.17,16.60,15.78,16.25,"447,300",16.25
"May 9, 2016",15.48,16.10,15.20,15.92,"475,100",15.92
"May 6, 2016",15.62,16.00,14.14,15.12,"1,216,200",15.12
"May 5, 2016",16.07,16.24,15.49,15.63,"525,800",15.63
"May 4, 2016",15.84,16.05,15.28,15.90,"803,100",15.90
"May 3, 2016",16.77,16.93,16.43,16.54,"381,000",16.54
"May 2, 2016",17.16,17.16,16.34,16.87,"563,800",16.87
"Apr 29, 2016",17.02,17.20,16.80,17.16,"479,100",17.16
"Apr 28, 2016",17.07,17.49,16.82,17.17,"523,500",17.17
"Apr 27, 2016",17.17,17.39,16.87,17.08,"355,700",17.08
"Apr 26, 2016",17.56,17.57,16.88,17.21,"480,200",17.21
"Apr 25, 2016",17.82,17.91,17.31,17.55,"539,900",17.55
"Apr 22, 2016",17.22,17.82,17.22,17.81,"615,600",17.81
"Apr 21, 2016",16.50,17.17,16.41,17.16,"711,300",17.16
"Apr 20, 2016",16.41,16.79,16.24,16.58,"449,000",16.58
"Apr 19, 2016",17.03,17.10,15.99,16.30,"486,600",16.30
"Apr 18, 2016",16.18,16.90,16.12,16.77,"1,074,500",16.77
"Apr 15, 2016",16.32,16.51,15.92,16.32,"402,300",16.32
"Apr 14, 2016",16.55,16.63,16.19,16.37,"282,900",16.37
"Apr 13, 2016",16.70,16.74,16.29,16.54,"698,100",16.54
"Apr 12, 2016",16.56,16.87,16.34,16.58,"438,700",16.58
"Apr 11, 2016",16.88,16.93,16.19,16.55,"546,100",16.55
"Apr 8, 2016",16.93,17.15,16.51,16.72,"476,800",16.72
"Apr 7, 2016",16.67,17.12,16.49,16.72,"799,500",16.72
"Apr 6, 2016",16.20,16.80,16.19,16.69,"552,400",16.69
"Apr 5, 2016",16.11,16.20,15.87,16.18,"495,300",16.18
"Apr 4, 2016",16.26,16.60,15.97,16.22,"689,100",16.22
"Apr 1, 2016",15.20,16.33,14.93,16.21,"848,400",16.21
"Mar 31, 2016",15.11,15.51,15.00,15.25,"897,900",15.25
"Mar 30, 2016",15.70,15.71,14.82,15.03,"637,400",15.03
"Mar 29, 2016",14.02,15.51,13.92,15.47,"1,166,300",15.47
"Mar 28, 2016",14.56,14.63,13.93,14.12,"522,300",14.12
"Mar 24, 2016",14.67,14.77,14.16,14.40,"497,900",14.40
"Mar 23, 2016",15.02,15.22,14.67,14.67,"613,400",14.67
"Mar 22, 2016",14.72,15.11,14.62,15.00,"649,300",15.00
"Mar 21, 2016",14.06,14.75,14.02,14.72,"528,800",14.72
"Mar 18, 2016",13.98,14.34,13.43,14.09,"1,240,600",14.09
"Mar 17, 2016",14.51,14.79,13.42,13.89,"730,800",13.89
"Mar 16, 2016",14.53,15.02,14.38,14.53,"342,100",14.53
"Mar 15, 2016",15.36,15.54,14.30,14.59,"676,300",14.59
"Mar 14, 2016",15.48,15.80,15.36,15.50,"575,100",15.50
"Mar 11, 2016",15.51,15.87,15.38,15.65,"782,200",15.65
"Mar 10, 2016",15.44,15.99,15.23,15.37,"1,284,000",15.37
"Mar 9, 2016",14.65,15.77,14.25,15.21,"1,381,600",15.21
"Mar 8, 2016",14.81,15.16,14.60,14.65,"1,240,300",14.65
"Mar 7, 2016",14.27,15.07,14.04,14.85,"1,238,200",14.85
"Mar 4, 2016",14.00,14.75,13.59,14.38,"1,652,900",14.38
"Mar 3, 2016",14.04,14.95,13.23,13.99,"1,552,800",13.99
"Mar 2, 2016",12.85,13.64,12.80,13.37,"753,300",13.37
"Mar 1, 2016",12.72,13.12,12.15,12.98,"879,100",12.98
"Feb 29, 2016",13.22,13.50,12.53,12.54,"765,500",12.54
"Feb 26, 2016",13.31,13.57,13.00,13.25,"447,800",13.25
"Feb 25, 2016",13.57,13.61,12.80,13.19,"515,200",13.19
"Feb 24, 2016",13.13,13.70,12.92,13.53,"397,800",13.53
"Feb 23, 2016",13.42,13.76,13.15,13.35,"437,400",13.35
"Feb 22, 2016",13.89,13.91,13.40,13.62,"589,800",13.62
"Feb 19, 2016",13.01,13.79,12.75,13.64,"562,200",13.64
"Feb 18, 2016",13.32,13.32,12.84,13.12,"598,200",13.12
"Feb 17, 2016",13.24,13.71,12.83,13.35,"567,000",13.35
"Feb 16, 2016",13.04,13.26,12.73,13.14,"559,200",13.14
"Feb 12, 2016",12.46,12.86,12.05,12.84,"640,300",12.84
"Feb 11, 2016",12.17,12.48,11.98,12.36,"614,900",12.36
"Feb 10, 2016",12.31,13.27,12.20,12.48,"911,100",12.48
"Feb 9, 2016",12.16,12.94,11.83,12.13,"1,210,800",12.13
"Feb 8, 2016",12.24,13.94,11.79,12.54,"2,999,200",12.54
"Feb 5, 2016",10.08,14.59,9.51,12.13,"4,673,800",12.13
"Feb 4, 2016",10.52,10.79,9.83,10.13,"756,200",10.13
"Feb 3, 2016",10.84,10.84,10.10,10.60,"362,200",10.60
"Feb 2, 2016",11.12,11.12,10.60,10.73,"407,300",10.73
"Feb 1, 2016",11.23,11.60,10.78,11.27,"525,300",11.27
"Jan 29, 2016",10.56,11.50,10.42,11.34,"818,900",11.34
"Jan 28, 2016",11.16,11.25,10.32,10.60,"611,600",10.60
"Jan 27, 2016",11.70,11.98,10.79,11.04,"431,800",11.04
"Jan 26, 2016",11.97,12.01,11.32,11.75,"394,200",11.75
"Jan 25, 2016",12.35,12.85,11.87,11.92,"479,700",11.92
"Jan 22, 2016",12.02,12.49,11.75,12.47,"498,000",12.47
"Jan 21, 2016",12.27,12.49,11.73,11.75,"550,000",11.75
"Jan 20, 2016",10.92,12.58,10.75,12.29,"968,400",12.29
"Jan 19, 2016",11.52,11.85,10.89,11.14,"758,300",11.14
"Jan 15, 2016",10.92,11.33,10.47,11.29,"652,000",11.29
"Jan 14, 2016",11.07,11.53,10.46,11.34,"526,100",11.34
"Jan 13, 2016",11.34,11.76,10.71,10.87,"749,000",10.87
"Jan 12, 2016",11.49,11.82,11.19,11.48,"711,600",11.48
"Jan 11, 2016",11.82,11.83,10.75,11.25,"1,581,500",11.25
"Jan 8, 2016",12.91,12.91,11.61,11.69,"930,800",11.69
"Jan 7, 2016",12.39,12.84,12.22,12.78,"819,900",12.78
"Jan 6, 2016",13.32,13.32,12.59,12.70,"614,300",12.70
"Jan 5, 2016",13.23,13.89,12.95,13.43,"596,000",13.43
"Jan 4, 2016",13.16,13.44,12.90,13.14,"766,900",13.14
"Dec 31, 2015",13.66,13.74,13.39,13.44,"623,100",13.44
"Dec 30, 2015",13.51,13.79,13.40,13.69,"345,200",13.69
"Dec 29, 2015",13.76,14.00,13.26,13.47,"802,700",13.47
"Dec 28, 2015",13.84,14.14,13.43,14.00,"714,800",14.00
"Dec 24, 2015",14.28,14.30,14.02,14.14,"223,500",14.14
"Dec 23, 2015",14.25,14.50,13.97,14.33,"531,800",14.33
"Dec 22, 2015",14.22,14.37,13.78,14.10,"519,900",14.10
"Dec 21, 2015",14.22,14.36,13.80,14.22,"563,000",14.22
"Dec 18, 2015",13.73,14.44,13.00,14.13,"1,823,000",14.13
"Dec 17, 2015",13.81,14.06,13.36,13.84,"650,600",13.84
"Dec 16, 2015",13.49,13.79,13.27,13.65,"719,700",13.65
"Dec 15, 2015",12.93,13.41,12.89,13.25,"822,800",13.25
"Dec 14, 2015",13.07,13.32,12.54,12.78,"1,032,800",12.78
"Dec 11, 2015",14.00,14.19,12.95,13.17,"1,352,600",13.17
"Dec 10, 2015",14.63,14.86,14.14,14.24,"906,100",14.24
"Dec 9, 2015",14.80,14.90,14.30,14.59,"632,600",14.59
"Dec 8, 2015",14.05,14.94,14.01,14.82,"652,100",14.82
"Dec 7, 2015",14.65,14.85,14.12,14.44,"964,200",14.44
"Dec 4, 2015",14.97,15.00,14.01,14.58,"1,990,300",14.58
"Dec 3, 2015",16.11,16.19,15.14,15.45,"627,200",15.45
"Dec 2, 2015",16.63,16.91,16.22,16.26,"560,900",16.26
"Dec 1, 2015",16.37,16.79,16.24,16.71,"593,300",16.71
"Nov 30, 2015",16.78,16.79,15.72,16.16,"500,000",16.16
"Nov 27, 2015",16.38,16.80,16.16,16.66,"245,600",16.66
"Nov 25, 2015",16.22,16.68,16.22,16.37,"542,100",16.37
"Nov 24, 2015",15.32,16.43,15.24,16.29,"840,400",16.29
"Nov 23, 2015",15.58,15.84,15.14,15.33,"1,086,500",15.33
"Nov 20, 2015",15.97,15.97,15.44,15.45,"732,800",15.45
"Nov 19, 2015",16.63,16.63,15.79,15.97,"671,900",15.97
"Nov 18, 2015",16.70,16.80,16.15,16.51,"771,000",16.51
"Nov 17, 2015",16.01,16.85,15.94,16.68,"827,500",16.68
"Nov 16, 2015",16.09,16.40,15.84,16.11,"667,300",16.11
"Nov 13, 2015",16.26,16.82,15.97,16.20,"941,300",16.20
"Nov 12, 2015",16.29,16.42,13.76,16.32,"2,574,400",16.32
"Nov 11, 2015",18.86,18.95,17.57,17.59,"624,100",17.59
"Nov 10, 2015",18.15,19.22,18.05,18.86,"667,500",18.86
"Nov 9, 2015",18.11,18.55,18.02,18.27,"667,600",18.27
"Nov 6, 2015",17.62,18.30,17.08,18.11,"602,900",18.11
"Nov 5, 2015",18.18,18.26,17.12,17.78,"632,700",17.78
"Nov 4, 2015",18.88,20.39,17.78,18.26,"1,220,100",18.26
"Nov 3, 2015",17.29,18.22,16.85,17.78,"795,000",17.78
"Nov 2, 2015",16.50,17.55,16.44,17.22,"732,300",17.22
"Oct 30, 2015",16.60,17.07,16.21,16.50,"552,200",16.50
"Oct 29, 2015",16.89,17.60,16.47,16.53,"473,900",16.53
"Oct 28, 2015",16.05,17.14,15.60,16.91,"835,100",16.91
"Oct 27, 2015",15.68,16.06,15.42,15.70,"388,400",15.70
"Oct 26, 2015",15.88,16.36,15.36,15.59,"418,200",15.59
"Oct 23, 2015",15.44,16.32,15.40,15.97,"625,600",15.97
"Oct 22, 2015",15.86,15.86,14.80,15.27,"625,900",15.27
"Oct 21, 2015",15.81,16.05,15.05,15.81,"805,100",15.81
"Oct 20, 2015",17.41,17.46,15.64,15.79,"789,300",15.79
"Oct 19, 2015",16.27,17.80,16.01,17.38,"780,300",17.38
"Oct 16, 2015",16.31,16.45,15.77,16.31,"977,600",16.31
"Oct 15, 2015",14.26,16.39,13.97,16.21,"1,432,100",16.21
"Oct 14, 2015",14.69,15.20,13.73,13.94,"645,200",13.94
"Oct 13, 2015",14.55,15.24,14.43,14.69,"970,600",14.69
