Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",22.57,23.28,22.30,22.35,"164,100",22.35
"Jun 10, 2016",23.00,23.18,22.04,22.68,"185,900",22.68
"Jun 9, 2016",23.41,23.85,23.16,23.36,"229,600",23.36
"Jun 8, 2016",23.47,23.70,22.82,23.54,"131,800",23.54
"Jun 7, 2016",23.65,23.95,23.13,23.29,"128,700",23.29
"Jun 6, 2016",23.42,23.99,22.70,23.83,"195,600",23.83
"Jun 3, 2016",23.70,23.93,23.03,23.29,"140,000",23.29
"Jun 2, 2016",23.02,23.94,23.02,23.67,"209,200",23.67
"Jun 1, 2016",22.80,23.40,22.66,22.96,"232,900",22.96
"May 31, 2016",22.81,23.05,22.46,23.00,"1,069,100",23.00
"May 27, 2016",22.26,22.98,21.89,22.75,"239,800",22.75
"May 26, 2016",22.04,22.50,21.86,22.30,"354,600",22.30
"May 25, 2016",21.51,22.24,21.26,22.17,"340,500",22.17
"May 24, 2016",21.08,21.61,20.95,21.47,"238,000",21.47
"May 23, 2016",20.47,21.70,20.23,20.83,"361,900",20.83
"May 20, 2016",19.40,20.72,18.91,20.55,"479,100",20.55
"May 19, 2016",18.79,19.50,18.36,19.40,"394,100",19.40
"May 18, 2016",17.67,19.00,17.61,19.00,"318,300",19.00
"May 17, 2016",18.14,18.68,17.76,17.84,"224,500",17.84
"May 16, 2016",17.71,18.74,17.71,18.14,"219,500",18.14
"May 13, 2016",17.39,18.17,17.23,17.56,"303,700",17.56
"May 12, 2016",18.45,18.65,17.25,17.45,"290,500",17.45
"May 11, 2016",18.76,18.99,18.01,18.10,"315,200",18.10
"May 10, 2016",17.25,19.42,15.00,18.86,"869,200",18.86
"May 9, 2016",17.97,18.82,17.50,18.63,"309,700",18.63
"May 6, 2016",18.20,18.86,17.77,17.95,"561,500",17.95
"May 5, 2016",18.75,19.22,18.09,18.31,"484,500",18.31
"May 4, 2016",19.71,20.03,19.18,19.32,"333,000",19.32
"May 3, 2016",21.02,21.07,19.67,19.70,"408,100",19.70
"May 2, 2016",20.78,21.30,20.06,21.20,"506,700",21.20
"Apr 29, 2016",22.33,22.33,20.21,20.75,"2,293,500",20.75
"Apr 28, 2016",22.95,22.95,21.05,21.16,"384,500",21.16
"Apr 27, 2016",23.72,24.22,22.77,23.57,"108,800",23.57
"Apr 26, 2016",24.07,24.07,23.24,23.80,"170,700",23.80
"Apr 25, 2016",24.31,24.47,23.50,24.12,"131,700",24.12
"Apr 22, 2016",24.01,24.76,23.74,24.20,"151,300",24.20
"Apr 21, 2016",23.43,24.57,23.37,24.08,"179,900",24.08
"Apr 20, 2016",23.06,23.60,22.60,23.38,"191,400",23.38
"Apr 19, 2016",23.32,23.41,22.56,22.84,"216,800",22.84
"Apr 18, 2016",22.49,23.23,22.23,23.19,"178,300",23.19
"Apr 15, 2016",22.19,22.80,22.19,22.44,"144,100",22.44
"Apr 14, 2016",22.02,22.49,21.82,22.35,"142,200",22.35
"Apr 13, 2016",21.52,22.24,20.95,22.04,"195,000",22.04
"Apr 12, 2016",21.75,22.03,20.57,21.33,"280,300",21.33
"Apr 11, 2016",21.34,22.20,20.97,21.92,"248,900",21.92
"Apr 8, 2016",21.18,21.18,20.52,20.98,"163,000",20.98
"Apr 7, 2016",20.68,21.12,20.50,20.90,"211,700",20.90
"Apr 6, 2016",20.28,20.89,20.28,20.83,"320,200",20.83
"Apr 5, 2016",20.43,20.80,20.16,20.31,"210,400",20.31
"Apr 4, 2016",19.64,20.70,19.29,20.43,"587,100",20.43
"Apr 1, 2016",18.47,19.75,18.47,19.69,"367,400",19.69
"Mar 31, 2016",18.47,19.00,18.16,18.80,"308,500",18.80
"Mar 30, 2016",18.20,18.75,18.06,18.42,"290,200",18.42
"Mar 29, 2016",17.16,18.19,16.71,18.11,"155,400",18.11
"Mar 28, 2016",17.18,17.52,16.76,17.31,"131,800",17.31
"Mar 24, 2016",17.26,17.35,16.18,17.00,"222,200",17.00
"Mar 23, 2016",18.50,18.61,17.27,17.35,"213,900",17.35
"Mar 22, 2016",18.30,18.78,17.89,18.48,"196,000",18.48
"Mar 21, 2016",18.14,18.74,17.75,18.44,"282,700",18.44
"Mar 18, 2016",18.01,18.32,17.34,17.93,"384,900",17.93
"Mar 17, 2016",17.80,18.04,16.80,17.75,"321,400",17.75
"Mar 16, 2016",16.77,17.92,16.77,17.82,"180,700",17.82
"Mar 15, 2016",17.44,17.49,16.78,16.96,"217,400",16.96
"Mar 14, 2016",17.55,18.12,17.30,17.69,"142,500",17.69
"Mar 11, 2016",17.10,17.74,16.93,17.70,"172,200",17.70
"Mar 10, 2016",16.44,18.39,16.44,17.12,"156,600",17.12
"Mar 9, 2016",17.50,17.87,16.52,17.59,"146,900",17.59
"Mar 8, 2016",18.19,18.19,17.11,17.17,"135,900",17.17
"Mar 7, 2016",17.83,18.72,17.40,18.15,"235,700",18.15
"Mar 4, 2016",17.62,18.24,16.11,17.87,"207,000",17.87
"Mar 3, 2016",17.30,18.00,17.13,17.72,"205,200",17.72
"Mar 2, 2016",16.00,17.46,15.91,17.37,"142,700",17.37
"Mar 1, 2016",15.91,16.18,15.28,15.98,"103,500",15.98
"Feb 29, 2016",16.15,16.43,15.66,15.72,"122,000",15.72
"Feb 26, 2016",16.25,16.45,15.50,16.14,"144,000",16.14
"Feb 25, 2016",15.45,16.21,15.31,16.15,"184,100",16.15
"Feb 24, 2016",14.09,15.48,13.59,15.35,"184,600",15.35
"Feb 23, 2016",14.52,15.16,14.33,14.34,"107,700",14.34
"Feb 22, 2016",15.79,15.79,14.52,14.80,"320,400",14.80
"Feb 19, 2016",15.45,16.00,15.00,15.65,"157,800",15.65
"Feb 18, 2016",16.07,16.18,15.23,15.50,"173,900",15.50
"Feb 17, 2016",15.45,17.34,15.36,16.10,"233,100",16.10
"Feb 16, 2016",15.15,15.46,14.81,15.29,"106,500",15.29
"Feb 12, 2016",16.11,16.11,14.35,14.86,"153,100",14.86
"Feb 11, 2016",15.39,16.75,15.39,15.94,"313,600",15.94
"Feb 10, 2016",16.53,17.13,15.70,15.77,"104,300",15.77
"Feb 9, 2016",16.78,17.39,16.09,16.32,"95,400",16.32
"Feb 8, 2016",17.26,17.26,16.62,17.01,"271,300",17.01
"Feb 5, 2016",17.27,17.88,17.23,17.43,"187,300",17.43
"Feb 4, 2016",16.69,17.88,16.61,17.44,"167,800",17.44
"Feb 3, 2016",16.20,16.99,14.45,16.78,"231,900",16.78
"Feb 2, 2016",15.79,16.13,15.52,16.08,"200,700",16.08
"Feb 1, 2016",16.23,16.60,15.05,16.01,"162,900",16.01
"Jan 29, 2016",16.33,16.84,15.90,16.42,"253,700",16.42
"Jan 28, 2016",16.27,16.33,15.32,16.31,"172,200",16.31
"Jan 27, 2016",16.10,16.58,15.91,16.08,"380,300",16.08
"Jan 26, 2016",16.16,16.26,15.20,16.16,"216,900",16.16
"Jan 25, 2016",16.07,16.73,15.89,16.02,"222,500",16.02
"Jan 22, 2016",16.33,16.63,15.84,16.19,"147,300",16.19
"Jan 21, 2016",15.66,16.50,15.17,15.92,"169,800",15.92
"Jan 20, 2016",13.90,15.97,13.48,15.75,"282,900",15.75
"Jan 19, 2016",14.97,14.97,13.56,14.18,"271,700",14.18
"Jan 15, 2016",13.28,14.61,12.87,14.52,"276,600",14.52
"Jan 14, 2016",13.19,14.10,12.89,13.73,"149,900",13.73
"Jan 13, 2016",14.00,14.27,13.29,13.40,"269,200",13.40
"Jan 12, 2016",13.52,13.97,13.09,13.95,"226,800",13.95
"Jan 11, 2016",14.67,14.85,12.98,13.35,"222,600",13.35
"Jan 8, 2016",15.60,15.82,14.61,14.61,"194,900",14.61
"Jan 7, 2016",15.23,16.21,15.14,15.53,"236,900",15.53
"Jan 6, 2016",16.26,16.43,15.44,15.66,"191,700",15.66
"Jan 5, 2016",16.33,16.96,16.14,16.63,"177,900",16.63
"Jan 4, 2016",16.02,16.55,15.87,16.24,"203,000",16.24
"Dec 31, 2015",16.37,16.77,16.34,16.39,"83,100",16.39
"Dec 30, 2015",16.72,16.90,16.40,16.51,"66,500",16.51
"Dec 29, 2015",16.49,16.73,16.20,16.70,"50,900",16.70
"Dec 28, 2015",16.15,16.49,15.72,16.35,"238,300",16.35
"Dec 24, 2015",16.85,16.98,16.01,16.30,"78,800",16.30
"Dec 23, 2015",17.00,17.45,16.60,16.81,"122,100",16.81
"Dec 22, 2015",16.46,17.03,16.13,16.90,"121,300",16.90
"Dec 21, 2015",15.74,16.50,15.32,16.39,"142,700",16.39
"Dec 18, 2015",16.32,16.32,15.49,15.57,"1,000,400",15.57
"Dec 17, 2015",16.40,17.07,16.22,16.41,"273,500",16.41
"Dec 16, 2015",15.60,16.33,15.29,16.32,"176,500",16.32
"Dec 15, 2015",15.53,15.80,15.29,15.45,"127,500",15.45
"Dec 14, 2015",16.03,16.38,15.00,15.35,"210,700",15.35
"Dec 11, 2015",16.42,16.72,16.02,16.13,"313,700",16.13
"Dec 10, 2015",17.10,17.24,16.57,16.88,"193,300",16.88
"Dec 9, 2015",17.54,18.83,16.87,17.31,"140,800",17.31
"Dec 8, 2015",17.57,18.26,17.42,18.08,"132,800",18.08
"Dec 7, 2015",18.49,18.54,17.42,17.90,"175,200",17.90
"Dec 4, 2015",17.62,18.88,17.16,18.59,"232,600",18.59
"Dec 3, 2015",19.53,19.75,17.36,17.57,"392,000",17.57
"Dec 2, 2015",19.16,19.62,18.86,19.51,"172,900",19.51
"Dec 1, 2015",18.85,19.44,18.05,19.22,"223,800",19.22
"Nov 30, 2015",18.64,19.18,18.48,18.77,"168,900",18.77
"Nov 27, 2015",18.54,18.76,18.34,18.47,"74,000",18.47
"Nov 25, 2015",18.21,18.69,17.92,18.63,"66,900",18.63
"Nov 24, 2015",17.88,18.39,17.71,18.28,"104,800",18.28
"Nov 23, 2015",17.05,18.25,16.67,18.02,"276,100",18.02
"Nov 20, 2015",17.16,17.60,17.04,17.17,"119,400",17.17
"Nov 19, 2015",17.36,17.63,17.03,17.09,"173,900",17.09
"Nov 18, 2015",17.08,17.68,17.01,17.52,"227,000",17.52
"Nov 17, 2015",16.92,17.19,16.86,16.93,"218,500",16.93
"Nov 16, 2015",16.38,17.07,16.36,16.88,"133,600",16.88
"Nov 13, 2015",16.53,17.74,16.50,16.85,"341,100",16.85
"Nov 12, 2015",16.78,17.27,16.48,16.70,"147,400",16.70
"Nov 11, 2015",17.25,17.64,16.74,16.98,"117,400",16.98
"Nov 10, 2015",16.69,17.49,16.19,17.24,"295,900",17.24
"Nov 9, 2015",17.50,17.73,16.77,17.06,"356,500",17.06
"Nov 6, 2015",17.17,17.55,16.72,17.50,"349,700",17.50
"Nov 5, 2015",17.10,17.56,16.34,17.24,"467,100",17.24
"Nov 4, 2015",16.32,17.16,15.96,17.10,"169,700",17.10
"Nov 3, 2015",16.00,16.39,15.77,16.34,"234,200",16.34
"Nov 2, 2015",14.97,16.60,14.75,16.08,"188,600",16.08
"Oct 30, 2015",14.65,15.29,14.51,14.95,"189,300",14.95
"Oct 29, 2015",14.44,14.78,14.20,14.64,"116,600",14.64
"Oct 28, 2015",13.90,14.47,13.60,14.41,"146,400",14.41
"Oct 27, 2015",13.78,14.14,13.57,13.81,"87,500",13.81
"Oct 26, 2015",13.82,14.15,13.71,13.87,"106,400",13.87
"Oct 23, 2015",13.65,13.95,13.20,13.85,"121,900",13.85
"Oct 22, 2015",13.69,14.00,13.09,13.49,"105,700",13.49
"Oct 21, 2015",14.07,14.25,13.43,13.57,"113,800",13.57
"Oct 20, 2015",13.86,14.38,13.75,13.95,"91,800",13.95
"Oct 19, 2015",13.77,14.34,13.53,13.92,"86,900",13.92
"Oct 16, 2015",14.13,14.29,13.61,13.92,"78,800",13.92
"Oct 15, 2015",13.03,14.06,12.75,14.05,"262,800",14.05
"Oct 14, 2015",13.15,13.63,12.90,12.92,"80,800",12.92
"Oct 13, 2015",14.06,14.06,13.13,13.18,"163,900",13.18
"Oct 12, 2015",14.00,14.18,13.46,13.71,"120,500",13.71
"Oct 9, 2015",12.98,13.87,12.90,13.86,"120,600",13.86
"Oct 8, 2015",12.65,13.19,12.61,12.90,"206,700",12.90
"Oct 7, 2015",12.55,12.81,12.38,12.56,"249,700",12.56
"Oct 6, 2015",12.63,13.00,12.28,12.47,"171,800",12.47
"Oct 5, 2015",12.83,12.86,12.10,12.63,"336,300",12.63
"Oct 2, 2015",10.88,12.38,10.56,12.38,"190,500",12.38
"Oct 1, 2015",11.05,11.42,10.62,11.13,"216,200",11.13
"Sep 30, 2015",11.04,11.79,10.69,10.99,"222,800",10.99
"Sep 29, 2015",11.89,12.21,10.75,10.88,"268,400",10.88
"Sep 28, 2015",12.37,12.75,11.74,11.85,"193,300",11.85
"Sep 25, 2015",13.64,13.90,12.33,12.43,"283,500",12.43
"Sep 24, 2015",13.28,13.56,13.04,13.44,"143,500",13.44
"Sep 23, 2015",13.64,13.87,13.26,13.43,"165,800",13.43
"Sep 22, 2015",13.26,13.67,13.00,13.62,"199,300",13.62
"Sep 21, 2015",13.75,14.44,13.15,13.59,"230,400",13.59
"Sep 18, 2015",13.76,14.19,13.27,13.49,"528,200",13.49
"Sep 17, 2015",13.23,14.25,13.12,14.03,"182,300",14.03
"Sep 16, 2015",13.37,13.54,12.95,13.27,"156,000",13.27
"Sep 15, 2015",13.17,13.47,12.86,13.40,"157,000",13.40
"Sep 14, 2015",13.83,14.25,12.99,13.17,"329,700",13.17
"Sep 11, 2015",13.64,13.94,13.27,13.92,"141,600",13.92
"Sep 10, 2015",13.50,14.65,13.30,13.63,"127,900",13.63
"Sep 9, 2015",14.91,14.99,13.27,13.41,"183,000",13.41
"Sep 8, 2015",14.27,14.87,14.05,14.80,"158,300",14.80
"Sep 4, 2015",13.53,14.21,13.37,14.00,"111,500",14.00
"Sep 3, 2015",14.82,15.00,13.82,13.84,"123,100",13.84
"Sep 2, 2015",14.04,14.83,13.77,14.79,"202,300",14.79
"Sep 1, 2015",14.08,14.42,13.66,13.75,"167,000",13.75
"Aug 31, 2015",14.57,14.74,13.80,14.56,"131,700",14.56
"Aug 28, 2015",13.61,14.63,13.61,14.61,"180,400",14.61
"Aug 27, 2015",12.76,13.75,12.76,13.74,"199,800",13.74
"Aug 26, 2015",12.43,12.59,11.61,12.57,"277,800",12.57
"Aug 25, 2015",12.76,12.91,11.93,12.07,"300,600",12.07
"Aug 24, 2015",12.50,13.21,11.58,12.29,"200,700",12.29
"Aug 21, 2015",12.57,13.54,12.51,13.12,"216,600",13.12
"Aug 20, 2015",13.21,13.41,12.89,12.98,"195,600",12.98
"Aug 19, 2015",13.04,13.48,12.71,13.45,"244,200",13.45
"Aug 18, 2015",12.78,14.24,12.60,12.79,"425,800",12.79
"Aug 17, 2015",11.95,12.34,11.87,12.08,"226,400",12.08
"Aug 14, 2015",12.11,12.11,11.52,11.94,"319,900",11.94
"Aug 13, 2015",12.25,12.30,11.91,11.96,"192,900",11.96
"Aug 12, 2015",11.80,12.29,11.59,12.24,"296,600",12.24
"Aug 11, 2015",11.50,12.45,11.50,11.96,"256,100",11.96
"Aug 10, 2015",12.02,12.71,11.76,12.34,"126,400",12.34
"Aug 7, 2015",11.98,12.10,11.66,11.91,"155,000",11.91
"Aug 6, 2015",12.38,12.38,11.95,12.00,"259,200",12.00
"Aug 5, 2015",12.44,12.66,12.22,12.28,"106,000",12.28
"Aug 4, 2015",12.39,12.65,12.00,12.30,"73,800",12.30
"Aug 3, 2015",12.59,12.63,12.06,12.34,"112,100",12.34
"Jul 31, 2015",12.04,12.63,11.84,12.54,"85,500",12.54
"Jul 30, 2015",11.89,12.06,11.40,12.05,"147,600",12.05
"Jul 29, 2015",12.03,12.22,11.68,11.95,"103,000",11.95
"Jul 28, 2015",11.85,12.24,11.36,12.02,"181,300",12.02
"Jul 27, 2015",12.13,12.28,11.39,11.83,"201,300",11.83
"Jul 24, 2015",12.50,12.77,12.19,12.28,"116,800",12.28
"Jul 23, 2015",12.56,12.71,12.35,12.53,"82,900",12.53
"Jul 22, 2015",12.13,12.52,12.05,12.46,"63,900",12.46
"Jul 21, 2015",11.90,12.29,11.89,12.23,"179,500",12.23
"Jul 20, 2015",12.23,12.38,11.72,11.90,"198,500",11.90
"Jul 17, 2015",12.39,12.51,12.02,12.21,"240,700",12.21
"Jul 16, 2015",12.71,12.74,12.21,12.44,"126,400",12.44
"Jul 15, 2015",12.75,12.99,12.35,12.51,"106,900",12.51
"Jul 14, 2015",11.97,12.73,11.96,12.69,"149,500",12.69
"Jul 13, 2015",12.36,12.45,11.76,11.95,"250,000",11.95
"Jul 10, 2015",12.09,12.51,11.91,12.29,"190,400",12.29
"Jul 9, 2015",12.03,12.23,11.80,11.93,"155,800",11.93
"Jul 8, 2015",12.50,12.50,11.56,11.84,"287,700",11.84
"Jul 7, 2015",12.62,12.64,12.12,12.57,"241,700",12.57
"Jul 6, 2015",12.14,12.65,12.10,12.62,"198,200",12.62
