Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",112.49,113.47,112.05,112.34,"150,100",112.34
"Jun 10, 2016",113.12,113.99,112.65,113.08,"137,700",113.08
"Jun 9, 2016",113.48,114.62,112.97,113.82,"133,800",113.82
"Jun 8, 2016",113.14,114.35,112.28,114.18,"161,700",114.18
"Jun 7, 2016",112.10,113.36,109.70,112.92,"215,800",112.92
"Jun 6, 2016",110.44,112.38,108.21,112.11,"146,600",112.11
"Jun 3, 2016",111.46,111.46,109.58,110.61,"171,100",110.61
"Jun 2, 2016",111.45,112.81,111.21,111.70,"208,000",111.70
"Jun 1, 2016",109.30,112.21,109.02,111.36,"254,100",111.36
"May 31, 2016",109.97,110.84,109.12,109.88,"210,300",109.88
"May 27, 2016",106.93,109.93,106.44,109.61,"242,800",109.61
"May 26, 2016",106.99,108.01,106.33,107.16,"155,500",107.16
"May 25, 2016",106.83,108.18,105.96,107.10,"151,300",107.10
"May 24, 2016",105.63,106.89,104.68,106.81,"225,900",106.81
"May 23, 2016",104.65,105.56,103.56,105.10,"174,100",105.10
"May 20, 2016",103.61,104.74,103.04,104.42,"172,900",104.42
"May 19, 2016",102.18,103.71,101.22,103.00,"173,800",103.00
"May 18, 2016",101.92,103.86,100.28,102.61,"175,400",102.61
"May 17, 2016",103.17,103.95,102.04,102.51,"156,800",102.51
"May 16, 2016",102.23,103.58,100.93,103.10,"195,700",103.10
"May 13, 2016",100.82,102.44,100.41,101.90,"165,200",101.90
"May 12, 2016",101.21,101.72,99.59,101.18,"208,800",101.18
"May 11, 2016",101.37,102.99,100.89,101.29,"186,500",101.29
"May 11, 2016",0.32 Dividend,,,,,
"May 10, 2016",102.16,102.94,100.73,101.95,"180,000",101.63
"May 9, 2016",100.64,102.86,99.76,101.85,"166,100",101.53
"May 6, 2016",100.15,101.06,99.28,100.91,"167,800",100.59
"May 5, 2016",100.38,102.14,99.65,100.40,"181,500",100.08
"May 4, 2016",101.10,101.59,98.84,99.94,"331,900",99.63
"May 3, 2016",95.01,103.86,95.01,100.55,"597,400",100.23
"May 2, 2016",93.11,94.68,91.52,93.30,"210,500",93.01
"Apr 29, 2016",92.25,93.45,91.45,93.18,"247,000",92.89
"Apr 28, 2016",93.64,94.68,92.15,92.56,"131,900",92.27
"Apr 27, 2016",93.45,94.44,92.84,93.99,"121,300",93.69
"Apr 26, 2016",93.11,93.84,91.74,93.69,"173,300",93.40
"Apr 25, 2016",94.48,94.58,92.47,93.09,"218,000",92.80
"Apr 22, 2016",93.82,95.04,92.94,94.82,"211,300",94.52
"Apr 21, 2016",92.81,94.23,92.54,93.92,"217,100",93.63
"Apr 20, 2016",92.56,93.41,91.67,92.58,"254,900",92.29
"Apr 19, 2016",93.87,94.97,92.34,92.65,"201,300",92.36
"Apr 18, 2016",92.84,94.28,92.34,93.97,"199,300",93.68
"Apr 15, 2016",91.96,93.26,91.52,92.93,"269,900",92.64
"Apr 14, 2016",92.76,92.76,91.73,91.84,"221,000",91.55
"Apr 13, 2016",92.67,93.47,91.70,92.64,"470,100",92.35
"Apr 12, 2016",92.00,92.45,91.55,91.98,"309,500",91.69
"Apr 11, 2016",93.68,94.85,91.92,92.04,"187,600",91.75
"Apr 8, 2016",94.38,94.38,92.46,93.08,"159,000",92.79
"Apr 7, 2016",94.33,95.48,93.65,93.87,"187,000",93.58
"Apr 6, 2016",92.48,95.25,92.41,94.81,"269,900",94.51
"Apr 5, 2016",93.30,94.39,92.06,92.15,"411,200",91.86
"Apr 4, 2016",95.29,95.81,94.19,94.65,"317,200",94.35
"Apr 1, 2016",93.90,95.88,93.51,95.50,"307,400",95.20
"Mar 31, 2016",95.82,96.32,93.84,94.52,"274,200",94.22
"Mar 30, 2016",94.57,95.91,94.04,95.56,"170,500",95.26
"Mar 29, 2016",92.72,94.09,92.42,93.99,"281,100",93.69
"Mar 28, 2016",93.97,94.49,92.29,92.98,"158,700",92.69
"Mar 24, 2016",92.37,93.95,92.37,93.87,"130,800",93.58
"Mar 23, 2016",94.56,94.78,92.65,92.81,"163,800",92.52
"Mar 22, 2016",94.71,95.78,94.03,94.82,"158,400",94.52
"Mar 21, 2016",94.47,95.77,94.05,94.79,"189,500",94.49
"Mar 18, 2016",92.96,96.02,92.72,94.73,"321,900",94.43
"Mar 17, 2016",93.32,96.83,91.17,93.42,"229,200",93.13
"Mar 16, 2016",91.70,93.45,91.70,93.41,"205,400",93.12
"Mar 15, 2016",93.78,94.33,91.47,92.10,"195,200",91.81
"Mar 14, 2016",94.13,95.00,93.88,94.28,"212,500",93.98
"Mar 11, 2016",93.03,94.47,92.59,94.24,"175,600",93.94
"Mar 10, 2016",92.84,94.05,91.91,92.32,"222,000",92.03
"Mar 9, 2016",92.59,92.60,90.74,92.32,"207,300",92.03
"Mar 8, 2016",92.75,93.14,91.96,92.26,"201,900",91.97
"Mar 7, 2016",91.95,93.81,91.86,93.27,"217,300",92.98
"Mar 4, 2016",91.30,95.10,90.58,92.57,"232,300",92.28
"Mar 3, 2016",90.13,91.47,90.13,91.00,"186,500",90.71
"Mar 2, 2016",89.60,93.52,87.66,90.45,"226,600",90.17
"Mar 1, 2016",86.18,90.00,85.34,89.99,"276,400",89.71
"Feb 29, 2016",86.77,88.12,85.72,85.84,"201,200",85.57
