Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.30,6.97,6.30,6.82,"79,100",6.82
"Jun 10, 2016",6.51,6.51,6.28,6.32,"34,300",6.32
"Jun 9, 2016",6.84,6.86,6.45,6.58,"48,000",6.58
"Jun 8, 2016",6.61,7.05,6.39,6.82,"39,300",6.82
"Jun 7, 2016",6.64,6.89,6.44,6.60,"44,700",6.60
"Jun 6, 2016",7.04,7.04,6.66,6.72,"104,400",6.72
"Jun 3, 2016",7.19,7.29,6.82,6.93,"50,600",6.93
"Jun 2, 2016",6.92,7.38,6.92,7.19,"42,700",7.19
"Jun 1, 2016",7.21,7.31,6.91,7.00,"47,200",7.00
"May 31, 2016",7.36,7.58,7.06,7.25,"64,600",7.25
"May 27, 2016",7.39,7.45,7.25,7.35,"22,900",7.35
"May 26, 2016",7.26,7.52,7.26,7.38,"24,600",7.38
"May 25, 2016",7.21,7.65,7.21,7.49,"37,400",7.49
"May 24, 2016",7.25,7.49,7.15,7.43,"54,800",7.43
"May 23, 2016",7.01,7.36,6.89,7.25,"48,200",7.25
"May 20, 2016",7.04,7.30,6.91,7.00,"52,100",7.00
"May 19, 2016",6.96,7.04,6.72,6.96,"35,700",6.96
"May 18, 2016",6.91,7.04,6.91,6.98,"19,600",6.98
"May 17, 2016",7.07,7.31,6.90,6.96,"34,000",6.96
"May 16, 2016",6.98,7.22,6.94,7.09,"45,200",7.09
"May 13, 2016",6.61,6.96,6.51,6.90,"24,300",6.90
"May 12, 2016",7.09,7.09,6.35,6.58,"62,100",6.58
"May 11, 2016",7.20,7.24,6.83,7.00,"49,300",7.00
"May 10, 2016",7.07,7.20,6.76,7.19,"52,000",7.19
"May 9, 2016",6.48,7.12,6.37,7.07,"63,000",7.07
"May 6, 2016",6.45,6.62,6.35,6.43,"39,800",6.43
"May 5, 2016",6.74,6.74,6.11,6.53,"124,000",6.53
"May 4, 2016",7.08,7.16,6.52,6.71,"114,500",6.71
"May 3, 2016",7.17,7.46,7.04,7.08,"57,900",7.08
"May 2, 2016",7.23,7.44,7.03,7.25,"67,200",7.25
"Apr 29, 2016",7.39,7.53,7.16,7.33,"37,600",7.33
"Apr 28, 2016",7.05,8.00,7.05,7.39,"103,200",7.39
"Apr 27, 2016",7.23,7.27,6.93,7.14,"40,600",7.14
"Apr 26, 2016",7.85,7.87,7.20,7.27,"116,800",7.27
"Apr 25, 2016",7.38,7.90,7.35,7.85,"98,700",7.85
"Apr 22, 2016",7.22,7.30,6.87,7.29,"77,800",7.29
"Apr 21, 2016",7.15,7.25,7.06,7.15,"49,900",7.15
"Apr 20, 2016",7.17,7.20,7.06,7.13,"53,900",7.13
"Apr 19, 2016",7.27,7.27,6.75,7.10,"100,200",7.10
"Apr 18, 2016",7.43,7.45,7.24,7.25,"40,600",7.25
"Apr 15, 2016",7.80,7.86,7.20,7.43,"125,800",7.43
"Apr 14, 2016",8.10,8.10,7.59,7.60,"45,100",7.60
"Apr 13, 2016",7.46,7.94,7.29,7.85,"94,800",7.85
"Apr 12, 2016",7.71,7.71,7.05,7.52,"64,200",7.52
"Apr 11, 2016",7.79,7.79,7.45,7.47,"76,400",7.47
