Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.25,6.46,6.21,6.33,"110,200",6.33
"Jun 10, 2016",6.36,6.59,6.28,6.31,"207,800",6.31
"Jun 9, 2016",6.60,6.74,6.40,6.46,"318,700",6.46
"Jun 8, 2016",6.38,6.67,6.16,6.62,"207,600",6.62
"Jun 7, 2016",6.75,6.75,6.32,6.38,"185,900",6.38
"Jun 6, 2016",6.25,6.56,6.13,6.55,"216,300",6.55
"Jun 3, 2016",6.44,6.45,6.13,6.21,"142,100",6.21
"Jun 2, 2016",6.35,6.54,6.22,6.48,"281,400",6.48
"Jun 1, 2016",5.99,6.32,5.99,6.28,"266,500",6.28
"May 31, 2016",5.86,6.06,5.80,5.99,"215,600",5.99
"May 27, 2016",5.86,5.91,5.69,5.80,"182,100",5.80
"May 26, 2016",5.89,5.89,5.70,5.83,"125,800",5.83
"May 25, 2016",5.87,5.89,5.74,5.86,"157,900",5.86
"May 24, 2016",5.64,5.91,5.58,5.85,"271,400",5.85
"May 23, 2016",5.58,5.74,5.55,5.61,"140,600",5.61
"May 20, 2016",5.33,5.61,5.21,5.61,"155,500",5.61
"May 19, 2016",5.33,5.40,5.21,5.28,"141,800",5.28
"May 18, 2016",5.22,5.42,5.20,5.35,"558,700",5.35
"May 17, 2016",5.34,5.40,5.15,5.22,"446,600",5.22
"May 16, 2016",5.20,5.50,5.16,5.32,"576,500",5.32
"May 13, 2016",5.11,5.32,5.09,5.15,"174,500",5.15
"May 12, 2016",5.45,5.45,5.04,5.10,"195,600",5.10
"May 11, 2016",5.45,5.50,5.37,5.40,"166,900",5.40
"May 10, 2016",5.43,5.52,5.30,5.49,"142,500",5.49
"May 9, 2016",5.27,5.52,5.24,5.40,"155,700",5.40
"May 6, 2016",5.54,5.57,5.26,5.28,"260,700",5.28
"May 5, 2016",5.70,5.70,5.48,5.59,"176,100",5.59
"May 4, 2016",5.81,5.87,5.52,5.68,"291,900",5.68
"May 3, 2016",5.80,5.99,5.70,5.90,"261,200",5.90
"May 2, 2016",5.53,5.91,5.44,5.87,"754,900",5.87
