Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.83,6.97,6.65,6.67,"329,600",6.67
"Jun 10, 2016",7.12,7.18,6.82,6.84,"364,100",6.84
"Jun 9, 2016",7.35,7.51,7.16,7.22,"287,700",7.22
"Jun 8, 2016",7.46,7.64,7.28,7.44,"210,300",7.44
"Jun 7, 2016",7.66,7.66,7.40,7.46,"295,200",7.46
"Jun 6, 2016",7.48,7.81,7.35,7.70,"375,400",7.70
"Jun 3, 2016",7.79,7.86,7.40,7.54,"344,800",7.54
"Jun 2, 2016",7.90,7.96,7.70,7.79,"449,800",7.79
"Jun 1, 2016",7.70,8.03,7.58,7.97,"946,800",7.97
"May 31, 2016",7.12,7.41,7.10,7.32,"1,158,300",7.32
"May 27, 2016",7.09,7.22,6.98,7.06,"480,300",7.06
"May 26, 2016",7.02,7.23,6.91,7.10,"408,900",7.10
"May 25, 2016",7.03,7.19,6.95,7.02,"358,600",7.02
"May 24, 2016",6.94,7.01,6.83,6.97,"430,500",6.97
"May 23, 2016",6.82,7.07,6.73,6.84,"401,900",6.84
"May 20, 2016",6.59,6.91,6.55,6.86,"489,100",6.86
"May 19, 2016",6.84,7.04,6.39,6.51,"470,800",6.51
"May 18, 2016",6.51,7.05,6.47,6.98,"790,600",6.98
"May 17, 2016",6.31,6.68,6.25,6.56,"975,100",6.56
"May 16, 2016",5.60,6.69,5.58,6.32,"3,697,200",6.32
"May 13, 2016",7.00,7.19,6.73,6.82,"682,000",6.82
"May 12, 2016",7.58,7.72,6.82,7.00,"744,300",7.00
"May 11, 2016",7.93,8.05,7.47,7.50,"442,300",7.50
"May 10, 2016",8.12,8.29,7.77,7.97,"397,300",7.97
"May 9, 2016",7.70,8.22,7.56,8.03,"642,800",8.03
"May 6, 2016",7.35,7.79,7.33,7.75,"413,700",7.75
"May 5, 2016",7.29,7.72,7.11,7.53,"647,000",7.53
"May 4, 2016",7.68,7.73,7.36,7.50,"645,400",7.50
"May 3, 2016",7.88,8.09,7.33,7.80,"596,100",7.80
"May 2, 2016",7.82,7.84,7.05,7.63,"1,039,500",7.63
"Apr 29, 2016",8.10,8.18,7.66,7.79,"376,900",7.79
"Apr 28, 2016",7.73,8.23,7.67,7.96,"388,100",7.96
"Apr 27, 2016",8.01,8.07,7.70,7.83,"453,200",7.83
"Apr 26, 2016",8.33,8.35,7.82,8.07,"697,300",8.07
"Apr 25, 2016",8.33,8.38,8.09,8.31,"332,500",8.31
"Apr 22, 2016",8.24,8.36,8.01,8.33,"302,000",8.33
"Apr 21, 2016",8.30,8.46,7.97,8.27,"590,500",8.27
"Apr 20, 2016",9.02,9.19,8.16,8.27,"857,900",8.27
"Apr 19, 2016",9.15,9.24,8.93,9.00,"541,300",9.00
"Apr 18, 2016",9.05,9.28,8.94,9.15,"481,400",9.15
"Apr 15, 2016",9.18,9.41,8.95,9.08,"574,600",9.08
"Apr 14, 2016",9.33,9.45,9.07,9.13,"439,600",9.13
"Apr 13, 2016",9.19,9.49,9.02,9.34,"281,500",9.34
"Apr 12, 2016",8.88,9.20,8.75,9.13,"226,000",9.13
"Apr 11, 2016",8.97,9.12,8.69,8.87,"434,200",8.87
"Apr 8, 2016",9.17,9.29,8.65,8.89,"318,900",8.89
"Apr 7, 2016",9.06,9.29,8.82,9.00,"269,900",9.00
"Apr 6, 2016",8.62,9.36,8.62,9.12,"416,600",9.12
"Apr 5, 2016",8.57,8.80,8.50,8.61,"240,200",8.61
"Apr 4, 2016",8.51,8.91,8.46,8.68,"569,100",8.68
"Apr 1, 2016",8.23,8.64,8.10,8.48,"501,300",8.48
"Mar 31, 2016",8.15,8.37,8.05,8.27,"443,300",8.27
"Mar 30, 2016",8.58,8.76,8.01,8.18,"388,400",8.18
"Mar 29, 2016",7.70,8.51,7.67,8.39,"607,700",8.39
