Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",39.87,41.70,39.87,40.25,"526,700",40.25
"Jun 10, 2016",41.03,41.95,40.02,40.34,"799,600",40.34
"Jun 9, 2016",43.68,44.00,41.79,41.82,"658,800",41.82
"Jun 8, 2016",45.40,45.81,44.04,44.08,"607,700",44.08
"Jun 7, 2016",45.65,45.93,44.81,45.30,"330,000",45.30
"Jun 6, 2016",46.02,46.53,45.09,45.99,"753,700",45.99
"Jun 3, 2016",47.70,47.75,45.59,45.85,"341,100",45.85
"Jun 2, 2016",47.19,48.15,47.15,47.95,"420,300",47.95
"Jun 1, 2016",46.16,47.61,45.73,47.27,"467,100",47.27
"May 31, 2016",44.25,47.48,44.25,46.30,"795,600",46.30
"May 27, 2016",43.45,45.13,43.24,43.81,"457,900",43.81
"May 26, 2016",45.29,45.52,43.32,43.33,"593,700",43.33
"May 25, 2016",46.00,46.48,44.92,45.35,"293,300",45.35
"May 24, 2016",46.32,46.40,45.02,45.57,"433,900",45.57
"May 23, 2016",43.25,45.98,43.00,45.88,"554,100",45.88
"May 20, 2016",43.19,44.27,42.60,43.11,"729,700",43.11
"May 19, 2016",43.50,44.78,42.09,43.00,"231,300",43.00
"May 18, 2016",42.68,44.67,42.17,43.74,"310,400",43.74
"May 17, 2016",43.96,44.43,42.35,43.09,"531,600",43.09
"May 16, 2016",43.15,44.90,42.62,44.30,"583,000",44.30
"May 13, 2016",41.27,43.24,41.27,42.74,"364,600",42.74
"May 12, 2016",42.26,42.26,40.47,41.09,"386,800",41.09
"May 11, 2016",43.05,44.47,41.88,41.94,"385,200",41.94
"May 10, 2016",43.69,43.99,42.35,42.88,"377,800",42.88
"May 9, 2016",39.53,43.80,39.53,43.14,"581,700",43.14
"May 6, 2016",36.68,40.27,36.68,39.65,"754,200",39.65
"May 5, 2016",40.07,41.36,37.23,37.38,"949,100",37.38
"May 4, 2016",40.62,40.91,39.57,40.06,"628,700",40.06
"May 3, 2016",41.60,42.22,40.87,40.89,"604,100",40.89
"May 2, 2016",41.65,42.01,40.61,41.92,"483,800",41.92
"Apr 29, 2016",41.78,42.17,40.61,41.44,"359,300",41.44
"Apr 28, 2016",42.02,43.41,41.08,41.73,"364,800",41.73
"Apr 27, 2016",43.15,44.39,42.01,42.08,"361,400",42.08
"Apr 26, 2016",45.17,45.17,43.25,43.36,"335,900",43.36
"Apr 25, 2016",45.84,46.91,44.82,45.16,"460,600",45.16
"Apr 22, 2016",47.00,47.62,45.29,46.09,"509,000",46.09
"Apr 21, 2016",44.77,46.85,43.84,46.77,"690,100",46.77
"Apr 20, 2016",44.38,45.16,42.90,45.04,"518,100",45.04
"Apr 19, 2016",44.86,44.94,43.45,44.09,"302,000",44.09
"Apr 18, 2016",43.69,44.91,43.07,44.84,"251,900",44.84
"Apr 15, 2016",43.29,44.27,42.79,43.71,"738,400",43.71
"Apr 14, 2016",44.38,45.11,43.12,43.27,"527,900",43.27
"Apr 13, 2016",47.33,48.21,44.20,44.65,"600,500",44.65
"Apr 12, 2016",44.42,46.49,44.20,46.34,"419,300",46.34
"Apr 11, 2016",45.47,46.29,43.58,44.56,"571,200",44.56
"Apr 8, 2016",48.88,48.88,45.00,45.20,"606,000",45.20
"Apr 7, 2016",47.41,49.63,46.25,48.40,"614,800",48.40
"Apr 6, 2016",45.07,48.24,44.53,47.59,"1,749,700",47.59
"Apr 5, 2016",43.51,44.10,42.72,42.80,"637,500",42.80
