Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",3.85,4.04,3.81,3.87,"471,800",3.87
"Jun 10, 2016",4.04,4.10,3.85,3.94,"440,600",3.94
"Jun 9, 2016",4.25,4.33,4.09,4.11,"454,400",4.11
"Jun 8, 2016",4.39,4.39,4.19,4.27,"386,600",4.27
"Jun 7, 2016",4.48,4.55,4.35,4.36,"362,100",4.36
"Jun 6, 2016",4.39,4.52,4.28,4.48,"399,500",4.48
"Jun 3, 2016",4.56,4.62,4.32,4.38,"432,200",4.38
"Jun 2, 2016",4.41,4.61,4.38,4.55,"470,400",4.55
"Jun 1, 2016",4.49,4.54,4.36,4.46,"483,900",4.46
"May 31, 2016",4.49,4.78,4.38,4.45,"1,094,800",4.45
"May 27, 2016",4.31,4.49,4.21,4.44,"250,000",4.44
"May 26, 2016",4.35,4.39,4.24,4.27,"336,500",4.27
"May 25, 2016",4.34,4.49,4.32,4.35,"692,600",4.35
"May 24, 2016",4.15,4.31,4.15,4.28,"571,700",4.28
"May 23, 2016",3.98,4.18,3.95,4.08,"303,300",4.08
"May 20, 2016",3.67,4.18,3.61,4.00,"899,700",4.00
"May 19, 2016",3.68,3.75,3.48,3.65,"600,700",3.65
"May 18, 2016",3.72,3.87,3.65,3.71,"605,900",3.71
"May 17, 2016",3.89,3.95,3.70,3.74,"844,200",3.74
"May 16, 2016",3.53,3.90,3.51,3.90,"1,007,800",3.90
"May 13, 2016",3.31,3.65,3.12,3.47,"2,191,700",3.47
"May 12, 2016",4.59,4.59,4.14,4.19,"498,400",4.19
"May 11, 2016",4.60,4.77,4.51,4.53,"363,100",4.53
"May 10, 2016",4.54,4.73,4.32,4.63,"530,800",4.63
"May 9, 2016",4.24,4.75,4.16,4.54,"651,000",4.54
"May 6, 2016",4.33,4.52,4.10,4.24,"1,072,400",4.24
"May 5, 2016",5.01,5.01,4.33,4.35,"745,100",4.35
"May 4, 2016",5.40,5.50,4.86,4.86,"773,100",4.86
"May 3, 2016",5.49,5.66,5.41,5.45,"601,200",5.45
"May 2, 2016",5.60,5.63,5.47,5.55,"411,700",5.55
"Apr 29, 2016",5.65,5.81,5.41,5.60,"598,200",5.60
"Apr 28, 2016",5.47,5.84,5.42,5.65,"520,600",5.65
"Apr 27, 2016",5.50,5.58,5.40,5.48,"269,500",5.48
"Apr 26, 2016",5.92,6.15,5.40,5.51,"632,400",5.51
"Apr 25, 2016",5.90,6.28,5.83,5.91,"542,200",5.91
"Apr 22, 2016",5.77,5.97,5.73,5.89,"419,700",5.89
"Apr 21, 2016",5.50,5.94,5.45,5.85,"693,000",5.85
"Apr 20, 2016",5.51,5.63,5.43,5.54,"298,100",5.54
"Apr 19, 2016",5.51,5.62,5.31,5.47,"422,000",5.47
"Apr 18, 2016",5.36,5.74,5.27,5.53,"632,900",5.53
"Apr 15, 2016",5.29,5.41,5.12,5.35,"655,100",5.35
"Apr 14, 2016",5.28,5.54,5.13,5.32,"913,200",5.32
"Apr 13, 2016",4.75,5.44,4.73,5.28,"1,378,800",5.28
"Apr 12, 2016",4.79,4.79,4.33,4.71,"990,100",4.71
"Apr 11, 2016",5.26,5.36,4.71,4.79,"966,100",4.79
"Apr 8, 2016",5.95,6.10,5.00,5.06,"1,765,900",5.06
"Apr 7, 2016",5.22,6.13,5.17,5.84,"2,049,500",5.84
"Apr 6, 2016",4.78,5.39,4.76,5.28,"872,500",5.28
"Apr 5, 2016",4.75,4.77,4.57,4.76,"542,400",4.76
"Apr 4, 2016",4.76,4.90,4.66,4.80,"843,900",4.80
"Apr 1, 2016",4.55,4.83,4.41,4.74,"844,200",4.74
"Mar 31, 2016",4.31,4.78,4.23,4.63,"781,700",4.63
"Mar 30, 2016",4.33,4.49,4.28,4.38,"429,900",4.38
"Mar 29, 2016",4.04,4.35,3.86,4.27,"714,800",4.27
"Mar 28, 2016",4.12,4.23,3.97,4.09,"717,600",4.09
"Mar 24, 2016",3.84,4.32,3.72,4.11,"1,406,700",4.11
"Mar 23, 2016",4.22,4.30,3.86,3.89,"785,200",3.89
"Mar 22, 2016",4.08,4.36,4.05,4.26,"557,700",4.26
"Mar 21, 2016",4.00,4.29,3.98,4.10,"803,600",4.10
"Mar 18, 2016",3.62,4.09,3.51,4.03,"3,382,500",4.03
"Mar 17, 2016",3.80,3.93,3.48,3.60,"1,177,500",3.60
