Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",111.06,112.75,109.40,110.06,"564,500",110.06
"Jun 10, 2016",111.63,112.71,109.51,111.35,"334,700",111.35
"Jun 9, 2016",116.76,117.83,113.13,113.13,"530,200",113.13
"Jun 8, 2016",116.62,117.51,114.22,117.04,"287,200",117.04
"Jun 7, 2016",118.46,118.99,116.09,116.34,"378,600",116.34
"Jun 6, 2016",116.77,119.77,114.55,119.31,"409,700",119.31
"Jun 3, 2016",120.53,120.53,115.75,116.31,"488,800",116.31
"Jun 2, 2016",118.79,121.69,118.58,121.03,"573,000",121.03
"Jun 1, 2016",118.34,119.59,118.08,119.12,"579,700",119.12
"May 31, 2016",118.37,119.31,117.54,119.07,"852,400",119.07
"May 27, 2016",116.98,117.89,115.64,117.78,"406,100",117.78
"May 26, 2016",117.50,118.90,116.87,117.15,"438,200",117.15
"May 25, 2016",117.83,119.98,116.85,117.77,"558,200",117.77
"May 24, 2016",114.00,117.81,113.99,116.62,"640,800",116.62
"May 23, 2016",113.78,115.96,113.47,114.18,"649,500",114.18
"May 20, 2016",111.02,114.12,110.79,113.62,"442,000",113.62
"May 19, 2016",111.97,114.26,109.69,110.80,"447,400",110.80
"May 18, 2016",110.21,114.03,109.83,112.45,"546,800",112.45
"May 17, 2016",109.95,112.49,108.75,110.84,"518,300",110.84
"May 16, 2016",111.23,111.35,107.68,110.62,"632,500",110.62
"May 13, 2016",109.47,113.33,108.42,111.48,"600,100",111.48
"May 12, 2016",108.98,110.42,108.09,109.23,"847,700",109.23
"May 11, 2016",112.27,112.27,108.04,108.44,"505,400",108.44
"May 10, 2016",112.19,112.99,110.01,111.86,"824,800",111.86
"May 9, 2016",108.58,112.48,108.25,111.61,"692,700",111.61
"May 6, 2016",107.65,109.44,105.52,108.16,"629,000",108.16
"May 5, 2016",108.88,109.43,106.98,107.77,"541,200",107.77
"May 4, 2016",110.36,111.23,107.77,108.20,"789,800",108.20
"May 3, 2016",109.68,113.00,108.51,110.55,"759,600",110.55
"May 2, 2016",105.49,110.55,104.90,110.19,"980,700",110.19
"Apr 29, 2016",103.74,107.59,103.74,105.20,"1,018,600",105.20
"Apr 28, 2016",105.93,110.18,102.50,104.84,"2,496,500",104.84
"Apr 27, 2016",117.11,119.19,116.20,117.68,"793,900",117.68
"Apr 26, 2016",117.56,118.86,116.25,117.45,"476,600",117.45
"Apr 25, 2016",118.41,119.36,116.21,117.30,"502,800",117.30
"Apr 22, 2016",117.90,119.74,116.01,119.61,"514,900",119.61
