Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",10.76,10.89,10.63,10.79,"526,600",10.79
"Jun 10, 2016",10.80,10.97,10.57,10.81,"434,400",10.81
"Jun 9, 2016",11.16,11.20,10.89,10.99,"517,600",10.99
"Jun 8, 2016",11.23,11.27,11.09,11.20,"363,700",11.20
"Jun 7, 2016",11.17,11.30,10.84,11.18,"533,800",11.18
"Jun 6, 2016",10.87,11.38,10.60,11.28,"835,100",11.28
"Jun 3, 2016",11.00,11.00,10.52,10.87,"662,800",10.87
"Jun 2, 2016",10.38,11.11,10.35,10.98,"819,800",10.98
"Jun 1, 2016",10.34,10.66,10.27,10.39,"588,800",10.39
"May 31, 2016",10.63,10.82,10.21,10.40,"952,500",10.40
"May 27, 2016",9.87,10.65,9.85,10.61,"1,994,200",10.61
"May 26, 2016",9.74,9.75,9.47,9.49,"760,800",9.49
"May 25, 2016",9.79,9.90,9.69,9.72,"617,400",9.72
"May 24, 2016",9.63,9.85,9.57,9.76,"516,500",9.76
"May 23, 2016",9.61,9.64,9.14,9.56,"763,900",9.56
"May 20, 2016",9.45,9.83,9.40,9.60,"637,500",9.60
"May 19, 2016",9.14,9.46,9.07,9.40,"694,400",9.40
"May 18, 2016",8.90,9.32,8.90,9.17,"417,700",9.17
"May 17, 2016",8.77,9.16,8.69,8.92,"654,900",8.92
"May 16, 2016",8.66,8.81,8.50,8.78,"541,200",8.78
"May 13, 2016",8.25,8.61,8.11,8.60,"467,600",8.60
"May 12, 2016",8.84,8.84,8.04,8.23,"698,300",8.23
"May 11, 2016",9.05,9.10,8.77,8.79,"499,500",8.79
"May 10, 2016",8.80,9.19,8.77,9.09,"1,625,400",9.09
"May 9, 2016",8.59,8.77,8.52,8.73,"642,700",8.73
"May 6, 2016",8.69,8.96,8.42,8.61,"366,600",8.61
"May 5, 2016",8.51,8.91,8.16,8.74,"621,700",8.74
"May 4, 2016",8.38,8.64,8.29,8.32,"876,800",8.32
