Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",91.24,92.47,90.06,90.54,"1,203,300",90.54
"Jun 10, 2016",92.48,93.08,90.82,91.49,"1,426,700",91.49
"Jun 9, 2016",94.00,94.55,92.18,92.49,"1,178,600",92.49
"Jun 8, 2016",95.03,96.00,93.42,94.59,"1,686,800",94.59
"Jun 7, 2016",95.22,95.85,93.56,94.77,"1,846,200",94.77
"Jun 6, 2016",94.49,96.49,92.47,96.09,"1,258,700",96.09
"Jun 3, 2016",95.62,95.69,92.62,93.96,"1,455,300",93.96
"Jun 2, 2016",93.64,95.88,93.11,95.82,"1,292,400",95.82
"Jun 1, 2016",92.90,94.35,92.68,93.90,"1,423,400",93.90
"May 31, 2016",90.62,93.60,90.61,93.15,"1,729,300",93.15
"May 27, 2016",89.28,90.49,88.37,90.38,"1,108,400",90.38
"May 26, 2016",89.05,89.93,87.24,89.19,"1,279,000",89.19
"May 25, 2016",88.99,89.73,88.14,89.56,"1,598,600",89.56
"May 24, 2016",83.70,88.44,83.62,88.42,"1,495,300",88.42
"May 23, 2016",84.28,85.60,83.30,84.42,"1,220,600",84.42
"May 20, 2016",81.03,85.00,80.55,84.70,"1,659,100",84.70
"May 19, 2016",80.89,82.29,80.25,81.01,"1,669,100",81.01
"May 18, 2016",80.27,82.25,80.27,81.71,"1,926,300",81.71
"May 17, 2016",81.46,82.49,80.41,80.71,"2,155,400",80.71
"May 16, 2016",81.64,83.22,81.38,82.14,"2,063,100",82.14
"May 13, 2016",81.79,83.03,81.06,81.38,"1,115,500",81.38
"May 12, 2016",84.24,84.83,80.58,82.10,"2,041,300",82.10
"May 11, 2016",88.96,89.07,83.53,83.63,"1,658,900",83.63
"May 10, 2016",88.58,89.10,86.26,89.08,"2,092,400",89.08
"May 9, 2016",85.54,88.94,85.51,88.06,"1,800,800",88.06
"May 6, 2016",83.23,85.66,82.95,85.54,"1,999,300",85.54
"May 5, 2016",81.41,84.07,80.63,84.00,"1,813,700",84.00
"May 4, 2016",81.98,82.91,80.31,80.63,"1,906,400",80.63
"May 3, 2016",82.18,83.27,80.81,82.16,"2,057,600",82.16
"May 2, 2016",84.24,84.70,80.62,83.00,"2,164,200",83.00
"Apr 29, 2016",85.90,86.23,83.40,84.34,"2,885,800",84.34
"Apr 28, 2016",81.24,90.25,78.84,86.75,"5,455,500",86.75
"Apr 27, 2016",83.79,85.76,81.78,84.50,"2,570,400",84.50
"Apr 26, 2016",85.80,86.02,83.29,84.14,"1,688,200",84.14
"Apr 25, 2016",86.26,87.45,85.02,85.66,"1,460,100",85.66
"Apr 22, 2016",86.36,87.38,84.08,86.80,"1,274,100",86.80
"Apr 21, 2016",84.39,87.49,84.10,86.81,"1,731,200",86.81
"Apr 20, 2016",83.72,84.90,83.25,84.11,"1,492,300",84.11
"Apr 19, 2016",84.00,84.78,82.61,83.21,"1,660,600",83.21
"Apr 18, 2016",81.42,85.90,81.42,83.22,"2,494,700",83.22
"Apr 15, 2016",87.42,87.60,81.02,81.75,"4,162,300",81.75
"Apr 14, 2016",85.13,88.08,84.73,87.08,"1,319,200",87.08
"Apr 13, 2016",84.04,85.64,83.20,85.18,"2,045,000",85.18
"Apr 12, 2016",84.79,85.19,82.54,83.37,"1,832,700",83.37
"Apr 11, 2016",85.96,86.79,84.06,84.47,"1,410,100",84.47
"Apr 8, 2016",87.29,88.00,84.18,85.25,"1,530,800",85.25
"Apr 7, 2016",90.31,91.78,85.93,86.30,"2,775,600",86.30
"Apr 6, 2016",83.82,91.76,83.70,91.31,"3,449,000",91.31
"Apr 5, 2016",82.54,86.48,81.52,84.16,"2,847,500",84.16
"Apr 4, 2016",79.81,84.40,79.19,82.87,"2,744,000",82.87
"Apr 1, 2016",79.02,79.25,75.92,79.15,"3,630,700",79.15
"Mar 31, 2016",78.72,82.10,77.81,79.49,"3,255,200",79.49
"Mar 30, 2016",80.11,81.99,77.69,78.40,"1,727,900",78.40
"Mar 29, 2016",78.49,79.37,76.79,79.24,"1,730,200",79.24
"Mar 28, 2016",80.85,81.26,77.67,78.70,"1,504,500",78.70
"Mar 24, 2016",79.71,82.19,78.25,80.58,"1,884,200",80.58
"Mar 23, 2016",86.00,86.00,80.00,80.15,"2,189,600",80.15
"Mar 22, 2016",83.65,86.91,83.31,86.78,"1,780,900",86.78
"Mar 21, 2016",82.01,84.75,81.52,84.02,"1,784,000",84.02
"Mar 18, 2016",79.74,83.14,78.47,82.52,"3,752,900",82.52
"Mar 17, 2016",79.33,80.09,75.90,79.18,"2,652,600",79.18
"Mar 16, 2016",82.06,83.34,77.51,79.30,"2,947,400",79.30
