Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",10.43,12.30,10.43,11.86,"336,600",11.86
"Jun 10, 2016",10.57,11.09,10.36,10.48,"62,400",10.48
"Jun 9, 2016",10.90,11.20,10.27,10.78,"98,400",10.78
"Jun 8, 2016",11.06,11.21,10.77,11.02,"56,200",11.02
"Jun 7, 2016",11.32,11.40,10.77,10.96,"96,900",10.96
"Jun 6, 2016",10.27,11.45,10.18,11.42,"182,400",11.42
"Jun 3, 2016",9.98,10.67,9.59,10.36,"141,100",10.36
"Jun 2, 2016",9.26,10.36,9.26,10.02,"110,800",10.02
"Jun 1, 2016",9.17,9.34,9.02,9.29,"40,500",9.29
"May 31, 2016",9.02,9.26,8.88,9.21,"45,900",9.21
"May 27, 2016",8.87,9.06,8.69,8.92,"48,000",8.92
"May 26, 2016",9.25,9.25,8.71,8.76,"28,900",8.76
"May 25, 2016",9.27,9.39,8.90,9.04,"42,900",9.04
"May 24, 2016",8.87,9.31,8.72,9.13,"88,200",9.13
"May 23, 2016",8.10,8.84,8.10,8.79,"118,600",8.79
"May 20, 2016",7.87,8.21,7.87,8.11,"45,800",8.11
"May 19, 2016",8.05,8.33,7.63,7.85,"35,000",7.85
"May 18, 2016",7.77,8.18,7.77,8.12,"39,000",8.12
"May 17, 2016",7.84,8.27,7.73,7.84,"86,300",7.84
"May 16, 2016",7.53,7.98,7.49,7.91,"44,700",7.91
"May 13, 2016",7.19,7.59,7.19,7.47,"35,800",7.47
"May 12, 2016",7.70,7.79,7.05,7.25,"70,700",7.25
"May 11, 2016",7.85,7.99,7.54,7.61,"33,200",7.61
"May 10, 2016",8.27,8.28,7.63,7.84,"40,400",7.84
"May 9, 2016",7.73,8.28,7.71,8.17,"75,000",8.17
"May 6, 2016",7.66,7.93,7.64,7.73,"74,400",7.73
"May 5, 2016",7.45,7.85,7.33,7.70,"205,100",7.70
"May 4, 2016",8.45,8.57,7.18,7.41,"180,800",7.41
"May 3, 2016",8.97,9.21,8.49,8.52,"67,100",8.52
"May 2, 2016",9.10,9.20,8.70,9.10,"55,200",9.10
"Apr 29, 2016",9.51,9.65,8.71,9.06,"162,100",9.06
"Apr 28, 2016",9.62,10.05,9.46,9.73,"84,900",9.73
"Apr 27, 2016",10.07,10.36,9.49,9.69,"60,600",9.69
"Apr 26, 2016",10.06,10.06,9.61,9.80,"61,500",9.80
"Apr 25, 2016",10.18,10.28,9.99,10.10,"77,700",10.10
"Apr 22, 2016",10.16,10.35,9.87,10.25,"77,500",10.25
"Apr 21, 2016",9.68,10.15,9.68,10.12,"115,800",10.12
"Apr 20, 2016",9.87,9.94,9.52,9.70,"59,600",9.70
"Apr 19, 2016",9.61,9.95,9.44,9.82,"79,600",9.82
"Apr 18, 2016",9.33,9.69,9.29,9.67,"68,100",9.67
"Apr 15, 2016",9.51,9.82,8.63,9.41,"51,600",9.41
"Apr 14, 2016",9.45,9.70,9.32,9.53,"71,500",9.53
"Apr 13, 2016",9.22,9.66,9.09,9.54,"97,500",9.54
"Apr 12, 2016",8.69,9.22,8.50,9.16,"64,600",9.16
"Apr 11, 2016",9.09,9.17,8.66,8.73,"103,800",8.73
"Apr 8, 2016",9.58,9.63,8.92,9.00,"111,600",9.00
"Apr 7, 2016",9.57,9.74,8.56,9.39,"200,600",9.39
"Apr 6, 2016",8.42,9.48,8.42,9.35,"246,400",9.35
"Apr 5, 2016",8.09,8.84,7.75,8.39,"213,600",8.39
"Apr 4, 2016",8.44,8.92,8.11,8.17,"204,600",8.17
"Apr 1, 2016",7.95,8.65,7.85,8.38,"125,400",8.38
"Mar 31, 2016",7.81,8.27,7.68,8.02,"145,400",8.02
"Mar 30, 2016",7.67,8.20,7.42,7.83,"194,500",7.83
"Mar 29, 2016",6.54,7.74,6.48,7.55,"163,200",7.55
"Mar 28, 2016",6.74,6.74,6.45,6.57,"70,600",6.57
"Mar 24, 2016",6.44,6.94,6.32,6.71,"47,700",6.71
"Mar 23, 2016",7.05,7.11,6.44,6.50,"83,300",6.50
"Mar 22, 2016",6.93,7.35,6.93,7.05,"106,200",7.05
"Mar 21, 2016",6.85,7.16,6.70,6.99,"138,500",6.99
"Mar 18, 2016",6.68,6.99,6.39,6.96,"203,200",6.96
"Mar 17, 2016",6.55,6.92,6.41,6.61,"68,200",6.61
