Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",10.10,10.53,10.05,10.39,"231,800",10.39
"Jun 10, 2016",10.01,10.59,9.77,10.19,"242,900",10.19
"Jun 9, 2016",10.21,10.41,10.01,10.12,"123,100",10.12
"Jun 8, 2016",10.28,10.40,9.85,10.31,"105,000",10.31
"Jun 7, 2016",10.62,10.72,10.24,10.28,"178,400",10.28
"Jun 6, 2016",10.02,10.56,9.73,10.51,"211,600",10.51
"Jun 3, 2016",10.54,10.54,9.69,9.87,"282,000",9.87
"Jun 2, 2016",10.65,10.88,10.30,10.58,"250,700",10.58
"Jun 1, 2016",10.00,10.76,9.91,10.66,"437,400",10.66
"May 31, 2016",9.72,10.13,9.44,10.03,"300,700",10.03
"May 27, 2016",9.65,9.97,9.51,9.62,"242,200",9.62
"May 26, 2016",9.42,9.68,9.28,9.62,"249,700",9.62
"May 25, 2016",8.98,9.65,8.95,9.42,"368,600",9.42
"May 24, 2016",8.84,9.00,8.46,8.93,"290,400",8.93
"May 23, 2016",7.94,8.83,7.94,8.70,"411,000",8.70
"May 20, 2016",7.66,7.97,7.59,7.94,"319,000",7.94
"May 19, 2016",7.59,7.75,7.47,7.67,"363,700",7.67
"May 18, 2016",7.34,7.74,7.13,7.69,"201,700",7.69
"May 17, 2016",7.41,7.66,7.33,7.40,"267,700",7.40
"May 16, 2016",6.40,7.53,6.40,7.48,"405,700",7.48
"May 13, 2016",6.30,6.79,6.02,6.39,"230,100",6.39
"May 12, 2016",6.56,6.56,6.15,6.32,"258,400",6.32
"May 11, 2016",6.55,6.89,6.46,6.54,"320,700",6.54
"May 10, 2016",6.71,6.87,6.28,6.80,"200,800",6.80
"May 9, 2016",6.28,6.79,6.23,6.64,"290,600",6.64
"May 6, 2016",6.10,6.34,6.02,6.27,"242,600",6.27
"May 5, 2016",6.42,6.42,6.01,6.18,"258,900",6.18
"May 4, 2016",7.03,7.12,6.38,6.39,"306,900",6.39
"May 3, 2016",7.32,7.40,7.10,7.12,"241,900",7.12
"May 2, 2016",7.24,7.40,7.08,7.37,"260,900",7.37
"Apr 29, 2016",7.82,7.87,7.19,7.19,"678,300",7.19
"Apr 28, 2016",7.64,8.05,7.51,7.80,"270,600",7.80
"Apr 27, 2016",7.80,7.87,7.44,7.64,"263,100",7.64
"Apr 26, 2016",8.10,8.10,7.53,7.79,"411,400",7.79
"Apr 25, 2016",8.05,8.24,7.80,8.10,"318,800",8.10
"Apr 22, 2016",7.85,8.12,7.67,8.08,"261,700",8.08
"Apr 21, 2016",7.44,7.91,7.44,7.82,"322,400",7.82
"Apr 20, 2016",7.58,7.69,7.38,7.44,"200,300",7.44
"Apr 19, 2016",7.72,7.74,7.34,7.54,"504,300",7.54
"Apr 18, 2016",7.63,7.77,7.48,7.72,"222,700",7.72
"Apr 15, 2016",7.51,7.70,7.37,7.69,"358,300",7.69
"Apr 14, 2016",7.61,7.75,7.37,7.50,"315,900",7.50
"Apr 13, 2016",7.34,7.65,7.28,7.62,"570,400",7.62
"Apr 12, 2016",7.46,7.49,7.16,7.28,"339,400",7.28
"Apr 11, 2016",7.34,7.75,7.16,7.24,"455,200",7.24
"Apr 8, 2016",7.69,7.69,7.06,7.29,"360,100",7.29
"Apr 7, 2016",7.42,7.65,7.23,7.61,"446,500",7.61
"Apr 6, 2016",6.87,7.47,6.66,7.45,"574,700",7.45
"Apr 5, 2016",6.87,7.12,6.74,6.82,"552,900",6.82
"Apr 4, 2016",6.76,7.07,6.65,6.89,"454,000",6.89
"Apr 1, 2016",6.55,6.87,6.43,6.70,"563,000",6.70
"Mar 31, 2016",6.44,6.70,6.33,6.63,"630,200",6.63
"Mar 30, 2016",6.34,6.67,6.30,6.47,"680,200",6.47
"Mar 29, 2016",6.08,6.29,5.82,6.28,"1,043,500",6.28
"Mar 28, 2016",5.98,6.00,5.70,6.00,"800,300",6.00
"Mar 24, 2016",6.50,6.79,5.84,6.00,"4,767,100",6.00
"Mar 23, 2016",6.99,7.10,6.60,6.73,"1,160,800",6.73
"Mar 22, 2016",7.23,7.56,6.94,7.03,"1,440,900",7.03
"Mar 21, 2016",7.10,7.80,6.92,7.31,"3,056,800",7.31
"Mar 18, 2016",7.27,7.50,6.85,7.19,"5,856,300",7.19
"Mar 17, 2016",7.46,8.38,6.51,6.79,"23,072,900",6.79
"Mar 16, 2016",4.40,4.55,4.08,4.11,"1,589,700",4.11
"Mar 15, 2016",4.75,4.85,4.29,4.45,"409,400",4.45
"Mar 14, 2016",4.72,5.00,4.64,4.88,"573,500",4.88
"Mar 11, 2016",4.73,4.80,4.56,4.77,"504,900",4.77
"Mar 10, 2016",4.70,4.76,4.53,4.66,"505,100",4.66
"Mar 9, 2016",4.60,4.73,4.36,4.65,"592,300",4.65
"Mar 8, 2016",4.85,5.04,4.50,4.50,"772,300",4.50
"Mar 7, 2016",5.00,5.05,4.78,4.86,"2,345,900",4.86
"Mar 4, 2016",5.32,5.33,4.15,4.69,"7,287,700",4.69
"Mar 3, 2016",10.85,11.29,9.75,9.80,"183,300",9.80
"Mar 2, 2016",9.60,10.93,9.51,10.85,"112,400",10.85
"Mar 1, 2016",9.07,9.67,8.96,9.60,"110,000",9.60
"Feb 29, 2016",9.16,9.35,8.94,9.03,"122,400",9.03
"Feb 26, 2016",9.18,9.48,8.95,9.16,"77,100",9.16
"Feb 25, 2016",9.50,9.50,8.60,9.13,"51,900",9.13
"Feb 24, 2016",8.89,9.79,8.24,9.47,"133,000",9.47
"Feb 23, 2016",9.10,9.23,8.86,8.95,"103,800",8.95
"Feb 22, 2016",8.90,9.27,8.90,9.12,"95,300",9.12
"Feb 19, 2016",8.31,8.76,8.12,8.74,"68,400",8.74
"Feb 18, 2016",8.60,8.66,8.18,8.36,"65,500",8.36
"Feb 17, 2016",8.43,8.77,8.43,8.60,"94,500",8.60
"Feb 16, 2016",8.66,9.13,8.21,8.33,"112,800",8.33
"Feb 12, 2016",7.71,8.72,7.40,8.58,"76,500",8.58
"Feb 11, 2016",7.82,8.24,7.35,7.66,"166,900",7.66
"Feb 10, 2016",8.58,8.79,7.92,7.97,"113,500",7.97
"Feb 9, 2016",8.29,8.79,8.19,8.32,"68,600",8.32
"Feb 8, 2016",9.08,9.08,8.19,8.41,"105,100",8.41
"Feb 5, 2016",9.15,9.32,8.88,9.17,"113,200",9.17
"Feb 4, 2016",9.14,9.56,9.09,9.26,"56,400",9.26
"Feb 3, 2016",9.67,9.67,8.72,9.24,"81,100",9.24
"Feb 2, 2016",10.11,10.22,9.11,9.50,"108,000",9.50
"Feb 1, 2016",9.68,10.36,9.44,10.25,"106,300",10.25
"Jan 29, 2016",9.53,10.02,9.27,9.80,"131,400",9.80
"Jan 28, 2016",10.46,11.08,9.46,9.53,"225,100",9.53
"Jan 27, 2016",11.27,11.27,10.20,10.42,"120,800",10.42
"Jan 26, 2016",11.66,13.04,10.97,11.29,"72,000",11.29
"Jan 25, 2016",11.71,12.12,11.47,11.56,"80,200",11.56
"Jan 22, 2016",11.72,13.83,11.25,11.73,"96,800",11.73
"Jan 21, 2016",12.09,13.85,11.42,11.51,"105,100",11.51
"Jan 20, 2016",11.50,12.60,11.12,12.10,"267,100",12.10
"Jan 19, 2016",12.18,12.18,11.01,11.68,"234,100",11.68
"Jan 15, 2016",11.65,12.23,11.16,12.06,"184,500",12.06
"Jan 14, 2016",11.48,12.40,10.12,12.03,"338,200",12.03
"Jan 13, 2016",12.62,12.78,11.19,11.23,"150,300",11.23
"Jan 12, 2016",13.00,13.70,12.03,12.57,"170,200",12.57
"Jan 11, 2016",13.99,13.99,12.52,12.85,"174,400",12.85
"Jan 8, 2016",14.21,14.57,13.29,13.99,"214,800",13.99
"Jan 7, 2016",16.00,16.08,14.01,14.08,"274,900",14.08
"Jan 6, 2016",17.20,17.42,15.69,16.05,"188,100",16.05
"Jan 5, 2016",17.39,17.78,17.06,17.52,"90,300",17.52
"Jan 4, 2016",17.54,17.84,16.62,17.29,"233,800",17.29
"Dec 31, 2015",17.94,18.40,17.41,18.10,"171,400",18.10
"Dec 30, 2015",18.18,18.71,17.91,17.97,"223,200",17.97
"Dec 29, 2015",17.78,18.49,17.35,18.31,"247,300",18.31
"Dec 28, 2015",16.70,17.38,16.47,17.26,"140,500",17.26
"Dec 24, 2015",16.83,16.87,16.32,16.67,"85,600",16.67
