Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",7.56,8.05,7.56,7.89,"40,600",7.89
"Jun 10, 2016",7.70,7.95,7.55,7.59,"83,400",7.59
"Jun 9, 2016",8.05,8.05,7.61,7.82,"199,100",7.82
"Jun 8, 2016",7.64,8.06,7.49,8.00,"56,700",8.00
"Jun 7, 2016",7.72,7.74,7.50,7.56,"176,700",7.56
"Jun 6, 2016",7.52,7.74,7.50,7.63,"35,000",7.63
"Jun 3, 2016",7.74,7.77,7.42,7.53,"40,500",7.53
"Jun 2, 2016",8.04,8.14,7.63,7.71,"83,300",7.71
"Jun 1, 2016",8.12,8.18,7.90,8.09,"38,600",8.09
"May 31, 2016",8.36,8.38,8.06,8.13,"102,100",8.13
"May 27, 2016",8.10,8.30,7.93,8.30,"30,100",8.30
"May 26, 2016",8.26,8.26,8.01,8.10,"40,500",8.10
"May 25, 2016",8.18,8.29,8.17,8.26,"121,400",8.26
"May 24, 2016",8.27,8.30,8.05,8.17,"71,300",8.17
"May 23, 2016",8.14,8.27,8.13,8.16,"24,800",8.16
"May 20, 2016",8.21,8.23,8.01,8.20,"43,000",8.20
"May 19, 2016",8.08,8.21,7.90,8.17,"196,100",8.17
"May 18, 2016",8.18,8.48,8.07,8.27,"29,000",8.27
"May 17, 2016",8.40,8.63,8.20,8.23,"50,700",8.23
"May 16, 2016",8.27,8.58,8.27,8.37,"42,100",8.37
"May 13, 2016",8.34,8.40,8.25,8.28,"44,300",8.28
"May 12, 2016",9.21,9.21,8.28,8.33,"151,600",8.33
"May 11, 2016",8.62,9.25,8.42,9.16,"72,500",9.16
"May 10, 2016",8.48,8.65,8.18,8.63,"54,700",8.63
"May 9, 2016",8.30,8.51,8.13,8.32,"32,500",8.32
"May 6, 2016",8.28,8.39,8.07,8.31,"32,300",8.31
"May 5, 2016",8.33,8.44,8.17,8.33,"30,900",8.33
"May 4, 2016",8.21,8.40,8.14,8.20,"28,000",8.20
"May 3, 2016",8.31,8.42,8.06,8.26,"48,000",8.26
"May 2, 2016",8.66,8.66,8.19,8.44,"46,900",8.44
"Apr 29, 2016",8.82,8.97,8.51,8.57,"84,200",8.57
"Apr 28, 2016",8.89,9.12,8.77,8.88,"50,400",8.88
"Apr 27, 2016",9.11,9.11,8.82,8.89,"30,800",8.89
"Apr 26, 2016",9.21,9.21,9.02,9.12,"45,600",9.12
"Apr 25, 2016",9.19,9.24,9.07,9.20,"33,900",9.20
"Apr 22, 2016",9.23,9.25,8.94,9.21,"90,400",9.21
"Apr 21, 2016",9.17,9.29,9.11,9.19,"120,200",9.19
"Apr 20, 2016",8.87,9.30,8.86,9.17,"40,200",9.17
"Apr 19, 2016",9.06,9.25,8.91,9.14,"89,800",9.14
"Apr 18, 2016",9.01,9.29,9.01,9.07,"56,400",9.07
"Apr 15, 2016",9.16,9.25,9.02,9.09,"105,700",9.09
"Apr 14, 2016",8.95,9.30,8.85,9.22,"32,000",9.22
"Apr 13, 2016",8.79,9.17,8.62,8.98,"64,900",8.98
