Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",15.90,16.49,15.62,15.86,"155,100",15.86
"Jun 10, 2016",16.49,17.37,15.75,15.89,"227,000",15.89
"Jun 9, 2016",19.10,19.58,15.43,16.69,"601,800",16.69
"Jun 8, 2016",17.86,19.10,17.61,19.08,"285,100",19.08
"Jun 7, 2016",17.36,18.20,16.97,17.99,"357,200",17.99
"Jun 6, 2016",16.83,17.33,16.26,16.93,"140,400",16.93
"Jun 3, 2016",17.57,17.57,16.53,16.72,"218,200",16.72
"Jun 2, 2016",16.22,17.85,16.22,17.09,"304,000",17.09
"Jun 1, 2016",15.74,16.88,15.49,16.11,"318,000",16.11
"May 31, 2016",14.50,15.65,14.50,15.40,"533,900",15.40
"May 27, 2016",13.88,14.49,13.61,14.43,"184,900",14.43
"May 26, 2016",14.00,14.30,13.60,14.02,"203,900",14.02
"May 25, 2016",13.95,14.16,13.65,13.86,"93,300",13.86
"May 24, 2016",13.89,14.21,13.30,14.00,"214,400",14.00
"May 23, 2016",13.48,13.54,13.15,13.45,"150,700",13.45
"May 20, 2016",13.84,14.30,13.25,13.38,"268,800",13.38
"May 19, 2016",15.00,15.20,13.50,13.51,"180,900",13.51
"May 18, 2016",14.05,15.62,14.05,15.01,"169,400",15.01
"May 17, 2016",14.09,14.50,13.65,14.04,"87,200",14.04
"May 16, 2016",12.86,14.19,12.86,14.00,"62,400",14.00
"May 13, 2016",12.42,12.99,12.18,12.82,"69,400",12.82
"May 12, 2016",12.94,12.94,12.00,12.33,"46,500",12.33
"May 11, 2016",12.93,13.17,12.71,12.87,"20,800",12.87
"May 10, 2016",12.46,13.13,12.28,13.02,"44,400",13.02
"May 9, 2016",12.10,12.86,11.84,12.49,"24,800",12.49
"May 6, 2016",12.05,12.46,11.84,12.15,"33,500",12.15
"May 5, 2016",12.29,12.62,11.63,12.15,"84,500",12.15
"May 4, 2016",12.86,13.00,12.11,12.30,"75,200",12.30
"May 3, 2016",13.00,13.26,12.64,12.93,"72,300",12.93
"May 2, 2016",12.75,13.00,12.17,12.99,"100,100",12.99
"Apr 29, 2016",12.99,12.99,12.41,12.75,"71,200",12.75
"Apr 28, 2016",13.36,13.69,12.96,13.11,"80,200",13.11
"Apr 27, 2016",14.02,14.02,13.19,13.39,"84,600",13.39
"Apr 26, 2016",13.69,14.30,13.33,14.15,"86,300",14.15
"Apr 25, 2016",13.77,13.96,13.10,13.77,"142,000",13.77
"Apr 22, 2016",13.69,13.80,13.40,13.71,"75,600",13.71
"Apr 21, 2016",13.38,13.77,12.12,13.64,"325,400",13.64
"Apr 20, 2016",13.59,13.84,13.29,13.51,"60,100",13.51
"Apr 19, 2016",14.78,14.90,13.30,13.43,"506,400",13.43
"Apr 18, 2016",14.06,15.00,14.00,14.99,"209,300",14.99
"Apr 15, 2016",12.00,14.75,12.00,13.77,"385,100",13.77
"Apr 14, 2016",12.14,12.15,11.84,12.05,"39,000",12.05
"Apr 13, 2016",12.04,12.47,11.77,12.00,"120,200",12.00
"Apr 12, 2016",11.52,12.49,11.52,12.09,"74,800",12.09
"Apr 11, 2016",11.50,12.37,11.38,11.54,"85,500",11.54
"Apr 8, 2016",11.19,11.50,10.72,11.39,"65,600",11.39
"Apr 7, 2016",10.27,11.12,10.15,11.01,"64,600",11.01
"Apr 6, 2016",10.16,10.48,10.06,10.35,"100,700",10.35
"Apr 5, 2016",10.46,10.49,10.00,10.14,"99,800",10.14
"Apr 4, 2016",10.13,10.47,9.49,10.00,"117,700",10.00
