Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",34.95,36.11,33.70,34.91,"412,000",34.91
"Jun 10, 2016",34.00,35.94,33.26,35.44,"505,100",35.44
"Jun 9, 2016",35.83,36.07,34.15,34.50,"303,900",34.50
"Jun 8, 2016",35.84,36.40,35.00,36.16,"264,300",36.16
"Jun 7, 2016",36.68,37.67,35.66,35.76,"265,300",35.76
"Jun 6, 2016",36.24,37.56,35.48,37.05,"388,400",37.05
"Jun 3, 2016",36.99,36.99,34.89,36.19,"340,100",36.19
"Jun 2, 2016",33.76,37.28,33.76,37.23,"408,000",37.23
"Jun 1, 2016",34.09,34.56,33.36,33.90,"409,300",33.90
"May 31, 2016",34.15,34.41,33.50,34.21,"459,900",34.21
"May 27, 2016",34.35,34.44,33.29,33.89,"293,700",33.89
"May 26, 2016",34.72,34.79,34.16,34.35,"365,400",34.35
"May 25, 2016",34.79,34.89,34.01,34.78,"419,200",34.78
"May 24, 2016",34.06,34.83,33.51,34.47,"371,600",34.47
"May 23, 2016",33.73,34.78,33.53,34.06,"318,500",34.06
"May 20, 2016",33.15,33.73,32.74,33.68,"303,400",33.68
"May 19, 2016",32.64,33.30,32.07,32.95,"392,000",32.95
"May 18, 2016",31.80,33.33,31.80,32.89,"341,800",32.89
"May 17, 2016",32.45,32.99,31.81,32.04,"347,900",32.04
"May 16, 2016",29.60,32.40,29.41,32.22,"373,700",32.22
"May 13, 2016",28.57,29.60,28.35,29.37,"197,200",29.37
"May 12, 2016",29.91,29.91,28.00,28.57,"261,000",28.57
"May 11, 2016",31.45,31.82,29.68,29.73,"237,100",29.73
"May 10, 2016",30.93,31.67,30.25,31.59,"312,900",31.59
"May 9, 2016",29.36,31.22,29.36,30.80,"254,700",30.80
"May 6, 2016",30.28,30.88,27.01,29.43,"916,800",29.43
"May 5, 2016",28.59,31.94,28.59,30.19,"880,000",30.19
"May 4, 2016",28.12,28.33,26.72,27.50,"456,800",27.50
"May 3, 2016",29.95,30.35,28.23,28.33,"387,600",28.33
"May 2, 2016",30.05,30.46,28.53,30.33,"364,300",30.33
"Apr 29, 2016",29.93,30.21,29.13,29.95,"310,100",29.95
"Apr 28, 2016",30.36,31.66,29.76,30.11,"215,800",30.11
"Apr 27, 2016",31.34,31.66,30.30,30.70,"274,500",30.70
"Apr 26, 2016",31.35,31.86,30.32,31.03,"253,500",31.03
"Apr 25, 2016",32.28,33.70,31.14,31.45,"456,100",31.45
"Apr 22, 2016",31.66,32.48,30.90,32.20,"168,200",32.20
"Apr 21, 2016",30.28,31.76,30.02,31.68,"300,900",31.68
"Apr 20, 2016",29.93,31.08,29.25,30.44,"611,300",30.44
"Apr 19, 2016",31.48,31.48,28.84,29.18,"316,400",29.18
"Apr 18, 2016",31.12,31.60,30.13,31.47,"270,000",31.47
"Apr 15, 2016",31.29,31.60,30.15,31.23,"167,900",31.23
"Apr 14, 2016",31.69,32.35,30.88,31.44,"169,000",31.44
"Apr 13, 2016",31.89,31.93,30.39,31.72,"205,300",31.72
"Apr 12, 2016",30.87,31.53,28.97,31.42,"319,600",31.42
"Apr 11, 2016",31.46,32.45,30.25,30.48,"312,900",30.48
"Apr 8, 2016",32.19,32.54,30.88,31.26,"473,200",31.26
"Apr 7, 2016",31.36,32.38,30.02,31.45,"523,400",31.45
"Apr 6, 2016",29.96,32.00,29.76,31.92,"486,300",31.92
"Apr 5, 2016",28.74,30.33,28.60,29.90,"422,100",29.90
"Apr 4, 2016",27.36,29.67,27.02,29.21,"454,800",29.21
"Apr 1, 2016",26.15,27.42,25.49,27.34,"363,200",27.34
"Mar 31, 2016",26.05,27.14,25.69,26.39,"368,800",26.39
"Mar 30, 2016",26.01,27.69,25.22,25.70,"346,000",25.70
"Mar 29, 2016",23.89,25.95,23.20,25.76,"391,300",25.76
"Mar 28, 2016",24.20,24.64,23.10,23.92,"283,500",23.92
"Mar 24, 2016",24.60,25.21,23.13,24.21,"415,000",24.21
"Mar 23, 2016",27.45,28.12,24.45,24.46,"463,300",24.46
"Mar 22, 2016",26.15,28.08,25.90,27.62,"354,700",27.62
"Mar 21, 2016",25.21,27.16,24.82,26.39,"341,200",26.39
"Mar 18, 2016",23.74,25.46,23.18,25.31,"752,400",25.31
"Mar 17, 2016",24.73,25.08,22.67,23.64,"423,600",23.64
"Mar 16, 2016",25.34,26.18,24.12,24.87,"415,600",24.87
"Mar 15, 2016",26.97,27.99,25.02,25.49,"330,700",25.49
"Mar 14, 2016",26.87,28.03,26.81,27.26,"410,300",27.26
"Mar 11, 2016",26.25,26.93,25.40,26.87,"328,000",26.87
"Mar 10, 2016",27.63,28.95,25.74,26.02,"368,200",26.02
"Mar 9, 2016",27.82,28.22,26.10,27.36,"537,400",27.36
"Mar 8, 2016",29.59,30.10,27.59,27.74,"360,000",27.74
"Mar 7, 2016",28.28,30.56,27.85,29.78,"537,900",29.78
"Mar 4, 2016",27.90,29.41,27.33,28.47,"343,400",28.47
"Mar 3, 2016",27.59,28.45,27.35,27.97,"327,100",27.97
"Mar 2, 2016",27.08,28.27,26.89,27.65,"507,000",27.65
"Mar 1, 2016",25.57,27.25,25.11,27.25,"478,900",27.25
"Feb 29, 2016",26.19,26.78,25.30,25.34,"564,300",25.34
"Feb 26, 2016",25.10,26.29,24.71,25.32,"394,400",25.32
"Feb 25, 2016",26.14,26.24,23.74,24.18,"476,200",24.18
"Feb 24, 2016",25.77,28.00,24.54,26.40,"255,300",26.40
"Feb 23, 2016",26.62,27.69,25.99,26.07,"292,300",26.07
"Feb 22, 2016",27.47,28.27,26.50,26.73,"381,200",26.73
"Feb 19, 2016",26.17,27.51,25.65,27.20,"225,900",27.20
"Feb 18, 2016",28.97,29.96,26.13,26.27,"363,400",26.27
"Feb 17, 2016",27.16,29.25,27.09,28.93,"484,800",28.93
"Feb 16, 2016",25.80,26.98,25.10,26.91,"303,800",26.91
"Feb 12, 2016",25.06,27.30,23.80,25.41,"223,500",25.41
"Feb 11, 2016",24.98,25.49,24.02,24.83,"281,600",24.83
"Feb 10, 2016",24.83,26.82,24.37,25.67,"438,300",25.67
"Feb 9, 2016",24.38,25.77,24.16,24.63,"207,300",24.63
