Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",14.37,14.81,13.86,14.11,"134,300",14.11
"Jun 10, 2016",14.37,14.66,14.03,14.48,"212,700",14.48
"Jun 9, 2016",14.33,14.77,13.99,14.66,"213,400",14.66
"Jun 8, 2016",14.52,14.53,14.18,14.44,"101,500",14.44
"Jun 7, 2016",14.92,14.92,14.40,14.50,"182,900",14.50
"Jun 6, 2016",14.44,15.00,14.03,14.95,"191,200",14.95
"Jun 3, 2016",14.49,14.78,14.02,14.42,"154,000",14.42
"Jun 2, 2016",14.33,14.66,14.00,14.55,"214,400",14.55
"Jun 1, 2016",14.08,14.58,13.90,14.35,"206,200",14.35
"May 31, 2016",13.96,14.39,13.94,14.13,"195,000",14.13
"May 27, 2016",13.57,13.92,13.51,13.82,"56,900",13.82
"May 26, 2016",13.58,13.67,13.40,13.54,"76,800",13.54
"May 25, 2016",13.40,14.08,13.03,13.58,"187,800",13.58
"May 24, 2016",13.00,13.35,12.81,13.28,"184,100",13.28
"May 23, 2016",13.04,13.61,13.03,13.10,"160,700",13.10
"May 20, 2016",12.65,13.30,12.58,13.03,"166,600",13.03
"May 19, 2016",12.33,12.73,11.98,12.56,"135,900",12.56
"May 18, 2016",12.02,12.60,11.60,12.41,"98,200",12.41
"May 17, 2016",12.38,12.78,12.02,12.11,"134,300",12.11
"May 16, 2016",11.86,12.61,11.86,12.42,"199,900",12.42
"May 13, 2016",11.32,11.84,11.32,11.78,"168,700",11.78
"May 12, 2016",11.41,11.52,11.14,11.39,"162,300",11.39
"May 11, 2016",11.54,11.60,11.25,11.32,"130,100",11.32
"May 10, 2016",11.85,12.01,11.14,11.61,"108,400",11.61
"May 9, 2016",11.39,11.99,11.31,11.78,"115,600",11.78
"May 6, 2016",11.18,11.44,10.95,11.33,"260,500",11.33
"May 5, 2016",11.13,11.50,11.00,11.26,"345,100",11.26
"May 4, 2016",11.79,11.79,10.96,11.06,"317,100",11.06
"May 3, 2016",11.54,12.55,11.37,11.90,"336,700",11.90
"May 2, 2016",12.33,12.33,11.52,12.33,"250,900",12.33
"Apr 29, 2016",12.81,12.87,12.04,12.25,"170,500",12.25
"Apr 28, 2016",13.11,13.46,12.84,12.89,"168,500",12.89
"Apr 27, 2016",13.30,13.36,12.95,13.12,"151,200",13.12
"Apr 26, 2016",13.90,13.94,12.90,13.38,"340,000",13.38
"Apr 25, 2016",14.01,14.37,13.85,13.89,"197,000",13.89
"Apr 22, 2016",14.40,14.62,13.97,14.10,"303,500",14.10
"Apr 21, 2016",14.13,14.72,14.13,14.49,"124,900",14.49
"Apr 20, 2016",14.37,14.57,13.95,14.15,"107,000",14.15
"Apr 19, 2016",14.54,14.65,14.08,14.33,"235,800",14.33
"Apr 18, 2016",14.50,15.05,14.29,14.50,"208,800",14.50
"Apr 15, 2016",14.63,14.80,14.43,14.57,"128,400",14.57
"Apr 14, 2016",14.83,14.97,14.63,14.73,"132,600",14.73
"Apr 13, 2016",14.22,14.87,14.07,14.74,"483,500",14.74
"Apr 12, 2016",14.01,14.27,13.79,14.02,"139,200",14.02
"Apr 11, 2016",14.61,14.61,13.96,14.03,"137,900",14.03
"Apr 8, 2016",14.98,15.03,14.40,14.48,"187,300",14.48
"Apr 7, 2016",14.79,15.29,14.35,14.75,"326,500",14.75
"Apr 6, 2016",13.87,14.98,13.87,14.94,"309,900",14.94
"Apr 5, 2016",13.35,14.28,13.11,13.83,"222,700",13.83
"Apr 4, 2016",13.97,14.07,13.44,13.50,"187,400",13.50
"Apr 1, 2016",13.32,14.14,13.00,13.94,"154,900",13.94
"Mar 31, 2016",12.93,14.38,12.93,13.42,"392,400",13.42
"Mar 30, 2016",12.73,13.24,12.53,12.89,"179,600",12.89
"Mar 29, 2016",11.94,12.68,11.65,12.62,"211,700",12.62
"Mar 28, 2016",12.51,12.51,11.93,11.96,"131,700",11.96
"Mar 24, 2016",12.16,12.72,11.93,12.43,"154,700",12.43
"Mar 23, 2016",12.82,13.16,12.18,12.26,"130,200",12.26
"Mar 22, 2016",12.22,13.00,12.22,12.89,"180,600",12.89
"Mar 21, 2016",11.83,12.72,11.71,12.35,"161,400",12.35
"Mar 18, 2016",11.53,12.20,11.36,11.98,"436,600",11.98
"Mar 17, 2016",11.55,11.69,10.80,11.47,"194,300",11.47
"Mar 16, 2016",11.72,12.06,11.31,11.54,"160,300",11.54
"Mar 15, 2016",12.56,12.56,11.51,11.74,"250,700",11.74
"Mar 14, 2016",12.49,12.88,12.34,12.73,"226,400",12.73
"Mar 11, 2016",12.20,12.52,11.84,12.50,"156,600",12.50
"Mar 10, 2016",12.60,12.96,11.92,12.15,"236,500",12.15
"Mar 9, 2016",12.90,13.19,12.27,12.94,"404,800",12.94
"Mar 8, 2016",13.85,14.51,12.50,12.83,"704,100",12.83
"Mar 7, 2016",11.41,12.04,11.26,12.00,"214,800",12.00
"Mar 4, 2016",11.74,11.94,11.44,11.54,"116,900",11.54
"Mar 3, 2016",11.78,12.13,11.61,11.77,"119,300",11.77
"Mar 2, 2016",11.74,12.08,10.73,11.84,"191,100",11.84
"Mar 1, 2016",11.04,11.83,10.88,11.80,"137,600",11.80
"Feb 29, 2016",11.11,11.17,10.92,11.00,"219,600",11.00
"Feb 26, 2016",11.12,11.34,10.93,11.14,"121,400",11.14
"Feb 25, 2016",11.24,11.27,10.93,11.04,"120,800",11.04
"Feb 24, 2016",10.85,11.26,10.41,11.24,"246,700",11.24
"Feb 23, 2016",11.35,11.58,10.84,10.85,"282,100",10.85
"Feb 22, 2016",11.45,11.67,11.26,11.44,"98,900",11.44
"Feb 19, 2016",11.07,11.72,10.87,11.34,"116,400",11.34
"Feb 18, 2016",11.64,11.81,11.00,11.08,"112,900",11.08
"Feb 17, 2016",11.58,11.97,11.30,11.81,"178,300",11.81
"Feb 16, 2016",11.42,11.67,10.87,11.50,"133,000",11.50
"Feb 12, 2016",11.14,11.35,10.96,11.30,"148,400",11.30
"Feb 11, 2016",10.70,11.07,10.42,11.01,"211,000",11.01
"Feb 10, 2016",10.78,11.76,10.66,10.97,"250,800",10.97
"Feb 9, 2016",9.98,10.97,9.89,10.68,"224,900",10.68
"Feb 8, 2016",10.60,10.62,10.03,10.16,"1,431,900",10.16
"Feb 5, 2016",10.45,10.91,10.32,10.71,"335,000",10.71
"Feb 4, 2016",10.68,11.49,10.38,10.54,"421,200",10.54
"Feb 3, 2016",10.55,11.00,10.19,10.69,"812,500",10.69
"Feb 2, 2016",10.78,10.81,10.43,10.50,"285,300",10.50
"Feb 1, 2016",10.79,11.48,10.49,10.96,"158,500",10.96
"Jan 29, 2016",10.78,11.20,10.43,10.82,"300,500",10.82
"Jan 28, 2016",11.71,11.76,10.70,10.78,"217,700",10.78
"Jan 27, 2016",12.45,12.59,11.40,11.57,"291,700",11.57
"Jan 26, 2016",12.30,12.63,11.30,12.51,"180,200",12.51
"Jan 25, 2016",12.16,12.66,11.89,12.25,"171,600",12.25
"Jan 22, 2016",12.41,12.48,11.71,12.24,"187,800",12.24
"Jan 21, 2016",12.08,12.44,11.58,12.08,"234,300",12.08
"Jan 20, 2016",11.57,12.44,11.06,12.09,"400,000",12.09
"Jan 19, 2016",12.70,12.98,11.65,11.78,"351,500",11.78
"Jan 15, 2016",12.11,12.55,11.75,12.46,"274,300",12.46
"Jan 14, 2016",11.77,12.69,11.63,12.66,"288,900",12.66
"Jan 13, 2016",12.25,12.33,11.52,11.75,"240,200",11.75
"Jan 12, 2016",11.93,12.54,11.61,12.18,"189,800",12.18
"Jan 11, 2016",12.49,12.49,11.50,11.84,"445,900",11.84
"Jan 8, 2016",12.58,12.80,12.20,12.33,"293,700",12.33
"Jan 7, 2016",12.98,13.00,12.32,12.55,"515,500",12.55
"Jan 6, 2016",13.24,13.39,12.91,13.18,"248,500",13.18
"Jan 5, 2016",13.84,13.84,13.28,13.50,"243,500",13.50
"Jan 4, 2016",14.08,14.29,13.34,13.52,"271,200",13.52
"Dec 31, 2015",14.12,14.73,13.96,14.62,"166,700",14.62
"Dec 30, 2015",14.43,14.81,14.07,14.24,"151,400",14.24
"Dec 29, 2015",14.01,14.58,13.87,14.54,"217,000",14.54
"Dec 28, 2015",14.82,14.82,13.83,13.91,"173,900",13.91
"Dec 24, 2015",15.19,15.44,14.87,14.91,"52,500",14.91
"Dec 23, 2015",15.65,15.69,15.05,15.26,"98,000",15.26
"Dec 22, 2015",14.85,15.55,14.11,15.41,"284,000",15.41
"Dec 21, 2015",15.15,15.27,14.20,14.39,"257,100",14.39
"Dec 18, 2015",14.71,15.47,14.67,15.06,"4,036,200",15.06
"Dec 17, 2015",15.29,15.58,14.63,14.80,"350,400",14.80
"Dec 16, 2015",14.35,15.34,14.11,15.27,"364,700",15.27
"Dec 15, 2015",13.77,14.45,13.70,14.20,"447,300",14.20
"Dec 14, 2015",13.61,13.96,13.45,13.68,"364,000",13.68
"Dec 11, 2015",13.73,14.28,13.48,13.56,"266,700",13.56
"Dec 10, 2015",13.64,14.19,13.48,14.18,"310,400",14.18
"Dec 9, 2015",14.34,14.48,13.40,13.61,"283,500",13.61
"Dec 8, 2015",14.07,14.70,14.01,14.44,"238,700",14.44
"Dec 7, 2015",14.55,14.95,14.12,14.25,"315,900",14.25
"Dec 4, 2015",14.51,14.74,14.22,14.59,"192,000",14.59
"Dec 3, 2015",16.51,16.74,14.19,14.61,"379,800",14.61
"Dec 2, 2015",15.97,17.28,15.93,16.41,"262,000",16.41
"Dec 1, 2015",16.09,16.20,15.75,16.02,"233,500",16.02
"Nov 30, 2015",16.25,16.60,15.73,16.08,"376,100",16.08
"Nov 27, 2015",15.79,16.53,15.60,16.25,"108,100",16.25
"Nov 25, 2015",14.66,15.88,14.66,15.79,"254,500",15.79
"Nov 24, 2015",14.47,14.77,14.33,14.61,"132,000",14.61
"Nov 23, 2015",14.06,14.87,13.95,14.54,"180,000",14.54
"Nov 20, 2015",13.71,14.13,13.34,13.99,"173,200",13.99
"Nov 19, 2015",13.88,13.96,13.28,13.58,"128,800",13.58
"Nov 18, 2015",12.88,14.01,12.77,13.88,"276,600",13.88
"Nov 17, 2015",12.73,13.36,12.47,12.91,"192,600",12.91
"Nov 16, 2015",12.91,13.24,12.35,12.67,"188,500",12.67
"Nov 13, 2015",12.92,13.45,12.61,12.97,"154,700",12.97
"Nov 12, 2015",13.35,13.48,12.81,12.88,"178,100",12.88
"Nov 11, 2015",13.49,13.81,13.25,13.41,"157,000",13.41
