Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",7.00,7.01,6.96,7.00,"1,179,800",7.00
"Jun 10, 2016",7.01,7.02,7.00,7.00,"885,500",7.00
"Jun 9, 2016",7.01,7.03,7.00,7.00,"733,700",7.00
"Jun 8, 2016",7.02,7.03,7.01,7.03,"456,000",7.03
"Jun 7, 2016",7.02,7.03,7.00,7.02,"1,020,300",7.02
"Jun 6, 2016",7.06,7.07,7.01,7.02,"573,000",7.02
"Jun 3, 2016",7.03,7.08,7.00,7.07,"833,600",7.07
"Jun 2, 2016",7.05,7.08,7.03,7.04,"404,300",7.04
"Jun 1, 2016",7.07,7.10,7.03,7.06,"680,100",7.06
"May 31, 2016",7.04,7.09,7.03,7.09,"1,824,800",7.09
"May 27, 2016",7.02,7.04,7.00,7.04,"1,868,300",7.04
"May 26, 2016",7.00,7.02,6.99,7.02,"1,549,300",7.02
"May 25, 2016",6.96,7.01,6.94,7.01,"3,372,700",7.01
"May 24, 2016",6.90,7.00,6.90,6.99,"10,206,300",6.99
"May 23, 2016",6.90,6.91,6.87,6.88,"54,264,300",6.88
"May 20, 2016",4.39,4.51,4.33,4.40,"563,000",4.40
"May 19, 2016",4.36,4.46,4.30,4.36,"103,600",4.36
"May 18, 2016",4.32,4.46,4.28,4.38,"134,500",4.38
"May 17, 2016",4.39,4.49,4.28,4.35,"305,700",4.35
"May 16, 2016",4.11,4.39,4.08,4.39,"306,600",4.39
"May 13, 2016",4.07,4.20,3.98,4.07,"201,400",4.07
"May 12, 2016",4.13,4.20,3.90,4.07,"207,800",4.07
"May 11, 2016",4.23,4.31,3.99,4.04,"188,800",4.04
"May 10, 2016",4.22,4.27,4.09,4.24,"215,100",4.24
"May 9, 2016",4.12,4.30,4.02,4.20,"357,900",4.20
"May 6, 2016",4.00,4.66,3.98,4.14,"319,800",4.14
"May 5, 2016",4.22,4.28,4.11,4.12,"367,500",4.12
"May 4, 2016",4.30,4.31,4.16,4.21,"294,400",4.21
"May 3, 2016",4.45,4.55,4.26,4.29,"247,600",4.29
"May 2, 2016",4.43,4.52,4.29,4.51,"224,600",4.51
"Apr 29, 2016",4.65,4.68,4.38,4.40,"344,200",4.40
"Apr 28, 2016",4.63,4.83,4.50,4.65,"570,500",4.65
"Apr 27, 2016",4.76,4.80,4.62,4.64,"239,100",4.64
"Apr 26, 2016",4.92,4.92,4.69,4.78,"204,100",4.78
"Apr 25, 2016",4.92,4.97,4.80,4.89,"204,800",4.89
"Apr 22, 2016",4.87,4.99,4.79,4.92,"453,100",4.92
"Apr 21, 2016",4.72,4.89,4.63,4.87,"543,200",4.87
"Apr 20, 2016",4.82,4.87,4.66,4.70,"354,500",4.70
"Apr 19, 2016",4.93,5.04,4.75,4.79,"274,900",4.79
"Apr 18, 2016",4.92,5.00,4.80,4.91,"295,400",4.91
"Apr 15, 2016",4.93,5.01,4.88,4.94,"165,700",4.94
"Apr 14, 2016",4.96,5.04,4.87,4.96,"151,900",4.96
"Apr 13, 2016",4.83,5.00,4.73,4.97,"252,300",4.97
"Apr 12, 2016",4.79,4.80,4.59,4.79,"266,100",4.79
"Apr 11, 2016",5.05,5.09,4.80,4.80,"243,700",4.80
"Apr 8, 2016",4.99,5.06,4.80,5.03,"421,400",5.03
"Apr 7, 2016",4.92,5.15,4.89,4.93,"346,500",4.93
"Apr 6, 2016",4.86,4.98,4.75,4.97,"496,100",4.97
"Apr 5, 2016",4.67,4.89,4.57,4.85,"483,100",4.85
"Apr 4, 2016",4.70,4.88,4.66,4.75,"488,300",4.75
"Apr 1, 2016",4.46,4.75,4.41,4.69,"438,500",4.69
"Mar 31, 2016",4.33,4.57,4.31,4.51,"552,600",4.51
"Mar 30, 2016",4.34,4.53,4.22,4.39,"550,200",4.39
"Mar 29, 2016",4.58,4.72,4.21,4.32,"1,629,200",4.32
"Mar 28, 2016",4.60,4.72,4.31,4.60,"587,900",4.60
"Mar 24, 2016",4.31,4.42,4.17,4.35,"190,700",4.35
"Mar 23, 2016",4.58,4.63,4.32,4.32,"249,000",4.32
"Mar 22, 2016",4.45,4.65,4.31,4.57,"453,800",4.57
"Mar 21, 2016",4.35,4.67,4.34,4.50,"530,400",4.50
"Mar 18, 2016",4.37,4.37,3.90,4.37,"2,186,400",4.37
"Mar 17, 2016",4.43,4.43,4.16,4.34,"486,700",4.34
"Mar 16, 2016",4.62,4.68,4.35,4.47,"550,000",4.47
"Mar 15, 2016",4.86,4.86,4.59,4.65,"857,200",4.65
"Mar 14, 2016",4.70,4.90,4.59,4.88,"563,200",4.88
"Mar 11, 2016",4.55,4.76,4.43,4.74,"537,600",4.74
"Mar 10, 2016",4.59,4.59,4.35,4.50,"420,500",4.50
"Mar 9, 2016",4.38,4.55,4.35,4.53,"465,000",4.53
"Mar 8, 2016",4.47,4.54,4.33,4.35,"451,900",4.35
"Mar 7, 2016",4.45,4.60,4.40,4.51,"573,200",4.51
"Mar 4, 2016",4.58,4.71,4.46,4.48,"396,300",4.48
"Mar 3, 2016",4.63,4.67,4.53,4.60,"491,200",4.60
"Mar 2, 2016",4.68,4.73,4.53,4.65,"673,300",4.65
"Mar 1, 2016",4.49,4.73,4.49,4.70,"733,400",4.70
"Feb 29, 2016",4.47,4.54,4.29,4.47,"886,700",4.47
"Feb 26, 2016",4.33,4.74,4.33,4.47,"1,019,800",4.47
"Feb 25, 2016",4.61,4.69,4.29,4.38,"686,300",4.38
"Feb 24, 2016",4.35,4.61,4.31,4.60,"1,145,100",4.60
"Feb 23, 2016",4.26,4.43,4.21,4.35,"794,700",4.35
"Feb 22, 2016",4.32,4.34,4.20,4.31,"468,900",4.31
"Feb 19, 2016",4.00,4.31,3.91,4.25,"738,100",4.25
"Feb 18, 2016",4.17,4.30,4.00,4.02,"497,600",4.02
"Feb 17, 2016",4.11,4.22,4.02,4.14,"698,500",4.14
"Feb 16, 2016",4.12,4.25,4.05,4.08,"474,000",4.08
"Feb 12, 2016",3.92,4.06,3.84,4.03,"428,300",4.03
"Feb 11, 2016",3.83,4.06,3.70,3.86,"8,343,300",3.86
"Feb 10, 2016",4.22,4.34,3.88,3.96,"1,071,100",3.96
"Feb 9, 2016",4.21,4.40,4.13,4.18,"592,600",4.18
"Feb 8, 2016",4.59,4.63,4.19,4.29,"609,800",4.29
"Feb 5, 2016",5.04,5.04,4.62,4.66,"580,400",4.66
"Feb 4, 2016",4.95,5.29,4.74,5.08,"313,300",5.08
"Feb 3, 2016",4.91,5.02,4.67,5.00,"518,900",5.00
"Feb 2, 2016",4.83,5.14,4.69,4.91,"472,000",4.91
"Feb 1, 2016",4.92,5.20,4.80,4.92,"374,700",4.92
"Jan 29, 2016",5.01,5.26,4.81,4.97,"638,700",4.97
"Jan 28, 2016",5.13,5.15,4.79,5.01,"662,600",5.01
"Jan 27, 2016",4.85,5.06,4.56,5.04,"748,000",5.04
"Jan 26, 2016",4.95,4.99,4.76,4.90,"474,900",4.90
"Jan 25, 2016",5.11,5.26,4.89,4.90,"406,900",4.90
"Jan 22, 2016",5.00,5.23,4.91,5.07,"1,724,400",5.07
"Jan 21, 2016",4.45,5.30,4.26,4.79,"1,401,400",4.79
"Jan 20, 2016",4.06,4.53,3.79,4.47,"1,334,700",4.47
"Jan 19, 2016",4.56,4.63,4.15,4.28,"762,200",4.28
"Jan 15, 2016",4.55,4.67,4.12,4.45,"723,700",4.45
"Jan 14, 2016",4.58,4.80,4.46,4.70,"486,700",4.70
"Jan 13, 2016",4.90,4.94,4.51,4.56,"636,100",4.56
"Jan 12, 2016",4.74,4.92,4.67,4.90,"663,900",4.90
"Jan 11, 2016",5.13,5.13,4.50,4.66,"884,300",4.66
"Jan 8, 2016",5.37,5.54,5.07,5.11,"588,200",5.11
"Jan 7, 2016",5.54,5.72,5.42,5.49,"1,104,800",5.49
"Jan 6, 2016",5.40,5.70,5.32,5.66,"924,700",5.66
"Jan 5, 2016",5.36,5.57,5.27,5.50,"951,300",5.50
"Jan 4, 2016",5.48,5.57,5.25,5.28,"610,200",5.28
"Dec 31, 2015",5.56,5.65,5.45,5.49,"573,100",5.49
"Dec 30, 2015",5.65,5.73,5.58,5.60,"357,300",5.60
"Dec 29, 2015",5.62,5.75,5.52,5.66,"452,600",5.66
"Dec 28, 2015",5.88,5.88,5.57,5.64,"962,800",5.64
"Dec 24, 2015",5.96,5.96,5.79,5.86,"259,100",5.86
"Dec 23, 2015",5.70,5.90,5.67,5.86,"821,600",5.86
"Dec 22, 2015",5.58,5.70,5.49,5.66,"518,100",5.66
"Dec 21, 2015",5.71,5.71,5.46,5.61,"659,600",5.61
"Dec 18, 2015",5.73,5.88,5.48,5.59,"2,258,700",5.59
"Dec 17, 2015",5.76,5.92,5.68,5.77,"898,800",5.77
"Dec 16, 2015",5.61,5.84,5.52,5.70,"709,300",5.70
"Dec 15, 2015",5.48,5.83,5.47,5.71,"754,000",5.71
"Dec 14, 2015",5.71,5.75,5.35,5.47,"625,300",5.47
"Dec 11, 2015",5.69,5.81,5.58,5.62,"508,100",5.62
"Dec 10, 2015",5.76,5.96,5.71,5.82,"556,700",5.82
"Dec 9, 2015",5.85,5.94,5.50,5.71,"942,700",5.71
"Dec 8, 2015",5.70,6.00,5.62,5.85,"672,700",5.85
"Dec 7, 2015",5.84,5.89,5.69,5.82,"570,300",5.82
"Dec 4, 2015",5.79,5.94,5.68,5.92,"591,700",5.92
"Dec 3, 2015",5.95,5.95,5.67,5.72,"828,200",5.72
"Dec 2, 2015",6.03,6.06,5.78,5.91,"2,756,600",5.91
"Dec 1, 2015",5.91,6.07,5.82,6.03,"1,509,700",6.03
"Nov 30, 2015",6.46,6.50,5.26,6.04,"3,211,200",6.04
"Nov 27, 2015",6.43,6.57,6.37,6.49,"532,400",6.49
"Nov 25, 2015",6.48,6.59,6.20,6.39,"973,700",6.39
"Nov 24, 2015",6.37,6.44,6.17,6.43,"1,074,300",6.43
"Nov 23, 2015",6.22,6.50,6.22,6.32,"656,500",6.32
"Nov 20, 2015",6.02,6.31,6.02,6.21,"1,233,300",6.21
"Nov 19, 2015",6.00,6.16,5.82,5.94,"2,538,400",5.94
"Nov 18, 2015",6.15,6.15,5.74,5.91,"1,057,700",5.91
"Nov 17, 2015",5.77,6.25,5.72,6.06,"1,017,900",6.06
"Nov 16, 2015",6.55,6.59,5.57,5.76,"1,183,100",5.76
"Nov 13, 2015",6.38,6.56,6.26,6.48,"950,700",6.48
