Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",6.32,6.51,6.06,6.10,"321,400",6.10
"Jun 10, 2016",6.56,6.82,6.28,6.39,"457,000",6.39
"Jun 9, 2016",6.80,6.83,6.56,6.59,"581,700",6.59
"Jun 8, 2016",6.78,6.90,6.62,6.77,"472,600",6.77
"Jun 7, 2016",7.04,7.13,6.76,6.77,"377,200",6.77
"Jun 6, 2016",7.01,7.14,6.83,7.08,"390,700",7.08
"Jun 3, 2016",7.59,7.59,6.93,6.95,"717,700",6.95
"Jun 2, 2016",7.08,7.73,7.00,7.60,"1,679,600",7.60
"Jun 1, 2016",7.02,7.14,6.93,7.10,"536,900",7.10
"May 31, 2016",7.05,7.14,6.87,7.06,"583,500",7.06
"May 27, 2016",6.83,7.11,6.63,6.98,"498,700",6.98
"May 26, 2016",7.02,7.06,6.79,6.83,"164,800",6.83
"May 25, 2016",7.14,7.20,6.91,7.03,"325,200",7.03
"May 24, 2016",6.95,7.11,6.85,7.10,"371,900",7.10
"May 23, 2016",6.61,6.98,6.60,6.87,"509,900",6.87
"May 20, 2016",6.45,6.67,6.26,6.60,"296,900",6.60
"May 19, 2016",6.57,6.75,6.39,6.43,"442,600",6.43
"May 18, 2016",6.54,6.85,6.54,6.62,"378,900",6.62
"May 17, 2016",6.67,6.97,6.55,6.56,"358,500",6.56
"May 16, 2016",6.61,6.86,6.48,6.73,"468,300",6.73
"May 13, 2016",6.33,6.75,6.15,6.58,"569,100",6.58
"May 12, 2016",6.60,6.60,6.13,6.31,"633,200",6.31
"May 11, 2016",6.51,7.06,6.45,6.58,"762,800",6.58
"May 10, 2016",6.36,6.49,6.18,6.47,"373,500",6.47
"May 9, 2016",6.15,6.44,6.14,6.37,"374,900",6.37
"May 6, 2016",5.91,6.23,5.90,6.13,"363,300",6.13
"May 5, 2016",6.21,6.30,5.91,5.96,"321,300",5.96
"May 4, 2016",6.29,6.50,6.00,6.22,"596,300",6.22
"May 3, 2016",6.56,6.61,6.31,6.38,"385,200",6.38
"May 2, 2016",6.31,6.71,6.25,6.63,"367,800",6.63
"Apr 29, 2016",6.64,6.65,6.21,6.37,"617,400",6.37
"Apr 28, 2016",6.64,6.85,6.48,6.63,"409,100",6.63
"Apr 27, 2016",6.89,6.90,6.60,6.69,"397,900",6.69
"Apr 26, 2016",7.00,7.02,6.67,6.76,"627,300",6.76
"Apr 25, 2016",7.34,7.36,6.90,7.02,"399,100",7.02
"Apr 22, 2016",7.11,7.30,7.00,7.25,"411,200",7.25
"Apr 21, 2016",6.76,7.16,6.71,7.05,"461,300",7.05
"Apr 20, 2016",6.80,6.95,6.66,6.82,"266,900",6.82
"Apr 19, 2016",6.98,7.15,6.72,6.77,"477,900",6.77
"Apr 18, 2016",6.92,7.15,6.86,7.00,"388,100",7.00
"Apr 15, 2016",7.08,7.09,6.76,6.93,"334,400",6.93
"Apr 14, 2016",6.80,7.18,6.70,7.12,"583,000",7.12
"Apr 13, 2016",6.59,6.92,6.58,6.77,"523,900",6.77
"Apr 12, 2016",6.24,6.72,6.24,6.53,"633,500",6.53
"Apr 11, 2016",6.73,6.85,6.18,6.23,"1,127,500",6.23
"Apr 8, 2016",7.15,7.28,6.57,6.59,"729,000",6.59
"Apr 7, 2016",7.22,7.50,6.99,7.09,"748,600",7.09
"Apr 6, 2016",7.19,7.33,6.98,7.31,"1,549,800",7.31
"Apr 5, 2016",7.09,7.24,6.84,7.15,"1,089,300",7.15
"Apr 4, 2016",7.73,8.28,7.15,7.28,"7,487,400",7.28
"Apr 1, 2016",6.68,6.86,6.49,6.70,"663,500",6.70
"Mar 31, 2016",6.30,6.85,6.28,6.68,"818,100",6.68
"Mar 30, 2016",6.04,6.39,6.04,6.31,"530,700",6.31
"Mar 29, 2016",5.80,6.14,5.63,6.06,"1,062,100",6.06
"Mar 28, 2016",5.81,5.88,5.62,5.67,"444,000",5.67
"Mar 24, 2016",5.82,6.00,5.63,5.73,"407,200",5.73
"Mar 23, 2016",6.37,6.61,5.83,5.85,"603,700",5.85
"Mar 22, 2016",6.20,6.56,6.15,6.40,"422,900",6.40
"Mar 21, 2016",6.08,6.41,5.75,6.26,"705,000",6.26
"Mar 18, 2016",5.84,6.39,5.60,6.12,"2,669,400",6.12
"Mar 17, 2016",5.72,5.92,5.49,5.81,"515,500",5.81
"Mar 16, 2016",5.84,5.97,5.62,5.73,"826,000",5.73
"Mar 15, 2016",6.05,6.20,5.72,5.87,"1,021,900",5.87
"Mar 14, 2016",5.94,6.39,5.94,6.13,"534,300",6.13
"Mar 11, 2016",5.86,6.05,5.82,5.93,"668,000",5.93
"Mar 10, 2016",5.87,6.14,5.52,5.81,"1,579,600",5.81
"Mar 9, 2016",6.46,6.66,6.25,6.44,"640,000",6.44
"Mar 8, 2016",7.07,7.19,6.46,6.49,"684,200",6.49
"Mar 7, 2016",6.48,7.33,6.40,7.07,"533,300",7.07
"Mar 4, 2016",6.57,6.91,6.32,6.53,"786,700",6.53
"Mar 3, 2016",7.00,7.24,6.35,6.44,"1,105,600",6.44
"Mar 2, 2016",6.44,7.02,6.36,7.01,"554,600",7.01
"Mar 1, 2016",6.33,6.73,6.06,6.42,"685,100",6.42
"Feb 29, 2016",6.79,7.00,6.23,6.26,"573,300",6.26
"Feb 26, 2016",6.43,6.83,6.26,6.82,"659,200",6.82
"Feb 25, 2016",6.59,6.75,6.36,6.45,"618,800",6.45
"Feb 24, 2016",6.59,6.65,6.12,6.60,"431,900",6.60
"Feb 23, 2016",7.20,7.47,6.57,6.58,"592,900",6.58
"Feb 22, 2016",7.50,7.53,7.07,7.19,"629,100",7.19
"Feb 19, 2016",7.51,7.81,6.99,7.50,"988,600",7.50
"Feb 18, 2016",8.13,8.56,7.57,7.60,"3,550,500",7.60
"Feb 17, 2016",7.20,7.49,7.01,7.44,"744,400",7.44
"Feb 16, 2016",6.65,7.15,6.57,7.13,"548,900",7.13
"Feb 12, 2016",6.49,6.65,6.16,6.47,"672,200",6.47
"Feb 11, 2016",6.06,6.54,6.00,6.32,"660,300",6.32
"Feb 10, 2016",6.00,6.47,5.86,6.25,"814,900",6.25
"Feb 9, 2016",5.58,5.97,5.52,5.85,"645,600",5.85
"Feb 8, 2016",6.14,6.26,5.59,5.61,"933,400",5.61
"Feb 5, 2016",6.69,6.77,6.21,6.27,"655,500",6.27
"Feb 4, 2016",6.14,6.82,6.11,6.70,"756,400",6.70
"Feb 3, 2016",6.74,6.77,5.92,6.27,"1,134,300",6.27
"Feb 2, 2016",6.60,6.91,6.52,6.67,"886,800",6.67
"Feb 1, 2016",6.68,7.11,6.41,6.76,"1,706,700",6.76
"Jan 29, 2016",6.57,6.86,6.39,6.65,"1,183,900",6.65
"Jan 28, 2016",7.21,7.29,6.50,6.57,"1,650,600",6.57
"Jan 27, 2016",7.95,8.15,7.04,7.09,"1,689,300",7.09
"Jan 26, 2016",8.01,8.33,7.45,8.19,"1,446,100",8.19
"Jan 25, 2016",8.36,8.64,7.38,7.91,"3,773,300",7.91
"Jan 22, 2016",9.25,9.54,8.50,8.84,"3,475,200",8.84
"Jan 21, 2016",11.89,12.18,8.88,9.11,"13,598,400",9.11
"Jan 20, 2016",7.46,11.88,7.33,10.04,"24,368,300",10.04
"Jan 19, 2016",5.98,6.08,5.45,5.62,"504,900",5.62
"Jan 15, 2016",6.28,6.35,5.51,5.81,"561,200",5.81
"Jan 14, 2016",6.29,6.70,6.04,6.55,"552,900",6.55
"Jan 13, 2016",6.68,7.11,6.13,6.29,"1,089,200",6.29
"Jan 12, 2016",5.51,6.71,5.51,6.69,"1,205,000",6.69
"Jan 11, 2016",5.85,5.95,5.34,5.56,"651,600",5.56
"Jan 8, 2016",5.95,6.22,5.80,5.86,"376,100",5.86
"Jan 7, 2016",5.91,6.08,5.70,5.87,"594,800",5.87
"Jan 6, 2016",6.45,6.68,6.02,6.13,"568,700",6.13
"Jan 5, 2016",6.41,6.90,6.41,6.63,"758,300",6.63
"Jan 4, 2016",6.31,6.43,5.99,6.39,"570,200",6.39
"Dec 31, 2015",6.42,6.49,6.26,6.29,"403,200",6.29
"Dec 30, 2015",6.73,6.79,6.27,6.36,"553,800",6.36
"Dec 29, 2015",6.65,6.90,6.50,6.69,"527,300",6.69
"Dec 28, 2015",6.91,6.95,6.51,6.59,"512,400",6.59
"Dec 24, 2015",6.90,7.07,6.73,6.81,"195,800",6.81
"Dec 23, 2015",6.65,7.13,6.61,6.90,"628,900",6.90
"Dec 22, 2015",6.71,6.85,6.45,6.69,"435,700",6.69
