Date,Open,High,Low,Close,Volume,Adj Close*
"Jun 13, 2016",9.13,9.34,8.96,9.25,"110,200",9.25
"Jun 10, 2016",9.52,9.67,9.15,9.16,"83,800",9.16
"Jun 9, 2016",10.29,10.34,9.59,9.60,"85,200",9.60
"Jun 8, 2016",10.60,10.60,10.27,10.34,"94,900",10.34
"Jun 7, 2016",9.96,10.85,9.95,10.60,"192,000",10.60
"Jun 6, 2016",10.08,10.20,9.99,10.05,"112,100",10.05
"Jun 3, 2016",10.31,10.31,9.93,10.06,"106,700",10.06
"Jun 2, 2016",10.19,10.46,10.04,10.35,"103,900",10.35
"Jun 1, 2016",10.08,10.25,9.91,10.19,"99,100",10.19
"May 31, 2016",9.94,10.21,9.88,10.08,"214,700",10.08
"May 27, 2016",10.00,10.16,9.74,9.92,"71,600",9.92
"May 26, 2016",10.15,10.15,9.74,10.00,"68,000",10.00
"May 25, 2016",10.10,10.45,10.09,10.16,"131,100",10.16
"May 24, 2016",9.65,10.23,9.38,10.06,"111,600",10.06
"May 23, 2016",9.38,9.76,9.34,9.56,"120,400",9.56
"May 20, 2016",8.83,9.46,8.77,9.40,"187,800",9.40
"May 19, 2016",9.13,9.37,8.66,8.75,"115,500",8.75
"May 18, 2016",9.35,9.60,9.04,9.18,"147,600",9.18
"May 17, 2016",9.78,10.06,9.31,9.37,"105,900",9.37
"May 16, 2016",9.39,9.84,9.33,9.81,"99,800",9.81
"May 13, 2016",9.25,9.48,9.13,9.31,"98,900",9.31
"May 12, 2016",9.66,9.66,9.22,9.30,"409,300",9.30
"May 11, 2016",9.84,10.01,9.49,9.63,"126,600",9.63
"May 10, 2016",9.97,10.31,9.58,9.85,"112,800",9.85
"May 9, 2016",9.45,9.96,9.45,9.87,"105,200",9.87
"May 6, 2016",9.35,9.65,9.12,9.45,"160,700",9.45
"May 5, 2016",9.90,9.92,9.37,9.48,"105,700",9.48
"May 4, 2016",10.16,10.36,9.88,9.91,"120,500",9.91
"May 3, 2016",10.21,10.63,10.11,10.28,"77,900",10.28
"May 2, 2016",10.36,10.36,10.00,10.33,"103,700",10.33
"Apr 29, 2016",10.65,10.81,10.15,10.25,"75,200",10.25
"Apr 28, 2016",10.82,11.05,10.44,10.63,"86,700",10.63
"Apr 27, 2016",10.97,10.97,10.64,10.83,"56,600",10.83
"Apr 26, 2016",11.04,11.31,10.43,10.78,"134,700",10.78
"Apr 25, 2016",11.55,11.71,10.95,11.01,"88,100",11.01
"Apr 22, 2016",11.61,11.98,11.52,11.63,"123,000",11.63
"Apr 21, 2016",10.95,11.59,10.89,11.59,"136,100",11.59
"Apr 20, 2016",10.88,11.09,10.73,10.91,"80,900",10.91
"Apr 19, 2016",11.11,11.19,10.53,10.85,"88,800",10.85
"Apr 18, 2016",10.57,11.13,10.55,11.11,"83,100",11.11
"Apr 15, 2016",10.61,10.77,10.42,10.65,"72,000",10.65
"Apr 14, 2016",10.74,10.84,10.52,10.67,"76,300",10.67
"Apr 13, 2016",10.24,10.84,9.98,10.71,"222,900",10.71
"Apr 12, 2016",10.40,10.46,9.96,10.18,"124,900",10.18
"Apr 11, 2016",10.76,11.07,10.31,10.41,"142,500",10.41
"Apr 8, 2016",10.99,11.14,10.61,10.73,"231,900",10.73
"Apr 7, 2016",10.75,11.12,10.48,10.80,"203,700",10.80
"Apr 6, 2016",9.73,10.80,9.72,10.77,"318,000",10.77
"Apr 5, 2016",9.93,10.01,9.41,9.67,"185,300",9.67
"Apr 4, 2016",9.72,10.17,9.54,10.00,"189,400",10.00
"Apr 1, 2016",9.18,9.76,9.10,9.68,"182,200",9.68
"Mar 31, 2016",9.24,9.49,9.10,9.24,"221,000",9.24
"Mar 30, 2016",9.62,9.79,8.95,9.31,"161,000",9.31
"Mar 29, 2016",9.06,9.57,8.76,9.51,"152,700",9.51
"Mar 28, 2016",9.37,9.44,8.63,9.09,"187,700",9.09
"Mar 24, 2016",8.92,9.61,8.77,9.29,"172,300",9.29
"Mar 23, 2016",9.03,9.20,8.85,9.01,"217,600",9.01
"Mar 22, 2016",8.87,9.26,8.87,9.14,"115,900",9.14
"Mar 21, 2016",8.96,9.32,8.92,8.94,"219,500",8.94
"Mar 18, 2016",9.16,9.24,8.76,8.93,"346,300",8.93
"Mar 17, 2016",9.56,9.56,8.68,9.10,"504,500",9.10
"Mar 16, 2016",9.70,10.18,9.45,9.57,"339,400",9.57
"Mar 15, 2016",10.30,10.30,9.14,9.78,"326,600",9.78
"Mar 14, 2016",10.09,10.97,9.95,10.35,"1,089,600",10.35
"Mar 11, 2016",9.21,9.30,8.34,8.76,"538,600",8.76
"Mar 10, 2016",10.00,10.10,9.01,9.21,"231,900",9.21
"Mar 9, 2016",10.03,10.26,9.61,9.95,"171,600",9.95
"Mar 8, 2016",10.85,10.85,9.94,9.98,"168,700",9.98
"Mar 7, 2016",10.11,11.17,10.02,10.96,"139,100",10.96
"Mar 4, 2016",10.47,10.58,10.13,10.17,"212,700",10.17
"Mar 3, 2016",10.80,11.00,10.44,10.47,"372,500",10.47
"Mar 2, 2016",10.81,11.02,10.25,10.86,"208,000",10.86
"Mar 1, 2016",10.70,10.90,10.27,10.88,"196,200",10.88
"Feb 29, 2016",10.54,10.68,10.27,10.60,"173,800",10.60
"Feb 26, 2016",10.46,10.68,10.25,10.57,"175,500",10.57
"Feb 25, 2016",10.28,10.75,10.25,10.41,"198,800",10.41
"Feb 24, 2016",9.76,10.38,9.61,10.27,"226,300",10.27
"Feb 23, 2016",10.26,10.58,9.81,9.93,"290,400",9.93
"Feb 22, 2016",10.39,10.87,10.21,10.30,"165,500",10.30
"Feb 19, 2016",10.07,10.63,10.00,10.50,"171,700",10.50
"Feb 18, 2016",10.46,10.83,10.12,10.17,"210,000",10.17
"Feb 17, 2016",10.36,10.78,10.05,10.45,"295,300",10.45
"Feb 16, 2016",9.94,10.50,9.83,10.24,"213,300",10.24
"Feb 12, 2016",9.71,9.85,9.13,9.79,"390,400",9.79
"Feb 11, 2016",8.84,9.77,8.84,9.52,"430,400",9.52
"Feb 10, 2016",8.54,9.25,8.49,9.11,"433,900",9.11
"Feb 9, 2016",8.23,8.71,8.04,8.48,"336,900",8.48
"Feb 8, 2016",8.22,8.50,7.90,8.41,"342,000",8.41
"Feb 5, 2016",8.85,9.07,8.49,8.49,"240,500",8.49
"Feb 4, 2016",8.78,9.68,8.52,8.90,"262,200",8.90
"Feb 3, 2016",8.96,9.25,8.44,8.85,"199,800",8.85
"Feb 2, 2016",9.08,9.34,8.76,8.91,"269,500",8.91
"Feb 1, 2016",9.50,9.95,8.90,9.24,"182,800",9.24
"Jan 29, 2016",9.40,9.85,9.05,9.48,"261,300",9.48
"Jan 28, 2016",9.98,9.98,9.10,9.34,"291,100",9.34
"Jan 27, 2016",10.55,10.71,9.69,9.75,"187,300",9.75
"Jan 26, 2016",10.71,10.88,10.15,10.64,"179,800",10.64
"Jan 25, 2016",10.85,11.20,10.49,10.57,"141,100",10.57
"Jan 22, 2016",10.22,10.96,10.22,10.94,"292,000",10.94
"Jan 21, 2016",10.18,10.67,9.98,10.04,"245,700",10.04
